"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M-H]-","M-Serine","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","PS(10:0_25:0)-H",1,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(10:0_25:0)-H",8.003457,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(10:0_25:0)-H",1,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(10:0_25:0)-H",55092.88,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(10:0_25:0)-H",776.5453,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(10:0_25:0)-H","776.5448","689.51278","535.37701","325.14221","517.36645","307.13165","224.06881","171.13905","381.37385","152.99586","96.96964","78.95852","7.8329303030303","8.1329303030303","782"
"","PS(10:0_25:0)-H",1,0,0,0,0,0,1,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(10:0_25:0)-H",6.165564,0,0,0,0,0,6.165564,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(10:0_25:0)-H",1,0,0,0,0,0,1,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(10:0_25:0)-H",7300.446,0,0,0,0,0,2118.297,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(10:0_25:0)-H",776.5465,0,0,0,0,0,224.0696,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(10:0_25:0)-H","776.5448","689.51278","535.37701","325.14221","517.36645","307.13165","224.06881","171.13905","381.37385","152.99586","96.96964","78.95852","6.10964166666667","6.40964166666667","2194"
"","PS(10:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(10:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(10:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(10:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(10:0_26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(10:0_26:0)-H","790.5604","703.52838","549.39261","325.14221","531.38205","307.13165","224.06881","171.13905","395.38945","152.99586","96.96964","78.95852","6.59304242424242","6.89304242424242","2477"
"","PS(12:0_16:0)-H",1,1,0,0,0,0,0,0,0,1,1,0,"3.71595909090909","4.01595909090909","111","","PS(12:0_16:0)-H",3.867781,3.867781,0,0,0,0,0,0,0,3.867781,3.867781,0,"3.71595909090909","4.01595909090909","111","","PS(12:0_16:0)-H",2,2,0,0,0,0,0,0,0,2,1,0,"3.71595909090909","4.01595909090909","111","","PS(12:0_16:0)-H",258464.7,388725.9,0,0,0,0,0,0,0,65533.39,5935.135,0,"3.71595909090909","4.01595909090909","111","","PS(12:0_16:0)-H",678.43565,591.4034,0,0,0,0,0,0,0,152.99585,96.96986,0,"3.71595909090909","4.01595909090909","111","","PS(12:0_16:0)-H","678.4352","591.40318","409.23611","353.17351","391.22555","335.16295","224.06881","199.17035","255.23295","152.99586","96.96964","78.95852","3.71595909090909","4.01595909090909","111"
"","PS(12:0_19:0)-H",1,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","PS(12:0_19:0)-H",5.740896,0,0,0,0,0,0,0,0,5.740896,0,0,"5.56829242424242","5.86829242424242","190","","PS(12:0_19:0)-H",1,0,0,0,0,0,0,0,0,1,0,0,"5.56829242424242","5.86829242424242","190","","PS(12:0_19:0)-H",182553.7,0,0,0,0,0,0,0,0,690.6321,0,0,"5.56829242424242","5.86829242424242","190","","PS(12:0_19:0)-H",720.4832,0,0,0,0,0,0,0,0,152.9959,0,0,"5.56829242424242","5.86829242424242","190","","PS(12:0_19:0)-H","720.4822","633.45018","451.28311","353.17351","433.27255","335.16295","224.06881","199.17035","297.27995","152.99586","96.96964","78.95852","5.56829242424242","5.86829242424242","190"
"","PS(12:0_21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(12:0_21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(12:0_21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(12:0_21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(12:0_21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","PS(12:0_21:0)-H","748.5135","661.48148","479.31441","353.17351","461.30385","335.16295","224.06881","199.17035","325.31125","152.99586","96.96964","78.95852","4.66369090909091","4.96369090909091","3080"
"","PS(12:0_22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(12:0_22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(12:0_22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(12:0_22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(12:0_22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"7.52695606060606","7.82695606060606","949","","PS(12:0_22:0)-H","762.5291","675.49708","493.33001","353.17351","475.31945","335.16295","224.06881","199.17035","339.32685","152.99586","96.96964","78.95852","7.52695606060606","7.82695606060606","949"
"","PS(12:0_23:0)-H",1,0,0,0,0,0,1,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(12:0_23:0)-H",6.165564,0,0,0,0,0,6.165564,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(12:0_23:0)-H",1,0,0,0,0,0,1,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(12:0_23:0)-H",7300.446,0,0,0,0,0,2118.297,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(12:0_23:0)-H",776.5465,0,0,0,0,0,224.0696,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","PS(12:0_23:0)-H","776.5448","689.51278","507.34571","353.17351","489.33515","335.16295","224.06881","199.17035","353.34255","152.99586","96.96964","78.95852","5.97987878787879","6.27987878787879","160"
"","PS(12:0_23:0)-H",1,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(12:0_23:0)-H",8.003457,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(12:0_23:0)-H",1,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(12:0_23:0)-H",55092.88,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(12:0_23:0)-H",776.5453,0,0,0,0,0,0,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","PS(12:0_23:0)-H","776.5448","689.51278","507.34571","353.17351","489.33515","335.16295","224.06881","199.17035","353.34255","152.99586","96.96964","78.95852","7.8329303030303","8.1329303030303","782"
"","PS(12:0_23:0)-H",1,0,0,0,0,0,1,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(12:0_23:0)-H",6.165564,0,0,0,0,0,6.165564,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(12:0_23:0)-H",1,0,0,0,0,0,1,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(12:0_23:0)-H",7300.446,0,0,0,0,0,2118.297,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(12:0_23:0)-H",776.5465,0,0,0,0,0,224.0696,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","PS(12:0_23:0)-H","776.5448","689.51278","507.34571","353.17351","489.33515","335.16295","224.06881","199.17035","353.34255","152.99586","96.96964","78.95852","6.10964166666667","6.40964166666667","2194"
