"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","RT at Max Intensity","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Number of Scans","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Max Intensity","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Average m/z","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment"
"","PI(14:0_22:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H",6.797093,0,0,0,0,0,0,0,0,0,0,0,6.797093,0,0,6.797093,6.797093,0,0,6.797093,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H",112051.9,0,0,0,0,0,0,0,0,0,0,0,2477.512,0,0,13168.64,2643.757,0,0,1046.608,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H",861.5511,0,0,0,0,0,0,0,0,0,0,0,152.9958,0,0,241.012,223.0014,0,0,297.0381,"6.61526818181818","6.91526818181818","665","","PI(14:0_22:2)-H","861.54992","699.49708","651.35155","543.25765","633.34099","525.24709","489.29871","381.20481","471.28815","363.19425","227.20165","335.29555","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.61526818181818","6.91526818181818","665"
"","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:0_22:3)-H","859.53432","697.48148","649.33595","543.25765","631.32539","525.24709","487.28311","381.20481","469.27255","363.19425","227.20165","333.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.53224090909091","5.83224090909091","522"
"","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:0_22:3)-H","859.53432","697.48148","649.33595","543.25765","631.32539","525.24709","487.28311","381.20481","469.27255","363.19425","227.20165","333.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.73525303030303","6.03525303030303","2805"
"","PI(14:0_22:4)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"5.25627272727273","5.55627272727273","216","","PI(14:0_22:4)-H",5.431933,0,0,0,0,0,0,0,0,0,0,0,5.431933,5.431933,0,5.431933,5.431933,0,0,5.431933,"5.25627272727273","5.55627272727273","216","","PI(14:0_22:4)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,"5.25627272727273","5.55627272727273","216","","PI(14:0_22:4)-H",149633.3,0,0,0,0,0,0,0,0,0,0,0,2854.088,539.9659,0,16912.36,2204.278,0,0,2236.26,"5.25627272727273","5.55627272727273","216","","PI(14:0_22:4)-H",857.5195,0,0,0,0,0,0,0,0,0,0,0,152.9958,96.9699,0,241.012,223.0013,0,0,297.0382,"5.25627272727273","5.55627272727273","216","","PI(14:0_22:4)-H","857.51862","695.46578","647.32025","543.25765","629.30969","525.24709","485.26741","381.20481","467.25685","363.19425","227.20165","331.26425","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.25627272727273","5.55627272727273","216"
"","PI(14:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(14:1_18:0)-H","807.50302","645.45018","599.32025","541.24205","581.30969","523.23149","437.26741","379.18921","419.25685","361.17865","225.18605","283.26425","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.15742272727273","5.45742272727273","1094"
"","PI(14:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(14:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(14:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(14:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(14:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(14:1_19:0)-H","821.51872","659.46588","613.33595","541.24205","595.32539","523.23149","451.28311","379.18921","433.27255","361.17865","225.18605","297.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.44282272727273","5.74282272727273","3803"
"","PI(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(14:1_20:0)-H","835.53432","673.48148","627.35155","541.24205","609.34099","523.23149","465.29871","379.18921","447.28815","361.17865","225.18605","311.29555","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.35398333333333","6.65398333333333","1803"
"","PI(14:1_20:1)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"5.43252424242424","5.73252424242424","250","","PI(14:1_20:1)-H",5.607739,0,0,0,0,0,0,0,0,0,0,0,5.607739,0,0,5.607739,5.607739,0,0,5.607739,"5.43252424242424","5.73252424242424","250","","PI(14:1_20:1)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"5.43252424242424","5.73252424242424","250","","PI(14:1_20:1)-H",125384,0,0,0,0,0,0,0,0,0,0,0,2438.442,0,0,10946.08,2278.812,0,0,652.9462,"5.43252424242424","5.73252424242424","250","","PI(14:1_20:1)-H",833.5197,0,0,0,0,0,0,0,0,0,0,0,152.9959,0,0,241.0122,223.0013,0,0,297.0382,"5.43252424242424","5.73252424242424","250","","PI(14:1_20:1)-H","833.51872","671.46588","625.33595","541.24205","607.32539","523.23149","463.28311","379.18921","445.27255","361.17865","225.18605","309.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.43252424242424","5.73252424242424","250"
"","PI(14:1_22:1)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"6.61526818181818","6.91526818181818","665","","PI(14:1_22:1)-H",6.797093,0,0,0,0,0,0,0,0,0,0,0,6.797093,0,0,6.797093,6.797093,0,0,6.797093,"6.61526818181818","6.91526818181818","665","","PI(14:1_22:1)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"6.61526818181818","6.91526818181818","665","","PI(14:1_22:1)-H",112051.9,0,0,0,0,0,0,0,0,0,0,0,2477.512,0,0,13168.64,2643.757,0,0,1046.608,"6.61526818181818","6.91526818181818","665","","PI(14:1_22:1)-H",861.5511,0,0,0,0,0,0,0,0,0,0,0,152.9958,0,0,241.012,223.0014,0,0,297.0381,"6.61526818181818","6.91526818181818","665","","PI(14:1_22:1)-H","861.55002","699.49718","653.36725","541.24205","635.35669","523.23149","491.31441","379.18921","473.30385","361.17865","225.18605","337.31125","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.61526818181818","6.91526818181818","665"
"","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(14:1_22:2)-H","859.53432","697.48148","651.35155","541.24205","633.34099","523.23149","489.29871","379.18921","471.28815","361.17865","225.18605","335.29555","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.53224090909091","5.83224090909091","522"
