"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","RT at Max Intensity","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Number of Scans","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Max Intensity","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Average m/z","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PI","[M-H]-","M-H_NlInositol","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Inositol","NL_T2Ketene&Inositol","NL_T1RCOOH&Inositol","NL_T2RCOOH&Inositol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","InositolPhosphate","InositolPhosphate_NLH2O","InositolPhosphate_NL2H2O","Glycerophosphoinositol_NL_H2O","Glycerophosphoinositol_NL_2H2O","RT_min","RT_max","Comment"
"","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:1_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(14:1_22:2)-H","859.53432","697.48148","651.35155","541.24205","633.34099","523.23149","489.29871","379.18921","471.28815","361.17865","225.18605","335.29555","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.73525303030303","6.03525303030303","2805"
"","PI(14:1_22:3)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"5.25627272727273","5.55627272727273","216","","PI(14:1_22:3)-H",5.431933,0,0,0,0,0,0,0,0,0,0,0,5.431933,5.431933,0,5.431933,5.431933,0,0,5.431933,"5.25627272727273","5.55627272727273","216","","PI(14:1_22:3)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,"5.25627272727273","5.55627272727273","216","","PI(14:1_22:3)-H",149633.3,0,0,0,0,0,0,0,0,0,0,0,2854.088,539.9659,0,16912.36,2204.278,0,0,2236.26,"5.25627272727273","5.55627272727273","216","","PI(14:1_22:3)-H",857.5195,0,0,0,0,0,0,0,0,0,0,0,152.9958,96.9699,0,241.012,223.0013,0,0,297.0382,"5.25627272727273","5.55627272727273","216","","PI(14:1_22:3)-H","857.51872","695.46588","649.33595","541.24205","631.32539","523.23149","487.28311","379.18921","469.27255","361.17865","225.18605","333.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.25627272727273","5.55627272727273","216"
"","PI(15:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:0_17:1)-H","807.50302","645.45018","583.28895","557.27335","565.27839","539.26279","421.23611","395.22051","403.22555","377.20995","241.21735","267.23295","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.15742272727273","5.45742272727273","1094"
"","PI(15:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:0_18:1)-H","821.51872","659.46588","597.30465","557.27335","579.29409","539.26279","435.25181","395.22051","417.24125","377.20995","241.21735","281.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.44282272727273","5.74282272727273","3803"
"","PI(15:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:0_22:4)-H","871.53432","709.48148","647.32025","557.27335","629.30969","539.26279","485.26741","395.22051","467.25685","377.20995","241.21735","331.26425","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.86447272727273","6.16447272727273","1521"
"","PI(15:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(15:1_17:0)-H","807.50302","645.45018","585.30465","555.25765","567.29409","537.24709","423.25181","393.20481","405.24125","375.19425","239.20165","269.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.15742272727273","5.45742272727273","1094"
"","PI(15:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:1_18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(15:1_18:0)-H","821.51862","659.46578","599.32025","555.25765","581.30969","537.24709","437.26741","393.20481","419.25685","375.19425","239.20165","283.26425","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.44282272727273","5.74282272727273","3803"
"","PI(15:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(15:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(15:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(15:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(15:1_19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(15:1_19:0)-H","835.53432","673.48148","613.33595","555.25765","595.32539","537.24709","451.28311","393.20481","433.27255","375.19425","239.20165","297.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.35398333333333","6.65398333333333","1803"
"","PI(15:1_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:1_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:1_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:1_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:1_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.86447272727273","6.16447272727273","1521","","PI(15:1_22:3)-H","871.53432","709.48148","649.33595","555.25765","631.32539","537.24709","487.28311","393.20481","469.27255","375.19425","239.20165","333.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.86447272727273","6.16447272727273","1521"
"","PI(16:0_16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(16:0_16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(16:0_16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(16:0_16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(16:0_16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.15742272727273","5.45742272727273","1094","","PI(16:0_16:1)-H","807.50302","645.45018","569.27335","571.28895","551.26279","553.27839","407.22051","409.23611","389.20995","391.22555","255.23295","253.21735","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.15742272727273","5.45742272727273","1094"
"","PI(16:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:0_17:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:0_17:1)-H","821.51862","659.46578","583.28895","571.28895","565.27839","553.27839","421.23611","409.23611","403.22555","391.22555","255.23295","267.23295","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.44282272727273","5.74282272727273","3803"
"","PI(16:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(16:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(16:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(16:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(16:0_18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.35398333333333","6.65398333333333","1803","","PI(16:0_18:1)-H","835.53432","673.48148","597.30465","571.28895","579.29409","553.27839","435.25181","409.23611","417.24125","391.22555","255.23295","281.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.35398333333333","6.65398333333333","1803"
"","PI(16:0_18:2)-H",1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,"5.43252424242424","5.73252424242424","250","","PI(16:0_18:2)-H",5.607739,0,0,5.607739,5.607739,5.607739,0,0,5.607739,5.607739,5.607739,5.607739,5.607739,0,0,5.607739,5.607739,0,0,5.607739,"5.43252424242424","5.73252424242424","250","","PI(16:0_18:2)-H",1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,"5.43252424242424","5.73252424242424","250","","PI(16:0_18:2)-H",125384,0,0,621.8279,902.7043,5034.324,0,0,698.4009,7904.121,7646.297,8779.935,2438.442,0,0,10946.08,2278.812,0,0,652.9462,"5.43252424242424","5.73252424242424","250","","PI(16:0_18:2)-H",833.5197,0,0,571.2905,577.2805,553.2789,0,0,415.2255,391.226,255.233,279.233,152.9959,0,0,241.0122,223.0013,0,0,297.0382,"5.43252424242424","5.73252424242424","250","","PI(16:0_18:2)-H","833.51862","671.46578","595.28895","571.28895","577.27839","553.27839","433.23611","409.23611","415.22555","391.22555","255.23295","279.23295","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.43252424242424","5.73252424242424","250"
"","PI(16:0_20:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"6.61526818181818","6.91526818181818","665","","PI(16:0_20:2)-H",6.797093,0,0,0,0,0,0,0,0,0,0,0,6.797093,0,0,6.797093,6.797093,0,0,6.797093,"6.61526818181818","6.91526818181818","665","","PI(16:0_20:2)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"6.61526818181818","6.91526818181818","665","","PI(16:0_20:2)-H",112051.9,0,0,0,0,0,0,0,0,0,0,0,2477.512,0,0,13168.64,2643.757,0,0,1046.608,"6.61526818181818","6.91526818181818","665","","PI(16:0_20:2)-H",861.5511,0,0,0,0,0,0,0,0,0,0,0,152.9958,0,0,241.012,223.0014,0,0,297.0381,"6.61526818181818","6.91526818181818","665","","PI(16:0_20:2)-H","861.54992","699.49708","623.32025","571.28895","605.30969","553.27839","461.26741","409.23611","443.25685","391.22555","255.23295","307.26425","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.61526818181818","6.91526818181818","665"
"","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53224090909091","5.83224090909091","522","","PI(16:0_20:3)-H","859.53432","697.48148","621.30465","571.28895","603.29409","553.27839","459.25181","409.23611","441.24125","391.22555","255.23295","305.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.53224090909091","5.83224090909091","522"
"","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(16:0_20:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.73525303030303","6.03525303030303","2805","","PI(16:0_20:3)-H","859.53432","697.48148","621.30465","571.28895","603.29409","553.27839","459.25181","409.23611","441.24125","391.22555","255.23295","305.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.73525303030303","6.03525303030303","2805"
"","PI(16:0_20:4)-H",1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,"5.25627272727273","5.55627272727273","216","","PI(16:0_20:4)-H",5.431933,0,0,5.431933,5.431933,5.431933,0,5.431933,5.431933,5.431933,5.431933,5.431933,5.431933,5.431933,0,5.431933,5.431933,0,0,5.431933,"5.25627272727273","5.55627272727273","216","","PI(16:0_20:4)-H",1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,"5.25627272727273","5.55627272727273","216","","PI(16:0_20:4)-H",149633.3,0,0,2951.56,774.7993,7992.239,0,694.6968,706.7241,13191.48,13695.39,16717.47,2854.088,539.9659,0,16912.36,2204.278,0,0,2236.26,"5.25627272727273","5.55627272727273","216","","PI(16:0_20:4)-H",857.5195,0,0,571.2888,601.2786,553.2787,0,409.2365,439.2253,391.2259,255.233,303.233,152.9958,96.9699,0,241.012,223.0013,0,0,297.0382,"5.25627272727273","5.55627272727273","216","","PI(16:0_20:4)-H","857.51862","695.46578","619.28895","571.28895","601.27839","553.27839","457.23611","409.23611","439.22555","391.22555","255.23295","303.23295","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.25627272727273","5.55627272727273","216"
"","PI(16:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.89207272727273","7.19207272727273","3737","","PI(16:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.89207272727273","7.19207272727273","3737","","PI(16:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.89207272727273","7.19207272727273","3737","","PI(16:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.89207272727273","7.19207272727273","3737","","PI(16:0_22:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6.89207272727273","7.19207272727273","3737","","PI(16:0_22:3)-H","887.56562","725.51278","649.33595","571.28895","631.32539","553.27839","487.28311","409.23611","469.27255","391.22555","255.23295","333.27995","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.89207272727273","7.19207272727273","3737"
"","PI(16:0_22:4)-H",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,"6.44896060606061","6.74896060606061","234","","PI(16:0_22:4)-H",6.553426,0,0,0,0,0,0,0,0,0,0,0,6.553426,0,0,6.553426,6.553426,0,6.553426,6.553426,"6.44896060606061","6.74896060606061","234","","PI(16:0_22:4)-H",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,2,"6.44896060606061","6.74896060606061","234","","PI(16:0_22:4)-H",409803.7,0,0,0,0,0,0,0,0,0,0,0,13134.42,0,0,55001.75,10946.95,0,1112.919,7684.779,"6.44896060606061","6.74896060606061","234","","PI(16:0_22:4)-H",885.55065,0,0,0,0,0,0,0,0,0,0,0,152.9959,0,0,241.01205,223.00125,0,315.0491,297.0381,"6.44896060606061","6.74896060606061","234","","PI(16:0_22:4)-H","885.54992","723.49708","647.32025","571.28895","629.30969","553.27839","485.26741","409.23611","467.25685","391.22555","255.23295","331.26425","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","6.44896060606061","6.74896060606061","234"
"","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53283181818182","5.83283181818182","519","","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53283181818182","5.83283181818182","519","","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53283181818182","5.83283181818182","519","","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53283181818182","5.83283181818182","519","","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.53283181818182","5.83283181818182","519","","PI(16:0_22:5)-H","883.53432","721.48148","645.30465","571.28895","627.29409","553.27839","483.25181","409.23611","465.24125","391.22555","255.23295","329.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.53283181818182","5.83283181818182","519"
"","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.33809393939394","5.63809393939394","539","","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.33809393939394","5.63809393939394","539","","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.33809393939394","5.63809393939394","539","","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.33809393939394","5.63809393939394","539","","PI(16:0_22:5)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.33809393939394","5.63809393939394","539","","PI(16:0_22:5)-H","883.53432","721.48148","645.30465","571.28895","627.29409","553.27839","483.25181","409.23611","465.24125","391.22555","255.23295","329.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.33809393939394","5.63809393939394","539"
"","PI(16:0_22:6)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.92873484848485","5.22873484848485","1529","","PI(16:0_22:6)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.92873484848485","5.22873484848485","1529","","PI(16:0_22:6)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.92873484848485","5.22873484848485","1529","","PI(16:0_22:6)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.92873484848485","5.22873484848485","1529","","PI(16:0_22:6)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.92873484848485","5.22873484848485","1529","","PI(16:0_22:6)-H","881.51862","719.46578","643.28895","571.28895","625.27839","553.27839","481.23611","409.23611","463.22555","391.22555","255.23295","327.23295","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","4.92873484848485","5.22873484848485","1529"
"","PI(16:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:1_17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44282272727273","5.74282272727273","3803","","PI(16:1_17:0)-H","821.51872","659.46588","585.30465","569.27335","567.29409","551.26279","423.25181","407.22051","405.24125","389.20995","253.21735","269.24865","152.99586","96.96964","78.95852","241.01132","223.00074","204.99016","315.04819","297.03761","5.44282272727273","5.74282272727273","3803"
