"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","Plasmenyl-PC(P-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.69895909090909","5.99895909090909","1030","","Plasmenyl-PC(P-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.69895909090909","5.99895909090909","1030","","Plasmenyl-PC(P-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.69895909090909","5.99895909090909","1030","","Plasmenyl-PC(P-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.69895909090909","5.99895909090909","1030","","Plasmenyl-PC(P-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.69895909090909","5.99895909090909","1030","","Plasmenyl-PC(P-16:0/20:5)+HCO2","808.54986","748.52872","677.45522","464.31465","446.30409","375.2306","224.06881","301.21735","168.04314","152.99586","96.96964","78.95852","5.69895909090909","5.99895909090909","1030"
"","Plasmenyl-PC(P-16:0/22:3)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmenyl-PC(P-16:0/22:3)+HCO2",8.013856,8.013856,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmenyl-PC(P-16:0/22:3)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmenyl-PC(P-16:0/22:3)+HCO2",3855.119,123818.6,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmenyl-PC(P-16:0/22:3)+HCO2",840.6129,780.5924,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmenyl-PC(P-16:0/22:3)+HCO2","840.61246","780.59132","709.51782","464.31465","446.30409","375.2306","224.06881","333.27995","168.04314","152.99586","96.96964","78.95852","7.87178181818182","8.17178181818182","682"
"","Plasmenyl-PC(P-16:0/22:4)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmenyl-PC(P-16:0/22:4)+HCO2",6.921464,6.921464,0,0,0,0,0,0,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmenyl-PC(P-16:0/22:4)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmenyl-PC(P-16:0/22:4)+HCO2",8363.788,186200.8,0,0,0,0,0,0,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmenyl-PC(P-16:0/22:4)+HCO2",838.5977,778.5763,0,0,0,0,0,0,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmenyl-PC(P-16:0/22:4)+HCO2","838.59676","778.57562","707.50212","464.31465","446.30409","375.2306","224.06881","331.26425","168.04314","152.99586","96.96964","78.95852","6.77478333333333","7.07478333333333","484"
"","Plasmenyl-PC(P-16:0/22:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmenyl-PC(P-16:0/22:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmenyl-PC(P-16:0/22:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmenyl-PC(P-16:0/22:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmenyl-PC(P-16:0/22:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmenyl-PC(P-16:0/22:4)+HCO2","838.59676","778.57562","707.50212","464.31465","446.30409","375.2306","224.06881","331.26425","168.04314","152.99586","96.96964","78.95852","7.6732606060606","7.9732606060606","1701"
"","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmenyl-PC(P-16:0/22:5)+HCO2","836.58116","776.56002","705.48652","464.31465","446.30409","375.2306","224.06881","329.24865","168.04314","152.99586","96.96964","78.95852","5.9642803030303","6.2642803030303","1218"
"","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmenyl-PC(P-16:0/22:5)+HCO2","836.58116","776.56002","705.48652","464.31465","446.30409","375.2306","224.06881","329.24865","168.04314","152.99586","96.96964","78.95852","6.60623484848485","6.90623484848485","2508"
"","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmenyl-PC(P-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmenyl-PC(P-16:0/22:5)+HCO2","836.58116","776.56002","705.48652","464.31465","446.30409","375.2306","224.06881","329.24865","168.04314","152.99586","96.96964","78.95852","5.81634090909091","6.11634090909091","2993"
"","Plasmenyl-PC(P-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.16300303030303","6.46300303030303","4103","","Plasmenyl-PC(P-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.16300303030303","6.46300303030303","4103","","Plasmenyl-PC(P-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.16300303030303","6.46300303030303","4103","","Plasmenyl-PC(P-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.16300303030303","6.46300303030303","4103","","Plasmenyl-PC(P-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.16300303030303","6.46300303030303","4103","","Plasmenyl-PC(P-16:0/22:6)+HCO2","834.56546","774.54432","703.47082","464.31465","446.30409","375.2306","224.06881","327.23295","168.04314","152.99586","96.96964","78.95852","6.16300303030303","6.46300303030303","4103"
"","Plasmenyl-PC(P-16:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"10.0408272727273","10.3408272727273","1928","","Plasmenyl-PC(P-16:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"10.0408272727273","10.3408272727273","1928","","Plasmenyl-PC(P-16:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"10.0408272727273","10.3408272727273","1928","","Plasmenyl-PC(P-16:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"10.0408272727273","10.3408272727273","1928","","Plasmenyl-PC(P-16:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"10.0408272727273","10.3408272727273","1928","","Plasmenyl-PC(P-16:0/24:1)+HCO2","872.67506","812.65392","741.58042","464.31465","446.30409","375.2306","224.06881","365.34255","168.04314","152.99586","96.96964","78.95852","10.0408272727273","10.3408272727273","1928"
"","Plasmenyl-PC(P-16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.64452121212121","7.94452121212121","1776","","Plasmenyl-PC(P-16:1/18:0)+HCO2","788.58116","728.56002","657.48652","462.29905","444.28849","373.215","224.06881","283.26425","168.04314","152.99586","96.96964","78.95852","7.64452121212121","7.94452121212121","1776"
