"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Average m/z","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment"
"","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d20:1/36:0)-H","860.84405","842.83345","368.31755","338.30705","291.26985","265.25425","12.3155621212121","12.6155621212121","2935"
"","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d20:1/36:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d20:1/36:0)-H","860.84405","842.83345","368.31755","338.30705","291.26985","265.25425","1.36585606060606","1.66585606060606","3635"
"","Cer_BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d21:1/22:0)-H","678.64055","660.63005","382.33325","352.32265","305.28555","279.26985","10.9600636363636","11.2600636363636","1038"
"","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d21:1/35:0)-H","860.84405","842.83345","382.33325","352.32265","305.28555","279.26985","1.77463484848485","2.07463484848485","869"
"","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d21:1/35:0)-H","860.84405","842.83345","382.33325","352.32265","305.28555","279.26985","2.60543181818182","2.90543181818182","1267"
"","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d21:1/35:0)-H","860.84405","842.83345","382.33325","352.32265","305.28555","279.26985","11.1358515151515","11.4358515151515","1413"
"","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d21:1/35:0)-H","860.84405","842.83345","382.33325","352.32265","305.28555","279.26985","14.9866727272727","15.2866727272727","2812"
"","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d21:1/35:0)-H","860.84405","842.83345","382.33325","352.32265","305.28555","279.26985","12.5019181818182","12.8019181818182","2827"
"","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d21:1/35:0)-H","860.84405","842.83345","382.33325","352.32265","305.28555","279.26985","12.3155621212121","12.6155621212121","2935"
"","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d21:1/35:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d21:1/35:0)-H","860.84405","842.83345","382.33325","352.32265","305.28555","279.26985","1.36585606060606","1.66585606060606","3635"
"","Cer_BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BS(d22:1/21:0)-H","678.64055","660.63005","396.34885","366.33835","319.30115","293.28555","10.9600636363636","11.2600636363636","1038"
"","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BS(d22:1/34:0)-H","860.84405","842.83345","396.34885","366.33835","319.30115","293.28555","1.77463484848485","2.07463484848485","869"
"","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BS(d22:1/34:0)-H","860.84405","842.83345","396.34885","366.33835","319.30115","293.28555","2.60543181818182","2.90543181818182","1267"
"","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BS(d22:1/34:0)-H","860.84405","842.83345","396.34885","366.33835","319.30115","293.28555","11.1358515151515","11.4358515151515","1413"
"","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BS(d22:1/34:0)-H","860.84405","842.83345","396.34885","366.33835","319.30115","293.28555","14.9866727272727","15.2866727272727","2812"
"","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BS(d22:1/34:0)-H","860.84405","842.83345","396.34885","366.33835","319.30115","293.28555","12.5019181818182","12.8019181818182","2827"
"","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BS(d22:1/34:0)-H","860.84405","842.83345","396.34885","366.33835","319.30115","293.28555","12.3155621212121","12.6155621212121","2935"
"","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d22:1/34:0)-H",0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BS(d22:1/34:0)-H","860.84405","842.83345","396.34885","366.33835","319.30115","293.28555","1.36585606060606","1.66585606060606","3635"
