"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","OxPE(8:0_16:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.41939696969697","0.71939696969697","1954","","OxPE(8:0_16:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.41939696969697","0.71939696969697","1954","","OxPE(8:0_16:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.41939696969697","0.71939696969697","1954","","OxPE(8:0_16:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.41939696969697","0.71939696969697","1954","","OxPE(8:0_16:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.41939696969697","0.71939696969697","1954","","OxPE(8:0_16:3(CHO))-H","586.31508","460.21059","340.15307","442.20003","322.14251","143.10777","263.16529","152.99586","96.96964","78.95852","140.01128","122.0007","0.41939696969697","0.71939696969697","1954"
"","OxPE(8:0_18:4(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.50565","0.80565","241","","OxPE(8:0_18:4(CHO))-H",0.68343,0,0,0,0,0,0,0,0,0,0,0,"0.50565","0.80565","241","","OxPE(8:0_18:4(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.50565","0.80565","241","","OxPE(8:0_18:4(CHO))-H",2429.703,0,0,0,0,0,0,0,0,0,0,0,"0.50565","0.80565","241","","OxPE(8:0_18:4(CHO))-H",612.3316,0,0,0,0,0,0,0,0,0,0,0,"0.50565","0.80565","241","","OxPE(8:0_18:4(CHO))-H","612.33073","486.22624","340.15307","468.21568","322.14251","143.10777","289.18094","152.99586","96.96964","78.95852","140.01128","122.0007","0.50565","0.80565","241"
"","OxPE(8:0_15:1(COOH))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","OxPE(8:0_15:1(COOH))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","OxPE(8:0_15:1(COOH))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","OxPE(8:0_15:1(COOH))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","OxPE(8:0_15:1(COOH))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.590781666666667","0.890781666666667","3933","","OxPE(8:0_15:1(COOH))-H","592.32565","466.22116","340.15307","448.2106","322.14251","143.10777","269.17586","152.99586","96.96964","78.95852","140.01128","122.0007","0.590781666666667","0.890781666666667","3933"
"","OxPE(10:0_10:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(10:0_10:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(10:0_10:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(10:0_10:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(10:0_10:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxPE(10:0_10:0(CHO))-H","536.29942","382.16363","368.18437","364.15307","350.17381","171.13907","185.11833","152.99586","96.96964","78.95852","140.01128","122.0007","0.817175757575758","1.11717575757576","898"
"","OxPE(10:0_12:0(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(10:0_12:0(CHO))-H",0.778071,0,0,0,0,0,0,0.778071,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(10:0_12:0(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(10:0_12:0(CHO))-H",64452.28,0,0,0,0,0,0,5329.42,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(10:0_12:0(CHO))-H",564.3311,0,0,0,0,0,0,152.996,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxPE(10:0_12:0(CHO))-H","564.33072","410.19493","368.18437","392.18437","350.17381","171.13907","213.14963","152.99586","96.96964","78.95852","140.01128","122.0007","0.590513636363636","0.890513636363636","28"
"","OxPE(10:0_12:0(CHO))-H",1,0,0,0,0,0,0,1,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(10:0_12:0(CHO))-H",0.778071,0,0,0,0,0,0,0.778071,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(10:0_12:0(CHO))-H",2,0,0,0,0,0,0,2,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(10:0_12:0(CHO))-H",64452.28,0,0,0,0,0,0,5329.42,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(10:0_12:0(CHO))-H",564.3311,0,0,0,0,0,0,152.9957,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxPE(10:0_12:0(CHO))-H","564.33072","410.19493","368.18437","392.18437","350.17381","171.13907","213.14963","152.99586","96.96964","78.95852","140.01128","122.0007","0.765088888888889","1.06508888888889","276"
"","OxPE(10:0_14:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxPE(10:0_14:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxPE(10:0_14:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxPE(10:0_14:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxPE(10:0_14:0(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxPE(10:0_14:0(CHO))-H","592.36202","438.22623","368.18437","420.21567","350.17381","171.13907","241.18093","152.99586","96.96964","78.95852","140.01128","122.0007","0.92862878787879","1.22862878787879","483"
"","OxPE(10:0_10:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(10:0_10:1(CHO))-H",0.7473137,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(10:0_10:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(10:0_10:1(CHO))-H",27888.15,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(10:0_10:1(CHO))-H",534.2839,0,0,0,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxPE(10:0_10:1(CHO))-H","534.28378","380.14799","368.18437","362.13743","350.17381","171.13907","183.10269","152.99586","96.96964","78.95852","140.01128","122.0007","0.570583333333333","0.870583333333333","575"
"","OxPE(10:0_12:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(10:0_12:1(CHO))-H",0.6191943,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(10:0_12:1(CHO))-H",1,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(10:0_12:1(CHO))-H",1367.118,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(10:0_12:1(CHO))-H",562.3171,0,0,0,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxPE(10:0_12:1(CHO))-H","562.31508","408.17929","368.18437","390.16873","350.17381","171.13907","211.13399","152.99586","96.96964","78.95852","140.01128","122.0007","0.452106060606061","0.752106060606061","352"
"","OxPE(10:0_12:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(10:0_12:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(10:0_12:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(10:0_12:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(10:0_12:3(CHO))-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxPE(10:0_12:3(CHO))-H","558.28378","404.14799","368.18437","386.13743","350.17381","171.13907","207.10269","152.99586","96.96964","78.95852","140.01128","122.0007","0.533388333333333","0.833388333333333","2084"
