"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_ADS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_ADS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_ADS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_ADS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_ADS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_ADS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer_ADS(d17:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d17:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d17:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d17:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d17:0/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d17:0/25:1)+HCO2","710.63045","664.62495","646.61435","632.59865","616.60385","286.27565","420.38475","268.26515","402.37415","254.24945","377.34305","225.22295","349.34815","10.7806166666667","11.0806166666667","1422"
"","Cer_ADS(d17:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_ADS(d17:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_ADS(d17:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_ADS(d17:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_ADS(d17:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_ADS(d17:0/26:3)+HCO2","720.61475","674.60935","656.59865","642.58305","626.58815","286.27565","430.36905","268.26515","412.35845","254.24945","387.32745","225.22295","359.33245","10.9162772727273","11.2162772727273","972"
"","Cer_ADS(d17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_ADS(d17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_ADS(d17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_ADS(d17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_ADS(d17:0/26:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_ADS(d17:0/26:4)+HCO2","718.59915","672.59365","654.58305","640.56745","624.57255","286.27565","428.35345","268.26515","410.34285","254.24945","385.31175","225.22295","357.31685","10.0734984848485","10.3734984848485","908"
"","Cer_ADS(d17:0/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_ADS(d17:0/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_ADS(d17:0/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_ADS(d17:0/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_ADS(d17:0/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_ADS(d17:0/27:3)+HCO2","734.63045","688.62495","670.61435","656.59865","640.60385","286.27565","444.38475","268.26515","426.37415","254.24945","401.34305","225.22295","373.34815","11.3263590909091","11.6263590909091","1402"
"","Cer_ADS(d17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_ADS(d17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_ADS(d17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_ADS(d17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_ADS(d17:0/27:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_ADS(d17:0/27:4)+HCO2","732.61475","686.60935","668.59865","654.58305","638.58815","286.27565","442.36905","268.26515","424.35845","254.24945","399.32745","225.22295","371.33245","10.5313909090909","10.8313909090909","1290"
"","Cer_ADS(d17:0/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_ADS(d17:0/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_ADS(d17:0/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_ADS(d17:0/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_ADS(d17:0/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_ADS(d17:0/28:3)+HCO2","748.64605","702.64055","684.63005","670.61435","654.61945","286.27565","458.40035","268.26515","440.38985","254.24945","415.35875","225.22295","387.36385","11.7283893939394","12.0283893939394","790"
"","Cer_ADS(d17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_ADS(d17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_ADS(d17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_ADS(d17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_ADS(d17:0/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_ADS(d17:0/28:4)+HCO2","746.63045","700.62495","682.61435","668.59865","652.60385","286.27565","456.38475","268.26515","438.37415","254.24945","413.34305","225.22295","385.34815","10.9594772727273","11.2594772727273","525"
"","Cer_ADS(d17:0/35:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_ADS(d17:0/35:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_ADS(d17:0/35:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_ADS(d17:0/35:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_ADS(d17:0/35:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_ADS(d17:0/35:4)+HCO2","844.73995","798.73445","780.72395","766.70825","750.71335","286.27565","554.49425","268.26515","536.48375","254.24945","511.45265","225.22295","483.45775","12.0117515151515","12.3117515151515","1639"
"","Cer_ADS(d18:0/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_ADS(d18:0/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_ADS(d18:0/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_ADS(d18:0/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_ADS(d18:0/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer_ADS(d18:0/24:0)+HCO2","712.64605","666.64055","648.63005","634.61435","618.61945","300.29135","408.38475","282.28075","390.37415","268.26515","365.34305","239.23855","337.34815","10.6707424242424","10.9707424242424","1131"
"","Cer_ADS(d18:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d18:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d18:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d18:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d18:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_ADS(d18:0/24:1)+HCO2","710.63045","664.62495","646.61435","632.59865","616.60385","300.29135","406.36905","282.28075","388.35845","268.26515","363.32745","239.23855","335.33245","10.7806166666667","11.0806166666667","1422"
