"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d20:1/36:0)-H","860.84405","842.83345","828.81785","812.82285","324.29135","308.29645","551.54145","550.55745","296.29645","533.53085","267.26985","265.25425","505.53595","12.3155621212121","12.6155621212121","2935"
"","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d20:1/36:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d20:1/36:0)-H","860.84405","842.83345","828.81785","812.82285","324.29135","308.29645","551.54145","550.55745","296.29645","533.53085","267.26985","265.25425","505.53595","1.36585606060606","1.66585606060606","3635"
"","Cer_AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_AS(d21:1/22:0)-H","678.64055","660.63005","646.61435","630.61945","338.30705","322.31215","355.32235","354.33835","310.31215","337.31175","281.28555","279.26985","309.31685","10.9600636363636","11.2600636363636","1038"
"","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_AS(d21:1/35:0)-H","860.84405","842.83345","828.81785","812.82285","338.30705","322.31215","537.52575","536.54175","310.31215","519.51515","281.28555","279.26985","491.52025","1.77463484848485","2.07463484848485","869"
"","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_AS(d21:1/35:0)-H","860.84405","842.83345","828.81785","812.82285","338.30705","322.31215","537.52575","536.54175","310.31215","519.51515","281.28555","279.26985","491.52025","2.60543181818182","2.90543181818182","1267"
"","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_AS(d21:1/35:0)-H","860.84405","842.83345","828.81785","812.82285","338.30705","322.31215","537.52575","536.54175","310.31215","519.51515","281.28555","279.26985","491.52025","11.1358515151515","11.4358515151515","1413"
"","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_AS(d21:1/35:0)-H","860.84405","842.83345","828.81785","812.82285","338.30705","322.31215","537.52575","536.54175","310.31215","519.51515","281.28555","279.26985","491.52025","14.9866727272727","15.2866727272727","2812"
"","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_AS(d21:1/35:0)-H","860.84405","842.83345","828.81785","812.82285","338.30705","322.31215","537.52575","536.54175","310.31215","519.51515","281.28555","279.26985","491.52025","12.5019181818182","12.8019181818182","2827"
"","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_AS(d21:1/35:0)-H","860.84405","842.83345","828.81785","812.82285","338.30705","322.31215","537.52575","536.54175","310.31215","519.51515","281.28555","279.26985","491.52025","12.3155621212121","12.6155621212121","2935"
"","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d21:1/35:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_AS(d21:1/35:0)-H","860.84405","842.83345","828.81785","812.82285","338.30705","322.31215","537.52575","536.54175","310.31215","519.51515","281.28555","279.26985","491.52025","1.36585606060606","1.66585606060606","3635"
