"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Number of Scans","Cer_NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Max Intensity","Cer_NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Average m/z","Cer_NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment"
"","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t20:0/36:1)-H","860.84405","842.83345","824.82285","588.57195","576.57195","576.57195","558.56145","295.26375","533.53085","283.26375","532.54625","253.25315","1.77463484848485","2.07463484848485","869"
"","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t20:0/36:1)-H","860.84405","842.83345","824.82285","588.57195","576.57195","576.57195","558.56145","295.26375","533.53085","283.26375","532.54625","253.25315","2.60543181818182","2.90543181818182","1267"
"","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t20:0/36:1)-H","860.84405","842.83345","824.82285","588.57195","576.57195","576.57195","558.56145","295.26375","533.53085","283.26375","532.54625","253.25315","11.1358515151515","11.4358515151515","1413"
"","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t20:0/36:1)-H","860.84405","842.83345","824.82285","588.57195","576.57195","576.57195","558.56145","295.26375","533.53085","283.26375","532.54625","253.25315","14.9866727272727","15.2866727272727","2812"
"","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t20:0/36:1)-H","860.84405","842.83345","824.82285","588.57195","576.57195","576.57195","558.56145","295.26375","533.53085","283.26375","532.54625","253.25315","12.5019181818182","12.8019181818182","2827"
"","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t20:0/36:1)-H","860.84405","842.83345","824.82285","588.57195","576.57195","576.57195","558.56145","295.26375","533.53085","283.26375","532.54625","253.25315","12.3155621212121","12.6155621212121","2935"
"","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t20:0/36:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t20:0/36:1)-H","860.84405","842.83345","824.82285","588.57195","576.57195","576.57195","558.56145","295.26375","533.53085","283.26375","532.54625","253.25315","1.36585606060606","1.66585606060606","3635"
"","Cer_NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t21:0/22:0)-H","680.65625","662.64565","644.63505","394.36855","382.36855","382.36855","364.35795","309.27935","339.32745","297.27935","338.34285","267.26875","11.7277909090909","12.0277909090909","1062"
"","Cer_NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_NP(t21:0/22:1)-H","678.64055","660.63005","642.61945","392.35285","380.35285","380.35285","362.34225","309.27935","337.31175","297.27935","336.32715","267.26875","10.9600636363636","11.2600636363636","1038"
"","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_NP(t21:0/35:1)-H","860.84405","842.83345","824.82285","574.55635","562.55635","562.55635","544.54575","309.27935","519.51515","297.27935","518.53065","267.26875","1.77463484848485","2.07463484848485","869"
"","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_NP(t21:0/35:1)-H","860.84405","842.83345","824.82285","574.55635","562.55635","562.55635","544.54575","309.27935","519.51515","297.27935","518.53065","267.26875","2.60543181818182","2.90543181818182","1267"
"","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_NP(t21:0/35:1)-H","860.84405","842.83345","824.82285","574.55635","562.55635","562.55635","544.54575","309.27935","519.51515","297.27935","518.53065","267.26875","11.1358515151515","11.4358515151515","1413"
"","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_NP(t21:0/35:1)-H","860.84405","842.83345","824.82285","574.55635","562.55635","562.55635","544.54575","309.27935","519.51515","297.27935","518.53065","267.26875","14.9866727272727","15.2866727272727","2812"
"","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_NP(t21:0/35:1)-H","860.84405","842.83345","824.82285","574.55635","562.55635","562.55635","544.54575","309.27935","519.51515","297.27935","518.53065","267.26875","12.5019181818182","12.8019181818182","2827"
"","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_NP(t21:0/35:1)-H","860.84405","842.83345","824.82285","574.55635","562.55635","562.55635","544.54575","309.27935","519.51515","297.27935","518.53065","267.26875","12.3155621212121","12.6155621212121","2935"
"","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t21:0/35:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_NP(t21:0/35:1)-H","860.84405","842.83345","824.82285","574.55635","562.55635","562.55635","544.54575","309.27935","519.51515","297.27935","518.53065","267.26875","1.36585606060606","1.66585606060606","3635"
"","Cer_NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_NP(t22:0/21:0)-H","680.65625","662.64565","644.63505","380.35285","368.35285","368.35285","350.34225","323.29505","325.31175","311.29505","324.32715","281.28445","11.7277909090909","12.0277909090909","1062"
