"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Average m/z","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_AP","[M+FA-H]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment"
"","Cer_AP(t17:0/18:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t17:0/18:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t17:0/18:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t17:0/18:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t17:0/18:4)+HCO2",0,0,0,0,0,0,"5.76597878787879","6.06597878787879","703","","Cer_AP(t17:0/18:4)+HCO2","622.46885","576.46335","346.23825","291.19715","245.19165","211.20615","5.76597878787879","6.06597878787879","703"
"","Cer_AP(t17:0/24:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t17:0/24:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t17:0/24:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t17:0/24:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t17:0/24:3)+HCO2",0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer_AP(t17:0/24:3)+HCO2","708.57835","662.57285","432.34775","377.30665","331.30115","211.20615","9.63075303030303","9.93075303030303","2513"
"","Cer_AP(t17:0/24:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t17:0/24:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t17:0/24:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t17:0/24:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t17:0/24:4)+HCO2",0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer_AP(t17:0/24:4)+HCO2","706.56275","660.55725","430.33215","375.29105","329.28555","211.20615","9.27028333333333","9.57028333333333","359"
"","Cer_AP(t17:0/25:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t17:0/25:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t17:0/25:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t17:0/25:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t17:0/25:4)+HCO2",0,0,0,0,0,0,"9.7723","10.0723","607","","Cer_AP(t17:0/25:4)+HCO2","720.57835","674.57285","444.34775","389.30665","343.30115","211.20615","9.7723","10.0723","607"
"","Cer_AP(t17:0/26:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t17:0/26:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t17:0/26:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t17:0/26:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t17:0/26:3)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer_AP(t17:0/26:3)+HCO2","736.60965","690.60415","460.37905","405.33795","359.33245","211.20615","10.5703878787879","10.8703878787879","306"
"","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer_AP(t17:0/26:4)+HCO2","734.59405","688.58855","458.36345","403.32235","357.31685","211.20615","10.2551090909091","10.5551090909091","171"
"","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t17:0/26:4)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer_AP(t17:0/26:4)+HCO2","734.59405","688.58855","458.36345","403.32235","357.31685","211.20615","10.0804848484848","10.3804848484848","4126"
"","Cer_AP(t17:0/27:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t17:0/27:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t17:0/27:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t17:0/27:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t17:0/27:3)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer_AP(t17:0/27:3)+HCO2","750.62535","704.61985","474.39475","419.35365","373.34815","211.20615","11.0025560606061","11.3025560606061","394"
"","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer_AP(t17:0/27:4)+HCO2","748.60965","702.60415","472.37905","417.33795","371.33245","211.20615","10.6981590909091","10.9981590909091","136"
"","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t17:0/27:4)+HCO2",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer_AP(t17:0/27:4)+HCO2","748.60965","702.60415","472.37905","417.33795","371.33245","211.20615","10.5236848484849","10.8236848484849","675"
"","Cer_AP(t17:0/28:3)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer_AP(t17:0/28:3)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer_AP(t17:0/28:3)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer_AP(t17:0/28:3)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer_AP(t17:0/28:3)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer_AP(t17:0/28:3)+HCO2","764.64095","718.63545","488.41045","433.36925","387.36385","211.20615","11.4196181818182","11.7196181818182","210"
"","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer_AP(t17:0/28:4)+HCO2","762.62535","716.61985","486.39475","431.35365","385.34815","211.20615","11.1295590909091","11.4295590909091","66"
"","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer_AP(t17:0/28:4)+HCO2","762.62535","716.61985","486.39475","431.35365","385.34815","211.20615","10.5101439393939","10.8101439393939","492"
"","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer_AP(t17:0/28:4)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer_AP(t17:0/28:4)+HCO2","762.62535","716.61985","486.39475","431.35365","385.34815","211.20615","10.9706818181818","11.2706818181818","1958"
"","Cer_AP(t17:0/29:3)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer_AP(t17:0/29:3)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer_AP(t17:0/29:3)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer_AP(t17:0/29:3)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer_AP(t17:0/29:3)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer_AP(t17:0/29:3)+HCO2","778.65665","732.65115","502.42605","447.38495","401.37945","211.20615","11.6581515151515","11.9581515151515","2922"
