"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T2Ketene&CH3&HCO3","NL_T2RCOOH&CH3&HCO3","NL_T2RCOOH_Choline_HCO3*","GlyceroPC_NLCH3&H2O","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","Plasmanyl-PC(O-16:0/20:5)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:0/20:5)+HCO2",6.670787,6.670787,0,0,0,0,0,0,6.670787,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:0/20:5)+HCO2",1,1,0,0,0,0,0,0,1,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:0/20:5)+HCO2",5949.467,140839.8,0,0,0,0,0,0,697.3569,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:0/20:5)+HCO2",810.5662,750.5456,0,0,0,0,0,0,168.0434,0,0,0,"6.5105303030303","6.8105303030303","548","","Plasmanyl-PC(O-16:0/20:5)+HCO2","810.56552","750.54438","679.47088","466.33031","448.31975","377.24626","224.06881","301.21735","168.04314","152.99586","96.96964","78.95852","6.5105303030303","6.8105303030303","548"
"","Plasmanyl-PC(O-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmanyl-PC(O-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmanyl-PC(O-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmanyl-PC(O-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmanyl-PC(O-16:0/20:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.91286515151515","6.21286515151515","854","","Plasmanyl-PC(O-16:0/20:5)+HCO2","810.56552","750.54438","679.47088","466.33031","448.31975","377.24626","224.06881","301.21735","168.04314","152.99586","96.96964","78.95852","5.91286515151515","6.21286515151515","854"
"","Plasmanyl-PC(O-16:0/22:4)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-16:0/22:4)+HCO2",8.013856,8.013856,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-16:0/22:4)+HCO2",1,1,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-16:0/22:4)+HCO2",3855.119,123818.6,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-16:0/22:4)+HCO2",840.6129,780.5924,0,0,0,0,0,0,0,0,0,0,"7.87178181818182","8.17178181818182","682","","Plasmanyl-PC(O-16:0/22:4)+HCO2","840.61242","780.59128","709.51778","466.33031","448.31975","377.24626","224.06881","331.26425","168.04314","152.99586","96.96964","78.95852","7.87178181818182","8.17178181818182","682"
"","Plasmanyl-PC(O-16:0/22:5)+HCO2",1,1,0,1,0,0,0,1,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2",6.921464,6.921464,0,6.921464,0,0,0,6.921464,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2",1,1,0,1,0,0,0,1,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2",8363.788,186200.8,0,2156,0,0,0,12536.76,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2",838.5977,778.5763,0,466.3305,0,0,0,329.2485,0,0,0,0,"6.77478333333333","7.07478333333333","484","","Plasmanyl-PC(O-16:0/22:5)+HCO2","838.59682","778.57568","707.50218","466.33031","448.31975","377.24626","224.06881","329.24865","168.04314","152.99586","96.96964","78.95852","6.77478333333333","7.07478333333333","484"
"","Plasmanyl-PC(O-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmanyl-PC(O-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmanyl-PC(O-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmanyl-PC(O-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmanyl-PC(O-16:0/22:5)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.6732606060606","7.9732606060606","1701","","Plasmanyl-PC(O-16:0/22:5)+HCO2","838.59682","778.57568","707.50218","466.33031","448.31975","377.24626","224.06881","329.24865","168.04314","152.99586","96.96964","78.95852","7.6732606060606","7.9732606060606","1701"
"","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.9642803030303","6.2642803030303","1218","","Plasmanyl-PC(O-16:0/22:6)+HCO2","836.58112","776.55998","705.48648","466.33031","448.31975","377.24626","224.06881","327.23295","168.04314","152.99586","96.96964","78.95852","5.9642803030303","6.2642803030303","1218"
"","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"6.60623484848485","6.90623484848485","2508","","Plasmanyl-PC(O-16:0/22:6)+HCO2","836.58112","776.55998","705.48648","466.33031","448.31975","377.24626","224.06881","327.23295","168.04314","152.99586","96.96964","78.95852","6.60623484848485","6.90623484848485","2508"
"","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmanyl-PC(O-16:0/22:6)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"5.81634090909091","6.11634090909091","2993","","Plasmanyl-PC(O-16:0/22:6)+HCO2","836.58112","776.55998","705.48648","466.33031","448.31975","377.24626","224.06881","327.23295","168.04314","152.99586","96.96964","78.95852","5.81634090909091","6.11634090909091","2993"
"","Plasmanyl-PC(O-16:0/8:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"3.89474090909091","4.19474090909091","2613","","Plasmanyl-PC(O-16:0/8:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"3.89474090909091","4.19474090909091","2613","","Plasmanyl-PC(O-16:0/8:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"3.89474090909091","4.19474090909091","2613","","Plasmanyl-PC(O-16:0/8:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"3.89474090909091","4.19474090909091","2613","","Plasmanyl-PC(O-16:0/8:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"3.89474090909091","4.19474090909091","2613","","Plasmanyl-PC(O-16:0/8:0)+HCO2","652.45592","592.43478","521.36128","466.33031","448.31975","377.24626","224.06881","143.10775","168.04314","152.99586","96.96964","78.95852","3.89474090909091","4.19474090909091","2613"
"","Plasmanyl-PC(O-16:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","Plasmanyl-PC(O-16:1/16:0)+HCO2","762.56552","702.54438","631.47088","464.31471","446.30415","375.23066","224.06881","255.23295","168.04314","152.99586","96.96964","78.95852","7.58775757575758","7.88775757575758","2502"
