"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer","[M+HCO2]-","NL_H2CO2","M-H-H2CO","NL_H2O&SN1","NL_H2O&SN2amide","SN2amide","RT_min","RT_max","Comment","RT at Max Intensity","Cer","[M+HCO2]-","NL_H2CO2","M-H-H2CO","NL_H2O&SN1","NL_H2O&SN2amide","SN2amide","RT_min","RT_max","Comment","Number of Scans","Cer","[M+HCO2]-","NL_H2CO2","M-H-H2CO","NL_H2O&SN1","NL_H2O&SN2amide","SN2amide","RT_min","RT_max","Comment","Max Intensity","Cer","[M+HCO2]-","NL_H2CO2","M-H-H2CO","NL_H2O&SN1","NL_H2O&SN2amide","SN2amide","RT_min","RT_max","Comment","Average m/z","Cer","[M+HCO2]-","NL_H2CO2","M-H-H2CO","NL_H2O&SN1","NL_H2O&SN2amide","SN2amide","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer","[M+HCO2]-","NL_H2CO2","M-H-H2CO","NL_H2O&SN1","NL_H2O&SN2amide","SN2amide","RT_min","RT_max","Comment"
"","Cer(d14:0/24:1)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:0/24:1)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:0/24:1)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:0/24:1)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:0/24:1)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:0/24:1)+HCO2","638.5728","592.56731","562.5568","390.3742","209.1908","364.3585","9.27443484848485","9.57443484848485","1335"
"","Cer(d14:0/26:0)+HCO2",0,1,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d14:0/26:0)+HCO2",0,10.73891,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d14:0/26:0)+HCO2",0,1,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d14:0/26:0)+HCO2",0,10931.03,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d14:0/26:0)+HCO2",0,622.6153,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d14:0/26:0)+HCO2","668.6197","622.61421","592.6037","420.4211","209.1908","394.4054","10.5709893939394","10.8709893939394","708"
"","Cer(d14:1/24:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:1/24:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:1/24:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:1/24:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:1/24:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d14:1/24:0)+HCO2","638.5728","592.56731","562.5568","392.3898","207.1752","366.3741","9.27443484848485","9.57443484848485","1335"
"","Cer(d14:1/25:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d14:1/25:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d14:1/25:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d14:1/25:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d14:1/25:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d14:1/25:0)+HCO2","652.5885","606.58301","576.5725","406.4055","207.1752","380.3898","9.77759848484848","10.0775984848485","3025"
"","Cer(d14:1/26:0)+HCO2",0,1,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer(d14:1/26:0)+HCO2",0,10.37019,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer(d14:1/26:0)+HCO2",0,1,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer(d14:1/26:0)+HCO2",0,47550.63,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer(d14:1/26:0)+HCO2",0,620.5994,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer(d14:1/26:0)+HCO2","666.6041","620.59861","590.5881","420.4211","207.1752","394.4054","10.2572696969697","10.5572696969697","287"
"","Cer(d15:0/24:1)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:0/24:1)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:0/24:1)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:0/24:1)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:0/24:1)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:0/24:1)+HCO2","652.5885","606.58301","576.5725","390.3742","223.2065","364.3585","9.77759848484848","10.0775984848485","3025"
"","Cer(d15:0/25:0)+HCO2",0,1,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d15:0/25:0)+HCO2",0,10.73891,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d15:0/25:0)+HCO2",0,1,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d15:0/25:0)+HCO2",0,10931.03,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d15:0/25:0)+HCO2",0,622.6153,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer(d15:0/25:0)+HCO2","668.6198","622.61431","592.6038","406.4055","223.2065","380.3898","10.5709893939394","10.8709893939394","708"
"","Cer(d15:0/26:0)+HCO2",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer(d15:0/26:0)+HCO2",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer(d15:0/26:0)+HCO2",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer(d15:0/26:0)+HCO2",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer(d15:0/26:0)+HCO2",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","Cer(d15:0/26:0)+HCO2","682.6354","636.62991","606.6194","420.4211","223.2065","394.4054","11.0019590909091","11.3019590909091","863"
"","Cer(d15:1/23:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d15:1/23:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d15:1/23:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d15:1/23:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d15:1/23:0)+HCO2",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer(d15:1/23:0)+HCO2","638.5728","592.56731","562.5568","378.3742","221.1908","352.3585","9.27443484848485","9.57443484848485","1335"
"","Cer(d15:1/24:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:1/24:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:1/24:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:1/24:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:1/24:0)+HCO2",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer(d15:1/24:0)+HCO2","652.5884","606.58291","576.5724","392.3898","221.1908","366.3741","9.77759848484848","10.0775984848485","3025"
