"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","RT at Max Intensity","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Number of Scans","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Max Intensity","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Average m/z","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","CL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment"
"","CL(16:0_20:2_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:2_20:4_22:5)-2H","762.5023182","643.3881082","498.2577082","619.3881082","463.2655282","391.22536","443.25664","439.22536","465.241","255.23281","307.26409","303.23281","329.24845","5.44704393939394","5.74704393939394","2550"
"","CL(16:0_20:3_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:3_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:3_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:3_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:3_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:0_20:3_20:3_22:5)-2H","762.5023182","643.3881082","499.2655282","618.3802882","462.2577082","391.22536","441.241","441.241","465.241","255.23281","305.24845","305.24845","329.24845","5.44704393939394","5.74704393939394","2550"
"","CL(16:1_18:0_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_18:0_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_18:0_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_18:0_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_18:0_22:5_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_18:0_22:5_22:5)-2H","762.5023182","644.3959282","511.2655282","606.3802882","450.2577082","389.20972","419.25664","465.241","465.241","253.21717","283.26409","329.24845","329.24845","5.44704393939394","5.74704393939394","2550"
"","CL(16:1_20:0_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:0_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:0_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:0_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:0_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:0_20:4_22:6)-2H","762.5023182","644.3959282","497.2498882","619.3881082","464.2733482","389.20972","447.28792","439.22536","463.22536","253.21717","311.29537","303.23281","327.23281","5.44704393939394","5.74704393939394","2550"
"","CL(16:1_20:1_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:3_22:6)-2H","762.5023182","644.3959282","498.2577082","618.3802882","463.2655282","389.20972","445.27228","441.241","463.22536","253.21717","309.27973","305.24845","327.23281","5.44704393939394","5.74704393939394","2550"
"","CL(16:1_20:1_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:4_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:1_20:4_22:5)-2H","762.5023182","644.3959282","498.2577082","619.3881082","463.2655282","389.20972","445.27228","439.22536","465.241","253.21717","309.27973","303.23281","329.24845","5.44704393939394","5.74704393939394","2550"
"","CL(16:1_20:2_20:2_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:2_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:2_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:2_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:2_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:2_22:6)-2H","762.5023182","644.3959282","499.2655282","617.3724682","462.2577082","389.20972","443.25664","443.25664","463.22536","253.21717","307.26409","307.26409","327.23281","5.44704393939394","5.74704393939394","2550"
"","CL(16:1_20:2_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:3_22:5)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(16:1_20:2_20:3_22:5)-2H","762.5023182","644.3959282","499.2655282","618.3802882","462.2577082","389.20972","443.25664","441.241","465.241","253.21717","307.26409","305.24845","329.24845","5.44704393939394","5.74704393939394","2550"
"","CL(18:0_18:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:1_20:4_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:1_20:4_22:6)-2H","762.5023182","629.3724682","497.2498882","619.3881082","464.2733482","419.25664","417.241","439.22536","463.22536","283.26409","281.24845","303.23281","327.23281","5.44704393939394","5.74704393939394","2550"
"","CL(18:0_18:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:2_20:3_22:6)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"5.44704393939394","5.74704393939394","2550","","CL(18:0_18:2_20:3_22:6)-2H","762.5023182","629.3724682","498.2577082","618.3802882","463.2655282","419.25664","415.22536","441.241","463.22536","283.26409","279.23281","305.24845","327.23281","5.44704393939394","5.74704393939394","2550"
