"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","PE(8:0_14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(8:0_14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(8:0_14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(8:0_14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(8:0_14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(8:0_14:0)-H","550.35142","424.24695","340.15305","406.23639","322.14249","143.10775","227.20165","152.99586","96.96964","78.95852","140.01128","122.0007","0.98556166666667","1.28556166666667","1282"
"","PE(8:0_22:0)-H",1,0,0,0,0,0,0,0,0,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(8:0_22:0)-H",6.281945,0,0,0,0,0,0,0,6.281945,0,6.281945,0,"6.13960757575758","6.43960757575758","188","","PE(8:0_22:0)-H",2,0,0,0,0,0,0,0,1,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(8:0_22:0)-H",234516.4,0,0,0,0,0,0,0,715.7395,0,9773.003,0,"6.13960757575758","6.43960757575758","188","","PE(8:0_22:0)-H",662.47755,0,0,0,0,0,0,0,96.96992,0,140.0118,0,"6.13960757575758","6.43960757575758","188","","PE(8:0_22:0)-H","662.47662","536.37215","340.15305","518.36159","322.14249","143.10775","339.32685","152.99586","96.96964","78.95852","140.01128","122.0007","6.13960757575758","6.43960757575758","188"
"","PE(8:0_26:0)-H",1,0,0,0,0,0,0,0,0,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(8:0_26:0)-H",8.627286,0,0,0,0,0,0,0,8.627286,0,8.627286,8.627286,"8.47925757575758","8.77925757575758","193","","PE(8:0_26:0)-H",1,0,0,0,0,0,0,0,1,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(8:0_26:0)-H",381988.7,0,0,0,0,0,0,0,684.2014,0,16745.46,1310.426,"8.47925757575758","8.77925757575758","193","","PE(8:0_26:0)-H",718.54,0,0,0,0,0,0,0,96.96995,0,140.0119,122.0013,"8.47925757575758","8.77925757575758","193","","PE(8:0_26:0)-H","718.53922","592.43475","340.15305","574.42419","322.14249","143.10775","395.38945","152.99586","96.96964","78.95852","140.01128","122.0007","8.47925757575758","8.77925757575758","193"
"","PE(10:0_12:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(10:0_12:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(10:0_12:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(10:0_12:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(10:0_12:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","PE(10:0_12:0)-H","550.35142","396.21565","368.18435","378.20509","350.17379","171.13905","199.17035","152.99586","96.96964","78.95852","140.01128","122.0007","0.98556166666667","1.28556166666667","1282"
"","PE(10:0_20:0)-H",1,0,0,0,0,0,0,0,0,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(10:0_20:0)-H",6.281945,0,0,0,0,0,0,0,6.281945,0,6.281945,0,"6.13960757575758","6.43960757575758","188","","PE(10:0_20:0)-H",2,0,0,0,0,0,0,0,1,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(10:0_20:0)-H",234516.4,0,0,0,0,0,0,0,715.7395,0,9773.003,0,"6.13960757575758","6.43960757575758","188","","PE(10:0_20:0)-H",662.47755,0,0,0,0,0,0,0,96.96992,0,140.0118,0,"6.13960757575758","6.43960757575758","188","","PE(10:0_20:0)-H","662.47662","508.34085","368.18435","490.33029","350.17379","171.13905","311.29555","152.99586","96.96964","78.95852","140.01128","122.0007","6.13960757575758","6.43960757575758","188"
"","PE(10:0_24:0)-H",1,0,0,0,0,0,0,0,0,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(10:0_24:0)-H",8.627286,0,0,0,0,0,0,0,8.627286,0,8.627286,8.627286,"8.47925757575758","8.77925757575758","193","","PE(10:0_24:0)-H",1,0,0,0,0,0,0,0,1,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(10:0_24:0)-H",381988.7,0,0,0,0,0,0,0,684.2014,0,16745.46,1310.426,"8.47925757575758","8.77925757575758","193","","PE(10:0_24:0)-H",718.54,0,0,0,0,0,0,0,96.96995,0,140.0119,122.0013,"8.47925757575758","8.77925757575758","193","","PE(10:0_24:0)-H","718.53922","564.40345","368.18435","546.39289","350.17379","171.13905","367.35815","152.99586","96.96964","78.95852","140.01128","122.0007","8.47925757575758","8.77925757575758","193"
"","PE(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(10:0_24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(10:0_24:1)-H","716.52362","562.38785","368.18435","544.37729","350.17379","171.13905","365.34255","152.99586","96.96964","78.95852","140.01128","122.0007","5.62081363636364","5.92081363636364","1824"
"","PE(12:0_18:0)-H",1,0,0,0,0,0,0,0,0,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(12:0_18:0)-H",6.281945,0,0,0,0,0,0,0,6.281945,0,6.281945,0,"6.13960757575758","6.43960757575758","188","","PE(12:0_18:0)-H",2,0,0,0,0,0,0,0,1,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(12:0_18:0)-H",234516.4,0,0,0,0,0,0,0,715.7395,0,9773.003,0,"6.13960757575758","6.43960757575758","188","","PE(12:0_18:0)-H",662.47755,0,0,0,0,0,0,0,96.96992,0,140.0118,0,"6.13960757575758","6.43960757575758","188","","PE(12:0_18:0)-H","662.47662","480.30955","396.21565","462.29899","378.20509","199.17035","283.26425","152.99586","96.96964","78.95852","140.01128","122.0007","6.13960757575758","6.43960757575758","188"
"","PE(12:0_22:0)-H",1,0,0,0,0,0,0,0,0,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(12:0_22:0)-H",8.627286,0,0,0,0,0,0,0,8.627286,0,8.627286,8.627286,"8.47925757575758","8.77925757575758","193","","PE(12:0_22:0)-H",1,0,0,0,0,0,0,0,1,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(12:0_22:0)-H",381988.7,0,0,0,0,0,0,0,684.2014,0,16745.46,1310.426,"8.47925757575758","8.77925757575758","193","","PE(12:0_22:0)-H",718.54,0,0,0,0,0,0,0,96.96995,0,140.0119,122.0013,"8.47925757575758","8.77925757575758","193","","PE(12:0_22:0)-H","718.53922","536.37215","396.21565","518.36159","378.20509","199.17035","339.32685","152.99586","96.96964","78.95852","140.01128","122.0007","8.47925757575758","8.77925757575758","193"
"","PE(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(12:0_22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(12:0_22:1)-H","716.52362","534.35655","396.21565","516.34599","378.20509","199.17035","337.31125","152.99586","96.96964","78.95852","140.01128","122.0007","5.62081363636364","5.92081363636364","1824"
