"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","LPC(17:0)+HCO2",1,1,0,1,1,0,1,1,0,0,"0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2",1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,1.215296,0,1.215296,"0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2",2,2,2,2,2,2,2,2,0,1,"0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2",28474.96,673484.4,959.0334,7096.795,21566.77,867.5104,2277.64,276830.2,0,542.1277,"0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2",554.3467,494.3254,423.25235,242.08005,224.0694,168.04315,152.9959,269.24865,0,78.95921,"0.98310833333333","1.28310833333333","3884","","LPC(17:0)+HCO2","554.34635","494.32525","423.25175","242.0799","224.0693","168.0431","152.9958","269.248605","96.9696","78.9591","0.98310833333333","1.28310833333333","3884"
"","LPC(17:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPC(17:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPC(17:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPC(17:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPC(17:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPC(17:1)+HCO2","552.3307","492.3096","421.2361","242.0799","224.0693","168.0431","152.9958","267.232955","96.9696","78.9591","0.671043939393939","0.971043939393939","608"
"","LPC(18:0)+HCO2",1,1,1,1,1,1,1,1,0,1,"1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2",1.385372,1.385372,1.385372,1.385372,1.385372,1.385372,1.385372,1.385372,0,1.385372,"1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2",3,3,2,3,3,3,3,3,0,1,"1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2",276488.4,6364383,16181.66,74920.98,278933.3,23723.51,17439.33,3017536,0,9166.408,"1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2",568.362233333333,508.340733333333,437.26735,242.0799,224.069366666667,168.043133333333,152.995833333333,283.264233333333,0,78.95911,"1.24994393939394","1.54994393939394","18","","LPC(18:0)+HCO2","568.362","508.3409","437.2674","242.0799","224.0693","168.0431","152.9958","283.264255","96.9696","78.9591","1.24994393939394","1.54994393939394","18"
"","LPC(18:0)+HCO2",1,1,1,1,1,1,1,1,0,1,"1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2",1.385372,1.385372,1.385372,1.385372,1.385372,1.385372,1.385372,1.385372,0,1.385372,"1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2",3,3,2,3,3,3,3,3,0,1,"1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2",276488.4,6364383,16181.66,74920.98,278933.3,23723.51,17439.33,3017536,0,9166.408,"1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2",568.362233333333,508.340733333333,437.26735,242.0799,224.069366666667,168.043133333333,152.995833333333,283.264233333333,0,78.95911,"1.23098166666667","1.53098166666667","3880","","LPC(18:0)+HCO2","568.362","508.3409","437.2674","242.0799","224.0693","168.0431","152.9958","283.264255","96.9696","78.9591","1.23098166666667","1.53098166666667","3880"
"","LPC(18:1)+HCO2",1,1,1,1,1,1,1,1,0,1,"0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2",0.9532399,0.9532399,0.9532399,0.9532399,0.9532399,0.9532399,0.9532399,0.9532399,0,0.9532399,"0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2",2,2,2,2,2,2,2,2,0,2,"0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2",49273.48,1210233,3077.872,15758.03,49145.11,4728.684,4036.935,677886,0,2600.041,"0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2",566.34655,506.32515,435.25225,242.0799,224.06935,168.0431,152.99575,281.24855,0,78.95913,"0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","566.34635","506.32525","435.25175","242.0799","224.0693","168.0431","152.9958","281.248605","96.9696","78.9591","0.849518181818182","1.14951818181818","50"
"","LPC(18:2)+HCO2",1,1,1,1,1,1,1,1,0,1,"0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2",0.778071,0.778071,0.778071,0.778071,0.778071,0.778071,0.778071,0.778071,0,0.778071,"0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2",1,1,1,1,1,1,1,1,0,1,"0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2",64452.28,1830033,4131.295,23369.19,75822.26,7160.983,5329.42,917921.6,0,3800.017,"0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2",564.3311,504.3098,433.2365,242.08,224.0693,168.0432,152.996,279.2329,0,78.95913,"0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","564.3307","504.3096","433.2361","242.0799","224.0693","168.0431","152.9958","279.232955","96.9696","78.9591","0.590513636363636","0.890513636363636","28"
"","LPC(18:2)+HCO2",1,1,1,1,1,1,1,1,0,1,"0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2",0.778071,0.778071,0.778071,0.778071,0.778071,0.778071,0.778071,0.778071,0,0.778071,"0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2",2,2,1,2,2,1,2,2,0,1,"0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2",64452.28,1830033,4131.295,23369.19,75822.26,7160.983,5329.42,917921.6,0,3800.017,"0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2",564.3311,504.3098,433.2365,242.07995,224.06945,168.0432,152.9957,279.2329,0,78.95913,"0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2","564.3307","504.3096","433.2361","242.0799","224.0693","168.0431","152.9958","279.232955","96.9696","78.9591","0.765088888888889","1.06508888888889","276"
"","LPC(18:3)+HCO2",1,1,0,0,1,0,0,1,0,0,"0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2",0.6191943,0.6191943,0,0.6191943,0.6191943,0,0,0.6191943,0,0,"0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2",1,1,0,1,1,0,0,1,0,0,"0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2",1367.118,77863.21,0,491.3768,3253.921,0,0,41433.71,0,0,"0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2",562.3171,502.2942,0,242.0799,224.0695,0,0,277.2173,0,0,"0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2","562.31505","502.29395","431.22045","242.0799","224.0693","168.0431","152.9958","277.217305","96.9696","78.9591","0.452106060606061","0.752106060606061","352"
"","LPC(19:0)+HCO2",1,1,1,1,1,1,1,1,0,0,"1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2",1.714668,1.714668,1.714668,1.714668,1.714668,1.714668,1.714668,1.714668,0,1.714668,"1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2",2,2,1,1,2,1,1,2,0,1,"1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2",46728.48,1041953,2936.788,10581.06,31597.72,4210.506,3426.889,388791.3,0,692.8632,"1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2",582.37755,522.35655,451.2832,242.0798,224.0693,168.0432,152.9959,297.27985,0,78.95912,"1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2","582.37765","522.35655","451.28305","242.0799","224.0693","168.0431","152.9958","297.279905","96.9696","78.9591","1.52206666666667","1.82206666666667","51"
"","LPC(19:0)+HCO2",1,1,1,1,1,1,1,1,0,0,"1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2",1.714668,1.714668,1.714668,1.714668,1.714668,1.714668,1.714668,1.714668,0,1.714668,"1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2",2,2,1,1,2,1,1,2,0,1,"1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2",46728.48,1041953,2936.788,10581.06,31597.72,4210.506,3426.889,388791.3,0,692.8632,"1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2",582.37795,522.35655,451.2832,242.0798,224.06935,168.0432,152.9959,297.27985,0,78.95912,"1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2","582.37765","522.35655","451.28305","242.0799","224.0693","168.0431","152.9958","297.279905","96.9696","78.9591","1.68062083333333","1.98062083333333","1955"
