"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Number of Scans","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Max Intensity","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Average m/z","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment"
"","SM(d12:0/20:2)+HCO2",1,0,0,1,"3.23113181818182","3.53113181818182","416","","SM(d12:0/20:2)+HCO2",3.403066,0,0,3.403066,"3.23113181818182","3.53113181818182","416","","SM(d12:0/20:2)+HCO2",1,0,0,1,"3.23113181818182","3.53113181818182","416","","SM(d12:0/20:2)+HCO2",2229.715,0,0,2252.49,"3.23113181818182","3.53113181818182","416","","SM(d12:0/20:2)+HCO2",717.5184,0,0,168.0431,"3.23113181818182","3.53113181818182","416","","SM(d12:0/20:2)+HCO2","717.5188","657.493","307.2642","168.0431","3.23113181818182","3.53113181818182","416"
"","SM(d12:0/22:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d12:0/22:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d12:0/22:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d12:0/22:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d12:0/22:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d12:0/22:0)+HCO2","749.5814","689.5556","339.3268","168.0431","6.26434696969697","6.56434696969697","884"
"","SM(d12:0/22:1)+HCO2",1,0,0,1,"5.78474393939394","6.08474393939394","25","","SM(d12:0/22:1)+HCO2",5.890948,0,0,5.890948,"5.78474393939394","6.08474393939394","25","","SM(d12:0/22:1)+HCO2",2,0,0,2,"5.78474393939394","6.08474393939394","25","","SM(d12:0/22:1)+HCO2",110725,0,0,212716.5,"5.78474393939394","6.08474393939394","25","","SM(d12:0/22:1)+HCO2",747.5666,0,0,168.0431,"5.78474393939394","6.08474393939394","25","","SM(d12:0/22:1)+HCO2","747.5658","687.54","337.3112","168.0431","5.78474393939394","6.08474393939394","25"
"","SM(d12:0/22:1)+HCO2",1,0,0,1,"5.58759696969697","5.88759696969697","1948","","SM(d12:0/22:1)+HCO2",5.768037,0,0,5.768037,"5.58759696969697","5.88759696969697","1948","","SM(d12:0/22:1)+HCO2",1,0,0,1,"5.58759696969697","5.88759696969697","1948","","SM(d12:0/22:1)+HCO2",4239.245,0,0,5524.473,"5.58759696969697","5.88759696969697","1948","","SM(d12:0/22:1)+HCO2",747.5669,0,0,168.0432,"5.58759696969697","5.88759696969697","1948","","SM(d12:0/22:1)+HCO2","747.5658","687.54","337.3112","168.0431","5.58759696969697","5.88759696969697","1948"
"","SM(d12:0/22:2)+HCO2",1,0,0,1,"4.58578181818182","4.88578181818182","91","","SM(d12:0/22:2)+HCO2",4.731077,0,0,4.731077,"4.58578181818182","4.88578181818182","91","","SM(d12:0/22:2)+HCO2",2,0,0,2,"4.58578181818182","4.88578181818182","91","","SM(d12:0/22:2)+HCO2",48073.72,0,0,82921.83,"4.58578181818182","4.88578181818182","91","","SM(d12:0/22:2)+HCO2",745.55015,0,0,168.0431,"4.58578181818182","4.88578181818182","91","","SM(d12:0/22:2)+HCO2","745.5501","685.5243","335.2955","168.0431","4.58578181818182","4.88578181818182","91"
"","SM(d12:0/22:2)+HCO2",0,0,0,0,"5.15377121212121","5.45377121212121","2926","","SM(d12:0/22:2)+HCO2",0,0,0,0,"5.15377121212121","5.45377121212121","2926","","SM(d12:0/22:2)+HCO2",0,0,0,0,"5.15377121212121","5.45377121212121","2926","","SM(d12:0/22:2)+HCO2",0,0,0,0,"5.15377121212121","5.45377121212121","2926","","SM(d12:0/22:2)+HCO2",0,0,0,0,"5.15377121212121","5.45377121212121","2926","","SM(d12:0/22:2)+HCO2","745.5501","685.5243","335.2955","168.0431","5.15377121212121","5.45377121212121","2926"
"","SM(d12:0/22:2)+HCO2",0,0,0,1,"4.79385909090909","5.09385909090909","3783","","SM(d12:0/22:2)+HCO2",4.859171,0,0,4.859171,"4.79385909090909","5.09385909090909","3783","","SM(d12:0/22:2)+HCO2",1,0,0,1,"4.79385909090909","5.09385909090909","3783","","SM(d12:0/22:2)+HCO2",572.116,0,0,3044.922,"4.79385909090909","5.09385909090909","3783","","SM(d12:0/22:2)+HCO2",745.5495,0,0,168.0431,"4.79385909090909","5.09385909090909","3783","","SM(d12:0/22:2)+HCO2","745.5501","685.5243","335.2955","168.0431","4.79385909090909","5.09385909090909","3783"
"","SM(d12:0/24:1)+HCO2",1,0,0,1,"7.04880151515152","7.34880151515152","487","","SM(d12:0/24:1)+HCO2",7.175274,0,0,7.175274,"7.04880151515152","7.34880151515152","487","","SM(d12:0/24:1)+HCO2",1,0,0,1,"7.04880151515152","7.34880151515152","487","","SM(d12:0/24:1)+HCO2",22360.19,0,0,45292.63,"7.04880151515152","7.34880151515152","487","","SM(d12:0/24:1)+HCO2",775.5986,0,0,168.0432,"7.04880151515152","7.34880151515152","487","","SM(d12:0/24:1)+HCO2","775.5971","715.5713","365.3425","168.0431","7.04880151515152","7.34880151515152","487"
"","SM(d12:0/26:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d12:0/26:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d12:0/26:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d12:0/26:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d12:0/26:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d12:0/26:0)+HCO2","805.644","745.6182","395.3894","168.0431","8.62740151515151","8.92740151515151","1392"
"","SM(d13:0/17:1)+HCO2",1,0,0,1,"3.06854848484848","3.36854848484848","655","","SM(d13:0/17:1)+HCO2",3.240458,0,0,3.240458,"3.06854848484848","3.36854848484848","655","","SM(d13:0/17:1)+HCO2",1,0,0,1,"3.06854848484848","3.36854848484848","655","","SM(d13:0/17:1)+HCO2",1768.59,0,0,1769.81,"3.06854848484848","3.36854848484848","655","","SM(d13:0/17:1)+HCO2",691.5045,0,0,168.0431,"3.06854848484848","3.36854848484848","655","","SM(d13:0/17:1)+HCO2","691.5032","631.4774","267.2329","168.0431","3.06854848484848","3.36854848484848","655"
