"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_NDS","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_NDS","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_NDS","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_NDS","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_NDS","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_NDS","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment"
"","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d21:0/36:3)-H","854.83345","822.80725","806.81235","342.33835","570.52555","554.53065","528.51555","281.28555","511.51275","1.76297424242424","2.06297424242424","3756"
"","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d21:0/36:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d21:0/36:3)-H","854.83345","822.80725","806.81235","342.33835","570.52555","554.53065","528.51555","281.28555","511.51275","13.114903030303","13.414903030303","4035"
"","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"1.76297424242424","2.06297424242424","3756","","Cer_NDS(d22:0/35:3)-H","854.83345","822.80725","806.81235","356.35395","556.50995","540.51505","514.49985","295.30115","497.49715","1.76297424242424","2.06297424242424","3756"
"","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d22:0/35:3)-H",0,0,0,0,0,0,0,0,0,"13.114903030303","13.414903030303","4035","","Cer_NDS(d22:0/35:3)-H","854.83345","822.80725","806.81235","356.35395","556.50995","540.51505","514.49985","295.30115","497.49715","13.114903030303","13.414903030303","4035"
