"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","Average m/z","MGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+HCO2]-","T1_RCOO-","T2_RCOO-","M-FA1-FA2+H2O-H","M-FA1-FA2+2H2O-H","RT_min","RT_max","Comment"
"","MGDG(8:0_18:3)+HCO2",0,0,0,0,0,"0.443328787878788","0.743328787878788","2053","","MGDG(8:0_18:3)+HCO2",0,0,0,0,0,"0.443328787878788","0.743328787878788","2053","","MGDG(8:0_18:3)+HCO2",0,0,0,0,0,"0.443328787878788","0.743328787878788","2053","","MGDG(8:0_18:3)+HCO2",0,0,0,0,0,"0.443328787878788","0.743328787878788","2053","","MGDG(8:0_18:3)+HCO2",0,0,0,0,0,"0.443328787878788","0.743328787878788","2053","","MGDG(8:0_18:3)+HCO2","685.41726","143.10775","277.21735","235.0824","253.0929","0.443328787878788","0.743328787878788","2053"
"","MGDG(8:0_20:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(8:0_20:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(8:0_20:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(8:0_20:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(8:0_20:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(8:0_20:3)+HCO2","713.44856","143.10775","305.24865","235.0824","253.0929","0.582425","0.882425","3975"
"","MGDG(8:0_23:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(8:0_23:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(8:0_23:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(8:0_23:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(8:0_23:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(8:0_23:0)+HCO2","761.54246","143.10775","353.34255","235.0824","253.0929","4.1754196969697","4.4754196969697","1517"
"","MGDG(10:0_18:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(10:0_18:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(10:0_18:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(10:0_18:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(10:0_18:3)+HCO2",0,0,0,0,0,"0.582425","0.882425","3975","","MGDG(10:0_18:3)+HCO2","713.44856","171.13905","277.21735","235.0824","253.0929","0.582425","0.882425","3975"
"","MGDG(10:0_21:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(10:0_21:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(10:0_21:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(10:0_21:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(10:0_21:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(10:0_21:0)+HCO2","761.54246","171.13905","325.31125","235.0824","253.0929","4.1754196969697","4.4754196969697","1517"
"","MGDG(12:0_19:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(12:0_19:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(12:0_19:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(12:0_19:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(12:0_19:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(12:0_19:0)+HCO2","761.54246","199.17035","297.27995","235.0824","253.0929","4.1754196969697","4.4754196969697","1517"
"","MGDG(13:0_18:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(13:0_18:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(13:0_18:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(13:0_18:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(13:0_18:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(13:0_18:0)+HCO2","761.54246","213.18605","283.26425","235.0824","253.0929","4.1754196969697","4.4754196969697","1517"
"","MGDG(14:0_17:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(14:0_17:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(14:0_17:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(14:0_17:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(14:0_17:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(14:0_17:0)+HCO2","761.54246","227.20165","269.24865","235.0824","253.0929","4.1754196969697","4.4754196969697","1517"
"","MGDG(15:0_16:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(15:0_16:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(15:0_16:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(15:0_16:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(15:0_16:0)+HCO2",0,0,0,0,0,"4.1754196969697","4.4754196969697","1517","","MGDG(15:0_16:0)+HCO2","761.54246","241.21735","255.23295","235.0824","253.0929","4.1754196969697","4.4754196969697","1517"
