"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","RT at Max Intensity","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Number of Scans","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Max Intensity","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Average m/z","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment"
"","MMPE(10:0_23:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(10:0_23:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(10:0_23:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(10:0_23:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(10:0_23:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(10:0_23:0)-H","718.53927","171.13905","353.34255","8.47925757575758","8.77925757575758","193"
"","MMPE(12:0_17:0)-H",1,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(12:0_17:0)-H",6.281945,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(12:0_17:0)-H",2,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(12:0_17:0)-H",234516.4,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(12:0_17:0)-H",662.47755,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(12:0_17:0)-H","662.47667","199.17035","269.24865","6.13960757575758","6.43960757575758","188"
"","MMPE(12:0_18:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(12:0_18:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(12:0_18:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(12:0_18:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(12:0_18:3)-H",0,0,0,"2.93351060606061","3.23351060606061","3661","","MMPE(12:0_18:3)-H","670.44537","199.17035","277.21735","2.93351060606061","3.23351060606061","3661"
"","MMPE(12:0_18:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(12:0_18:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(12:0_18:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(12:0_18:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(12:0_18:4)-H",0,0,0,"2.12131818181818","2.42131818181818","3091","","MMPE(12:0_18:4)-H","668.42967","199.17035","275.20165","2.12131818181818","2.42131818181818","3091"
"","MMPE(12:0_21:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(12:0_21:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(12:0_21:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(12:0_21:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(12:0_21:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(12:0_21:0)-H","718.53927","199.17035","325.31125","8.47925757575758","8.77925757575758","193"
"","MMPE(13:0_16:0)-H",1,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(13:0_16:0)-H",6.281945,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(13:0_16:0)-H",2,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(13:0_16:0)-H",234516.4,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(13:0_16:0)-H",662.47755,0,0,"6.13960757575758","6.43960757575758","188","","MMPE(13:0_16:0)-H","662.47667","213.18605","255.23295","6.13960757575758","6.43960757575758","188"
"","MMPE(13:0_20:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(13:0_20:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(13:0_20:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(13:0_20:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(13:0_20:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(13:0_20:0)-H","718.53927","213.18605","311.29555","8.47925757575758","8.77925757575758","193"
"","MMPE(13:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(13:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(13:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(13:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(13:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(13:0_20:1)-H","716.52367","213.18605","309.27995","5.62081363636364","5.92081363636364","1824"
"","MMPE(13:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(13:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(13:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(13:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(13:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(13:0_20:2)-H","714.50797","213.18605","307.26425","4.60836818181818","4.90836818181818","1332"
"","MMPE(13:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(13:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(13:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(13:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(13:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(13:0_20:2)-H","714.50797","213.18605","307.26425","6.5105303030303","6.8105303030303","1416"
"","MMPE(13:0_22:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(13:0_22:1)-H",8.71849,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(13:0_22:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(13:0_22:1)-H",17193.23,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(13:0_22:1)-H",744.5564,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(13:0_22:1)-H","744.55497","213.18605","337.31125","8.54963333333333","8.84963333333333","1115"
"","MMPE(13:0_22:2)-H",1,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(13:0_22:2)-H",7.870355,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(13:0_22:2)-H",1,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(13:0_22:2)-H",35126.13,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(13:0_22:2)-H",742.5406,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(13:0_22:2)-H","742.53927","213.18605","335.29555","7.6800106060606","7.9800106060606","773"
"","MMPE(13:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(13:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(13:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(13:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(13:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(13:0_22:4)-H","738.50797","213.18605","331.26425","5.65324848484848","5.95324848484848","923"
"","MMPE(13:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(13:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(13:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(13:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(13:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(13:0_22:4)-H","738.50797","213.18605","331.26425","6.33049696969697","6.63049696969697","1643"
