"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","RT at Max Intensity","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Number of Scans","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Max Intensity","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Average m/z","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment"
"","DMPE(10:0_24:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H",8.71849,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H",17193.23,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H",744.5564,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(10:0_24:1)-H","744.5549","171.13905","365.34255","8.54963333333333","8.84963333333333","1115"
"","DMPE(12:0_16:0)-H",1,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(12:0_16:0)-H",6.281945,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(12:0_16:0)-H",2,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(12:0_16:0)-H",234516.4,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(12:0_16:0)-H",662.47755,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(12:0_16:0)-H","662.4766","199.17035","255.23295","6.13960757575758","6.43960757575758","188"
"","DMPE(12:0_20:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(12:0_20:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(12:0_20:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(12:0_20:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(12:0_20:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(12:0_20:0)-H","718.5392","199.17035","311.29555","8.47925757575758","8.77925757575758","193"
"","DMPE(12:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(12:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(12:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(12:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(12:0_20:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(12:0_20:1)-H","716.5236","199.17035","309.27995","5.62081363636364","5.92081363636364","1824"
"","DMPE(12:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(12:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(12:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(12:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(12:0_20:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(12:0_20:2)-H","714.5079","199.17035","307.26425","4.60836818181818","4.90836818181818","1332"
"","DMPE(12:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(12:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(12:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(12:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(12:0_20:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(12:0_20:2)-H","714.5079","199.17035","307.26425","6.5105303030303","6.8105303030303","1416"
"","DMPE(12:0_22:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(12:0_22:1)-H",8.71849,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(12:0_22:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(12:0_22:1)-H",17193.23,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(12:0_22:1)-H",744.5564,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(12:0_22:1)-H","744.5549","199.17035","337.31125","8.54963333333333","8.84963333333333","1115"
"","DMPE(12:0_22:2)-H",1,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(12:0_22:2)-H",7.870355,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(12:0_22:2)-H",1,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(12:0_22:2)-H",35126.13,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(12:0_22:2)-H",742.5406,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(12:0_22:2)-H","742.5392","199.17035","335.29555","7.6800106060606","7.9800106060606","773"
"","DMPE(12:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(12:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(12:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(12:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(12:0_22:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(12:0_22:4)-H","738.5079","199.17035","331.26425","5.65324848484848","5.95324848484848","923"
"","DMPE(12:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(12:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(12:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(12:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(12:0_22:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(12:0_22:4)-H","738.5079","199.17035","331.26425","6.33049696969697","6.63049696969697","1643"
