"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Average m/z","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_AP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[FA-CO-3H]-","[C6H12O6-H]-","RT_min","RT_max","Comment"
"","GlcCer_AP(t22:0/23:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t22:0/23:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t22:0/23:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t22:0/23:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t22:0/23:4)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t22:0/23:4)+HCO2","924.67815","878.67265","716.61985","416.31645","386.30595","361.27535","315.26985","179.05615","10.4961333333333","10.7961333333333","518"
"","GlcCer_AP(t16:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t16:1/27:3)+HCO2","896.64685","850.64135","688.58855","474.39475","444.38415","419.35365","373.34815","179.05615","9.57360303030303","9.87360303030303","721"
"","GlcCer_AP(t16:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t16:1/28:3)+HCO2","910.66245","864.65705","702.60415","488.41045","458.39985","433.36925","387.36385","179.05615","10.0432939393939","10.3432939393939","1021"
"","GlcCer_AP(t16:1/29:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:1/29:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:1/29:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:1/29:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:1/29:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t16:1/29:3)+HCO2","924.67815","878.67265","716.61985","502.42605","472.41545","447.38495","401.37945","179.05615","10.4961333333333","10.7961333333333","518"
"","GlcCer_AP(t16:1/29:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t16:1/29:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t16:1/29:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t16:1/29:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t16:1/29:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t16:1/29:4)+HCO2","922.66245","876.65705","714.60415","500.41045","470.39985","445.36925","399.36385","179.05615","9.50528636363636","9.80528636363636","970"
"","GlcCer_AP(t17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t17:1/26:3)+HCO2","896.64685","850.64135","688.58855","460.37905","430.36855","405.33795","359.33245","179.05615","9.57360303030303","9.87360303030303","721"
"","GlcCer_AP(t17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","GlcCer_AP(t17:1/27:3)+HCO2","910.66245","864.65705","702.60415","474.39475","444.38415","419.35365","373.34815","179.05615","10.0432939393939","10.3432939393939","1021"
"","GlcCer_AP(t17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","GlcCer_AP(t17:1/28:3)+HCO2","924.67815","878.67265","716.61985","488.41045","458.39985","433.36925","387.36385","179.05615","10.4961333333333","10.7961333333333","518"
"","GlcCer_AP(t17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,"9.50528636363636","9.80528636363636","970","","GlcCer_AP(t17:1/28:4)+HCO2","922.66245","876.65705","714.60415","486.39475","456.38415","431.35365","385.34815","179.05615","9.50528636363636","9.80528636363636","970"
"","GlcCer_AP(t18:1/25:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:1/25:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:1/25:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:1/25:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:1/25:3)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","GlcCer_AP(t18:1/25:3)+HCO2","896.64685","850.64135","688.58855","446.36345","416.35285","391.32235","345.31685","179.05615","9.57360303030303","9.87360303030303","721"
