"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","GlcCer_NDS(d17:0/23:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d17:0/23:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d17:0/23:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d17:0/23:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d17:0/23:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d17:0/23:2)-H","780.63595","618.58305","374.34285","225.22295","331.32505","179.05615","10.6655606060606","10.9655606060606","477"
"","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d17:0/23:3)-H","778.62025","616.56745","372.32725","225.22295","329.30935","179.05615","10.7871","11.0871","653"
"","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d17:0/23:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d17:0/23:3)-H","778.62025","616.56745","372.32725","225.22295","329.30935","179.05615","9.71061666666667","10.0106166666667","1150"
"","GlcCer_NDS(d17:0/25:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d17:0/25:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d17:0/25:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d17:0/25:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d17:0/25:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d17:0/25:2)-H","808.66715","646.61435","402.37415","225.22295","359.35625","179.05615","11.4915318181818","11.7915318181818","3156"
"","GlcCer_NDS(d17:0/28:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d17:0/28:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d17:0/28:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d17:0/28:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d17:0/28:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d17:0/28:4)-H","846.68285","684.63005","440.38985","225.22295","397.37195","179.05615","9.9384351851852","10.2384351851852","1337"
"","GlcCer_NDS(d17:0/30:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d17:0/30:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d17:0/30:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d17:0/30:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d17:0/30:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d17:0/30:4)-H","874.71415","712.66135","468.42115","225.22295","425.40325","179.05615","10.6824045454545","10.9824045454545","4200"
"","GlcCer_NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d18:0/20:2)-H","752.60465","590.55175","332.29585","239.23855","289.27805","179.05615","9.75611666666666","10.0561166666667","871"
"","GlcCer_NDS(d18:0/21:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d18:0/21:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d18:0/21:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d18:0/21:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d18:0/21:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d18:0/21:2)-H","766.62025","604.56745","346.31155","239.23855","303.29375","179.05615","10.2335636363636","10.5335636363636","1362"
"","GlcCer_NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d18:0/22:2)-H","780.63595","618.58305","360.32725","239.23855","317.30935","179.05615","10.6655606060606","10.9655606060606","477"
"","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d18:0/22:3)-H","778.62025","616.56745","358.31155","239.23855","315.29375","179.05615","10.7871","11.0871","653"
"","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d18:0/22:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d18:0/22:3)-H","778.62025","616.56745","358.31155","239.23855","315.29375","179.05615","9.71061666666667","10.0106166666667","1150"
"","GlcCer_NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d18:0/24:2)-H","808.66715","646.61435","388.35845","239.23855","345.34065","179.05615","11.4915318181818","11.7915318181818","3156"
"","GlcCer_NDS(d18:0/27:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d18:0/27:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d18:0/27:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d18:0/27:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d18:0/27:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d18:0/27:4)-H","846.68285","684.63005","426.37415","239.23855","383.35625","179.05615","9.9384351851852","10.2384351851852","1337"
"","GlcCer_NDS(d18:0/29:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d18:0/29:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d18:0/29:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d18:0/29:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d18:0/29:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d18:0/29:4)-H","874.71415","712.66135","454.40545","239.23855","411.38765","179.05615","10.6824045454545","10.9824045454545","4200"
"","GlcCer_NDS(d19:0/19:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d19:0/19:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d19:0/19:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d19:0/19:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d19:0/19:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d19:0/19:2)-H","752.60465","590.55175","318.28025","253.25425","275.26235","179.05615","9.75611666666666","10.0561166666667","871"
"","GlcCer_NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d19:0/20:2)-H","766.62025","604.56745","332.29585","253.25425","289.27805","179.05615","10.2335636363636","10.5335636363636","1362"
"","GlcCer_NDS(d19:0/21:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d19:0/21:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d19:0/21:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d19:0/21:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d19:0/21:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d19:0/21:2)-H","780.63595","618.58305","346.31155","253.25425","303.29375","179.05615","10.6655606060606","10.9655606060606","477"
"","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d19:0/21:3)-H","778.62025","616.56745","344.29585","253.25425","301.27805","179.05615","10.7871","11.0871","653"
"","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d19:0/21:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d19:0/21:3)-H","778.62025","616.56745","344.29585","253.25425","301.27805","179.05615","9.71061666666667","10.0106166666667","1150"
"","GlcCer_NDS(d19:0/23:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d19:0/23:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d19:0/23:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d19:0/23:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d19:0/23:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","GlcCer_NDS(d19:0/23:2)-H","808.66715","646.61435","374.34285","253.25425","331.32505","179.05615","11.4915318181818","11.7915318181818","3156"
"","GlcCer_NDS(d19:0/26:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d19:0/26:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d19:0/26:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d19:0/26:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d19:0/26:4)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","GlcCer_NDS(d19:0/26:4)-H","846.68285","684.63005","412.35845","253.25425","369.34065","179.05615","9.9384351851852","10.2384351851852","1337"
"","GlcCer_NDS(d19:0/28:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d19:0/28:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d19:0/28:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d19:0/28:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d19:0/28:4)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","GlcCer_NDS(d19:0/28:4)-H","874.71415","712.66135","440.38985","253.25425","397.37195","179.05615","10.6824045454545","10.9824045454545","4200"
"","GlcCer_NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","GlcCer_NDS(d20:0/18:2)-H","752.60465","590.55175","304.26455","267.26985","261.24675","179.05615","9.75611666666666","10.0561166666667","871"
"","GlcCer_NDS(d20:0/19:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d20:0/19:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d20:0/19:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d20:0/19:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d20:0/19:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","GlcCer_NDS(d20:0/19:2)-H","766.62025","604.56745","318.28025","267.26985","275.26235","179.05615","10.2335636363636","10.5335636363636","1362"
"","GlcCer_NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","GlcCer_NDS(d20:0/20:2)-H","780.63595","618.58305","332.29585","267.26985","289.27805","179.05615","10.6655606060606","10.9655606060606","477"
"","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","GlcCer_NDS(d20:0/20:3)-H","778.62025","616.56745","330.28025","267.26985","287.26235","179.05615","10.7871","11.0871","653"
"","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d20:0/20:3)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","GlcCer_NDS(d20:0/20:3)-H","778.62025","616.56745","330.28025","267.26985","287.26235","179.05615","9.71061666666667","10.0106166666667","1150"
