"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_NDS","[M+FA-H]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment"
"","Cer_NDS(d16:0/26:1)+HCO2",1,1,0,1,0,0,0,1,0,0,"11.1295590909091","11.4295590909091","108","","Cer_NDS(d16:0/26:1)+HCO2",11.29021,11.29021,11.29021,11.29021,0,0,0,11.29021,0,0,"11.1295590909091","11.4295590909091","108","","Cer_NDS(d16:0/26:1)+HCO2",1,2,1,1,0,0,0,1,0,0,"11.1295590909091","11.4295590909091","108","","Cer_NDS(d16:0/26:1)+HCO2",8007.366,335871.2,793.6923,2095.437,0,0,0,13771.49,0,0,"11.1295590909091","11.4295590909091","108","","Cer_NDS(d16:0/26:1)+HCO2",694.6364,648.63095,616.6044,600.6101,0,0,0,392.3901,0,0,"11.1295590909091","11.4295590909091","108","","Cer_NDS(d16:0/26:1)+HCO2","694.63545","648.63005","616.60385","600.60885","272.26005","434.40035","418.40545","392.39035","211.20725","375.38765","11.1295590909091","11.4295590909091","108"
"","Cer_NDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_NDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_NDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_NDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_NDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer_NDS(d16:0/26:1)+HCO2","694.63545","648.63005","616.60385","600.60885","272.26005","434.40035","418.40545","392.39035","211.20725","375.38765","10.5101439393939","10.8101439393939","1160"
"","Cer_NDS(d16:0/26:1)+HCO2",1,1,0,1,0,0,0,1,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_NDS(d16:0/26:1)+HCO2",11.29021,11.29021,11.29021,11.29021,0,0,0,11.29021,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_NDS(d16:0/26:1)+HCO2",1,2,1,1,0,0,0,1,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_NDS(d16:0/26:1)+HCO2",8007.366,335871.2,793.6923,2095.437,0,0,0,13771.49,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_NDS(d16:0/26:1)+HCO2",694.6364,648.63095,616.6044,600.6101,0,0,0,392.3901,0,0,"11.0714060606061","11.3714060606061","3271","","Cer_NDS(d16:0/26:1)+HCO2","694.63545","648.63005","616.60385","600.60885","272.26005","434.40035","418.40545","392.39035","211.20725","375.38765","11.0714060606061","11.3714060606061","3271"
"","Cer_NDS(d16:0/26:2)+HCO2",0,1,0,0,0,0,0,1,0,0,"10.3349015151515","10.6349015151515","366","","Cer_NDS(d16:0/26:2)+HCO2",10.4723,10.4723,0,0,0,0,0,10.33888,0,0,"10.3349015151515","10.6349015151515","366","","Cer_NDS(d16:0/26:2)+HCO2",2,2,0,0,0,0,0,1,0,0,"10.3349015151515","10.6349015151515","366","","Cer_NDS(d16:0/26:2)+HCO2",774.0684,49953.16,0,0,0,0,0,1728.141,0,0,"10.3349015151515","10.6349015151515","366","","Cer_NDS(d16:0/26:2)+HCO2",692.62145,646.61545,0,0,0,0,0,390.3744,0,0,"10.3349015151515","10.6349015151515","366","","Cer_NDS(d16:0/26:2)+HCO2","692.61985","646.61435","614.58815","598.59325","272.26005","432.38475","416.38985","390.37465","211.20725","373.37195","10.3349015151515","10.6349015151515","366"
"","Cer_NDS(d16:0/26:2)+HCO2",0,1,0,0,0,0,0,1,0,0,"10.1740090909091","10.4740090909091","470","","Cer_NDS(d16:0/26:2)+HCO2",10.4723,10.4723,0,0,0,0,0,10.33888,0,0,"10.1740090909091","10.4740090909091","470","","Cer_NDS(d16:0/26:2)+HCO2",2,2,0,0,0,0,0,1,0,0,"10.1740090909091","10.4740090909091","470","","Cer_NDS(d16:0/26:2)+HCO2",774.0684,49953.16,0,0,0,0,0,1728.141,0,0,"10.1740090909091","10.4740090909091","470","","Cer_NDS(d16:0/26:2)+HCO2",692.62145,646.61545,0,0,0,0,0,390.3744,0,0,"10.1740090909091","10.4740090909091","470","","Cer_NDS(d16:0/26:2)+HCO2","692.61985","646.61435","614.58815","598.59325","272.26005","432.38475","416.38985","390.37465","211.20725","373.37195","10.1740090909091","10.4740090909091","470"
"","Cer_NDS(d16:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_NDS(d16:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_NDS(d16:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_NDS(d16:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_NDS(d16:0/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer_NDS(d16:0/26:3)+HCO2","690.60415","644.59875","612.57255","596.57755","272.26005","430.36905","414.37415","388.35905","211.20725","371.35625","9.3155606060606","9.6155606060606","1495"
"","Cer_NDS(d16:0/27:1)+HCO2",0,1,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_NDS(d16:0/27:1)+HCO2",0,11.52146,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_NDS(d16:0/27:1)+HCO2",0,2,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_NDS(d16:0/27:1)+HCO2",0,44391.68,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_NDS(d16:0/27:1)+HCO2",0,662.64675,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer_NDS(d16:0/27:1)+HCO2","708.65115","662.64565","630.61945","614.62455","272.26005","448.41605","432.42115","406.40595","211.20725","389.40325","11.3712712121212","11.6712712121212","402"
"","Cer_NDS(d16:0/27:1)+HCO2",0,1,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_NDS(d16:0/27:1)+HCO2",0,11.66083,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_NDS(d16:0/27:1)+HCO2",0,1,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_NDS(d16:0/27:1)+HCO2",0,27088.57,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_NDS(d16:0/27:1)+HCO2",0,662.6468,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer_NDS(d16:0/27:1)+HCO2","708.65115","662.64565","630.61945","614.62455","272.26005","448.41605","432.42115","406.40595","211.20725","389.40325","11.5306954545455","11.8306954545455","2733"
"","Cer_NDS(d16:0/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_NDS(d16:0/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_NDS(d16:0/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_NDS(d16:0/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_NDS(d16:0/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer_NDS(d16:0/27:2)+HCO2","706.63545","660.63005","628.60385","612.60885","272.26005","446.40035","430.40545","404.39035","211.20725","387.38765","10.4557772727273","10.7557772727273","1755"
"","Cer_NDS(d16:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_NDS(d16:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_NDS(d16:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_NDS(d16:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_NDS(d16:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer_NDS(d16:0/28:0)+HCO2","724.68245","678.67705","646.65075","630.65585","272.26005","464.44735","448.45235","422.43725","211.20725","405.43455","12.1783683333333","12.4783683333333","3694"
