"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[M-Hex-H2O-H]-","[M-Hex-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[M-Hex-H2O-H]-","[M-Hex-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_NP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[M-Hex-H2O-H]-","[M-Hex-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_NP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[M-Hex-H2O-H]-","[M-Hex-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Average m/z","GlcCer_NP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[M-Hex-H2O-H]-","[M-Hex-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NP","[M+FA-H]-","[M-H]-","[M-C6H10O5-H]-","[M-Hex-H2O-H]-","[M-Hex-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment"
"","GlcCer_NP(t21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t21:0/21:1)+HCO2","872.68325","826.67775","664.62495","646.61435","628.60375","378.33725","366.33725","366.33725","348.32665","309.27935","323.29615","297.27935","322.31155","267.26875","10.2804772727273","10.5804772727273","1356"
"","GlcCer_NP(t22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t22:0/20:1)+HCO2","872.68325","826.67775","664.62495","646.61435","628.60375","364.32155","352.32155","352.32155","334.31105","323.29505","309.28045","311.29505","308.29585","281.28445","10.2804772727273","10.5804772727273","1356"
"","GlcCer_NP(t16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t16:1/18:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t16:1/18:0)+HCO2","760.55805","714.55255","552.49975","534.48915","516.47855","338.30595","326.30595","326.30595","308.29535","237.18545","283.26485","225.18545","282.28025","195.17485","5.89793181818182","6.19793181818182","1496"
"","GlcCer_NP(t16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t16:1/26:0)+HCO2","872.68325","826.67775","664.62495","646.61435","628.60375","450.43115","438.43115","438.43115","420.42055","237.18545","395.39005","225.18545","394.40545","195.17485","10.2804772727273","10.5804772727273","1356"
"","GlcCer_NP(t17:1/17:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t17:1/17:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t17:1/17:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t17:1/17:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t17:1/17:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t17:1/17:0)+HCO2","760.55805","714.55255","552.49975","534.48915","516.47855","324.29025","312.29025","312.29025","294.27965","251.20115","269.24915","239.20115","268.26455","209.19055","5.89793181818182","6.19793181818182","1496"
"","GlcCer_NP(t17:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t17:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t17:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t17:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t17:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t17:1/25:0)+HCO2","872.68325","826.67775","664.62495","646.61435","628.60375","436.41545","424.41545","424.41545","406.40495","251.20115","381.37435","239.20115","380.38985","209.19055","10.2804772727273","10.5804772727273","1356"
"","GlcCer_NP(t18:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t18:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t18:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t18:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t18:1/16:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t18:1/16:0)+HCO2","760.55805","714.55255","552.49975","534.48915","516.47855","310.27465","298.27465","298.27465","280.26405","265.21675","255.23355","253.21675","254.24895","223.20615","5.89793181818182","6.19793181818182","1496"
"","GlcCer_NP(t18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t18:1/24:0)+HCO2","872.68325","826.67775","664.62495","646.61435","628.60375","422.39985","410.39985","410.39985","392.38925","265.21675","367.35875","253.21675","366.37415","223.20615","10.2804772727273","10.5804772727273","1356"
"","GlcCer_NP(t19:1/15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t19:1/15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t19:1/15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t19:1/15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t19:1/15:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","GlcCer_NP(t19:1/15:0)+HCO2","760.55805","714.55255","552.49975","534.48915","516.47855","296.25895","284.25895","284.25895","266.24845","279.23245","241.21785","267.23245","240.23325","237.22185","5.89793181818182","6.19793181818182","1496"
"","GlcCer_NP(t19:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t19:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t19:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t19:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t19:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","GlcCer_NP(t19:1/23:0)+HCO2","872.68325","826.67775","664.62495","646.61435","628.60375","408.38415","396.38415","396.38415","378.37355","279.23245","353.34305","267.23245","352.35845","237.22185","10.2804772727273","10.5804772727273","1356"
