"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_AS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_AS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_AS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_AS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_AS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_AS","[M+FA-H]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer_AS(d17:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d17:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d17:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d17:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d17:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d17:1/26:2)+HCO2","720.61475","674.60935","656.59865","642.58305","626.58815","282.24445","266.24945","407.35365","406.36955","254.24945","389.34305","225.22295","223.20725","361.34815","10.9162772727273","11.2162772727273","972"
"","Cer_AS(d17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_AS(d17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_AS(d17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_AS(d17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_AS(d17:1/26:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer_AS(d17:1/26:3)+HCO2","718.59915","672.59365","654.58305","640.56745","624.57255","282.24445","266.24945","405.33795","404.35395","254.24945","387.32745","225.22295","223.20725","359.33245","10.0734984848485","10.3734984848485","908"
"","Cer_AS(d17:1/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_AS(d17:1/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_AS(d17:1/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_AS(d17:1/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_AS(d17:1/27:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer_AS(d17:1/27:2)+HCO2","734.63045","688.62495","670.61435","656.59865","640.60385","282.24445","266.24945","421.36925","420.38525","254.24945","403.35875","225.22295","223.20725","375.36385","11.3263590909091","11.6263590909091","1402"
"","Cer_AS(d17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_AS(d17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_AS(d17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_AS(d17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_AS(d17:1/27:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer_AS(d17:1/27:3)+HCO2","732.61475","686.60935","668.59865","654.58305","638.58815","282.24445","266.24945","419.35365","418.36955","254.24945","401.34305","225.22295","223.20725","373.34815","10.5313909090909","10.8313909090909","1290"
"","Cer_AS(d17:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_AS(d17:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_AS(d17:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_AS(d17:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_AS(d17:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer_AS(d17:1/28:2)+HCO2","748.64605","702.64055","684.63005","670.61435","654.61945","282.24445","266.24945","435.38495","434.40095","254.24945","417.37435","225.22295","223.20725","389.37945","11.7283893939394","12.0283893939394","790"
"","Cer_AS(d17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_AS(d17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_AS(d17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_AS(d17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_AS(d17:1/28:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer_AS(d17:1/28:3)+HCO2","746.63045","700.62495","682.61435","668.59865","652.60385","282.24445","266.24945","433.36925","432.38525","254.24945","415.35875","225.22295","223.20725","387.36385","10.9594772727273","11.2594772727273","525"
"","Cer_AS(d17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_AS(d17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_AS(d17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_AS(d17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_AS(d17:1/28:4)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0174166666667","10.3174166666667","1120","","Cer_AS(d17:1/28:4)+HCO2","744.61475","698.60935","680.59865","666.58305","650.58815","282.24445","266.24945","431.35365","430.36955","254.24945","413.34305","225.22295","223.20725","385.34815","10.0174166666667","10.3174166666667","1120"
"","Cer_AS(d17:1/35:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_AS(d17:1/35:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_AS(d17:1/35:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_AS(d17:1/35:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_AS(d17:1/35:3)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer_AS(d17:1/35:3)+HCO2","844.73995","798.73445","780.72395","766.70825","750.71335","282.24445","266.24945","531.47885","530.49485","254.24945","513.46825","225.22295","223.20725","485.47335","12.0117515151515","12.3117515151515","1639"
"","Cer_AS(d18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_AS(d18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_AS(d18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_AS(d18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_AS(d18:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer_AS(d18:1/24:0)+HCO2","710.63045","664.62495","646.61435","632.59865","616.60385","296.26005","280.26515","383.35365","382.36955","268.26515","365.34305","239.23855","237.22295","337.34815","10.7806166666667","11.0806166666667","1422"
"","Cer_AS(d18:1/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d18:1/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d18:1/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d18:1/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d18:1/25:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer_AS(d18:1/25:2)+HCO2","720.61475","674.60935","656.59865","642.58305","626.58815","296.26005","280.26515","393.33795","392.35395","268.26515","375.32745","239.23855","237.22295","347.33245","10.9162772727273","11.2162772727273","972"
