OxLPE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,phosphoethanolamine+Na
OxLPE(13:3(COOH))+Na,458.15398,415.11178,317.1348857,176.99139,164.00888
OxLPE(14:1(COOH))+Na,476.20093,433.15873,335.1818357,176.99139,164.00888
OxLPE(14:2(COOH))+Na,474.18528,431.14308,333.1661857,176.99139,164.00888
OxLPE(14:3(COOH))+Na,472.16963,429.12743,331.1505357,176.99139,164.00888
OxLPE(15:1(COOH))+Na,490.21658,447.17438,349.1974857,176.99139,164.00888
OxLPE(15:2(COOH))+Na,488.20093,445.15873,347.1818357,176.99139,164.00888
OxLPE(15:3(COOH))+Na,486.18528,443.14308,345.1661857,176.99139,164.00888
OxLPE(15:4(COOH))+Na,484.16963,441.12743,343.1505357,176.99139,164.00888
OxLPE(16:1(COOH))+Na,504.23223,461.19003,363.2131357,176.99139,164.00888
OxLPE(16:2(COOH))+Na,502.21658,459.17438,361.1974857,176.99139,164.00888
OxLPE(16:3(COOH))+Na,500.20093,457.15873,359.1818357,176.99139,164.00888
OxLPE(16:4(COOH))+Na,498.18528,455.14308,357.1661857,176.99139,164.00888
OxLPE(17:4(COOH))+Na,512.20093,469.15873,371.1818357,176.99139,164.00888
OxLPE(18:4(COOH))+Na,526.21658,483.17438,385.1974857,176.99139,164.00888
OxLPE(18:5(COOH))+Na,524.20093,481.15873,383.1818357,176.99139,164.00888
OxLPE(19:4(COOH))+Na,540.23223,497.19003,399.2131357,176.99139,164.00888
OxLPE(19:5(COOH))+Na,538.21658,495.17438,397.1974857,176.99139,164.00888
OxLPE(20:4(Ke))+Na,538.25295,495.21075,397.2338557,176.99139,164.00888
OxLPE(20:4(OOH))+Na,556.26353,513.22133,415.2444357,176.99139,164.00888
OxLPE(20:4(OH))+Na,540.26861,497.22641,399.2495157,176.99139,164.00888
OxLPE(18:2(OOH))+Na,532.26353,489.22133,391.2444357,176.99139,164.00888
OxLPE(18:2(OH))+Na,516.26861,473.22641,375.2495157,176.99139,164.00888
OxLPE(14:1(OH))+Na,462.22169,419.17949,321.2025957,176.99139,164.00888
OxLPE(15:1(OH))+Na,476.23729,433.19509,335.2181957,176.99139,164.00888
OxLPE(16:1(OH))+Na,490.25299,447.21079,349.2338957,176.99139,164.00888
OxLPE(17:1(OH))+Na,504.26859,461.22639,363.2494957,176.99139,164.00888
OxLPE(17:2(OH))+Na,502.25299,459.21079,361.2338957,176.99139,164.00888
OxLPE(18:1(OH))+Na,518.28429,475.24209,377.2651957,176.99139,164.00888
OxLPE(18:3(OH))+Na,514.25299,471.21079,373.2338957,176.99139,164.00888
OxLPE(18:4(OH))+Na,512.23729,469.19509,371.2181957,176.99139,164.00888
OxLPE(20:1(OH))+Na,546.31559,503.27339,405.2964957,176.99139,164.00888
OxLPE(20:2(OH))+Na,544.29989,501.25769,403.2807957,176.99139,164.00888
OxLPE(20:3(OH))+Na,542.28429,499.24209,401.2651957,176.99139,164.00888
OxLPE(20:5(OH))+Na,538.25299,495.21079,397.2338957,176.99139,164.00888
OxLPE(22:1(OH))+Na,574.34689,531.30469,433.3277957,176.99139,164.00888
OxLPE(22:2(OH))+Na,572.33119,529.28899,431.3120957,176.99139,164.00888
OxLPE(22:3(OH))+Na,570.31559,527.27339,429.2964957,176.99139,164.00888
OxLPE(22:4(OH))+Na,568.29989,525.25769,427.2807957,176.99139,164.00888
OxLPE(22:5(OH))+Na,566.28429,523.24209,425.2651957,176.99139,164.00888
OxLPE(22:6(OH))+Na,564.26859,521.22639,423.2494957,176.99139,164.00888
OxLPE(24:1(OH))+Na,602.37819,559.33599,461.3590957,176.99139,164.00888
OxLPE(14:1(OO))+Na,478.21661,435.17441,337.1975157,176.99139,164.00888
OxLPE(15:1(OO))+Na,492.23221,449.19001,351.2131157,176.99139,164.00888
OxLPE(16:1(OO))+Na,506.24791,463.20571,365.2288157,176.99139,164.00888
OxLPE(17:1(OO))+Na,520.26351,477.22131,379.2444157,176.99139,164.00888
OxLPE(17:2(OO))+Na,518.24791,475.20571,377.2288157,176.99139,164.00888
OxLPE(18:1(OO))+Na,534.27921,491.23701,393.2601157,176.99139,164.00888
OxLPE(18:3(OO))+Na,530.24791,487.20571,389.2288157,176.99139,164.00888
OxLPE(18:4(OO))+Na,528.23221,485.19001,387.2131157,176.99139,164.00888
OxLPE(20:1(OO))+Na,562.31051,519.26831,421.2914157,176.99139,164.00888
OxLPE(20:2(OO))+Na,560.29481,517.25261,419.2757157,176.99139,164.00888
OxLPE(20:3(OO))+Na,558.27921,515.23701,417.2601157,176.99139,164.00888
OxLPE(20:5(OO))+Na,554.24791,511.20571,413.2288157,176.99139,164.00888
OxLPE(22:1(OO))+Na,590.34181,547.29961,449.3227157,176.99139,164.00888
OxLPE(22:2(OO))+Na,588.32611,545.28391,447.3070157,176.99139,164.00888
OxLPE(22:3(OO))+Na,586.31051,543.26831,445.2914157,176.99139,164.00888
OxLPE(22:4(OO))+Na,584.29481,541.25261,443.2757157,176.99139,164.00888
OxLPE(22:5(OO))+Na,582.27921,539.23701,441.2601157,176.99139,164.00888
OxLPE(22:6(OO))+Na,580.26351,537.22131,439.2444157,176.99139,164.00888
OxLPE(24:1(OO))+Na,618.37311,575.33091,477.3540157,176.99139,164.00888
OxLPE(14:1(OOO))+Na,494.21153,451.16933,353.1924357,176.99139,164.00888
OxLPE(15:1(OOO))+Na,508.22713,465.18493,367.2080357,176.99139,164.00888
OxLPE(16:1(OOO))+Na,522.24283,479.20063,381.2237357,176.99139,164.00888
OxLPE(17:1(OOO))+Na,536.25843,493.21623,395.2393357,176.99139,164.00888
OxLPE(17:2(OOO))+Na,534.24283,491.20063,393.2237357,176.99139,164.00888
OxLPE(18:1(OOO))+Na,550.27413,507.23193,409.2550357,176.99139,164.00888
OxLPE(18:2(OOO))+Na,548.25843,505.21623,407.2393357,176.99139,164.00888
OxLPE(18:3(OOO))+Na,546.24283,503.20063,405.2237357,176.99139,164.00888
OxLPE(18:4(OOO))+Na,544.22713,501.18493,403.2080357,176.99139,164.00888
OxLPE(20:1(OOO))+Na,578.30543,535.26323,437.2863357,176.99139,164.00888
OxLPE(20:2(OOO))+Na,576.28973,533.24753,435.2706357,176.99139,164.00888
OxLPE(20:3(OOO))+Na,574.27413,531.23193,433.2550357,176.99139,164.00888
OxLPE(20:4(OOO))+Na,572.25843,529.21623,431.2393357,176.99139,164.00888
OxLPE(20:5(OOO))+Na,570.24283,527.20063,429.2237357,176.99139,164.00888
OxLPE(22:1(OOO))+Na,606.33673,563.29453,465.3176357,176.99139,164.00888
OxLPE(22:2(OOO))+Na,604.32103,561.27883,463.3019357,176.99139,164.00888
OxLPE(22:3(OOO))+Na,602.30543,559.26323,461.2863357,176.99139,164.00888
OxLPE(22:4(OOO))+Na,600.28973,557.24753,459.2706357,176.99139,164.00888
OxLPE(22:5(OOO))+Na,598.27413,555.23193,457.2550357,176.99139,164.00888
OxLPE(22:6(OOO))+Na,596.25843,553.21623,455.2393357,176.99139,164.00888
OxLPE(24:1(OOO))+Na,634.36803,591.32583,493.3489357,176.99139,164.00888
OxLPE(14:1(OOOO))+Na,510.20645,467.16425,369.1873557,176.99139,164.00888
OxLPE(15:1(OOOO))+Na,524.22205,481.17985,383.2029557,176.99139,164.00888
OxLPE(16:1(OOOO))+Na,538.23775,495.19555,397.2186557,176.99139,164.00888
OxLPE(17:1(OOOO))+Na,552.25335,509.21115,411.2342557,176.99139,164.00888
OxLPE(17:2(OOOO))+Na,550.23775,507.19555,409.2186557,176.99139,164.00888
OxLPE(18:1(OOOO))+Na,566.26905,523.22685,425.2499557,176.99139,164.00888
OxLPE(18:2(OOOO))+Na,564.25335,521.21115,423.2342557,176.99139,164.00888
OxLPE(18:3(OOOO))+Na,562.23775,519.19555,421.2186557,176.99139,164.00888
OxLPE(18:4(OOOO))+Na,560.22205,517.17985,419.2029557,176.99139,164.00888
OxLPE(20:1(OOOO))+Na,594.30035,551.25815,453.2812557,176.99139,164.00888
OxLPE(20:2(OOOO))+Na,592.28465,549.24245,451.2655557,176.99139,164.00888
OxLPE(20:3(OOOO))+Na,590.26905,547.22685,449.2499557,176.99139,164.00888
OxLPE(20:4(OOOO))+Na,588.25335,545.21115,447.2342557,176.99139,164.00888
OxLPE(20:5(OOOO))+Na,586.23775,543.19555,445.2186557,176.99139,164.00888
OxLPE(22:1(OOOO))+Na,622.33165,579.28945,481.3125557,176.99139,164.00888
OxLPE(22:2(OOOO))+Na,620.31595,577.27375,479.2968557,176.99139,164.00888
OxLPE(22:3(OOOO))+Na,618.30035,575.25815,477.2812557,176.99139,164.00888
OxLPE(22:4(OOOO))+Na,616.28465,573.24245,475.2655557,176.99139,164.00888
OxLPE(22:5(OOOO))+Na,614.26905,571.22685,473.2499557,176.99139,164.00888
OxLPE(22:6(OOOO))+Na,612.25335,569.21115,471.2342557,176.99139,164.00888
OxLPE(24:1(OOOO))+Na,650.36295,607.32075,509.3438557,176.99139,164.00888
OxLPE(14:1(Ke))+Na,460.20603,417.16383,319.1869357,176.99139,164.00888
OxLPE(15:1(Ke))+Na,474.22163,431.17943,333.2025357,176.99139,164.00888
OxLPE(16:1(Ke))+Na,488.23733,445.19513,347.2182357,176.99139,164.00888
OxLPE(17:1(Ke))+Na,502.25293,459.21073,361.2338357,176.99139,164.00888
OxLPE(17:2(Ke))+Na,500.23733,457.19513,359.2182357,176.99139,164.00888
OxLPE(18:1(Ke))+Na,516.26863,473.22643,375.2495357,176.99139,164.00888
OxLPE(18:2(Ke))+Na,514.25293,471.21073,373.2338357,176.99139,164.00888
OxLPE(18:3(Ke))+Na,512.23733,469.19513,371.2182357,176.99139,164.00888
OxLPE(18:4(Ke))+Na,510.22163,467.17943,369.2025357,176.99139,164.00888
OxLPE(20:1(Ke))+Na,544.29993,501.25773,403.2808357,176.99139,164.00888
OxLPE(20:2(Ke))+Na,542.28423,499.24203,401.2651357,176.99139,164.00888
OxLPE(20:3(Ke))+Na,540.26863,497.22643,399.2495357,176.99139,164.00888
OxLPE(20:5(Ke))+Na,536.23733,493.19513,395.2182357,176.99139,164.00888
OxLPE(22:1(Ke))+Na,572.33123,529.28903,431.3121357,176.99139,164.00888
OxLPE(22:2(Ke))+Na,570.31553,527.27333,429.2964357,176.99139,164.00888
OxLPE(22:3(Ke))+Na,568.29993,525.25773,427.2808357,176.99139,164.00888
OxLPE(22:4(Ke))+Na,566.28423,523.24203,425.2651357,176.99139,164.00888
