LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [10_12_(50)],1656.055072,1574.073092,1558.078172,1467.913912,1439.882632,1369.937012,1341.905732
LipidA-PP [10_12_(52)],1684.086372,1602.104392,1586.109472,1495.945212,1467.913932,1397.968312,1369.937032
LipidA-PP [10_12_(54)],1712.117672,1630.135692,1614.140772,1523.976512,1495.945232,1425.999612,1397.968332
LipidA-PP [10_12_(56)],1740.148972,1658.166992,1642.172072,1552.007812,1523.976532,1454.030912,1425.999632
LipidA-PP [10_12_(58)],1768.180272,1686.198292,1670.203372,1580.039112,1552.007832,1482.062212,1454.030932
LipidA-PP [10_12_(60)],1796.211572,1714.229592,1698.234672,1608.070412,1580.039132,1510.093512,1482.062232
LipidA-PP [10_12_(62)],1824.242872,1742.260892,1726.265972,1636.101712,1608.070432,1538.124812,1510.093532
LipidA-PP [10_12_(64)],1852.274173,1770.292193,1754.297273,1664.133013,1636.101733,1566.156113,1538.124833
LipidA-PP [10_12_(66)],1880.305473,1798.323493,1782.328573,1692.164313,1664.133033,1594.187413,1566.156133
LipidA-PP [10_12_(68)],1908.336773,1826.354793,1810.359873,1720.195613,1692.164333,1622.218713,1594.187433
LipidA-PP [10_12_(70)],1936.368073,1854.386093,1838.391173,1748.226913,1720.195633,1650.250013,1622.218733
LipidA-PP [10_12_(72)],1964.399373,1882.417393,1866.422473,1776.258213,1748.226933,1678.281313,1650.250033
LipidA-PP [10_14_(40)],1543.929871,1461.947891,1445.952971,1355.788711,1299.726151,1257.811811,1201.749251
LipidA-PP [10_14_(42)],1571.961171,1489.979191,1473.984271,1383.820011,1327.757451,1285.843111,1229.780551
LipidA-PP [10_14_(44)],1599.992471,1518.010491,1502.015571,1411.851311,1355.788751,1313.874411,1257.811851
LipidA-PP [10_14_(46)],1628.023772,1546.041792,1530.046872,1439.882612,1383.820052,1341.905712,1285.843152
LipidA-PP [10_14_(48)],1656.055072,1574.073092,1558.078172,1467.913912,1411.851352,1369.937012,1313.874452
LipidA-PP [10_14_(50)],1684.086372,1602.104392,1586.109472,1495.945212,1439.882652,1397.968312,1341.905752
LipidA-PP [10_14_(52)],1712.117672,1630.135692,1614.140772,1523.976512,1467.913952,1425.999612,1369.937052
LipidA-PP [10_14_(54)],1740.148972,1658.166992,1642.172072,1552.007812,1495.945252,1454.030912,1397.968352
LipidA-PP [10_14_(56)],1768.180272,1686.198292,1670.203372,1580.039112,1523.976552,1482.062212,1425.999652
LipidA-PP [10_14_(58)],1796.211572,1714.229592,1698.234672,1608.070412,1552.007852,1510.093512,1454.030952
