LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [14_16_(62)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1594.187453,1566.156173
LipidA-PP [14_16_(64)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1622.218753,1594.187473
LipidA-PP [14_16_(66)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1650.250053,1622.218773
LipidA-PP [14_16_(68)],2020.461973,1938.479993,1922.485073,1776.258253,1748.226973,1678.281353,1650.250073
LipidA-PP [14_16_(70)],2048.493273,1966.511293,1950.516373,1804.289553,1776.258273,1706.312653,1678.281373
LipidA-PP [14_16_(72)],2076.524574,1994.542594,1978.547674,1832.320854,1804.289574,1734.343954,1706.312674
LipidA-PP [14_18_(40)],1656.055072,1574.073092,1558.078172,1411.851352,1355.788792,1313.874452,1257.811892
LipidA-PP [14_18_(42)],1684.086372,1602.104392,1586.109472,1439.882652,1383.820092,1341.905752,1285.843192
LipidA-PP [14_18_(44)],1712.117672,1630.135692,1614.140772,1467.913952,1411.851392,1369.937052,1313.874492
LipidA-PP [14_18_(46)],1740.148972,1658.166992,1642.172072,1495.945252,1439.882692,1397.968352,1341.905792
LipidA-PP [14_18_(48)],1768.180272,1686.198292,1670.203372,1523.976552,1467.913992,1425.999652,1369.937092
LipidA-PP [14_18_(50)],1796.211572,1714.229592,1698.234672,1552.007852,1495.945292,1454.030952,1397.968392
LipidA-PP [14_18_(52)],1824.242872,1742.260892,1726.265972,1580.039152,1523.976592,1482.062252,1425.999692
LipidA-PP [14_18_(54)],1852.274173,1770.292193,1754.297273,1608.070453,1552.007893,1510.093553,1454.030993
LipidA-PP [14_18_(56)],1880.305473,1798.323493,1782.328573,1636.101753,1580.039193,1538.124853,1482.062293
LipidA-PP [14_18_(58)],1908.336773,1826.354793,1810.359873,1664.133053,1608.070493,1566.156153,1510.093593
LipidA-PP [14_18_(60)],1936.368073,1854.386093,1838.391173,1692.164353,1636.101793,1594.187453,1538.124893
LipidA-PP [14_18_(62)],1964.399373,1882.417393,1866.422473,1720.195653,1664.133093,1622.218753,1566.156193
LipidA-PP [14_18_(64)],1992.430673,1910.448693,1894.453773,1748.226953,1692.164393,1650.250053,1594.187493
LipidA-PP [14_18_(66)],2020.461973,1938.479993,1922.485073,1776.258253,1720.195693,1678.281353,1622.218793
LipidA-PP [14_18_(68)],2048.493273,1966.511293,1950.516373,1804.289553,1748.226993,1706.312653,1650.250093
LipidA-PP [14_18_(70)],2076.524574,1994.542594,1978.547674,1832.320854,1776.258294,1734.343954,1678.281394
LipidA-PP [14_18_(72)],2104.555874,2022.573894,2006.578974,1860.352154,1804.289594,1762.375254,1706.312694
LipidA-PP [16_10_(40)],1571.961171,1489.979191,1473.984271,1299.726171,1383.820011,1201.749271,1285.843111
LipidA-PP [16_10_(42)],1599.992471,1518.010491,1502.015571,1327.757471,1411.851311,1229.780571,1313.874411
LipidA-PP [16_10_(44)],1628.023772,1546.041792,1530.046872,1355.788772,1439.882612,1257.811872,1341.905712
LipidA-PP [16_10_(46)],1656.055072,1574.073092,1558.078172,1383.820072,1467.913912,1285.843172,1369.937012
LipidA-PP [16_10_(48)],1684.086372,1602.104392,1586.109472,1411.851372,1495.945212,1313.874472,1397.968312
LipidA-PP [16_10_(50)],1712.117672,1630.135692,1614.140772,1439.882672,1523.976512,1341.905772,1425.999612
LipidA-PP [16_10_(52)],1740.148972,1658.166992,1642.172072,1467.913972,1552.007812,1369.937072,1454.030912
LipidA-PP [16_10_(54)],1768.180272,1686.198292,1670.203372,1495.945272,1580.039112,1397.968372,1482.062212
LipidA-PP [16_10_(56)],1796.211572,1714.229592,1698.234672,1523.976572,1608.070412,1425.999672,1510.093512
LipidA-PP [16_10_(58)],1824.242872,1742.260892,1726.265972,1552.007872,1636.101712,1454.030972,1538.124812
LipidA-PP [16_10_(60)],1852.274173,1770.292193,1754.297273,1580.039173,1664.133013,1482.062273,1566.156113
LipidA-PP [16_10_(62)],1880.305473,1798.323493,1782.328573,1608.070473,1692.164313,1510.093573,1594.187413
LipidA-PP [16_10_(64)],1908.336773,1826.354793,1810.359873,1636.101773,1720.195613,1538.124873,1622.218713
LipidA-PP [16_10_(66)],1936.368073,1854.386093,1838.391173,1664.133073,1748.226913,1566.156173,1650.250013
LipidA-PP [16_10_(68)],1964.399373,1882.417393,1866.422473,1692.164373,1776.258213,1594.187473,1678.281313
LipidA-PP [16_10_(70)],1992.430673,1910.448693,1894.453773,1720.195673,1804.289513,1622.218773,1706.312613
LipidA-PP [16_10_(72)],2020.461973,1938.479993,1922.485073,1748.226973,1832.320813,1650.250073,1734.343913
LipidA-PP [16_12_(40)],1599.992471,1518.010491,1502.015571,1327.757471,1383.820031,1229.780571,1285.843131
LipidA-PP [16_12_(42)],1628.023772,1546.041792,1530.046872,1355.788772,1411.851332,1257.811872,1313.874432
LipidA-PP [16_12_(44)],1656.055072,1574.073092,1558.078172,1383.820072,1439.882632,1285.843172,1341.905732
LipidA-PP [16_12_(46)],1684.086372,1602.104392,1586.109472,1411.851372,1467.913932,1313.874472,1369.937032
LipidA-PP [16_12_(48)],1712.117672,1630.135692,1614.140772,1439.882672,1495.945232,1341.905772,1397.968332
LipidA-PP [16_12_(50)],1740.148972,1658.166992,1642.172072,1467.913972,1523.976532,1369.937072,1425.999632
LipidA-PP [16_12_(52)],1768.180272,1686.198292,1670.203372,1495.945272,1552.007832,1397.968372,1454.030932
LipidA-PP [16_12_(54)],1796.211572,1714.229592,1698.234672,1523.976572,1580.039132,1425.999672,1482.062232
LipidA-PP [16_12_(56)],1824.242872,1742.260892,1726.265972,1552.007872,1608.070432,1454.030972,1510.093532
LipidA-PP [16_12_(58)],1852.274173,1770.292193,1754.297273,1580.039173,1636.101733,1482.062273,1538.124833
LipidA-PP [16_12_(60)],1880.305473,1798.323493,1782.328573,1608.070473,1664.133033,1510.093573,1566.156133
LipidA-PP [16_12_(62)],1908.336773,1826.354793,1810.359873,1636.101773,1692.164333,1538.124873,1594.187433
LipidA-PP [16_12_(64)],1936.368073,1854.386093,1838.391173,1664.133073,1720.195633,1566.156173,1622.218733
LipidA-PP [16_12_(66)],1964.399373,1882.417393,1866.422473,1692.164373,1748.226933,1594.187473,1650.250033
LipidA-PP [16_12_(68)],1992.430673,1910.448693,1894.453773,1720.195673,1776.258233,1622.218773,1678.281333
LipidA-PP [16_12_(70)],2020.461973,1938.479993,1922.485073,1748.226973,1804.289533,1650.250073,1706.312633
LipidA-PP [16_12_(72)],2048.493273,1966.511293,1950.516373,1776.258273,1832.320833,1678.281373,1734.343933
LipidA-PP [16_14_(40)],1628.023772,1546.041792,1530.046872,1355.788772,1383.820052,1257.811872,1285.843152
LipidA-PP [16_14_(42)],1656.055072,1574.073092,1558.078172,1383.820072,1411.851352,1285.843172,1313.874452
LipidA-PP [16_14_(44)],1684.086372,1602.104392,1586.109472,1411.851372,1439.882652,1313.874472,1341.905752
LipidA-PP [16_14_(46)],1712.117672,1630.135692,1614.140772,1439.882672,1467.913952,1341.905772,1369.937052
LipidA-PP [16_14_(48)],1740.148972,1658.166992,1642.172072,1467.913972,1495.945252,1369.937072,1397.968352
LipidA-PP [16_14_(50)],1768.180272,1686.198292,1670.203372,1495.945272,1523.976552,1397.968372,1425.999652
LipidA-PP [16_14_(52)],1796.211572,1714.229592,1698.234672,1523.976572,1552.007852,1425.999672,1454.030952
LipidA-PP [16_14_(54)],1824.242872,1742.260892,1726.265972,1552.007872,1580.039152,1454.030972,1482.062252
LipidA-PP [16_14_(56)],1852.274173,1770.292193,1754.297273,1580.039173,1608.070453,1482.062273,1510.093553
LipidA-PP [16_14_(58)],1880.305473,1798.323493,1782.328573,1608.070473,1636.101753,1510.093573,1538.124853
LipidA-PP [16_14_(60)],1908.336773,1826.354793,1810.359873,1636.101773,1664.133053,1538.124873,1566.156153
LipidA-PP [16_14_(62)],1936.368073,1854.386093,1838.391173,1664.133073,1692.164353,1566.156173,1594.187453
LipidA-PP [16_14_(64)],1964.399373,1882.417393,1866.422473,1692.164373,1720.195653,1594.187473,1622.218753
LipidA-PP [16_14_(66)],1992.430673,1910.448693,1894.453773,1720.195673,1748.226953,1622.218773,1650.250053
LipidA-PP [16_14_(68)],2020.461973,1938.479993,1922.485073,1748.226973,1776.258253,1650.250073,1678.281353
LipidA-PP [16_14_(70)],2048.493273,1966.511293,1950.516373,1776.258273,1804.289553,1678.281373,1706.312653
LipidA-PP [16_14_(72)],2076.524574,1994.542594,1978.547674,1804.289574,1832.320854,1706.312674,1734.343954
LipidA-PP [16_16_(40)],1656.055072,1574.073092,1558.078172,1383.820072,1383.820072,1285.843172,1285.843172
LipidA-PP [16_16_(42)],1684.086372,1602.104392,1586.109472,1411.851372,1411.851372,1313.874472,1313.874472
LipidA-PP [16_16_(44)],1712.117672,1630.135692,1614.140772,1439.882672,1439.882672,1341.905772,1341.905772
LipidA-PP [16_16_(46)],1740.148972,1658.166992,1642.172072,1467.913972,1467.913972,1369.937072,1369.937072
LipidA-PP [16_16_(48)],1768.180272,1686.198292,1670.203372,1495.945272,1495.945272,1397.968372,1397.968372
LipidA-PP [16_16_(50)],1796.211572,1714.229592,1698.234672,1523.976572,1523.976572,1425.999672,1425.999672
LipidA-PP [16_16_(52)],1824.242872,1742.260892,1726.265972,1552.007872,1552.007872,1454.030972,1454.030972
LipidA-PP [16_16_(54)],1852.274173,1770.292193,1754.297273,1580.039173,1580.039173,1482.062273,1482.062273
LipidA-PP [16_16_(56)],1880.305473,1798.323493,1782.328573,1608.070473,1608.070473,1510.093573,1510.093573
LipidA-PP [16_16_(58)],1908.336773,1826.354793,1810.359873,1636.101773,1636.101773,1538.124873,1538.124873
LipidA-PP [16_16_(60)],1936.368073,1854.386093,1838.391173,1664.133073,1664.133073,1566.156173,1566.156173
LipidA-PP [16_16_(62)],1964.399373,1882.417393,1866.422473,1692.164373,1692.164373,1594.187473,1594.187473
LipidA-PP [16_16_(64)],1992.430673,1910.448693,1894.453773,1720.195673,1720.195673,1622.218773,1622.218773
LipidA-PP [16_16_(66)],2020.461973,1938.479993,1922.485073,1748.226973,1748.226973,1650.250073,1650.250073
LipidA-PP [16_16_(68)],2048.493273,1966.511293,1950.516373,1776.258273,1776.258273,1678.281373,1678.281373
LipidA-PP [16_16_(70)],2076.524574,1994.542594,1978.547674,1804.289574,1804.289574,1706.312674,1706.312674
LipidA-PP [16_16_(72)],2104.555874,2022.573894,2006.578974,1832.320874,1832.320874,1734.343974,1734.343974
LipidA-PP [16_18_(40)],1684.086372,1602.104392,1586.109472,1411.851372,1383.820092,1313.874472,1285.843192
LipidA-PP [16_18_(42)],1712.117672,1630.135692,1614.140772,1439.882672,1411.851392,1341.905772,1313.874492
LipidA-PP [16_18_(44)],1740.148972,1658.166992,1642.172072,1467.913972,1439.882692,1369.937072,1341.905792
LipidA-PP [16_18_(46)],1768.180272,1686.198292,1670.203372,1495.945272,1467.913992,1397.968372,1369.937092
LipidA-PP [16_18_(48)],1796.211572,1714.229592,1698.234672,1523.976572,1495.945292,1425.999672,1397.968392
LipidA-PP [16_18_(50)],1824.242872,1742.260892,1726.265972,1552.007872,1523.976592,1454.030972,1425.999692
LipidA-PP [16_18_(52)],1852.274173,1770.292193,1754.297273,1580.039173,1552.007893,1482.062273,1454.030993
LipidA-PP [16_18_(54)],1880.305473,1798.323493,1782.328573,1608.070473,1580.039193,1510.093573,1482.062293
LipidA-PP [16_18_(56)],1908.336773,1826.354793,1810.359873,1636.101773,1608.070493,1538.124873,1510.093593
LipidA-PP [16_18_(58)],1936.368073,1854.386093,1838.391173,1664.133073,1636.101793,1566.156173,1538.124893
LipidA-PP [16_18_(60)],1964.399373,1882.417393,1866.422473,1692.164373,1664.133093,1594.187473,1566.156193
LipidA-PP [16_18_(62)],1992.430673,1910.448693,1894.453773,1720.195673,1692.164393,1622.218773,1594.187493
LipidA-PP [16_18_(64)],2020.461973,1938.479993,1922.485073,1748.226973,1720.195693,1650.250073,1622.218793
LipidA-PP [16_18_(66)],2048.493273,1966.511293,1950.516373,1776.258273,1748.226993,1678.281373,1650.250093
LipidA-PP [16_18_(68)],2076.524574,1994.542594,1978.547674,1804.289574,1776.258294,1706.312674,1678.281394
LipidA-PP [16_18_(70)],2104.555874,2022.573894,2006.578974,1832.320874,1804.289594,1734.343974,1706.312694
LipidA-PP [16_18_(72)],2132.587174,2050.605194,2034.610274,1860.352174,1832.320894,1762.375274,1734.343994
LipidA-PP [18_10_(40)],1599.992471,1518.010491,1502.015571,1299.726191,1411.851311,1201.749291,1313.874411
LipidA-PP [18_10_(42)],1628.023772,1546.041792,1530.046872,1327.757492,1439.882612,1229.780592,1341.905712
LipidA-PP [18_10_(44)],1656.055072,1574.073092,1558.078172,1355.788792,1467.913912,1257.811892,1369.937012
LipidA-PP [18_10_(46)],1684.086372,1602.104392,1586.109472,1383.820092,1495.945212,1285.843192,1397.968312
LipidA-PP [18_10_(48)],1712.117672,1630.135692,1614.140772,1411.851392,1523.976512,1313.874492,1425.999612
LipidA-PP [18_10_(50)],1740.148972,1658.166992,1642.172072,1439.882692,1552.007812,1341.905792,1454.030912
LipidA-PP [18_10_(52)],1768.180272,1686.198292,1670.203372,1467.913992,1580.039112,1369.937092,1482.062212
LipidA-PP [18_10_(54)],1796.211572,1714.229592,1698.234672,1495.945292,1608.070412,1397.968392,1510.093512
LipidA-PP [18_10_(56)],1824.242872,1742.260892,1726.265972,1523.976592,1636.101712,1425.999692,1538.124812
LipidA-PP [18_10_(58)],1852.274173,1770.292193,1754.297273,1552.007893,1664.133013,1454.030993,1566.156113
LipidA-PP [18_10_(60)],1880.305473,1798.323493,1782.328573,1580.039193,1692.164313,1482.062293,1594.187413
LipidA-PP [18_10_(62)],1908.336773,1826.354793,1810.359873,1608.070493,1720.195613,1510.093593,1622.218713
LipidA-PP [18_10_(64)],1936.368073,1854.386093,1838.391173,1636.101793,1748.226913,1538.124893,1650.250013
LipidA-PP [18_10_(66)],1964.399373,1882.417393,1866.422473,1664.133093,1776.258213,1566.156193,1678.281313
LipidA-PP [18_10_(68)],1992.430673,1910.448693,1894.453773,1692.164393,1804.289513,1594.187493,1706.312613
LipidA-PP [18_10_(70)],2020.461973,1938.479993,1922.485073,1720.195693,1832.320813,1622.218793,1734.343913
LipidA-PP [18_10_(72)],2048.493273,1966.511293,1950.516373,1748.226993,1860.352113,1650.250093,1762.375213
LipidA-PP [18_12_(40)],1628.023772,1546.041792,1530.046872,1327.757492,1411.851332,1229.780592,1313.874432
LipidA-PP [18_12_(42)],1656.055072,1574.073092,1558.078172,1355.788792,1439.882632,1257.811892,1341.905732
LipidA-PP [18_12_(44)],1684.086372,1602.104392,1586.109472,1383.820092,1467.913932,1285.843192,1369.937032
LipidA-PP [18_12_(46)],1712.117672,1630.135692,1614.140772,1411.851392,1495.945232,1313.874492,1397.968332
LipidA-PP [18_12_(48)],1740.148972,1658.166992,1642.172072,1439.882692,1523.976532,1341.905792,1425.999632
LipidA-PP [18_12_(50)],1768.180272,1686.198292,1670.203372,1467.913992,1552.007832,1369.937092,1454.030932
LipidA-PP [18_12_(52)],1796.211572,1714.229592,1698.234672,1495.945292,1580.039132,1397.968392,1482.062232
LipidA-PP [18_12_(54)],1824.242872,1742.260892,1726.265972,1523.976592,1608.070432,1425.999692,1510.093532
LipidA-PP [18_12_(56)],1852.274173,1770.292193,1754.297273,1552.007893,1636.101733,1454.030993,1538.124833
LipidA-PP [18_12_(58)],1880.305473,1798.323493,1782.328573,1580.039193,1664.133033,1482.062293,1566.156133
LipidA-PP [18_12_(60)],1908.336773,1826.354793,1810.359873,1608.070493,1692.164333,1510.093593,1594.187433
LipidA-PP [18_12_(62)],1936.368073,1854.386093,1838.391173,1636.101793,1720.195633,1538.124893,1622.218733
LipidA-PP [18_12_(64)],1964.399373,1882.417393,1866.422473,1664.133093,1748.226933,1566.156193,1650.250033
LipidA-PP [18_12_(66)],1992.430673,1910.448693,1894.453773,1692.164393,1776.258233,1594.187493,1678.281333
LipidA-PP [18_12_(68)],2020.461973,1938.479993,1922.485073,1720.195693,1804.289533,1622.218793,1706.312633
LipidA-PP [18_12_(70)],2048.493273,1966.511293,1950.516373,1748.226993,1832.320833,1650.250093,1734.343933
LipidA-PP [18_12_(72)],2076.524574,1994.542594,1978.547674,1776.258294,1860.352134,1678.281394,1762.375234
LipidA-PP [18_14_(40)],1656.055072,1574.073092,1558.078172,1355.788792,1411.851352,1257.811892,1313.874452
LipidA-PP [18_14_(42)],1684.086372,1602.104392,1586.109472,1383.820092,1439.882652,1285.843192,1341.905752
LipidA-PP [18_14_(44)],1712.117672,1630.135692,1614.140772,1411.851392,1467.913952,1313.874492,1369.937052
LipidA-PP [18_14_(46)],1740.148972,1658.166992,1642.172072,1439.882692,1495.945252,1341.905792,1397.968352
LipidA-PP [18_14_(48)],1768.180272,1686.198292,1670.203372,1467.913992,1523.976552,1369.937092,1425.999652
LipidA-PP [18_14_(50)],1796.211572,1714.229592,1698.234672,1495.945292,1552.007852,1397.968392,1454.030952
LipidA-PP [18_14_(52)],1824.242872,1742.260892,1726.265972,1523.976592,1580.039152,1425.999692,1482.062252
LipidA-PP [18_14_(54)],1852.274173,1770.292193,1754.297273,1552.007893,1608.070453,1454.030993,1510.093553
LipidA-PP [18_14_(56)],1880.305473,1798.323493,1782.328573,1580.039193,1636.101753,1482.062293,1538.124853
LipidA-PP [18_14_(58)],1908.336773,1826.354793,1810.359873,1608.070493,1664.133053,1510.093593,1566.156153
LipidA-PP [18_14_(60)],1936.368073,1854.386093,1838.391173,1636.101793,1692.164353,1538.124893,1594.187453
LipidA-PP [18_14_(62)],1964.399373,1882.417393,1866.422473,1664.133093,1720.195653,1566.156193,1622.218753
LipidA-PP [18_14_(64)],1992.430673,1910.448693,1894.453773,1692.164393,1748.226953,1594.187493,1650.250053
LipidA-PP [18_14_(66)],2020.461973,1938.479993,1922.485073,1720.195693,1776.258253,1622.218793,1678.281353
LipidA-PP [18_14_(68)],2048.493273,1966.511293,1950.516373,1748.226993,1804.289553,1650.250093,1706.312653
LipidA-PP [18_14_(70)],2076.524574,1994.542594,1978.547674,1776.258294,1832.320854,1678.281394,1734.343954
LipidA-PP [18_14_(72)],2104.555874,2022.573894,2006.578974,1804.289594,1860.352154,1706.312694,1762.375254
LipidA-PP [18_16_(40)],1684.086372,1602.104392,1586.109472,1383.820092,1411.851372,1285.843192,1313.874472
LipidA-PP [18_16_(42)],1712.117672,1630.135692,1614.140772,1411.851392,1439.882672,1313.874492,1341.905772
LipidA-PP [18_16_(44)],1740.148972,1658.166992,1642.172072,1439.882692,1467.913972,1341.905792,1369.937072
LipidA-PP [18_16_(46)],1768.180272,1686.198292,1670.203372,1467.913992,1495.945272,1369.937092,1397.968372
LipidA-PP [18_16_(48)],1796.211572,1714.229592,1698.234672,1495.945292,1523.976572,1397.968392,1425.999672
LipidA-PP [18_16_(50)],1824.242872,1742.260892,1726.265972,1523.976592,1552.007872,1425.999692,1454.030972
LipidA-PP [18_16_(52)],1852.274173,1770.292193,1754.297273,1552.007893,1580.039173,1454.030993,1482.062273
LipidA-PP [18_16_(54)],1880.305473,1798.323493,1782.328573,1580.039193,1608.070473,1482.062293,1510.093573
LipidA-PP [18_16_(56)],1908.336773,1826.354793,1810.359873,1608.070493,1636.101773,1510.093593,1538.124873
LipidA-PP [18_16_(58)],1936.368073,1854.386093,1838.391173,1636.101793,1664.133073,1538.124893,1566.156173
LipidA-PP [18_16_(60)],1964.399373,1882.417393,1866.422473,1664.133093,1692.164373,1566.156193,1594.187473
LipidA-PP [18_16_(62)],1992.430673,1910.448693,1894.453773,1692.164393,1720.195673,1594.187493,1622.218773
LipidA-PP [18_16_(64)],2020.461973,1938.479993,1922.485073,1720.195693,1748.226973,1622.218793,1650.250073
LipidA-PP [18_16_(66)],2048.493273,1966.511293,1950.516373,1748.226993,1776.258273,1650.250093,1678.281373
LipidA-PP [18_16_(68)],2076.524574,1994.542594,1978.547674,1776.258294,1804.289574,1678.281394,1706.312674
LipidA-PP [18_16_(70)],2104.555874,2022.573894,2006.578974,1804.289594,1832.320874,1706.312694,1734.343974
LipidA-PP [18_16_(72)],2132.587174,2050.605194,2034.610274,1832.320894,1860.352174,1734.343994,1762.375274
LipidA-PP [18_18_(40)],1712.117672,1630.135692,1614.140772,1411.851392,1411.851392,1313.874492,1313.874492
LipidA-PP [18_18_(42)],1740.148972,1658.166992,1642.172072,1439.882692,1439.882692,1341.905792,1341.905792
LipidA-PP [18_18_(44)],1768.180272,1686.198292,1670.203372,1467.913992,1467.913992,1369.937092,1369.937092
LipidA-PP [18_18_(46)],1796.211572,1714.229592,1698.234672,1495.945292,1495.945292,1397.968392,1397.968392
LipidA-PP [18_18_(48)],1824.242872,1742.260892,1726.265972,1523.976592,1523.976592,1425.999692,1425.999692
LipidA-PP [18_18_(50)],1852.274173,1770.292193,1754.297273,1552.007893,1552.007893,1454.030993,1454.030993
LipidA-PP [18_18_(52)],1880.305473,1798.323493,1782.328573,1580.039193,1580.039193,1482.062293,1482.062293
LipidA-PP [18_18_(54)],1908.336773,1826.354793,1810.359873,1608.070493,1608.070493,1510.093593,1510.093593
LipidA-PP [18_18_(56)],1936.368073,1854.386093,1838.391173,1636.101793,1636.101793,1538.124893,1538.124893
LipidA-PP [18_18_(58)],1964.399373,1882.417393,1866.422473,1664.133093,1664.133093,1566.156193,1566.156193
LipidA-PP [18_18_(60)],1992.430673,1910.448693,1894.453773,1692.164393,1692.164393,1594.187493,1594.187493
LipidA-PP [18_18_(62)],2020.461973,1938.479993,1922.485073,1720.195693,1720.195693,1622.218793,1622.218793
LipidA-PP [18_18_(64)],2048.493273,1966.511293,1950.516373,1748.226993,1748.226993,1650.250093,1650.250093
LipidA-PP [18_18_(66)],2076.524574,1994.542594,1978.547674,1776.258294,1776.258294,1678.281394,1678.281394
LipidA-PP [18_18_(68)],2104.555874,2022.573894,2006.578974,1804.289594,1804.289594,1706.312694,1706.312694
LipidA-PP [18_18_(70)],2132.587174,2050.605194,2034.610274,1832.320894,1832.320894,1734.343994,1734.343994
LipidA-PP [18_18_(72)],2160.618474,2078.636494,2062.641574,1860.352194,1860.352194,1762.375294,1762.375294
