Cer-BDS,[M+HCO2]-,[M-H]-,[Sph+CC=O-H]-,[Sph+C=O-CO-3H]-,[Sph-H]-,[Sph-NCCO-3H]-
Cer-BDS(d26:0/14:0)+HCO2,684.6142,638.6088,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/14:1)+HCO2,682.5986,636.5931,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/15:0)+HCO2,698.6299,652.6244,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/15:1)+HCO2,696.6142,650.6088,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/16:0)+HCO2,712.6455,666.64,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/16:1)+HCO2,710.6299,664.6244,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/16:2)+HCO2,708.6142,662.6088,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/17:0)+HCO2,726.6611,680.6557,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/18:0)+HCO2,740.6768,694.6713,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/18:1)+HCO2,738.6611,692.6557,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/18:2)+HCO2,736.6455,690.64,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/19:0)+HCO2,754.6924,708.687,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/19:1)+HCO2,752.6768,706.6713,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/20:0)+HCO2,768.7081,722.7026,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/20:1)+HCO2,766.6924,720.687,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/20:2)+HCO2,764.6768,718.6713,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/21:0)+HCO2,782.7238,736.7183,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/21:1)+HCO2,780.7081,734.7026,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/22:0)+HCO2,796.7394,750.7339,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/22:1)+HCO2,794.7238,748.7183,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/22:2)+HCO2,792.7081,746.7026,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/23:0)+HCO2,810.7551,764.7496,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/23:1)+HCO2,808.7394,762.7339,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/24:0)+HCO2,824.7707,778.7653,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/24:1)+HCO2,822.7551,776.7496,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/24:2)+HCO2,820.7394,774.7339,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/25:0)+HCO2,838.7864,792.7809,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/25:1)+HCO2,836.7707,790.7653,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/26:0)+HCO2,852.802,806.7966,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/26:1)+HCO2,850.7864,804.7809,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/26:2)+HCO2,848.7707,802.7653,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/27:0)+HCO2,866.8177,820.8122,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/27:1)+HCO2,864.802,818.7966,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/28:0)+HCO2,880.8333,834.8278,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/28:1)+HCO2,878.8177,832.8122,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/28:2)+HCO2,876.802,830.7966,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/29:0)+HCO2,894.849,848.8435,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/29:1)+HCO2,892.8333,846.8278,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/30:0)+HCO2,908.8646,862.8591,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/30:1)+HCO2,906.849,860.8435,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/30:2)+HCO2,904.8333,858.8278,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/31:0)+HCO2,922.8802,876.8748,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/31:1)+HCO2,920.8646,874.8591,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/32:0)+HCO2,936.8959,890.8904,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/32:1)+HCO2,934.8802,888.8748,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/32:2)+HCO2,932.8646,886.8591,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/33:0)+HCO2,950.9116,904.9061,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/33:1)+HCO2,948.8959,902.8904,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/34:0)+HCO2,964.9272,918.9218,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/34:1)+HCO2,962.9116,916.9061,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/34:2)+HCO2,960.8959,914.8904,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/35:0)+HCO2,978.9429,932.9374,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/35:1)+HCO2,976.9272,930.9218,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/36:0)+HCO2,992.9585,946.9531,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/36:1)+HCO2,990.9429,944.9374,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/36:2)+HCO2,988.9272,942.9218,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/38:0)+HCO2,1020.99,974.9843,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/38:1)+HCO2,1018.974,972.9687,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/38:2)+HCO2,1016.958,970.9531,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/40:0)+HCO2,1049.021,1003.016,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/40:1)+HCO2,1047.005,1001,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/40:2)+HCO2,1044.99,998.9843,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/42:0)+HCO2,1077.052,1031.047,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/42:1)+HCO2,1075.037,1029.031,454.4266,422.4004,412.416,351.3633
Cer-BDS(d26:0/42:2)+HCO2,1073.021,1027.016,454.4266,422.4004,412.416,351.3633
Cer-BDS(d27:0/12:0)+HCO2,670.5986,624.5931,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/12:1)+HCO2,668.5829,622.5775,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/13:0)+HCO2,684.6142,638.6088,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/13:1)+HCO2,682.5986,636.5931,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/14:0)+HCO2,698.6299,652.6244,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/14:1)+HCO2,696.6142,650.6088,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/15:0)+HCO2,712.6455,666.64,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/15:1)+HCO2,710.6299,664.6244,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/16:0)+HCO2,726.6611,680.6557,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/16:1)+HCO2,724.6455,678.64,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/16:2)+HCO2,722.6299,676.6244,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/17:0)+HCO2,740.6768,694.6713,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/18:0)+HCO2,754.6924,708.687,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/18:1)+HCO2,752.6768,706.6713,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/18:2)+HCO2,750.6611,704.6557,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/19:0)+HCO2,768.7081,722.7026,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/19:1)+HCO2,766.6924,720.687,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/20:0)+HCO2,782.7238,736.7183,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/20:1)+HCO2,780.7081,734.7026,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/20:2)+HCO2,778.6924,732.687,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/21:0)+HCO2,796.7394,750.7339,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/21:1)+HCO2,794.7238,748.7183,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/22:0)+HCO2,810.7551,764.7496,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/22:1)+HCO2,808.7394,762.7339,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/22:2)+HCO2,806.7238,760.7183,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/23:0)+HCO2,824.7707,778.7653,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/23:1)+HCO2,822.7551,776.7496,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/24:0)+HCO2,838.7864,792.7809,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/24:1)+HCO2,836.7707,790.7653,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/24:2)+HCO2,834.7551,788.7496,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/25:0)+HCO2,852.802,806.7966,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/25:1)+HCO2,850.7864,804.7809,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/26:0)+HCO2,866.8177,820.8122,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/26:1)+HCO2,864.802,818.7966,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/26:2)+HCO2,862.7864,816.7809,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/27:0)+HCO2,880.8333,834.8278,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/27:1)+HCO2,878.8177,832.8122,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/28:0)+HCO2,894.849,848.8435,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/28:1)+HCO2,892.8333,846.8278,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/28:2)+HCO2,890.8177,844.8122,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/29:0)+HCO2,908.8646,862.8591,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/29:1)+HCO2,906.849,860.8435,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/30:0)+HCO2,922.8802,876.8748,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/30:1)+HCO2,920.8646,874.8591,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/30:2)+HCO2,918.849,872.8435,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/31:0)+HCO2,936.8959,890.8904,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/31:1)+HCO2,934.8802,888.8748,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/32:0)+HCO2,950.9116,904.9061,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/32:1)+HCO2,948.8959,902.8904,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/32:2)+HCO2,946.8802,900.8748,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/33:0)+HCO2,964.9272,918.9218,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/33:1)+HCO2,962.9116,916.9061,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/34:0)+HCO2,978.9429,932.9374,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/34:1)+HCO2,976.9272,930.9218,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/34:2)+HCO2,974.9116,928.9061,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/35:0)+HCO2,992.9585,946.9531,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/35:1)+HCO2,990.9429,944.9374,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/36:0)+HCO2,1006.974,960.9687,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/36:1)+HCO2,1004.958,958.9531,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/36:2)+HCO2,1002.943,956.9374,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/38:0)+HCO2,1035.005,989,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/38:1)+HCO2,1032.99,986.9843,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/38:2)+HCO2,1030.974,984.9687,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/40:0)+HCO2,1063.037,1017.031,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/40:1)+HCO2,1061.021,1015.016,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/40:2)+HCO2,1059.005,1013,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/42:0)+HCO2,1091.068,1045.063,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/42:1)+HCO2,1089.052,1043.047,468.4422,436.416,426.4317,365.3789
Cer-BDS(d27:0/42:2)+HCO2,1087.037,1041.031,468.4422,436.416,426.4317,365.3789
Cer-BDS(d28:0/12:0)+HCO2,684.6142,638.6088,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/12:1)+HCO2,682.5986,636.5931,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/13:0)+HCO2,698.6299,652.6244,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/13:1)+HCO2,696.6142,650.6088,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/14:0)+HCO2,712.6455,666.64,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/14:1)+HCO2,710.6299,664.6244,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/15:0)+HCO2,726.6611,680.6557,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/15:1)+HCO2,724.6455,678.64,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/16:0)+HCO2,740.6768,694.6713,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/16:1)+HCO2,738.6611,692.6557,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/16:2)+HCO2,736.6455,690.64,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/17:0)+HCO2,754.6924,708.687,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/18:0)+HCO2,768.7081,722.7026,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/18:1)+HCO2,766.6924,720.687,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/18:2)+HCO2,764.6768,718.6713,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/19:0)+HCO2,782.7238,736.7183,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/19:1)+HCO2,780.7081,734.7026,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/20:0)+HCO2,796.7394,750.7339,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/20:1)+HCO2,794.7238,748.7183,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/20:2)+HCO2,792.7081,746.7026,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/21:0)+HCO2,810.7551,764.7496,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/21:1)+HCO2,808.7394,762.7339,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/22:0)+HCO2,824.7707,778.7653,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/22:1)+HCO2,822.7551,776.7496,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/22:2)+HCO2,820.7394,774.7339,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/23:0)+HCO2,838.7864,792.7809,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/23:1)+HCO2,836.7707,790.7653,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/24:0)+HCO2,852.802,806.7966,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/24:1)+HCO2,850.7864,804.7809,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/24:2)+HCO2,848.7707,802.7653,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/25:0)+HCO2,866.8177,820.8122,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/25:1)+HCO2,864.802,818.7966,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/26:0)+HCO2,880.8333,834.8278,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/26:1)+HCO2,878.8177,832.8122,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/26:2)+HCO2,876.802,830.7966,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/27:0)+HCO2,894.849,848.8435,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/27:1)+HCO2,892.8333,846.8278,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/28:0)+HCO2,908.8646,862.8591,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/28:1)+HCO2,906.849,860.8435,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/28:2)+HCO2,904.8333,858.8278,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/29:0)+HCO2,922.8802,876.8748,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/29:1)+HCO2,920.8646,874.8591,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/30:0)+HCO2,936.8959,890.8904,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/30:1)+HCO2,934.8802,888.8748,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/30:2)+HCO2,932.8646,886.8591,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/31:0)+HCO2,950.9116,904.9061,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/31:1)+HCO2,948.8959,902.8904,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/32:0)+HCO2,964.9272,918.9218,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/32:1)+HCO2,962.9116,916.9061,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/32:2)+HCO2,960.8959,914.8904,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/33:0)+HCO2,978.9429,932.9374,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/33:1)+HCO2,976.9272,930.9218,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/34:0)+HCO2,992.9585,946.9531,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/34:1)+HCO2,990.9429,944.9374,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/34:2)+HCO2,988.9272,942.9218,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/35:0)+HCO2,1006.974,960.9687,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/35:1)+HCO2,1004.958,958.9531,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/36:0)+HCO2,1020.99,974.9843,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/36:1)+HCO2,1018.974,972.9687,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/36:2)+HCO2,1016.958,970.9531,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/38:0)+HCO2,1049.021,1003.016,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/38:1)+HCO2,1047.005,1001,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/38:2)+HCO2,1044.99,998.9843,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/40:0)+HCO2,1077.052,1031.047,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/40:1)+HCO2,1075.037,1029.031,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/40:2)+HCO2,1073.021,1027.016,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/42:0)+HCO2,1105.084,1059.078,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/42:1)+HCO2,1103.068,1057.063,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d28:0/42:2)+HCO2,1101.052,1055.047,482.4579,450.4317,440.4473,379.3946
Cer-BDS(d29:0/12:0)+HCO2,698.6299,652.6244,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/12:1)+HCO2,696.6142,650.6088,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/13:0)+HCO2,712.6455,666.64,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/13:1)+HCO2,710.6299,664.6244,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/14:0)+HCO2,726.6611,680.6557,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/14:1)+HCO2,724.6455,678.64,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/15:0)+HCO2,740.6768,694.6713,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/15:1)+HCO2,738.6611,692.6557,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/16:0)+HCO2,754.6924,708.687,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/16:1)+HCO2,752.6768,706.6713,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/16:2)+HCO2,750.6611,704.6557,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/17:0)+HCO2,768.7081,722.7026,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/18:0)+HCO2,782.7238,736.7183,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/18:1)+HCO2,780.7081,734.7026,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/18:2)+HCO2,778.6924,732.687,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/19:0)+HCO2,796.7394,750.7339,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/19:1)+HCO2,794.7238,748.7183,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/20:0)+HCO2,810.7551,764.7496,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/20:1)+HCO2,808.7394,762.7339,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/20:2)+HCO2,806.7238,760.7183,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/21:0)+HCO2,824.7707,778.7653,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/21:1)+HCO2,822.7551,776.7496,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/22:0)+HCO2,838.7864,792.7809,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/22:1)+HCO2,836.7707,790.7653,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/22:2)+HCO2,834.7551,788.7496,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/23:0)+HCO2,852.802,806.7966,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/23:1)+HCO2,850.7864,804.7809,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/24:0)+HCO2,866.8177,820.8122,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/24:1)+HCO2,864.802,818.7966,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/24:2)+HCO2,862.7864,816.7809,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/25:0)+HCO2,880.8333,834.8278,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/25:1)+HCO2,878.8177,832.8122,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/26:0)+HCO2,894.849,848.8435,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/26:1)+HCO2,892.8333,846.8278,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/26:2)+HCO2,890.8177,844.8122,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/27:0)+HCO2,908.8646,862.8591,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/27:1)+HCO2,906.849,860.8435,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/28:0)+HCO2,922.8802,876.8748,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/28:1)+HCO2,920.8646,874.8591,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/28:2)+HCO2,918.849,872.8435,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/29:0)+HCO2,936.8959,890.8904,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/29:1)+HCO2,934.8802,888.8748,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/30:0)+HCO2,950.9116,904.9061,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/30:1)+HCO2,948.8959,902.8904,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/30:2)+HCO2,946.8802,900.8748,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/31:0)+HCO2,964.9272,918.9218,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/31:1)+HCO2,962.9116,916.9061,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/32:0)+HCO2,978.9429,932.9374,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/32:1)+HCO2,976.9272,930.9218,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/32:2)+HCO2,974.9116,928.9061,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/33:0)+HCO2,992.9585,946.9531,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/33:1)+HCO2,990.9429,944.9374,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/34:0)+HCO2,1006.974,960.9687,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/34:1)+HCO2,1004.958,958.9531,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/34:2)+HCO2,1002.943,956.9374,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/35:0)+HCO2,1020.99,974.9843,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/35:1)+HCO2,1018.974,972.9687,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/36:0)+HCO2,1035.005,989,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/36:1)+HCO2,1032.99,986.9843,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/36:2)+HCO2,1030.974,984.9687,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/38:0)+HCO2,1063.037,1017.031,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/38:1)+HCO2,1061.021,1015.016,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/38:2)+HCO2,1059.005,1013,496.4735,464.4473,454.463,393.4102
Cer-BDS(d29:0/40:0)+HCO2,1091.068,1045.063,496.4735,464.4473,454.463,393.4102
