Cer-AS,[M-H]-,[M-O-H]-,[M-CO-3H]-,[M-CO-O-H]-,[Sph-3H]-,[Sph-O-3H]-,[FA+O-H]-,[FA+N-H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer-AS(d14:1/12:0)-H,440.374,422.3634,408.3478,392.3528,240.1969,224.202,215.1653,214.1813,212.202,197.1547,183.1754,181.1598,169.1598
Cer-AS(d14:1/12:1)-H,438.3583,420.3478,406.3321,390.3372,240.1969,224.202,213.1496,212.1656,212.202,195.1391,183.1754,181.1598,167.1441
Cer-AS(d14:1/13:0)-H,454.3896,436.3791,422.3634,406.3685,240.1969,224.202,229.1809,228.1969,212.202,211.1704,183.1754,181.1598,183.1754
Cer-AS(d14:1/13:1)-H,452.374,434.3634,420.3478,404.3528,240.1969,224.202,227.1653,226.1813,212.202,209.1547,183.1754,181.1598,181.1598
Cer-AS(d14:1/14:0)-H,468.4053,450.3947,436.3791,420.3842,240.1969,224.202,243.1966,242.2126,212.202,225.186,183.1754,181.1598,197.1911
Cer-AS(d14:1/14:1)-H,466.3896,448.3791,434.3634,418.3685,240.1969,224.202,241.1809,240.1969,212.202,223.1704,183.1754,181.1598,195.1754
Cer-AS(d14:1/15:0)-H,482.4209,464.4104,450.3947,434.3998,240.1969,224.202,257.2122,256.2282,212.202,239.2017,183.1754,181.1598,211.2067
Cer-AS(d14:1/15:1)-H,480.4053,462.3947,448.3791,432.3842,240.1969,224.202,255.1966,254.2126,212.202,237.186,183.1754,181.1598,209.1911
Cer-AS(d14:1/16:0)-H,496.4366,478.426,464.4104,448.4154,240.1969,224.202,271.2279,270.2439,212.202,253.2173,183.1754,181.1598,225.2224
Cer-AS(d14:1/16:1)-H,494.4209,476.4104,462.3947,446.3998,240.1969,224.202,269.2122,268.2282,212.202,251.2017,183.1754,181.1598,223.2067
Cer-AS(d14:1/16:2)-H,492.4053,474.3947,460.3791,444.3842,240.1969,224.202,267.1966,266.2126,212.202,249.186,183.1754,181.1598,221.1911
Cer-AS(d14:1/17:0)-H,510.4522,492.4417,478.426,462.4311,240.1969,224.202,285.2435,284.2595,212.202,267.233,183.1754,181.1598,239.238
Cer-AS(d14:1/18:0)-H,524.4679,506.4573,492.4417,476.4467,240.1969,224.202,299.2592,298.2751,212.202,281.2486,183.1754,181.1598,253.2537
Cer-AS(d14:1/18:1)-H,522.4523,504.4417,490.426,474.4311,240.1969,224.202,297.2435,296.2595,212.202,279.233,183.1754,181.1598,251.238
Cer-AS(d14:1/18:2)-H,520.4366,502.426,488.4104,472.4154,240.1969,224.202,295.2279,294.2439,212.202,277.2173,183.1754,181.1598,249.2224
Cer-AS(d14:1/19:0)-H,538.4835,520.473,506.4573,490.4624,240.1969,224.202,313.2748,312.2908,212.202,295.2643,183.1754,181.1598,267.2693
Cer-AS(d14:1/19:1)-H,536.4679,518.4573,504.4417,488.4467,240.1969,224.202,311.2592,310.2751,212.202,293.2486,183.1754,181.1598,265.2537
Cer-AS(d14:1/20:0)-H,552.4992,534.4886,520.473,504.4781,240.1969,224.202,327.2905,326.3065,212.202,309.2799,183.1754,181.1598,281.285
Cer-AS(d14:1/20:1)-H,550.4835,532.473,518.4573,502.4624,240.1969,224.202,325.2748,324.2908,212.202,307.2643,183.1754,181.1598,279.2693
Cer-AS(d14:1/20:2)-H,548.4679,530.4573,516.4417,500.4467,240.1969,224.202,323.2592,322.2751,212.202,305.2486,183.1754,181.1598,277.2537
Cer-AS(d14:1/21:0)-H,566.5148,548.5043,534.4886,518.4937,240.1969,224.202,341.3061,340.3221,212.202,323.2956,183.1754,181.1598,295.3006
Cer-AS(d14:1/21:1)-H,564.4992,546.4886,532.473,516.478,240.1969,224.202,339.2905,338.3065,212.202,321.2799,183.1754,181.1598,293.285
Cer-AS(d14:1/22:0)-H,580.5305,562.5199,548.5043,532.5093,240.1969,224.202,355.3218,354.3378,212.202,337.3112,183.1754,181.1598,309.3163
Cer-AS(d14:1/22:1)-H,578.5148,560.5043,546.4886,530.4937,240.1969,224.202,353.3061,352.3221,212.202,335.2956,183.1754,181.1598,307.3006
Cer-AS(d14:1/22:2)-H,576.4992,558.4886,544.473,528.478,240.1969,224.202,351.2905,350.3065,212.202,333.2799,183.1754,181.1598,305.285
Cer-AS(d14:1/23:0)-H,594.5461,576.5356,562.5199,546.525,240.1969,224.202,369.3374,368.3534,212.202,351.3269,183.1754,181.1598,323.3319
Cer-AS(d14:1/23:1)-H,592.5305,574.5199,560.5043,544.5093,240.1969,224.202,367.3218,366.3378,212.202,349.3112,183.1754,181.1598,321.3163
Cer-AS(d14:1/24:0)-H,608.5618,590.5512,576.5356,560.5406,240.1969,224.202,383.3531,382.369,212.202,365.3425,183.1754,181.1598,337.3476
Cer-AS(d14:1/24:1)-H,606.5461,588.5356,574.5199,558.525,240.1969,224.202,381.3374,380.3534,212.202,363.3269,183.1754,181.1598,335.3319
Cer-AS(d14:1/24:2)-H,604.5305,586.5199,572.5043,556.5093,240.1969,224.202,379.3218,378.3378,212.202,361.3112,183.1754,181.1598,333.3163
Cer-AS(d14:1/25:0)-H,622.5775,604.5669,590.5512,574.5563,240.1969,224.202,397.3687,396.3847,212.202,379.3582,183.1754,181.1598,351.3633
Cer-AS(d14:1/25:1)-H,620.5618,602.5512,588.5356,572.5406,240.1969,224.202,395.3531,394.369,212.202,377.3425,183.1754,181.1598,349.3476
Cer-AS(d14:1/26:0)-H,636.5931,618.5825,604.5669,588.572,240.1969,224.202,411.3844,410.4004,212.202,393.3738,183.1754,181.1598,365.3789
Cer-AS(d14:1/26:1)-H,634.5775,616.5669,602.5512,586.5563,240.1969,224.202,409.3687,408.3847,212.202,391.3582,183.1754,181.1598,363.3633
Cer-AS(d14:1/26:2)-H,632.5618,614.5512,600.5356,584.5406,240.1969,224.202,407.3531,406.369,212.202,389.3425,183.1754,181.1598,361.3476
Cer-AS(d14:1/27:0)-H,650.6088,632.5981,618.5825,602.5876,240.1969,224.202,425.4,424.416,212.202,407.3895,183.1754,181.1598,379.3945
Cer-AS(d14:1/27:1)-H,648.5931,630.5825,616.5669,600.572,240.1969,224.202,423.3844,422.4004,212.202,405.3738,183.1754,181.1598,377.3789
Cer-AS(d14:1/28:0)-H,664.6244,646.6138,632.5981,616.6033,240.1969,224.202,439.4157,438.4317,212.202,421.4051,183.1754,181.1598,393.4102
Cer-AS(d14:1/28:1)-H,662.6088,644.5981,630.5825,614.5876,240.1969,224.202,437.4,436.416,212.202,419.3895,183.1754,181.1598,391.3945
Cer-AS(d14:1/28:2)-H,660.5931,642.5825,628.5669,612.572,240.1969,224.202,435.3844,434.4004,212.202,417.3738,183.1754,181.1598,389.3789
Cer-AS(d14:1/29:0)-H,678.64,660.6295,646.6138,630.6189,240.1969,224.202,453.4313,452.4473,212.202,435.4207,183.1754,181.1598,407.4258
Cer-AS(d14:1/29:1)-H,676.6244,658.6138,644.5981,628.6033,240.1969,224.202,451.4157,450.4317,212.202,433.4051,183.1754,181.1598,405.4102
Cer-AS(d14:1/30:0)-H,692.6557,674.6451,660.6295,644.6345,240.1969,224.202,467.447,466.463,212.202,449.4364,183.1754,181.1598,421.4415
Cer-AS(d14:1/30:1)-H,690.64,672.6295,658.6138,642.6189,240.1969,224.202,465.4313,464.4473,212.202,447.4207,183.1754,181.1598,419.4258
Cer-AS(d14:1/30:2)-H,688.6244,670.6138,656.5981,640.6033,240.1969,224.202,463.4157,462.4317,212.202,445.4051,183.1754,181.1598,417.4102
Cer-AS(d14:1/31:0)-H,706.6713,688.6608,674.6451,658.6502,240.1969,224.202,481.4626,480.4786,212.202,463.4521,183.1754,181.1598,435.4572
Cer-AS(d14:1/31:1)-H,704.6557,686.6451,672.6295,656.6345,240.1969,224.202,479.447,478.463,212.202,461.4364,183.1754,181.1598,433.4415
Cer-AS(d14:1/32:0)-H,720.687,702.6764,688.6608,672.6658,240.1969,224.202,495.4783,494.4943,212.202,477.4677,183.1754,181.1598,449.4728
Cer-AS(d14:1/32:1)-H,718.6713,700.6608,686.6451,670.6502,240.1969,224.202,493.4626,492.4786,212.202,475.4521,183.1754,181.1598,447.4572
Cer-AS(d14:1/32:2)-H,716.6557,698.6451,684.6295,668.6345,240.1969,224.202,491.447,490.463,212.202,473.4364,183.1754,181.1598,445.4415
Cer-AS(d14:1/33:0)-H,734.7026,716.6921,702.6764,686.6815,240.1969,224.202,509.4939,508.5099,212.202,491.4834,183.1754,181.1598,463.4884
Cer-AS(d14:1/33:1)-H,732.687,714.6764,700.6608,684.6658,240.1969,224.202,507.4783,506.4943,212.202,489.4677,183.1754,181.1598,461.4728
Cer-AS(d14:1/34:0)-H,748.7183,730.7077,716.6921,700.6971,240.1969,224.202,523.5096,522.5256,212.202,505.499,183.1754,181.1598,477.5041
Cer-AS(d14:1/34:1)-H,746.7026,728.6921,714.6764,698.6815,240.1969,224.202,521.494,520.5099,212.202,503.4834,183.1754,181.1598,475.4884
Cer-AS(d14:1/34:2)-H,744.687,726.6764,712.6608,696.6658,240.1969,224.202,519.4783,518.4943,212.202,501.4677,183.1754,181.1598,473.4728
Cer-AS(d14:1/35:0)-H,762.7339,744.7234,730.7077,714.7128,240.1969,224.202,537.5252,536.5412,212.202,519.5146,183.1754,181.1598,491.5197
Cer-AS(d14:1/35:1)-H,760.7183,742.7077,728.6921,712.6971,240.1969,224.202,535.5096,534.5256,212.202,517.499,183.1754,181.1598,489.5041
Cer-AS(d14:1/36:0)-H,776.7496,758.739,744.7234,728.7285,240.1969,224.202,551.5409,550.5569,212.202,533.5303,183.1754,181.1598,505.5354
Cer-AS(d14:1/36:1)-H,774.7339,756.7234,742.7077,726.7128,240.1969,224.202,549.5252,548.5412,212.202,531.5146,183.1754,181.1598,503.5197
Cer-AS(d14:1/36:2)-H,772.7183,754.7077,740.6921,724.6971,240.1969,224.202,547.5096,546.5256,212.202,529.499,183.1754,181.1598,501.5041
Cer-AS(d14:1/38:0)-H,804.7809,786.7703,772.7547,756.7598,240.1969,224.202,579.5722,578.5881,212.202,561.5616,183.1754,181.1598,533.5667
Cer-AS(d14:1/38:1)-H,802.7653,784.7547,770.739,754.7441,240.1969,224.202,577.5565,576.5725,212.202,559.546,183.1754,181.1598,531.551
Cer-AS(d14:1/38:2)-H,800.7496,782.739,768.7234,752.7285,240.1969,224.202,575.5409,574.5569,212.202,557.5303,183.1754,181.1598,529.5354
Cer-AS(d14:1/40:0)-H,832.8122,814.8016,800.7859,784.7911,240.1969,224.202,607.6035,606.6194,212.202,589.5929,183.1754,181.1598,561.598
Cer-AS(d14:1/40:1)-H,830.7966,812.7859,798.7703,782.7754,240.1969,224.202,605.5878,604.6038,212.202,587.5773,183.1754,181.1598,559.5823
Cer-AS(d14:1/40:2)-H,828.7809,810.7703,796.7547,780.7598,240.1969,224.202,603.5722,602.5881,212.202,585.5616,183.1754,181.1598,557.5667
Cer-AS(d14:1/42:0)-H,860.8435,842.8329,828.8173,812.8223,240.1969,224.202,635.6348,634.6508,212.202,617.6242,183.1754,181.1598,589.6293
Cer-AS(d14:1/42:1)-H,858.8278,840.8173,826.8016,810.8067,240.1969,224.202,633.6191,632.6351,212.202,615.6086,183.1754,181.1598,587.6136
Cer-AS(d14:1/42:2)-H,856.8122,838.8016,824.7859,808.7911,240.1969,224.202,631.6035,630.6194,212.202,613.5929,183.1754,181.1598,585.598
Cer-AS(d14:2/12:0)-H,438.3583,420.3478,406.3321,390.3372,238.1813,222.1863,215.1653,214.1813,210.1863,197.1547,181.1598,179.1441,169.1598
Cer-AS(d14:2/12:1)-H,436.3427,418.3321,404.3165,388.3216,238.1813,222.1863,213.1496,212.1656,210.1863,195.1391,181.1598,179.1441,167.1441
Cer-AS(d14:2/13:0)-H,452.374,434.3634,420.3478,404.3528,238.1813,222.1863,229.1809,228.1969,210.1863,211.1704,181.1598,179.1441,183.1754
Cer-AS(d14:2/13:1)-H,450.3583,432.3478,418.3321,402.3372,238.1813,222.1863,227.1653,226.1813,210.1863,209.1547,181.1598,179.1441,181.1598
Cer-AS(d14:2/14:0)-H,466.3896,448.3791,434.3634,418.3685,238.1813,222.1863,243.1966,242.2126,210.1863,225.186,181.1598,179.1441,197.1911
Cer-AS(d14:2/14:1)-H,464.374,446.3634,432.3478,416.3528,238.1813,222.1863,241.1809,240.1969,210.1863,223.1704,181.1598,179.1441,195.1754
Cer-AS(d14:2/15:0)-H,480.4053,462.3947,448.3791,432.3842,238.1813,222.1863,257.2122,256.2282,210.1863,239.2017,181.1598,179.1441,211.2067
Cer-AS(d14:2/15:1)-H,478.3896,460.3791,446.3634,430.3685,238.1813,222.1863,255.1966,254.2126,210.1863,237.186,181.1598,179.1441,209.1911
Cer-AS(d14:2/16:0)-H,494.4209,476.4104,462.3947,446.3998,238.1813,222.1863,271.2279,270.2439,210.1863,253.2173,181.1598,179.1441,225.2224
Cer-AS(d14:2/16:1)-H,492.4053,474.3947,460.3791,444.3842,238.1813,222.1863,269.2122,268.2282,210.1863,251.2017,181.1598,179.1441,223.2067
Cer-AS(d14:2/16:2)-H,490.3896,472.3791,458.3634,442.3685,238.1813,222.1863,267.1966,266.2126,210.1863,249.186,181.1598,179.1441,221.1911
Cer-AS(d14:2/17:0)-H,508.4366,490.426,476.4104,460.4154,238.1813,222.1863,285.2435,284.2595,210.1863,267.233,181.1598,179.1441,239.238
Cer-AS(d14:2/18:0)-H,522.4523,504.4417,490.426,474.4311,238.1813,222.1863,299.2592,298.2751,210.1863,281.2486,181.1598,179.1441,253.2537
Cer-AS(d14:2/18:1)-H,520.4366,502.426,488.4104,472.4154,238.1813,222.1863,297.2435,296.2595,210.1863,279.233,181.1598,179.1441,251.238
Cer-AS(d14:2/18:2)-H,518.421,500.4104,486.3947,470.3998,238.1813,222.1863,295.2279,294.2439,210.1863,277.2173,181.1598,179.1441,249.2224
Cer-AS(d14:2/19:0)-H,536.4679,518.4573,504.4417,488.4467,238.1813,222.1863,313.2748,312.2908,210.1863,295.2643,181.1598,179.1441,267.2693
Cer-AS(d14:2/19:1)-H,534.4523,516.4417,502.426,486.4311,238.1813,222.1863,311.2592,310.2751,210.1863,293.2486,181.1598,179.1441,265.2537
Cer-AS(d14:2/20:0)-H,550.4835,532.473,518.4573,502.4624,238.1813,222.1863,327.2905,326.3065,210.1863,309.2799,181.1598,179.1441,281.285
Cer-AS(d14:2/20:1)-H,548.4679,530.4573,516.4417,500.4467,238.1813,222.1863,325.2748,324.2908,210.1863,307.2643,181.1598,179.1441,279.2693
Cer-AS(d14:2/20:2)-H,546.4523,528.4417,514.426,498.4311,238.1813,222.1863,323.2592,322.2751,210.1863,305.2486,181.1598,179.1441,277.2537
Cer-AS(d14:2/21:0)-H,564.4992,546.4886,532.473,516.478,238.1813,222.1863,341.3061,340.3221,210.1863,323.2956,181.1598,179.1441,295.3006
Cer-AS(d14:2/21:1)-H,562.4835,544.473,530.4573,514.4624,238.1813,222.1863,339.2905,338.3065,210.1863,321.2799,181.1598,179.1441,293.285
Cer-AS(d14:2/22:0)-H,578.5148,560.5043,546.4886,530.4937,238.1813,222.1863,355.3218,354.3378,210.1863,337.3112,181.1598,179.1441,309.3163
Cer-AS(d14:2/22:1)-H,576.4992,558.4886,544.473,528.478,238.1813,222.1863,353.3061,352.3221,210.1863,335.2956,181.1598,179.1441,307.3006
Cer-AS(d14:2/22:2)-H,574.4835,556.473,542.4573,526.4624,238.1813,222.1863,351.2905,350.3065,210.1863,333.2799,181.1598,179.1441,305.285
Cer-AS(d14:2/23:0)-H,592.5305,574.5199,560.5043,544.5093,238.1813,222.1863,369.3374,368.3534,210.1863,351.3269,181.1598,179.1441,323.3319
Cer-AS(d14:2/23:1)-H,590.5148,572.5043,558.4886,542.4937,238.1813,222.1863,367.3218,366.3378,210.1863,349.3112,181.1598,179.1441,321.3163
Cer-AS(d14:2/24:0)-H,606.5461,588.5356,574.5199,558.525,238.1813,222.1863,383.3531,382.369,210.1863,365.3425,181.1598,179.1441,337.3476
Cer-AS(d14:2/24:1)-H,604.5305,586.5199,572.5043,556.5093,238.1813,222.1863,381.3374,380.3534,210.1863,363.3269,181.1598,179.1441,335.3319
Cer-AS(d14:2/24:2)-H,602.5148,584.5043,570.4886,554.4937,238.1813,222.1863,379.3218,378.3378,210.1863,361.3112,181.1598,179.1441,333.3163
Cer-AS(d14:2/25:0)-H,620.5618,602.5512,588.5356,572.5406,238.1813,222.1863,397.3687,396.3847,210.1863,379.3582,181.1598,179.1441,351.3633
Cer-AS(d14:2/25:1)-H,618.5461,600.5356,586.5199,570.525,238.1813,222.1863,395.3531,394.369,210.1863,377.3425,181.1598,179.1441,349.3476
Cer-AS(d14:2/26:0)-H,634.5775,616.5669,602.5512,586.5563,238.1813,222.1863,411.3844,410.4004,210.1863,393.3738,181.1598,179.1441,365.3789
Cer-AS(d14:2/26:1)-H,632.5618,614.5512,600.5356,584.5406,238.1813,222.1863,409.3687,408.3847,210.1863,391.3582,181.1598,179.1441,363.3633
Cer-AS(d14:2/26:2)-H,630.5461,612.5356,598.5199,582.525,238.1813,222.1863,407.3531,406.369,210.1863,389.3425,181.1598,179.1441,361.3476
Cer-AS(d14:2/27:0)-H,648.5931,630.5825,616.5669,600.572,238.1813,222.1863,425.4,424.416,210.1863,407.3895,181.1598,179.1441,379.3945
Cer-AS(d14:2/27:1)-H,646.5775,628.5669,614.5512,598.5563,238.1813,222.1863,423.3844,422.4004,210.1863,405.3738,181.1598,179.1441,377.3789
Cer-AS(d14:2/28:0)-H,662.6088,644.5981,630.5825,614.5876,238.1813,222.1863,439.4157,438.4317,210.1863,421.4051,181.1598,179.1441,393.4102
Cer-AS(d14:2/28:1)-H,660.5931,642.5825,628.5669,612.572,238.1813,222.1863,437.4,436.416,210.1863,419.3895,181.1598,179.1441,391.3945
Cer-AS(d14:2/28:2)-H,658.5775,640.5669,626.5512,610.5563,238.1813,222.1863,435.3844,434.4004,210.1863,417.3738,181.1598,179.1441,389.3789
Cer-AS(d14:2/29:0)-H,676.6244,658.6138,644.5981,628.6033,238.1813,222.1863,453.4313,452.4473,210.1863,435.4207,181.1598,179.1441,407.4258
Cer-AS(d14:2/29:1)-H,674.6088,656.5981,642.5825,626.5876,238.1813,222.1863,451.4157,450.4317,210.1863,433.4051,181.1598,179.1441,405.4102
Cer-AS(d14:2/30:0)-H,690.64,672.6295,658.6138,642.6189,238.1813,222.1863,467.447,466.463,210.1863,449.4364,181.1598,179.1441,421.4415
Cer-AS(d14:2/30:1)-H,688.6244,670.6138,656.5981,640.6033,238.1813,222.1863,465.4313,464.4473,210.1863,447.4207,181.1598,179.1441,419.4258
Cer-AS(d14:2/30:2)-H,686.6088,668.5981,654.5825,638.5876,238.1813,222.1863,463.4157,462.4317,210.1863,445.4051,181.1598,179.1441,417.4102
Cer-AS(d14:2/31:0)-H,704.6557,686.6451,672.6295,656.6345,238.1813,222.1863,481.4626,480.4786,210.1863,463.4521,181.1598,179.1441,435.4572
Cer-AS(d14:2/31:1)-H,702.64,684.6295,670.6138,654.6189,238.1813,222.1863,479.447,478.463,210.1863,461.4364,181.1598,179.1441,433.4415
Cer-AS(d14:2/32:0)-H,718.6713,700.6608,686.6451,670.6502,238.1813,222.1863,495.4783,494.4943,210.1863,477.4677,181.1598,179.1441,449.4728
Cer-AS(d14:2/32:1)-H,716.6557,698.6451,684.6295,668.6345,238.1813,222.1863,493.4626,492.4786,210.1863,475.4521,181.1598,179.1441,447.4572
Cer-AS(d14:2/32:2)-H,714.64,696.6295,682.6138,666.6189,238.1813,222.1863,491.447,490.463,210.1863,473.4364,181.1598,179.1441,445.4415
Cer-AS(d14:2/33:0)-H,732.687,714.6764,700.6608,684.6658,238.1813,222.1863,509.4939,508.5099,210.1863,491.4834,181.1598,179.1441,463.4884
Cer-AS(d14:2/33:1)-H,730.6713,712.6608,698.6451,682.6502,238.1813,222.1863,507.4783,506.4943,210.1863,489.4677,181.1598,179.1441,461.4728
Cer-AS(d14:2/34:0)-H,746.7026,728.6921,714.6764,698.6815,238.1813,222.1863,523.5096,522.5256,210.1863,505.499,181.1598,179.1441,477.5041
Cer-AS(d14:2/34:1)-H,744.687,726.6764,712.6608,696.6658,238.1813,222.1863,521.494,520.5099,210.1863,503.4834,181.1598,179.1441,475.4884
Cer-AS(d14:2/34:2)-H,742.6713,724.6608,710.6451,694.6502,238.1813,222.1863,519.4783,518.4943,210.1863,501.4677,181.1598,179.1441,473.4728
Cer-AS(d14:2/35:0)-H,760.7183,742.7077,728.6921,712.6971,238.1813,222.1863,537.5252,536.5412,210.1863,519.5146,181.1598,179.1441,491.5197
Cer-AS(d14:2/35:1)-H,758.7026,740.6921,726.6764,710.6815,238.1813,222.1863,535.5096,534.5256,210.1863,517.499,181.1598,179.1441,489.5041
Cer-AS(d14:2/36:0)-H,774.7339,756.7234,742.7077,726.7128,238.1813,222.1863,551.5409,550.5569,210.1863,533.5303,181.1598,179.1441,505.5354
Cer-AS(d14:2/36:1)-H,772.7183,754.7077,740.6921,724.6971,238.1813,222.1863,549.5252,548.5412,210.1863,531.5146,181.1598,179.1441,503.5197
Cer-AS(d14:2/36:2)-H,770.7026,752.6921,738.6764,722.6815,238.1813,222.1863,547.5096,546.5256,210.1863,529.499,181.1598,179.1441,501.5041
Cer-AS(d14:2/38:0)-H,802.7653,784.7547,770.739,754.7441,238.1813,222.1863,579.5722,578.5881,210.1863,561.5616,181.1598,179.1441,533.5667
Cer-AS(d14:2/38:1)-H,800.7496,782.739,768.7234,752.7285,238.1813,222.1863,577.5565,576.5725,210.1863,559.546,181.1598,179.1441,531.551
Cer-AS(d14:2/38:2)-H,798.7339,780.7234,766.7077,750.7128,238.1813,222.1863,575.5409,574.5569,210.1863,557.5303,181.1598,179.1441,529.5354
Cer-AS(d14:2/40:0)-H,830.7966,812.7859,798.7703,782.7754,238.1813,222.1863,607.6035,606.6194,210.1863,589.5929,181.1598,179.1441,561.598
Cer-AS(d14:2/40:1)-H,828.7809,810.7703,796.7547,780.7598,238.1813,222.1863,605.5878,604.6038,210.1863,587.5773,181.1598,179.1441,559.5823
Cer-AS(d14:2/40:2)-H,826.7653,808.7547,794.739,778.7441,238.1813,222.1863,603.5722,602.5881,210.1863,585.5616,181.1598,179.1441,557.5667
Cer-AS(d14:2/42:0)-H,858.8278,840.8173,826.8016,810.8067,238.1813,222.1863,635.6348,634.6508,210.1863,617.6242,181.1598,179.1441,589.6293
Cer-AS(d14:2/42:1)-H,856.8122,838.8016,824.7859,808.7911,238.1813,222.1863,633.6191,632.6351,210.1863,615.6086,181.1598,179.1441,587.6136
Cer-AS(d14:2/42:2)-H,854.7966,836.7859,822.7703,806.7754,238.1813,222.1863,631.6035,630.6194,210.1863,613.5929,181.1598,179.1441,585.598
Cer-AS(d14:3/12:0)-H,436.3427,418.3321,404.3165,388.3216,236.1656,220.1707,215.1653,214.1813,208.1707,197.1547,179.1441,177.1285,169.1598
Cer-AS(d14:3/12:1)-H,434.327,416.3165,402.3008,386.3059,236.1656,220.1707,213.1496,212.1656,208.1707,195.1391,179.1441,177.1285,167.1441
Cer-AS(d14:3/13:0)-H,450.3583,432.3478,418.3321,402.3372,236.1656,220.1707,229.1809,228.1969,208.1707,211.1704,179.1441,177.1285,183.1754
Cer-AS(d14:3/13:1)-H,448.3427,430.3321,416.3165,400.3216,236.1656,220.1707,227.1653,226.1813,208.1707,209.1547,179.1441,177.1285,181.1598
Cer-AS(d14:3/14:0)-H,464.374,446.3634,432.3478,416.3528,236.1656,220.1707,243.1966,242.2126,208.1707,225.186,179.1441,177.1285,197.1911
Cer-AS(d14:3/14:1)-H,462.3583,444.3478,430.3321,414.3372,236.1656,220.1707,241.1809,240.1969,208.1707,223.1704,179.1441,177.1285,195.1754
Cer-AS(d14:3/15:0)-H,478.3896,460.3791,446.3634,430.3685,236.1656,220.1707,257.2122,256.2282,208.1707,239.2017,179.1441,177.1285,211.2067
Cer-AS(d14:3/15:1)-H,476.374,458.3634,444.3478,428.3528,236.1656,220.1707,255.1966,254.2126,208.1707,237.186,179.1441,177.1285,209.1911
Cer-AS(d14:3/16:0)-H,492.4053,474.3947,460.3791,444.3842,236.1656,220.1707,271.2279,270.2439,208.1707,253.2173,179.1441,177.1285,225.2224
Cer-AS(d14:3/16:1)-H,490.3896,472.3791,458.3634,442.3685,236.1656,220.1707,269.2122,268.2282,208.1707,251.2017,179.1441,177.1285,223.2067
Cer-AS(d14:3/16:2)-H,488.374,470.3634,456.3478,440.3528,236.1656,220.1707,267.1966,266.2126,208.1707,249.186,179.1441,177.1285,221.1911
Cer-AS(d14:3/17:0)-H,506.4209,488.4104,474.3947,458.3998,236.1656,220.1707,285.2435,284.2595,208.1707,267.233,179.1441,177.1285,239.238
Cer-AS(d14:3/18:0)-H,520.4366,502.426,488.4104,472.4154,236.1656,220.1707,299.2592,298.2751,208.1707,281.2486,179.1441,177.1285,253.2537
Cer-AS(d14:3/18:1)-H,518.421,500.4104,486.3947,470.3998,236.1656,220.1707,297.2435,296.2595,208.1707,279.233,179.1441,177.1285,251.238
Cer-AS(d14:3/18:2)-H,516.4053,498.3947,484.3791,468.3842,236.1656,220.1707,295.2279,294.2439,208.1707,277.2173,179.1441,177.1285,249.2224
Cer-AS(d14:3/19:0)-H,534.4523,516.4417,502.426,486.4311,236.1656,220.1707,313.2748,312.2908,208.1707,295.2643,179.1441,177.1285,267.2693
Cer-AS(d14:3/19:1)-H,532.4366,514.426,500.4104,484.4154,236.1656,220.1707,311.2592,310.2751,208.1707,293.2486,179.1441,177.1285,265.2537
Cer-AS(d14:3/20:0)-H,548.4679,530.4573,516.4417,500.4467,236.1656,220.1707,327.2905,326.3065,208.1707,309.2799,179.1441,177.1285,281.285
Cer-AS(d14:3/20:1)-H,546.4523,528.4417,514.426,498.4311,236.1656,220.1707,325.2748,324.2908,208.1707,307.2643,179.1441,177.1285,279.2693
Cer-AS(d14:3/20:2)-H,544.4366,526.426,512.4104,496.4154,236.1656,220.1707,323.2592,322.2751,208.1707,305.2486,179.1441,177.1285,277.2537
Cer-AS(d14:3/21:0)-H,562.4835,544.473,530.4573,514.4624,236.1656,220.1707,341.3061,340.3221,208.1707,323.2956,179.1441,177.1285,295.3006
Cer-AS(d14:3/21:1)-H,560.4679,542.4573,528.4417,512.4468,236.1656,220.1707,339.2905,338.3065,208.1707,321.2799,179.1441,177.1285,293.285
Cer-AS(d14:3/22:0)-H,576.4992,558.4886,544.473,528.478,236.1656,220.1707,355.3218,354.3378,208.1707,337.3112,179.1441,177.1285,309.3163
Cer-AS(d14:3/22:1)-H,574.4835,556.473,542.4573,526.4624,236.1656,220.1707,353.3061,352.3221,208.1707,335.2956,179.1441,177.1285,307.3006
Cer-AS(d14:3/22:2)-H,572.4679,554.4573,540.4417,524.4468,236.1656,220.1707,351.2905,350.3065,208.1707,333.2799,179.1441,177.1285,305.285
Cer-AS(d14:3/23:0)-H,590.5148,572.5043,558.4886,542.4937,236.1656,220.1707,369.3374,368.3534,208.1707,351.3269,179.1441,177.1285,323.3319
Cer-AS(d14:3/23:1)-H,588.4992,570.4886,556.473,540.478,236.1656,220.1707,367.3218,366.3378,208.1707,349.3112,179.1441,177.1285,321.3163
Cer-AS(d14:3/24:0)-H,604.5305,586.5199,572.5043,556.5093,236.1656,220.1707,383.3531,382.369,208.1707,365.3425,179.1441,177.1285,337.3476
Cer-AS(d14:3/24:1)-H,602.5148,584.5043,570.4886,554.4937,236.1656,220.1707,381.3374,380.3534,208.1707,363.3269,179.1441,177.1285,335.3319
Cer-AS(d14:3/24:2)-H,600.4992,582.4886,568.473,552.478,236.1656,220.1707,379.3218,378.3378,208.1707,361.3112,179.1441,177.1285,333.3163
