HexCer-NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NDS(d17:0/18:0)+H,716.6041,554.5512,536.5406,518.5301,270.2791,252.2686,284.2948,240.2686
HexCer-NDS(d17:0/18:1)+H,714.5884,552.5356,534.525,516.5144,270.2791,252.2686,282.2791,240.2686
HexCer-NDS(d17:0/18:2)+H,712.5728,550.5199,532.5093,514.4988,270.2791,252.2686,280.2635,240.2686
HexCer-NDS(d17:0/19:0)+H,730.6197,568.5668,550.5563,532.5457,270.2791,252.2686,298.3105,240.2686
HexCer-NDS(d17:0/19:1)+H,728.6041,566.5512,548.5406,530.5301,270.2791,252.2686,296.2948,240.2686
HexCer-NDS(d17:0/20:0)+H,744.6353,582.5825,564.572,546.5613,270.2791,252.2686,312.3261,240.2686
HexCer-NDS(d17:0/20:1)+H,742.6197,580.5668,562.5563,544.5457,270.2791,252.2686,310.3105,240.2686
HexCer-NDS(d17:0/20:2)+H,740.6041,578.5512,560.5406,542.5301,270.2791,252.2686,308.2948,240.2686
HexCer-NDS(d17:0/21:0)+H,758.651,596.5981,578.5876,560.577,270.2791,252.2686,326.3417,240.2686
HexCer-NDS(d17:0/21:1)+H,756.6353,594.5825,576.572,558.5613,270.2791,252.2686,324.3261,240.2686
HexCer-NDS(d17:0/22:0)+H,772.6666,610.6138,592.6032,574.5927,270.2791,252.2686,340.3574,240.2686
HexCer-NDS(d17:0/22:1)+H,770.651,608.5981,590.5876,572.577,270.2791,252.2686,338.3417,240.2686
HexCer-NDS(d17:0/22:2)+H,768.6353,606.5825,588.572,570.5613,270.2791,252.2686,336.3261,240.2686
HexCer-NDS(d17:0/23:0)+H,786.6823,624.6295,606.6189,588.6083,270.2791,252.2686,354.373,240.2686
HexCer-NDS(d17:0/23:1)+H,784.6666,622.6138,604.6032,586.5927,270.2791,252.2686,352.3574,240.2686
HexCer-NDS(d17:0/24:0)+H,800.6979,638.6451,620.6345,602.624,270.2791,252.2686,368.3887,240.2686
HexCer-NDS(d17:0/24:1)+H,798.6823,636.6295,618.6189,600.6083,270.2791,252.2686,366.373,240.2686
HexCer-NDS(d17:0/24:2)+H,796.6666,634.6138,616.6032,598.5927,270.2791,252.2686,364.3574,240.2686
HexCer-NDS(d17:0/25:0)+H,814.7136,652.6608,634.6502,616.6396,270.2791,252.2686,382.4044,240.2686
HexCer-NDS(d17:0/25:1)+H,812.6979,650.6451,632.6345,614.624,270.2791,252.2686,380.3887,240.2686
HexCer-NDS(d17:0/26:0)+H,828.7292,666.6764,648.6658,630.6553,270.2791,252.2686,396.42,240.2686
HexCer-NDS(d17:0/26:1)+H,826.7136,664.6608,646.6502,628.6396,270.2791,252.2686,394.4044,240.2686
HexCer-NDS(d17:0/26:2)+H,824.6979,662.6451,644.6345,626.624,270.2791,252.2686,392.3887,240.2686
HexCer-NDS(d17:0/27:0)+H,842.7449,680.6921,662.6815,644.6709,270.2791,252.2686,410.4356,240.2686
HexCer-NDS(d17:0/27:1)+H,840.7292,678.6764,660.6658,642.6553,270.2791,252.2686,408.42,240.2686
HexCer-NDS(d17:0/28:0)+H,856.7606,694.7077,676.6971,658.6866,270.2791,252.2686,424.4513,240.2686
HexCer-NDS(d17:0/28:1)+H,854.7449,692.6921,674.6815,656.6709,270.2791,252.2686,422.4356,240.2686
HexCer-NDS(d17:0/28:2)+H,852.7292,690.6764,672.6658,654.6553,270.2791,252.2686,420.42,240.2686
HexCer-NDS(d17:0/29:0)+H,870.7762,708.7234,690.7128,672.7022,270.2791,252.2686,438.4669,240.2686
HexCer-NDS(d17:0/29:1)+H,868.7606,706.7077,688.6971,670.6866,270.2791,252.2686,436.4513,240.2686
HexCer-NDS(d17:0/30:0)+H,884.7919,722.739,704.7285,686.7179,270.2791,252.2686,452.4826,240.2686
HexCer-NDS(d17:0/30:1)+H,882.7762,720.7234,702.7128,684.7022,270.2791,252.2686,450.4669,240.2686
HexCer-NDS(d17:0/30:2)+H,880.7606,718.7077,700.6971,682.6866,270.2791,252.2686,448.4513,240.2686
HexCer-NDS(d17:0/31:0)+H,898.8075,736.7546,718.7441,700.7335,270.2791,252.2686,466.4983,240.2686
HexCer-NDS(d17:0/31:1)+H,896.7919,734.739,716.7285,698.7179,270.2791,252.2686,464.4826,240.2686
HexCer-NDS(d17:0/32:0)+H,912.8231,750.7703,732.7598,714.7491,270.2791,252.2686,480.5139,240.2686
HexCer-NDS(d17:0/32:1)+H,910.8075,748.7546,730.7441,712.7335,270.2791,252.2686,478.4983,240.2686
HexCer-NDS(d17:0/32:2)+H,908.7919,746.739,728.7285,710.7179,270.2791,252.2686,476.4826,240.2686
HexCer-NDS(d17:0/33:0)+H,926.8388,764.7859,746.7754,728.7648,270.2791,252.2686,494.5295,240.2686
HexCer-NDS(d17:0/33:1)+H,924.8231,762.7703,744.7598,726.7491,270.2791,252.2686,492.5139,240.2686
HexCer-NDS(d17:0/34:0)+H,940.8544,778.8016,760.791,742.7805,270.2791,252.2686,508.5452,240.2686
HexCer-NDS(d17:0/34:1)+H,938.8388,776.7859,758.7754,740.7648,270.2791,252.2686,506.5295,240.2686
HexCer-NDS(d17:0/34:2)+H,936.8231,774.7703,756.7598,738.7491,270.2791,252.2686,504.5139,240.2686
HexCer-NDS(d17:0/35:0)+H,954.8701,792.8173,774.8067,756.7961,270.2791,252.2686,522.5609,240.2686
HexCer-NDS(d17:0/35:1)+H,952.8544,790.8016,772.791,754.7805,270.2791,252.2686,520.5452,240.2686
HexCer-NDS(d17:0/36:0)+H,968.8857,806.8329,788.8223,770.8118,270.2791,252.2686,536.5765,240.2686
HexCer-NDS(d17:0/36:1)+H,966.8701,804.8173,786.8067,768.7961,270.2791,252.2686,534.5609,240.2686
HexCer-NDS(d17:0/36:2)+H,964.8544,802.8016,784.791,766.7805,270.2791,252.2686,532.5452,240.2686
HexCer-NDS(d17:0/38:0)+H,996.9171,834.8642,816.8536,798.8431,270.2791,252.2686,564.6078,240.2686
HexCer-NDS(d17:0/38:1)+H,994.9014,832.8486,814.838,796.8274,270.2791,252.2686,562.5922,240.2686
HexCer-NDS(d17:0/38:2)+H,992.8857,830.8329,812.8223,794.8118,270.2791,252.2686,560.5765,240.2686
HexCer-NDS(d17:0/40:0)+H,1024.948,862.8955,844.8849,826.8744,270.2791,252.2686,592.6391,240.2686
HexCer-NDS(d17:0/40:1)+H,1022.933,860.8799,842.8693,824.8587,270.2791,252.2686,590.6235,240.2686
HexCer-NDS(d17:0/40:2)+H,1020.917,858.8642,840.8536,822.8431,270.2791,252.2686,588.6078,240.2686
HexCer-NDS(d17:0/42:0)+H,1052.98,890.9268,872.9163,854.9056,270.2791,252.2686,620.6704,240.2686
HexCer-NDS(d17:0/42:1)+H,1050.964,888.9111,870.9006,852.89,270.2791,252.2686,618.6547,240.2686
HexCer-NDS(d17:0/42:2)+H,1048.948,886.8955,868.8849,850.8744,270.2791,252.2686,616.6391,240.2686
HexCer-NDS(d18:0/12:0)+H,646.5258,484.473,466.4624,448.4518,284.2948,266.2842,200.2009,254.2842
HexCer-NDS(d18:0/12:1)+H,644.5101,482.4573,464.4467,446.4362,284.2948,266.2842,198.1853,254.2842
HexCer-NDS(d18:0/13:0)+H,660.5414,498.4886,480.478,462.4675,284.2948,266.2842,214.2166,254.2842
HexCer-NDS(d18:0/13:1)+H,658.5258,496.473,478.4624,460.4518,284.2948,266.2842,212.2009,254.2842
HexCer-NDS(d18:0/14:0)+H,674.5571,512.5043,494.4937,476.4831,284.2948,266.2842,228.2322,254.2842
HexCer-NDS(d18:0/14:1)+H,672.5414,510.4886,492.478,474.4675,284.2948,266.2842,226.2166,254.2842
HexCer-NDS(d18:0/15:0)+H,688.5728,526.5199,508.5093,490.4988,284.2948,266.2842,242.2478,254.2842
HexCer-NDS(d18:0/15:1)+H,686.5571,524.5043,506.4937,488.4831,284.2948,266.2842,240.2322,254.2842
HexCer-NDS(d18:0/16:0)+H,702.5884,540.5356,522.525,504.5144,284.2948,266.2842,256.2635,254.2842
HexCer-NDS(d18:0/16:1)+H,700.5728,538.5199,520.5093,502.4988,284.2948,266.2842,254.2478,254.2842
HexCer-NDS(d18:0/16:2)+H,698.5571,536.5043,518.4937,500.4831,284.2948,266.2842,252.2322,254.2842
HexCer-NDS(d18:0/17:0)+H,716.6041,554.5512,536.5406,518.5301,284.2948,266.2842,270.2791,254.2842
HexCer-NDS(d18:0/18:0)+H,730.6197,568.5668,550.5563,532.5457,284.2948,266.2842,284.2948,254.2842
HexCer-NDS(d18:0/18:1)+H,728.6041,566.5512,548.5406,530.5301,284.2948,266.2842,282.2791,254.2842
HexCer-NDS(d18:0/18:2)+H,726.5884,564.5356,546.525,528.5144,284.2948,266.2842,280.2635,254.2842
HexCer-NDS(d18:0/19:0)+H,744.6353,582.5825,564.572,546.5613,284.2948,266.2842,298.3105,254.2842
HexCer-NDS(d18:0/19:1)+H,742.6197,580.5668,562.5563,544.5457,284.2948,266.2842,296.2948,254.2842
HexCer-NDS(d18:0/20:0)+H,758.651,596.5981,578.5876,560.577,284.2948,266.2842,312.3261,254.2842
HexCer-NDS(d18:0/20:1)+H,756.6353,594.5825,576.572,558.5613,284.2948,266.2842,310.3105,254.2842
HexCer-NDS(d18:0/20:2)+H,754.6197,592.5668,574.5563,556.5457,284.2948,266.2842,308.2948,254.2842
HexCer-NDS(d18:0/21:0)+H,772.6666,610.6138,592.6032,574.5927,284.2948,266.2842,326.3417,254.2842
HexCer-NDS(d18:0/21:1)+H,770.651,608.5981,590.5876,572.577,284.2948,266.2842,324.3261,254.2842
HexCer-NDS(d18:0/22:0)+H,786.6823,624.6295,606.6189,588.6083,284.2948,266.2842,340.3574,254.2842
HexCer-NDS(d18:0/22:1)+H,784.6666,622.6138,604.6032,586.5927,284.2948,266.2842,338.3417,254.2842
HexCer-NDS(d18:0/22:2)+H,782.651,620.5981,602.5876,584.577,284.2948,266.2842,336.3261,254.2842
HexCer-NDS(d18:0/23:0)+H,800.6979,638.6451,620.6345,602.624,284.2948,266.2842,354.373,254.2842
HexCer-NDS(d18:0/23:1)+H,798.6823,636.6295,618.6189,600.6083,284.2948,266.2842,352.3574,254.2842
HexCer-NDS(d18:0/24:0)+H,814.7136,652.6608,634.6502,616.6396,284.2948,266.2842,368.3887,254.2842
HexCer-NDS(d18:0/24:1)+H,812.6979,650.6451,632.6345,614.624,284.2948,266.2842,366.373,254.2842
HexCer-NDS(d18:0/24:2)+H,810.6823,648.6295,630.6189,612.6083,284.2948,266.2842,364.3574,254.2842
HexCer-NDS(d18:0/25:0)+H,828.7292,666.6764,648.6658,630.6553,284.2948,266.2842,382.4044,254.2842
HexCer-NDS(d18:0/25:1)+H,826.7136,664.6608,646.6502,628.6396,284.2948,266.2842,380.3887,254.2842
HexCer-NDS(d18:0/26:0)+H,842.7449,680.6921,662.6815,644.6709,284.2948,266.2842,396.42,254.2842
HexCer-NDS(d18:0/26:1)+H,840.7292,678.6764,660.6658,642.6553,284.2948,266.2842,394.4044,254.2842
HexCer-NDS(d18:0/26:2)+H,838.7136,676.6608,658.6502,640.6396,284.2948,266.2842,392.3887,254.2842
HexCer-NDS(d18:0/27:0)+H,856.7606,694.7077,676.6971,658.6866,284.2948,266.2842,410.4356,254.2842
HexCer-NDS(d18:0/27:1)+H,854.7449,692.6921,674.6815,656.6709,284.2948,266.2842,408.42,254.2842
HexCer-NDS(d18:0/28:0)+H,870.7762,708.7234,690.7128,672.7022,284.2948,266.2842,424.4513,254.2842
HexCer-NDS(d18:0/28:1)+H,868.7606,706.7077,688.6971,670.6866,284.2948,266.2842,422.4356,254.2842
HexCer-NDS(d18:0/28:2)+H,866.7449,704.6921,686.6815,668.6709,284.2948,266.2842,420.42,254.2842
HexCer-NDS(d18:0/29:0)+H,884.7919,722.739,704.7285,686.7179,284.2948,266.2842,438.4669,254.2842
HexCer-NDS(d18:0/29:1)+H,882.7762,720.7234,702.7128,684.7022,284.2948,266.2842,436.4513,254.2842
HexCer-NDS(d18:0/30:0)+H,898.8075,736.7546,718.7441,700.7335,284.2948,266.2842,452.4826,254.2842
HexCer-NDS(d18:0/30:1)+H,896.7919,734.739,716.7285,698.7179,284.2948,266.2842,450.4669,254.2842
HexCer-NDS(d18:0/30:2)+H,894.7762,732.7234,714.7128,696.7022,284.2948,266.2842,448.4513,254.2842
HexCer-NDS(d18:0/31:0)+H,912.8231,750.7703,732.7598,714.7491,284.2948,266.2842,466.4983,254.2842
HexCer-NDS(d18:0/31:1)+H,910.8075,748.7546,730.7441,712.7335,284.2948,266.2842,464.4826,254.2842
HexCer-NDS(d18:0/32:0)+H,926.8388,764.7859,746.7754,728.7648,284.2948,266.2842,480.5139,254.2842
HexCer-NDS(d18:0/32:1)+H,924.8231,762.7703,744.7598,726.7491,284.2948,266.2842,478.4983,254.2842
HexCer-NDS(d18:0/32:2)+H,922.8075,760.7546,742.7441,724.7335,284.2948,266.2842,476.4826,254.2842
HexCer-NDS(d18:0/33:0)+H,940.8544,778.8016,760.791,742.7805,284.2948,266.2842,494.5295,254.2842
HexCer-NDS(d18:0/33:1)+H,938.8388,776.7859,758.7754,740.7648,284.2948,266.2842,492.5139,254.2842
HexCer-NDS(d18:0/34:0)+H,954.8701,792.8173,774.8067,756.7961,284.2948,266.2842,508.5452,254.2842
HexCer-NDS(d18:0/34:1)+H,952.8544,790.8016,772.791,754.7805,284.2948,266.2842,506.5295,254.2842
HexCer-NDS(d18:0/34:2)+H,950.8388,788.7859,770.7754,752.7648,284.2948,266.2842,504.5139,254.2842
HexCer-NDS(d18:0/35:0)+H,968.8857,806.8329,788.8223,770.8118,284.2948,266.2842,522.5609,254.2842
HexCer-NDS(d18:0/35:1)+H,966.8701,804.8173,786.8067,768.7961,284.2948,266.2842,520.5452,254.2842
HexCer-NDS(d18:0/36:0)+H,982.9014,820.8486,802.838,784.8274,284.2948,266.2842,536.5765,254.2842
HexCer-NDS(d18:0/36:1)+H,980.8857,818.8329,800.8223,782.8118,284.2948,266.2842,534.5609,254.2842
HexCer-NDS(d18:0/36:2)+H,978.8701,816.8173,798.8067,780.7961,284.2948,266.2842,532.5452,254.2842
HexCer-NDS(d18:0/38:0)+H,1010.933,848.8799,830.8693,812.8587,284.2948,266.2842,564.6078,254.2842
HexCer-NDS(d18:0/38:1)+H,1008.917,846.8642,828.8536,810.8431,284.2948,266.2842,562.5922,254.2842
HexCer-NDS(d18:0/38:2)+H,1006.901,844.8486,826.838,808.8274,284.2948,266.2842,560.5765,254.2842
HexCer-NDS(d18:0/40:0)+H,1038.964,876.9111,858.9006,840.89,284.2948,266.2842,592.6391,254.2842
HexCer-NDS(d18:0/40:1)+H,1036.948,874.8955,856.8849,838.8744,284.2948,266.2842,590.6235,254.2842
HexCer-NDS(d18:0/40:2)+H,1034.933,872.8799,854.8693,836.8587,284.2948,266.2842,588.6078,254.2842
HexCer-NDS(d18:0/42:0)+H,1066.995,904.9424,886.9319,868.9213,284.2948,266.2842,620.6704,254.2842
HexCer-NDS(d18:0/42:1)+H,1064.98,902.9268,884.9163,866.9056,284.2948,266.2842,618.6547,254.2842
HexCer-NDS(d18:0/42:2)+H,1062.964,900.9111,882.9006,864.89,284.2948,266.2842,616.6391,254.2842
HexCer-NDS(d19:0/12:0)+H,660.5414,498.4886,480.478,462.4675,298.3105,280.2999,200.2009,268.2999
HexCer-NDS(d19:0/12:1)+H,658.5258,496.473,478.4624,460.4518,298.3105,280.2999,198.1853,268.2999
HexCer-NDS(d19:0/13:0)+H,674.5571,512.5043,494.4937,476.4831,298.3105,280.2999,214.2166,268.2999
HexCer-NDS(d19:0/13:1)+H,672.5414,510.4886,492.478,474.4675,298.3105,280.2999,212.2009,268.2999
HexCer-NDS(d19:0/14:0)+H,688.5728,526.5199,508.5093,490.4988,298.3105,280.2999,228.2322,268.2999
HexCer-NDS(d19:0/14:1)+H,686.5571,524.5043,506.4937,488.4831,298.3105,280.2999,226.2166,268.2999
HexCer-NDS(d19:0/15:0)+H,702.5884,540.5356,522.525,504.5144,298.3105,280.2999,242.2478,268.2999
HexCer-NDS(d19:0/15:1)+H,700.5728,538.5199,520.5093,502.4988,298.3105,280.2999,240.2322,268.2999
HexCer-NDS(d19:0/16:0)+H,716.6041,554.5512,536.5406,518.5301,298.3105,280.2999,256.2635,268.2999
HexCer-NDS(d19:0/16:1)+H,714.5884,552.5356,534.525,516.5144,298.3105,280.2999,254.2478,268.2999
HexCer-NDS(d19:0/16:2)+H,712.5728,550.5199,532.5093,514.4988,298.3105,280.2999,252.2322,268.2999
HexCer-NDS(d19:0/17:0)+H,730.6197,568.5668,550.5563,532.5457,298.3105,280.2999,270.2791,268.2999
HexCer-NDS(d19:0/18:0)+H,744.6353,582.5825,564.572,546.5613,298.3105,280.2999,284.2948,268.2999
HexCer-NDS(d19:0/18:1)+H,742.6197,580.5668,562.5563,544.5457,298.3105,280.2999,282.2791,268.2999
HexCer-NDS(d19:0/18:2)+H,740.6041,578.5512,560.5406,542.5301,298.3105,280.2999,280.2635,268.2999
HexCer-NDS(d19:0/19:0)+H,758.651,596.5981,578.5876,560.577,298.3105,280.2999,298.3105,268.2999
HexCer-NDS(d19:0/19:1)+H,756.6353,594.5825,576.572,558.5613,298.3105,280.2999,296.2948,268.2999
HexCer-NDS(d19:0/20:0)+H,772.6666,610.6138,592.6032,574.5927,298.3105,280.2999,312.3261,268.2999
HexCer-NDS(d19:0/20:1)+H,770.651,608.5981,590.5876,572.577,298.3105,280.2999,310.3105,268.2999
HexCer-NDS(d19:0/20:2)+H,768.6353,606.5825,588.572,570.5613,298.3105,280.2999,308.2948,268.2999
HexCer-NDS(d19:0/21:0)+H,786.6823,624.6295,606.6189,588.6083,298.3105,280.2999,326.3417,268.2999
HexCer-NDS(d19:0/21:1)+H,784.6666,622.6138,604.6032,586.5927,298.3105,280.2999,324.3261,268.2999
HexCer-NDS(d19:0/22:0)+H,800.6979,638.6451,620.6345,602.624,298.3105,280.2999,340.3574,268.2999
HexCer-NDS(d19:0/22:1)+H,798.6823,636.6295,618.6189,600.6083,298.3105,280.2999,338.3417,268.2999
HexCer-NDS(d19:0/22:2)+H,796.6666,634.6138,616.6032,598.5927,298.3105,280.2999,336.3261,268.2999
HexCer-NDS(d19:0/23:0)+H,814.7136,652.6608,634.6502,616.6396,298.3105,280.2999,354.373,268.2999
HexCer-NDS(d19:0/23:1)+H,812.6979,650.6451,632.6345,614.624,298.3105,280.2999,352.3574,268.2999
HexCer-NDS(d19:0/24:0)+H,828.7292,666.6764,648.6658,630.6553,298.3105,280.2999,368.3887,268.2999
HexCer-NDS(d19:0/24:1)+H,826.7136,664.6608,646.6502,628.6396,298.3105,280.2999,366.373,268.2999
HexCer-NDS(d19:0/24:2)+H,824.6979,662.6451,644.6345,626.624,298.3105,280.2999,364.3574,268.2999
HexCer-NDS(d19:0/25:0)+H,842.7449,680.6921,662.6815,644.6709,298.3105,280.2999,382.4044,268.2999
HexCer-NDS(d19:0/25:1)+H,840.7292,678.6764,660.6658,642.6553,298.3105,280.2999,380.3887,268.2999
HexCer-NDS(d19:0/26:0)+H,856.7606,694.7077,676.6971,658.6866,298.3105,280.2999,396.42,268.2999
HexCer-NDS(d19:0/26:1)+H,854.7449,692.6921,674.6815,656.6709,298.3105,280.2999,394.4044,268.2999
HexCer-NDS(d19:0/26:2)+H,852.7292,690.6764,672.6658,654.6553,298.3105,280.2999,392.3887,268.2999
HexCer-NDS(d19:0/27:0)+H,870.7762,708.7234,690.7128,672.7022,298.3105,280.2999,410.4356,268.2999
HexCer-NDS(d19:0/27:1)+H,868.7606,706.7077,688.6971,670.6866,298.3105,280.2999,408.42,268.2999
HexCer-NDS(d19:0/28:0)+H,884.7919,722.739,704.7285,686.7179,298.3105,280.2999,424.4513,268.2999
HexCer-NDS(d19:0/28:1)+H,882.7762,720.7234,702.7128,684.7022,298.3105,280.2999,422.4356,268.2999
HexCer-NDS(d19:0/28:2)+H,880.7606,718.7077,700.6971,682.6866,298.3105,280.2999,420.42,268.2999
HexCer-NDS(d19:0/29:0)+H,898.8075,736.7546,718.7441,700.7335,298.3105,280.2999,438.4669,268.2999
HexCer-NDS(d19:0/29:1)+H,896.7919,734.739,716.7285,698.7179,298.3105,280.2999,436.4513,268.2999
HexCer-NDS(d19:0/30:0)+H,912.8231,750.7703,732.7598,714.7491,298.3105,280.2999,452.4826,268.2999
HexCer-NDS(d19:0/30:1)+H,910.8075,748.7546,730.7441,712.7335,298.3105,280.2999,450.4669,268.2999
HexCer-NDS(d19:0/30:2)+H,908.7919,746.739,728.7285,710.7179,298.3105,280.2999,448.4513,268.2999
HexCer-NDS(d19:0/31:0)+H,926.8388,764.7859,746.7754,728.7648,298.3105,280.2999,466.4983,268.2999
HexCer-NDS(d19:0/31:1)+H,924.8231,762.7703,744.7598,726.7491,298.3105,280.2999,464.4826,268.2999
HexCer-NDS(d19:0/32:0)+H,940.8544,778.8016,760.791,742.7805,298.3105,280.2999,480.5139,268.2999
HexCer-NDS(d19:0/32:1)+H,938.8388,776.7859,758.7754,740.7648,298.3105,280.2999,478.4983,268.2999
HexCer-NDS(d19:0/32:2)+H,936.8231,774.7703,756.7598,738.7491,298.3105,280.2999,476.4826,268.2999
HexCer-NDS(d19:0/33:0)+H,954.8701,792.8173,774.8067,756.7961,298.3105,280.2999,494.5295,268.2999
HexCer-NDS(d19:0/33:1)+H,952.8544,790.8016,772.791,754.7805,298.3105,280.2999,492.5139,268.2999
HexCer-NDS(d19:0/34:0)+H,968.8857,806.8329,788.8223,770.8118,298.3105,280.2999,508.5452,268.2999
HexCer-NDS(d19:0/34:1)+H,966.8701,804.8173,786.8067,768.7961,298.3105,280.2999,506.5295,268.2999
HexCer-NDS(d19:0/34:2)+H,964.8544,802.8016,784.791,766.7805,298.3105,280.2999,504.5139,268.2999
HexCer-NDS(d19:0/35:0)+H,982.9014,820.8486,802.838,784.8274,298.3105,280.2999,522.5609,268.2999
HexCer-NDS(d19:0/35:1)+H,980.8857,818.8329,800.8223,782.8118,298.3105,280.2999,520.5452,268.2999
HexCer-NDS(d19:0/36:0)+H,996.9171,834.8642,816.8536,798.8431,298.3105,280.2999,536.5765,268.2999
HexCer-NDS(d19:0/36:1)+H,994.9014,832.8486,814.838,796.8274,298.3105,280.2999,534.5609,268.2999
HexCer-NDS(d19:0/36:2)+H,992.8857,830.8329,812.8223,794.8118,298.3105,280.2999,532.5452,268.2999
HexCer-NDS(d19:0/38:0)+H,1024.948,862.8955,844.8849,826.8744,298.3105,280.2999,564.6078,268.2999
HexCer-NDS(d19:0/38:1)+H,1022.933,860.8799,842.8693,824.8587,298.3105,280.2999,562.5922,268.2999
HexCer-NDS(d19:0/38:2)+H,1020.917,858.8642,840.8536,822.8431,298.3105,280.2999,560.5765,268.2999
HexCer-NDS(d19:0/40:0)+H,1052.98,890.9268,872.9163,854.9056,298.3105,280.2999,592.6391,268.2999
HexCer-NDS(d19:0/40:1)+H,1050.964,888.9111,870.9006,852.89,298.3105,280.2999,590.6235,268.2999
HexCer-NDS(d19:0/40:2)+H,1048.948,886.8955,868.8849,850.8744,298.3105,280.2999,588.6078,268.2999
HexCer-NDS(d19:0/42:0)+H,1081.011,918.9581,900.9475,882.937,298.3105,280.2999,620.6704,268.2999
HexCer-NDS(d19:0/42:1)+H,1078.995,916.9424,898.9319,880.9213,298.3105,280.2999,618.6547,268.2999
HexCer-NDS(d19:0/42:2)+H,1076.98,914.9268,896.9163,878.9056,298.3105,280.2999,616.6391,268.2999
HexCer-NDS(d20:0/12:0)+H,674.5571,512.5043,494.4937,476.4831,312.3261,294.3155,200.2009,282.3155
HexCer-NDS(d20:0/12:1)+H,672.5414,510.4886,492.478,474.4675,312.3261,294.3155,198.1853,282.3155
HexCer-NDS(d20:0/13:0)+H,688.5728,526.5199,508.5093,490.4988,312.3261,294.3155,214.2166,282.3155
HexCer-NDS(d20:0/13:1)+H,686.5571,524.5043,506.4937,488.4831,312.3261,294.3155,212.2009,282.3155
HexCer-NDS(d20:0/14:0)+H,702.5884,540.5356,522.525,504.5144,312.3261,294.3155,228.2322,282.3155
HexCer-NDS(d20:0/14:1)+H,700.5728,538.5199,520.5093,502.4988,312.3261,294.3155,226.2166,282.3155
HexCer-NDS(d20:0/15:0)+H,716.6041,554.5512,536.5406,518.5301,312.3261,294.3155,242.2478,282.3155
HexCer-NDS(d20:0/15:1)+H,714.5884,552.5356,534.525,516.5144,312.3261,294.3155,240.2322,282.3155
HexCer-NDS(d20:0/16:0)+H,730.6197,568.5668,550.5563,532.5457,312.3261,294.3155,256.2635,282.3155
HexCer-NDS(d20:0/16:1)+H,728.6041,566.5512,548.5406,530.5301,312.3261,294.3155,254.2478,282.3155
HexCer-NDS(d20:0/16:2)+H,726.5884,564.5356,546.525,528.5144,312.3261,294.3155,252.2322,282.3155
HexCer-NDS(d20:0/17:0)+H,744.6353,582.5825,564.572,546.5613,312.3261,294.3155,270.2791,282.3155
HexCer-NDS(d20:0/18:0)+H,758.651,596.5981,578.5876,560.577,312.3261,294.3155,284.2948,282.3155
HexCer-NDS(d20:0/18:1)+H,756.6353,594.5825,576.572,558.5613,312.3261,294.3155,282.2791,282.3155
HexCer-NDS(d20:0/18:2)+H,754.6197,592.5668,574.5563,556.5457,312.3261,294.3155,280.2635,282.3155
HexCer-NDS(d20:0/19:0)+H,772.6666,610.6138,592.6032,574.5927,312.3261,294.3155,298.3105,282.3155
HexCer-NDS(d20:0/19:1)+H,770.651,608.5981,590.5876,572.577,312.3261,294.3155,296.2948,282.3155
HexCer-NDS(d20:0/20:0)+H,786.6823,624.6295,606.6189,588.6083,312.3261,294.3155,312.3261,282.3155
HexCer-NDS(d20:0/20:1)+H,784.6666,622.6138,604.6032,586.5927,312.3261,294.3155,310.3105,282.3155
HexCer-NDS(d20:0/20:2)+H,782.651,620.5981,602.5876,584.577,312.3261,294.3155,308.2948,282.3155
HexCer-NDS(d20:0/21:0)+H,800.6979,638.6451,620.6345,602.624,312.3261,294.3155,326.3417,282.3155
HexCer-NDS(d20:0/21:1)+H,798.6823,636.6295,618.6189,600.6083,312.3261,294.3155,324.3261,282.3155
HexCer-NDS(d20:0/22:0)+H,814.7136,652.6608,634.6502,616.6396,312.3261,294.3155,340.3574,282.3155
HexCer-NDS(d20:0/22:1)+H,812.6979,650.6451,632.6345,614.624,312.3261,294.3155,338.3417,282.3155
HexCer-NDS(d20:0/22:2)+H,810.6823,648.6295,630.6189,612.6083,312.3261,294.3155,336.3261,282.3155
HexCer-NDS(d20:0/23:0)+H,828.7292,666.6764,648.6658,630.6553,312.3261,294.3155,354.373,282.3155
HexCer-NDS(d20:0/23:1)+H,826.7136,664.6608,646.6502,628.6396,312.3261,294.3155,352.3574,282.3155
HexCer-NDS(d20:0/24:0)+H,842.7449,680.6921,662.6815,644.6709,312.3261,294.3155,368.3887,282.3155
HexCer-NDS(d20:0/24:1)+H,840.7292,678.6764,660.6658,642.6553,312.3261,294.3155,366.373,282.3155
HexCer-NDS(d20:0/24:2)+H,838.7136,676.6608,658.6502,640.6396,312.3261,294.3155,364.3574,282.3155
HexCer-NDS(d20:0/25:0)+H,856.7606,694.7077,676.6971,658.6866,312.3261,294.3155,382.4044,282.3155
HexCer-NDS(d20:0/25:1)+H,854.7449,692.6921,674.6815,656.6709,312.3261,294.3155,380.3887,282.3155
HexCer-NDS(d20:0/26:0)+H,870.7762,708.7234,690.7128,672.7022,312.3261,294.3155,396.42,282.3155
HexCer-NDS(d20:0/26:1)+H,868.7606,706.7077,688.6971,670.6866,312.3261,294.3155,394.4044,282.3155
