HexCer-NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NDS(d14:0/30:2)+H,838.7136,676.6608,658.6502,640.6396,228.2322,210.2216,448.4513,198.2216
HexCer-NDS(d14:0/31:0)+H,856.7606,694.7077,676.6971,658.6866,228.2322,210.2216,466.4983,198.2216
HexCer-NDS(d14:0/31:1)+H,854.7449,692.6921,674.6815,656.6709,228.2322,210.2216,464.4826,198.2216
HexCer-NDS(d14:0/32:0)+H,870.7762,708.7234,690.7128,672.7022,228.2322,210.2216,480.5139,198.2216
HexCer-NDS(d14:0/32:1)+H,868.7606,706.7077,688.6971,670.6866,228.2322,210.2216,478.4983,198.2216
HexCer-NDS(d14:0/32:2)+H,866.7449,704.6921,686.6815,668.6709,228.2322,210.2216,476.4826,198.2216
HexCer-NDS(d14:0/33:0)+H,884.7919,722.739,704.7285,686.7179,228.2322,210.2216,494.5295,198.2216
HexCer-NDS(d14:0/33:1)+H,882.7762,720.7234,702.7128,684.7022,228.2322,210.2216,492.5139,198.2216
HexCer-NDS(d14:0/34:0)+H,898.8075,736.7546,718.7441,700.7335,228.2322,210.2216,508.5452,198.2216
HexCer-NDS(d14:0/34:1)+H,896.7919,734.739,716.7285,698.7179,228.2322,210.2216,506.5295,198.2216
HexCer-NDS(d14:0/34:2)+H,894.7762,732.7234,714.7128,696.7022,228.2322,210.2216,504.5139,198.2216
HexCer-NDS(d14:0/35:0)+H,912.8231,750.7703,732.7598,714.7491,228.2322,210.2216,522.5609,198.2216
HexCer-NDS(d14:0/35:1)+H,910.8075,748.7546,730.7441,712.7335,228.2322,210.2216,520.5452,198.2216
HexCer-NDS(d14:0/36:0)+H,926.8388,764.7859,746.7754,728.7648,228.2322,210.2216,536.5765,198.2216
HexCer-NDS(d14:0/36:1)+H,924.8231,762.7703,744.7598,726.7491,228.2322,210.2216,534.5609,198.2216
HexCer-NDS(d14:0/36:2)+H,922.8075,760.7546,742.7441,724.7335,228.2322,210.2216,532.5452,198.2216
HexCer-NDS(d14:0/38:0)+H,954.8701,792.8173,774.8067,756.7961,228.2322,210.2216,564.6078,198.2216
HexCer-NDS(d14:0/38:1)+H,952.8544,790.8016,772.791,754.7805,228.2322,210.2216,562.5922,198.2216
HexCer-NDS(d14:0/38:2)+H,950.8388,788.7859,770.7754,752.7648,228.2322,210.2216,560.5765,198.2216
HexCer-NDS(d14:0/40:0)+H,982.9014,820.8486,802.838,784.8274,228.2322,210.2216,592.6391,198.2216
HexCer-NDS(d14:0/40:1)+H,980.8857,818.8329,800.8223,782.8118,228.2322,210.2216,590.6235,198.2216
HexCer-NDS(d14:0/40:2)+H,978.8701,816.8173,798.8067,780.7961,228.2322,210.2216,588.6078,198.2216
HexCer-NDS(d14:0/42:0)+H,1010.933,848.8799,830.8693,812.8587,228.2322,210.2216,620.6704,198.2216
HexCer-NDS(d14:0/42:1)+H,1008.917,846.8642,828.8536,810.8431,228.2322,210.2216,618.6547,198.2216
HexCer-NDS(d14:0/42:2)+H,1006.901,844.8486,826.838,808.8274,228.2322,210.2216,616.6391,198.2216
HexCer-NDS(d15:0/12:0)+H,604.4788,442.426,424.4154,406.4049,242.2478,224.2373,200.2009,212.2373
HexCer-NDS(d15:0/12:1)+H,602.4632,440.4103,422.3998,404.3892,242.2478,224.2373,198.1853,212.2373
HexCer-NDS(d15:0/13:0)+H,618.4945,456.4417,438.4311,420.4205,242.2478,224.2373,214.2166,212.2373
HexCer-NDS(d15:0/13:1)+H,616.4788,454.426,436.4154,418.4049,242.2478,224.2373,212.2009,212.2373
HexCer-NDS(d15:0/14:0)+H,632.5101,470.4573,452.4467,434.4362,242.2478,224.2373,228.2322,212.2373
HexCer-NDS(d15:0/14:1)+H,630.4945,468.4417,450.4311,432.4205,242.2478,224.2373,226.2166,212.2373
HexCer-NDS(d15:0/15:0)+H,646.5258,484.473,466.4624,448.4518,242.2478,224.2373,242.2478,212.2373
HexCer-NDS(d15:0/15:1)+H,644.5101,482.4573,464.4467,446.4362,242.2478,224.2373,240.2322,212.2373
HexCer-NDS(d15:0/16:0)+H,660.5414,498.4886,480.478,462.4675,242.2478,224.2373,256.2635,212.2373
HexCer-NDS(d15:0/16:1)+H,658.5258,496.473,478.4624,460.4518,242.2478,224.2373,254.2478,212.2373
HexCer-NDS(d15:0/16:2)+H,656.5101,494.4573,476.4467,458.4362,242.2478,224.2373,252.2322,212.2373
HexCer-NDS(d15:0/17:0)+H,674.5571,512.5043,494.4937,476.4831,242.2478,224.2373,270.2791,212.2373
HexCer-NDS(d15:0/18:0)+H,688.5728,526.5199,508.5093,490.4988,242.2478,224.2373,284.2948,212.2373
HexCer-NDS(d15:0/18:1)+H,686.5571,524.5043,506.4937,488.4831,242.2478,224.2373,282.2791,212.2373
HexCer-NDS(d15:0/18:2)+H,684.5414,522.4886,504.478,486.4675,242.2478,224.2373,280.2635,212.2373
HexCer-NDS(d15:0/19:0)+H,702.5884,540.5356,522.525,504.5144,242.2478,224.2373,298.3105,212.2373
HexCer-NDS(d15:0/19:1)+H,700.5728,538.5199,520.5093,502.4988,242.2478,224.2373,296.2948,212.2373
HexCer-NDS(d15:0/20:0)+H,716.6041,554.5512,536.5406,518.5301,242.2478,224.2373,312.3261,212.2373
HexCer-NDS(d15:0/20:1)+H,714.5884,552.5356,534.525,516.5144,242.2478,224.2373,310.3105,212.2373
HexCer-NDS(d15:0/20:2)+H,712.5728,550.5199,532.5093,514.4988,242.2478,224.2373,308.2948,212.2373
HexCer-NDS(d15:0/21:0)+H,730.6197,568.5668,550.5563,532.5457,242.2478,224.2373,326.3417,212.2373
HexCer-NDS(d15:0/21:1)+H,728.6041,566.5512,548.5406,530.5301,242.2478,224.2373,324.3261,212.2373
HexCer-NDS(d15:0/22:0)+H,744.6353,582.5825,564.572,546.5613,242.2478,224.2373,340.3574,212.2373
HexCer-NDS(d15:0/22:1)+H,742.6197,580.5668,562.5563,544.5457,242.2478,224.2373,338.3417,212.2373
HexCer-NDS(d15:0/22:2)+H,740.6041,578.5512,560.5406,542.5301,242.2478,224.2373,336.3261,212.2373
HexCer-NDS(d15:0/23:0)+H,758.651,596.5981,578.5876,560.577,242.2478,224.2373,354.373,212.2373
HexCer-NDS(d15:0/23:1)+H,756.6353,594.5825,576.572,558.5613,242.2478,224.2373,352.3574,212.2373
HexCer-NDS(d15:0/24:0)+H,772.6666,610.6138,592.6032,574.5927,242.2478,224.2373,368.3887,212.2373
HexCer-NDS(d15:0/24:1)+H,770.651,608.5981,590.5876,572.577,242.2478,224.2373,366.373,212.2373
HexCer-NDS(d15:0/24:2)+H,768.6353,606.5825,588.572,570.5613,242.2478,224.2373,364.3574,212.2373
HexCer-NDS(d15:0/25:0)+H,786.6823,624.6295,606.6189,588.6083,242.2478,224.2373,382.4044,212.2373
HexCer-NDS(d15:0/25:1)+H,784.6666,622.6138,604.6032,586.5927,242.2478,224.2373,380.3887,212.2373
HexCer-NDS(d15:0/26:0)+H,800.6979,638.6451,620.6345,602.624,242.2478,224.2373,396.42,212.2373
HexCer-NDS(d15:0/26:1)+H,798.6823,636.6295,618.6189,600.6083,242.2478,224.2373,394.4044,212.2373
HexCer-NDS(d15:0/26:2)+H,796.6666,634.6138,616.6032,598.5927,242.2478,224.2373,392.3887,212.2373
HexCer-NDS(d15:0/27:0)+H,814.7136,652.6608,634.6502,616.6396,242.2478,224.2373,410.4356,212.2373
HexCer-NDS(d15:0/27:1)+H,812.6979,650.6451,632.6345,614.624,242.2478,224.2373,408.42,212.2373
HexCer-NDS(d15:0/28:0)+H,828.7292,666.6764,648.6658,630.6553,242.2478,224.2373,424.4513,212.2373
HexCer-NDS(d15:0/28:1)+H,826.7136,664.6608,646.6502,628.6396,242.2478,224.2373,422.4356,212.2373
HexCer-NDS(d15:0/28:2)+H,824.6979,662.6451,644.6345,626.624,242.2478,224.2373,420.42,212.2373
HexCer-NDS(d15:0/29:0)+H,842.7449,680.6921,662.6815,644.6709,242.2478,224.2373,438.4669,212.2373
HexCer-NDS(d15:0/29:1)+H,840.7292,678.6764,660.6658,642.6553,242.2478,224.2373,436.4513,212.2373
