OxPC,[M+C2H3O2]-,[M-CH3]-,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1,C7H15NO5P
OxPC(18:0_20:4(1O))+C2H3O2,884.6017,810.5649,319.2279,301.2173,0.01,283.2635,224.0693
OxPC(18:0_20:4(1O(1Cyc)))+C2H3O2,882.5861,808.5493,317.2122,0.01,0.01,283.2635,224.0693
OxPC(18:0_20:4(2O))+C2H3O2,900.5966,826.5598,335.2228,317.2122,299.2017,283.2635,224.0693
OxPC(18:0_20:4(3O))+C2H3O2,916.5915,842.5547,351.2177,333.2072,315.1966,283.2635,224.0693
OxPC(18:0_20:4(3O(2Cyc)))+C2H3O2,916.5915,842.5547,351.2177,333.2072,0.01,283.2635,224.0693
OxPC(18:0_20:4(4O(1Cyc)))+C2H3O2,932.5864,858.5496,367.2126,349.2021,331.1915,283.2635,224.0693
OxPC(18:0_20:4(4O(2Cyc)))+C2H3O2,932.5864,858.5496,367.2126,349.2021,331.1915,283.2635,224.0693
OxPC(18:0_20:5(1O))+C2H3O2,882.5861,808.5493,317.2122,299.2017,0.01,283.2635,224.0693
OxPC(18:0_20:5(1O(1Cyc)))+C2H3O2,880.5704,806.5336,315.1966,0.01,0.01,283.2635,224.0693
OxPC(18:0_20:5(2O))+C2H3O2,898.5809,824.5442,333.2071,315.1966,297.186,283.2635,224.0693
OxPC(18:0_20:5(3O))+C2H3O2,914.5759,840.5391,349.2021,331.1915,313.1809,283.2635,224.0693
OxPC(18:0_20:5(3O(2Cyc)))+C2H3O2,914.5759,840.5391,349.2021,331.1915,0.01,283.2635,224.0693
OxPC(18:0_20:5(4O(2Cyc)))+C2H3O2,930.5707,856.534,365.197,347.1864,329.1758,283.2635,224.0693
OxPC(18:0_22:5(1O(1Cyc)))+C2H3O2,908.6017,834.5649,343.2279,0.01,0.01,283.2635,224.0693
OxPC(18:0_22:5(2O))+C2H3O2,926.6122,852.5754,361.2384,343.2279,325.2173,283.2635,224.0693
OxPC(18:0_22:6(1O))+C2H3O2,908.6017,834.5649,343.2279,325.2173,0.01,283.2635,224.0693
OxPC(18:0_22:6(2O))+C2H3O2,924.5966,850.5598,359.2228,341.2122,323.2017,283.2635,224.0693
OxPC(18:0_22:6(3O))+C2H3O2,940.5915,866.5547,375.2177,357.2072,339.1966,283.2635,224.0693
OxPC(18:0_22:6(4O))+C2H3O2,956.5864,882.5496,391.2126,373.2021,355.1915,283.2635,224.0693
OxPC(18:1_18:0(1O))+C2H3O2,862.6173,788.5806,299.2592,281.2486,0.01,281.2479,224.0693
OxPC(18:1_18:0(1O(1Cyc)))+C2H3O2,860.6017,786.5649,297.2435,0.01,0.01,281.2479,224.0693
OxPC(18:1_18:0(2O))+C2H3O2,878.6122,804.5754,315.2541,297.2435,279.233,281.2479,224.0693
OxPC(18:1_18:1(1O))+C2H3O2,860.6017,786.5649,297.2435,279.233,0.01,281.2479,224.0693
OxPC(18:1_18:1(1O(1Cyc)))+C2H3O2,858.5861,784.5493,295.2279,0.01,0.01,281.2479,224.0693
OxPC(18:1_18:1(2O))+C2H3O2,876.5966,802.5598,313.2384,295.2279,277.2173,281.2479,224.0693
OxPC(18:1_18:1(3O))+C2H3O2,892.5915,818.5547,329.2333,311.2228,293.2122,281.2479,224.0693
OxPC(18:1_18:2(1O))+C2H3O2,858.5861,784.5493,295.2279,277.2173,0.01,281.2479,224.0693
OxPC(18:1_18:2(2O))+C2H3O2,874.5809,800.5442,311.2228,293.2122,275.2017,281.2479,224.0693
OxPC(18:1_18:3(1O))+C2H3O2,856.5704,782.5336,293.2122,275.2017,0.01,281.2479,224.0693
OxPC(18:1_20:3(1O))+C2H3O2,884.6017,810.5649,321.2435,303.233,0.01,281.2479,224.0693
OxPC(18:1_20:3(1O(1Cyc)))+C2H3O2,882.5861,808.5493,319.2279,0.01,0.01,281.2479,224.0693
OxPC(18:1_20:3(2O))+C2H3O2,900.5966,826.5598,337.2384,319.2279,301.2173,281.2479,224.0693
OxPC(18:1_20:3(2O(1Cyc)))+C2H3O2,898.5809,824.5442,335.2228,317.2122,0.01,281.2479,224.0693
OxPC(18:1_20:3(3O))+C2H3O2,916.5915,842.5547,353.2333,335.2228,317.2122,281.2479,224.0693
OxPC(18:1_20:3(4O(1Cyc)))+C2H3O2,932.5864,858.5496,369.2283,351.2177,333.2072,281.2479,224.0693
OxPC(18:1_20:4(1O))+C2H3O2,882.5861,808.5493,319.2279,301.2173,0.01,281.2479,224.0693
