PEtOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C5H11O5P-H]-
PEtOH(12:0_12:0)-H,563.3718,381.2049,381.2049,199.1697,199.1697,181.0271
PEtOH(12:0_13:0)-H,577.3875,395.2206,381.2049,213.1853,199.1697,181.0271
PEtOH(12:0_13:1)-H,575.3718,393.2049,381.2049,211.1697,199.1697,181.0271
PEtOH(12:0_14:0)-H,591.4031,409.2361,381.2049,227.201,199.1697,181.0271
PEtOH(12:0_14:1)-H,589.3875,407.2206,381.2049,225.1853,199.1697,181.0271
PEtOH(12:0_15:0)-H,605.4188,423.2519,381.2049,241.2166,199.1697,181.0271
PEtOH(12:0_15:1)-H,603.4031,421.2361,381.2049,239.201,199.1697,181.0271
PEtOH(12:0_16:0)-H,619.4344,437.2675,381.2049,255.2323,199.1697,181.0271
PEtOH(12:0_16:1)-H,617.4188,435.2519,381.2049,253.2166,199.1697,181.0271
PEtOH(12:0_16:2)-H,615.4031,433.2361,381.2049,251.201,199.1697,181.0271
PEtOH(12:0_16:3)-H,613.3875,431.2206,381.2049,249.1853,199.1697,181.0271
PEtOH(12:0_16:4)-H,611.3718,429.2049,381.2049,247.1697,199.1697,181.0271
PEtOH(12:0_17:0)-H,633.45,451.2831,381.2049,269.2479,199.1697,181.0271
PEtOH(12:0_17:1)-H,631.4344,449.2675,381.2049,267.2323,199.1697,181.0271
PEtOH(12:0_17:2)-H,629.4188,447.2519,381.2049,265.2166,199.1697,181.0271
PEtOH(12:0_18:0)-H,647.4657,465.2988,381.2049,283.2635,199.1697,181.0271
PEtOH(12:0_18:1)-H,645.45,463.2831,381.2049,281.2479,199.1697,181.0271
PEtOH(12:0_18:2)-H,643.4344,461.2675,381.2049,279.2323,199.1697,181.0271
PEtOH(12:0_18:3)-H,641.4188,459.2519,381.2049,277.2166,199.1697,181.0271
PEtOH(12:0_18:4)-H,639.4031,457.2361,381.2049,275.201,199.1697,181.0271
PEtOH(12:0_18:5)-H,637.3875,455.2206,381.2049,273.1853,199.1697,181.0271
PEtOH(12:0_19:0)-H,661.4813,479.3144,381.2049,297.2792,199.1697,181.0271
PEtOH(12:0_19:1)-H,659.4657,477.2988,381.2049,295.2635,199.1697,181.0271
PEtOH(12:0_19:2)-H,657.45,475.2831,381.2049,293.2479,199.1697,181.0271
PEtOH(12:0_20:0)-H,675.497,493.33,381.2049,311.2948,199.1697,181.0271
PEtOH(12:0_20:1)-H,673.4813,491.3144,381.2049,309.2792,199.1697,181.0271
PEtOH(12:0_20:2)-H,671.4657,489.2988,381.2049,307.2635,199.1697,181.0271
PEtOH(12:0_20:3)-H,669.45,487.2831,381.2049,305.2479,199.1697,181.0271
PEtOH(12:0_20:4)-H,667.4344,485.2675,381.2049,303.2323,199.1697,181.0271
PEtOH(12:0_20:5)-H,665.4188,483.2519,381.2049,301.2166,199.1697,181.0271
PEtOH(12:0_21:0)-H,689.5127,507.3458,381.205,325.3105,199.1697,181.0271
PEtOH(12:0_21:1)-H,687.497,505.33,381.2049,323.2948,199.1697,181.0271
PEtOH(12:0_21:2)-H,685.4813,503.3144,381.2049,321.2792,199.1697,181.0271
PEtOH(12:0_22:0)-H,703.5283,521.3614,381.205,339.3261,199.1697,181.0271
PEtOH(12:0_22:1)-H,701.5127,519.3458,381.205,337.3105,199.1697,181.0271
PEtOH(12:0_22:2)-H,699.497,517.3301,381.2049,335.2948,199.1697,181.0271
PEtOH(12:0_22:3)-H,697.4813,515.3143,381.2049,333.2792,199.1697,181.0271
PEtOH(12:0_22:4)-H,695.4657,513.2988,381.2049,331.2635,199.1697,181.0271
PEtOH(12:0_22:5)-H,693.45,511.2831,381.2049,329.2479,199.1697,181.0271
PEtOH(12:0_22:6)-H,691.4344,509.2675,381.2049,327.2323,199.1697,181.0271
PEtOH(12:0_23:0)-H,717.544,535.3771,381.205,353.3417,199.1697,181.0271
PEtOH(12:0_24:0)-H,731.5596,549.3926,381.205,367.3574,199.1697,181.0271
PEtOH(12:0_24:1)-H,729.544,547.3771,381.205,365.3417,199.1697,181.0271
PEtOH(12:0_24:2)-H,727.5283,545.3614,381.205,363.3261,199.1697,181.0271
PEtOH(12:0_24:4)-H,723.497,541.3301,381.2049,359.2948,199.1697,181.0271
PEtOH(12:0_25:0)-H,745.5753,563.4084,381.205,381.373,199.1697,181.0271
PEtOH(12:0_26:0)-H,759.5909,577.424,381.205,395.3887,199.1697,181.0271
PEtOH(12:0_26:1)-H,757.5753,575.4084,381.205,393.373,199.1697,181.0271
PEtOH(12:0_26:2)-H,755.5596,573.3926,381.205,391.3574,199.1697,181.0271
PEtOH(12:0_26:4)-H,751.5283,569.3614,381.205,387.3261,199.1697,181.0271
PEtOH(12:0_27:0)-H,773.6065,591.4396,381.205,409.4043,199.1697,181.0271
PEtOH(13:0_13:0)-H,591.4031,395.2205,395.2205,213.1853,213.1853,181.0271
PEtOH(13:0_13:1)-H,589.3875,393.2049,395.2206,211.1697,213.1853,181.0271
PEtOH(13:0_14:0)-H,605.4188,409.2362,395.2206,227.201,213.1853,181.0271
PEtOH(13:0_14:1)-H,603.4031,407.2205,395.2205,225.1853,213.1853,181.0271
PEtOH(13:0_15:0)-H,619.4344,423.2518,395.2206,241.2166,213.1853,181.0271
PEtOH(13:0_15:1)-H,617.4188,421.2362,395.2206,239.201,213.1853,181.0271
PEtOH(13:0_16:0)-H,633.45,437.2674,395.2205,255.2323,213.1853,181.0271
PEtOH(13:0_16:1)-H,631.4344,435.2518,395.2206,253.2166,213.1853,181.0271
PEtOH(13:0_16:2)-H,629.4188,433.2362,395.2206,251.201,213.1853,181.0271
PEtOH(13:0_16:3)-H,627.4031,431.2205,395.2205,249.1853,213.1853,181.0271
PEtOH(13:0_16:4)-H,625.3875,429.2049,395.2206,247.1697,213.1853,181.0271
PEtOH(13:0_17:0)-H,647.4657,451.2831,395.2206,269.2479,213.1853,181.0271
PEtOH(13:0_17:1)-H,645.45,449.2674,395.2205,267.2323,213.1853,181.0271
PEtOH(13:0_17:2)-H,643.4344,447.2518,395.2206,265.2166,213.1853,181.0271
PEtOH(13:0_18:0)-H,661.4813,465.2987,395.2205,283.2635,213.1853,181.0271
PEtOH(13:0_18:1)-H,659.4657,463.2831,395.2206,281.2479,213.1853,181.0271
PEtOH(13:0_18:2)-H,657.45,461.2674,395.2205,279.2323,213.1853,181.0271
PEtOH(13:0_18:3)-H,655.4344,459.2518,395.2206,277.2166,213.1853,181.0271
PEtOH(13:0_18:4)-H,653.4188,457.2362,395.2206,275.201,213.1853,181.0271
PEtOH(13:0_18:5)-H,651.4031,455.2205,395.2205,273.1853,213.1853,181.0271
PEtOH(13:0_19:0)-H,675.497,479.3144,395.2206,297.2792,213.1853,181.0271
PEtOH(13:0_19:1)-H,673.4813,477.2987,395.2205,295.2635,213.1853,181.0271
PEtOH(13:0_19:2)-H,671.4657,475.2831,395.2206,293.2479,213.1853,181.0271
PEtOH(13:0_20:0)-H,689.5127,493.3301,395.2206,311.2948,213.1853,181.0271
PEtOH(13:0_20:1)-H,687.497,491.3144,395.2206,309.2792,213.1853,181.0271
PEtOH(13:0_20:2)-H,685.4813,489.2987,395.2205,307.2635,213.1853,181.0271
PEtOH(13:0_20:3)-H,683.4657,487.2831,395.2206,305.2479,213.1853,181.0271
PEtOH(13:0_20:4)-H,681.45,485.2674,395.2205,303.2323,213.1853,181.0271
PEtOH(13:0_20:5)-H,679.4344,483.2518,395.2206,301.2166,213.1853,181.0271
PEtOH(13:0_21:0)-H,703.5283,507.3457,395.2206,325.3105,213.1853,181.0271
PEtOH(13:0_21:1)-H,701.5127,505.3301,395.2206,323.2948,213.1853,181.0271
PEtOH(13:0_21:2)-H,699.497,503.3144,395.2206,321.2792,213.1853,181.0271
PEtOH(13:0_22:0)-H,717.544,521.3615,395.2207,339.3261,213.1853,181.0271
PEtOH(13:0_22:1)-H,715.5283,519.3457,395.2206,337.3105,213.1853,181.0271
PEtOH(13:0_22:2)-H,713.5127,517.3301,395.2206,335.2948,213.1853,181.0271
PEtOH(13:0_22:3)-H,711.497,515.3144,395.2206,333.2792,213.1853,181.0271
PEtOH(13:0_22:4)-H,709.4813,513.2987,395.2205,331.2635,213.1853,181.0271
