Cer-NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NDS(d14:0/32:2)+H,704.6915,686.681,668.6704,228.2322,210.2216,476.4826,198.2216
Cer-NDS(d14:0/33:0)+H,722.7385,704.7279,686.7173,228.2322,210.2216,494.5295,198.2216
Cer-NDS(d14:0/33:1)+H,720.7228,702.7123,684.7017,228.2322,210.2216,492.5139,198.2216
Cer-NDS(d14:0/34:0)+H,736.7542,718.7435,700.733,228.2322,210.2216,508.5452,198.2216
Cer-NDS(d14:0/34:1)+H,734.7385,716.7279,698.7173,228.2322,210.2216,506.5295,198.2216
Cer-NDS(d14:0/34:2)+H,732.7228,714.7123,696.7017,228.2322,210.2216,504.5139,198.2216
Cer-NDS(d14:0/35:0)+H,750.7698,732.7592,714.7487,228.2322,210.2216,522.5609,198.2216
Cer-NDS(d14:0/35:1)+H,748.7542,730.7435,712.733,228.2322,210.2216,520.5452,198.2216
Cer-NDS(d14:0/36:0)+H,764.7854,746.7748,728.7643,228.2322,210.2216,536.5765,198.2216
Cer-NDS(d14:0/36:1)+H,762.7698,744.7592,726.7487,228.2322,210.2216,534.5609,198.2216
Cer-NDS(d14:0/36:2)+H,760.7542,742.7435,724.733,228.2322,210.2216,532.5452,198.2216
Cer-NDS(d14:0/38:0)+H,792.8167,774.8062,756.7956,228.2322,210.2216,564.6078,198.2216
Cer-NDS(d14:0/38:1)+H,790.8011,772.7905,754.7799,228.2322,210.2216,562.5922,198.2216
Cer-NDS(d14:0/38:2)+H,788.7854,770.7748,752.7643,228.2322,210.2216,560.5765,198.2216
Cer-NDS(d14:0/40:0)+H,820.848,802.8375,784.8269,228.2322,210.2216,592.6391,198.2216
Cer-NDS(d14:0/40:1)+H,818.8324,800.8218,782.8112,228.2322,210.2216,590.6235,198.2216
Cer-NDS(d14:0/40:2)+H,816.8167,798.8062,780.7956,228.2322,210.2216,588.6078,198.2216
Cer-NDS(d14:0/42:0)+H,848.8793,830.8688,812.8582,228.2322,210.2216,620.6704,198.2216
Cer-NDS(d14:0/42:1)+H,846.8636,828.8531,810.8425,228.2322,210.2216,618.6547,198.2216
Cer-NDS(d14:0/42:2)+H,844.848,826.8375,808.8269,228.2322,210.2216,616.6391,198.2216
Cer-NDS(d15:0/12:0)+H,442.4255,424.4149,406.4043,242.2478,224.2373,200.2009,212.2373
Cer-NDS(d15:0/12:1)+H,440.4098,422.3993,404.3887,242.2478,224.2373,198.1853,212.2373
Cer-NDS(d15:0/13:0)+H,456.4411,438.4305,420.42,242.2478,224.2373,214.2166,212.2373
Cer-NDS(d15:0/13:1)+H,454.4255,436.4149,418.4043,242.2478,224.2373,212.2009,212.2373
Cer-NDS(d15:0/14:0)+H,470.4568,452.4462,434.4356,242.2478,224.2373,228.2322,212.2373
Cer-NDS(d15:0/14:1)+H,468.4411,450.4305,432.42,242.2478,224.2373,226.2166,212.2373
Cer-NDS(d15:0/15:0)+H,484.4724,466.4619,448.4513,242.2478,224.2373,242.2478,212.2373
Cer-NDS(d15:0/15:1)+H,482.4568,464.4462,446.4356,242.2478,224.2373,240.2322,212.2373
Cer-NDS(d15:0/16:0)+H,498.4881,480.4775,462.4669,242.2478,224.2373,256.2635,212.2373
Cer-NDS(d15:0/16:1)+H,496.4724,478.4619,460.4513,242.2478,224.2373,254.2478,212.2373
Cer-NDS(d15:0/16:2)+H,494.4568,476.4462,458.4356,242.2478,224.2373,252.2322,212.2373
Cer-NDS(d15:0/17:0)+H,512.5037,494.4932,476.4826,242.2478,224.2373,270.2791,212.2373
Cer-NDS(d15:0/18:0)+H,526.5193,508.5088,490.4982,242.2478,224.2373,284.2948,212.2373
Cer-NDS(d15:0/18:1)+H,524.5037,506.4932,488.4826,242.2478,224.2373,282.2791,212.2373
Cer-NDS(d15:0/18:2)+H,522.4881,504.4775,486.4669,242.2478,224.2373,280.2635,212.2373
