Cer-NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NDS(d17:0/28:1)+H,692.6915,674.681,656.6704,270.2791,252.2686,422.4356,240.2686
Cer-NDS(d17:0/28:2)+H,690.6758,672.6653,654.6547,270.2791,252.2686,420.42,240.2686
Cer-NDS(d17:0/29:0)+H,708.7228,690.7123,672.7017,270.2791,252.2686,438.4669,240.2686
Cer-NDS(d17:0/29:1)+H,706.7072,688.6966,670.686,270.2791,252.2686,436.4513,240.2686
Cer-NDS(d17:0/30:0)+H,722.7385,704.7279,686.7173,270.2791,252.2686,452.4826,240.2686
Cer-NDS(d17:0/30:1)+H,720.7228,702.7123,684.7017,270.2791,252.2686,450.4669,240.2686
Cer-NDS(d17:0/30:2)+H,718.7072,700.6966,682.686,270.2791,252.2686,448.4513,240.2686
Cer-NDS(d17:0/31:0)+H,736.7542,718.7435,700.733,270.2791,252.2686,466.4983,240.2686
Cer-NDS(d17:0/31:1)+H,734.7385,716.7279,698.7173,270.2791,252.2686,464.4826,240.2686
Cer-NDS(d17:0/32:0)+H,750.7698,732.7592,714.7487,270.2791,252.2686,480.5139,240.2686
Cer-NDS(d17:0/32:1)+H,748.7542,730.7435,712.733,270.2791,252.2686,478.4983,240.2686
Cer-NDS(d17:0/32:2)+H,746.7385,728.7279,710.7173,270.2791,252.2686,476.4826,240.2686
Cer-NDS(d17:0/33:0)+H,764.7854,746.7748,728.7643,270.2791,252.2686,494.5295,240.2686
Cer-NDS(d17:0/33:1)+H,762.7698,744.7592,726.7487,270.2791,252.2686,492.5139,240.2686
Cer-NDS(d17:0/34:0)+H,778.8011,760.7905,742.7799,270.2791,252.2686,508.5452,240.2686
Cer-NDS(d17:0/34:1)+H,776.7854,758.7748,740.7643,270.2791,252.2686,506.5295,240.2686
Cer-NDS(d17:0/34:2)+H,774.7698,756.7592,738.7487,270.2791,252.2686,504.5139,240.2686
Cer-NDS(d17:0/35:0)+H,792.8167,774.8062,756.7956,270.2791,252.2686,522.5609,240.2686
Cer-NDS(d17:0/35:1)+H,790.8011,772.7905,754.7799,270.2791,252.2686,520.5452,240.2686
Cer-NDS(d17:0/36:0)+H,806.8324,788.8218,770.8112,270.2791,252.2686,536.5765,240.2686
Cer-NDS(d17:0/36:1)+H,804.8167,786.8062,768.7956,270.2791,252.2686,534.5609,240.2686
Cer-NDS(d17:0/36:2)+H,802.8011,784.7905,766.7799,270.2791,252.2686,532.5452,240.2686
Cer-NDS(d17:0/38:0)+H,834.8636,816.8531,798.8425,270.2791,252.2686,564.6078,240.2686
Cer-NDS(d17:0/38:1)+H,832.848,814.8375,796.8269,270.2791,252.2686,562.5922,240.2686
Cer-NDS(d17:0/38:2)+H,830.8324,812.8218,794.8112,270.2791,252.2686,560.5765,240.2686
Cer-NDS(d17:0/40:0)+H,862.895,844.8844,826.8738,270.2791,252.2686,592.6391,240.2686
Cer-NDS(d17:0/40:1)+H,860.8793,842.8688,824.8582,270.2791,252.2686,590.6235,240.2686
Cer-NDS(d17:0/40:2)+H,858.8636,840.8531,822.8425,270.2791,252.2686,588.6078,240.2686
Cer-NDS(d17:0/42:0)+H,890.9263,872.9157,854.9052,270.2791,252.2686,620.6704,240.2686
Cer-NDS(d17:0/42:1)+H,888.9106,870.9,852.8895,270.2791,252.2686,618.6547,240.2686
Cer-NDS(d17:0/42:2)+H,886.895,868.8844,850.8738,270.2791,252.2686,616.6391,240.2686
Cer-NDS(d18:0/12:0)+H,484.4724,466.4619,448.4513,284.2948,266.2842,200.2009,254.2842
Cer-NDS(d18:0/12:1)+H,482.4568,464.4462,446.4356,284.2948,266.2842,198.1853,254.2842
Cer-NDS(d18:0/13:0)+H,498.4881,480.4775,462.4669,284.2948,266.2842,214.2166,254.2842
Cer-NDS(d18:0/13:1)+H,496.4724,478.4619,460.4513,284.2948,266.2842,212.2009,254.2842
Cer-NDS(d18:0/14:0)+H,512.5037,494.4932,476.4826,284.2948,266.2842,228.2322,254.2842
Cer-NDS(d18:0/14:1)+H,510.4881,492.4775,474.4669,284.2948,266.2842,226.2166,254.2842
Cer-NDS(d18:0/15:0)+H,526.5193,508.5088,490.4982,284.2948,266.2842,242.2478,254.2842
Cer-NDS(d18:0/15:1)+H,524.5037,506.4932,488.4826,284.2948,266.2842,240.2322,254.2842
Cer-NDS(d18:0/16:0)+H,540.535,522.5245,504.5139,284.2948,266.2842,256.2635,254.2842
Cer-NDS(d18:0/16:1)+H,538.5193,520.5088,502.4982,284.2948,266.2842,254.2478,254.2842
Cer-NDS(d18:0/16:2)+H,536.5037,518.4932,500.4826,284.2948,266.2842,252.2322,254.2842
Cer-NDS(d18:0/17:0)+H,554.5507,536.5401,518.5295,284.2948,266.2842,270.2791,254.2842
Cer-NDS(d18:0/18:0)+H,568.5663,550.5557,532.5452,284.2948,266.2842,284.2948,254.2842
Cer-NDS(d18:0/18:1)+H,566.5507,548.5401,530.5295,284.2948,266.2842,282.2791,254.2842
Cer-NDS(d18:0/18:2)+H,564.535,546.5245,528.5139,284.2948,266.2842,280.2635,254.2842
Cer-NDS(d18:0/19:0)+H,582.582,564.5714,546.5609,284.2948,266.2842,298.3105,254.2842
Cer-NDS(d18:0/19:1)+H,580.5663,562.5557,544.5452,284.2948,266.2842,296.2948,254.2842
Cer-NDS(d18:0/20:0)+H,596.5976,578.587,560.5765,284.2948,266.2842,312.3261,254.2842
Cer-NDS(d18:0/20:1)+H,594.582,576.5714,558.5609,284.2948,266.2842,310.3105,254.2842
Cer-NDS(d18:0/20:2)+H,592.5663,574.5557,556.5452,284.2948,266.2842,308.2948,254.2842
Cer-NDS(d18:0/21:0)+H,610.6133,592.6027,574.5921,284.2948,266.2842,326.3417,254.2842
Cer-NDS(d18:0/21:1)+H,608.5976,590.587,572.5765,284.2948,266.2842,324.3261,254.2842
Cer-NDS(d18:0/22:0)+H,624.6289,606.6183,588.6078,284.2948,266.2842,340.3574,254.2842
Cer-NDS(d18:0/22:1)+H,622.6133,604.6027,586.5921,284.2948,266.2842,338.3417,254.2842
Cer-NDS(d18:0/22:2)+H,620.5976,602.587,584.5765,284.2948,266.2842,336.3261,254.2842
Cer-NDS(d18:0/23:0)+H,638.6446,620.634,602.6234,284.2948,266.2842,354.373,254.2842
Cer-NDS(d18:0/23:1)+H,636.6289,618.6183,600.6078,284.2948,266.2842,352.3574,254.2842
Cer-NDS(d18:0/24:0)+H,652.6602,634.6497,616.6391,284.2948,266.2842,368.3887,254.2842
Cer-NDS(d18:0/24:1)+H,650.6446,632.634,614.6234,284.2948,266.2842,366.373,254.2842
Cer-NDS(d18:0/24:2)+H,648.6289,630.6183,612.6078,284.2948,266.2842,364.3574,254.2842
Cer-NDS(d18:0/25:0)+H,666.6758,648.6653,630.6547,284.2948,266.2842,382.4044,254.2842
Cer-NDS(d18:0/25:1)+H,664.6602,646.6497,628.6391,284.2948,266.2842,380.3887,254.2842
Cer-NDS(d18:0/26:0)+H,680.6915,662.681,644.6704,284.2948,266.2842,396.42,254.2842
Cer-NDS(d18:0/26:1)+H,678.6758,660.6653,642.6547,284.2948,266.2842,394.4044,254.2842
Cer-NDS(d18:0/26:2)+H,676.6602,658.6497,640.6391,284.2948,266.2842,392.3887,254.2842
Cer-NDS(d18:0/27:0)+H,694.7072,676.6966,658.686,284.2948,266.2842,410.4356,254.2842
Cer-NDS(d18:0/27:1)+H,692.6915,674.681,656.6704,284.2948,266.2842,408.42,254.2842
Cer-NDS(d18:0/28:0)+H,708.7228,690.7123,672.7017,284.2948,266.2842,424.4513,254.2842
Cer-NDS(d18:0/28:1)+H,706.7072,688.6966,670.686,284.2948,266.2842,422.4356,254.2842
Cer-NDS(d18:0/28:2)+H,704.6915,686.681,668.6704,284.2948,266.2842,420.42,254.2842
Cer-NDS(d18:0/29:0)+H,722.7385,704.7279,686.7173,284.2948,266.2842,438.4669,254.2842
Cer-NDS(d18:0/29:1)+H,720.7228,702.7123,684.7017,284.2948,266.2842,436.4513,254.2842
Cer-NDS(d18:0/30:0)+H,736.7542,718.7435,700.733,284.2948,266.2842,452.4826,254.2842
Cer-NDS(d18:0/30:1)+H,734.7385,716.7279,698.7173,284.2948,266.2842,450.4669,254.2842
Cer-NDS(d18:0/30:2)+H,732.7228,714.7123,696.7017,284.2948,266.2842,448.4513,254.2842
Cer-NDS(d18:0/31:0)+H,750.7698,732.7592,714.7487,284.2948,266.2842,466.4983,254.2842
Cer-NDS(d18:0/31:1)+H,748.7542,730.7435,712.733,284.2948,266.2842,464.4826,254.2842
Cer-NDS(d18:0/32:0)+H,764.7854,746.7748,728.7643,284.2948,266.2842,480.5139,254.2842
Cer-NDS(d18:0/32:1)+H,762.7698,744.7592,726.7487,284.2948,266.2842,478.4983,254.2842
Cer-NDS(d18:0/32:2)+H,760.7542,742.7435,724.733,284.2948,266.2842,476.4826,254.2842
Cer-NDS(d18:0/33:0)+H,778.8011,760.7905,742.7799,284.2948,266.2842,494.5295,254.2842
Cer-NDS(d18:0/33:1)+H,776.7854,758.7748,740.7643,284.2948,266.2842,492.5139,254.2842
Cer-NDS(d18:0/34:0)+H,792.8167,774.8062,756.7956,284.2948,266.2842,508.5452,254.2842
Cer-NDS(d18:0/34:1)+H,790.8011,772.7905,754.7799,284.2948,266.2842,506.5295,254.2842
Cer-NDS(d18:0/34:2)+H,788.7854,770.7748,752.7643,284.2948,266.2842,504.5139,254.2842
Cer-NDS(d18:0/35:0)+H,806.8324,788.8218,770.8112,284.2948,266.2842,522.5609,254.2842
Cer-NDS(d18:0/35:1)+H,804.8167,786.8062,768.7956,284.2948,266.2842,520.5452,254.2842
Cer-NDS(d18:0/36:0)+H,820.848,802.8375,784.8269,284.2948,266.2842,536.5765,254.2842
Cer-NDS(d18:0/36:1)+H,818.8324,800.8218,782.8112,284.2948,266.2842,534.5609,254.2842
Cer-NDS(d18:0/36:2)+H,816.8167,798.8062,780.7956,284.2948,266.2842,532.5452,254.2842
Cer-NDS(d18:0/38:0)+H,848.8793,830.8688,812.8582,284.2948,266.2842,564.6078,254.2842
Cer-NDS(d18:0/38:1)+H,846.8636,828.8531,810.8425,284.2948,266.2842,562.5922,254.2842
Cer-NDS(d18:0/38:2)+H,844.848,826.8375,808.8269,284.2948,266.2842,560.5765,254.2842
Cer-NDS(d18:0/40:0)+H,876.9106,858.9,840.8895,284.2948,266.2842,592.6391,254.2842
Cer-NDS(d18:0/40:1)+H,874.895,856.8844,838.8738,284.2948,266.2842,590.6235,254.2842
Cer-NDS(d18:0/40:2)+H,872.8793,854.8688,836.8582,284.2948,266.2842,588.6078,254.2842
Cer-NDS(d18:0/42:0)+H,904.9419,886.9313,868.9208,284.2948,266.2842,620.6704,254.2842
Cer-NDS(d18:0/42:1)+H,902.9263,884.9157,866.9052,284.2948,266.2842,618.6547,254.2842
Cer-NDS(d18:0/42:2)+H,900.9106,882.9,864.8895,284.2948,266.2842,616.6391,254.2842
Cer-NDS(d19:0/12:0)+H,498.4881,480.4775,462.4669,298.3105,280.2999,200.2009,268.2999
Cer-NDS(d19:0/12:1)+H,496.4724,478.4619,460.4513,298.3105,280.2999,198.1853,268.2999
Cer-NDS(d19:0/13:0)+H,512.5037,494.4932,476.4826,298.3105,280.2999,214.2166,268.2999
Cer-NDS(d19:0/13:1)+H,510.4881,492.4775,474.4669,298.3105,280.2999,212.2009,268.2999
Cer-NDS(d19:0/14:0)+H,526.5193,508.5088,490.4982,298.3105,280.2999,228.2322,268.2999
Cer-NDS(d19:0/14:1)+H,524.5037,506.4932,488.4826,298.3105,280.2999,226.2166,268.2999
Cer-NDS(d19:0/15:0)+H,540.535,522.5245,504.5139,298.3105,280.2999,242.2478,268.2999
Cer-NDS(d19:0/15:1)+H,538.5193,520.5088,502.4982,298.3105,280.2999,240.2322,268.2999
Cer-NDS(d19:0/16:0)+H,554.5507,536.5401,518.5295,298.3105,280.2999,256.2635,268.2999
Cer-NDS(d19:0/16:1)+H,552.535,534.5245,516.5139,298.3105,280.2999,254.2478,268.2999
Cer-NDS(d19:0/16:2)+H,550.5193,532.5088,514.4982,298.3105,280.2999,252.2322,268.2999
Cer-NDS(d19:0/17:0)+H,568.5663,550.5557,532.5452,298.3105,280.2999,270.2791,268.2999
Cer-NDS(d19:0/18:0)+H,582.582,564.5714,546.5609,298.3105,280.2999,284.2948,268.2999
Cer-NDS(d19:0/18:1)+H,580.5663,562.5557,544.5452,298.3105,280.2999,282.2791,268.2999
Cer-NDS(d19:0/18:2)+H,578.5507,560.5401,542.5295,298.3105,280.2999,280.2635,268.2999
Cer-NDS(d19:0/19:0)+H,596.5976,578.587,560.5765,298.3105,280.2999,298.3105,268.2999
Cer-NDS(d19:0/19:1)+H,594.582,576.5714,558.5609,298.3105,280.2999,296.2948,268.2999
Cer-NDS(d19:0/20:0)+H,610.6133,592.6027,574.5921,298.3105,280.2999,312.3261,268.2999
Cer-NDS(d19:0/20:1)+H,608.5976,590.587,572.5765,298.3105,280.2999,310.3105,268.2999
Cer-NDS(d19:0/20:2)+H,606.582,588.5714,570.5609,298.3105,280.2999,308.2948,268.2999
Cer-NDS(d19:0/21:0)+H,624.6289,606.6183,588.6078,298.3105,280.2999,326.3417,268.2999
Cer-NDS(d19:0/21:1)+H,622.6133,604.6027,586.5921,298.3105,280.2999,324.3261,268.2999
Cer-NDS(d19:0/22:0)+H,638.6446,620.634,602.6234,298.3105,280.2999,340.3574,268.2999
Cer-NDS(d19:0/22:1)+H,636.6289,618.6183,600.6078,298.3105,280.2999,338.3417,268.2999
Cer-NDS(d19:0/22:2)+H,634.6133,616.6027,598.5921,298.3105,280.2999,336.3261,268.2999
Cer-NDS(d19:0/23:0)+H,652.6602,634.6497,616.6391,298.3105,280.2999,354.373,268.2999
Cer-NDS(d19:0/23:1)+H,650.6446,632.634,614.6234,298.3105,280.2999,352.3574,268.2999
Cer-NDS(d19:0/24:0)+H,666.6758,648.6653,630.6547,298.3105,280.2999,368.3887,268.2999
Cer-NDS(d19:0/24:1)+H,664.6602,646.6497,628.6391,298.3105,280.2999,366.373,268.2999
Cer-NDS(d19:0/24:2)+H,662.6446,644.634,626.6234,298.3105,280.2999,364.3574,268.2999
Cer-NDS(d19:0/25:0)+H,680.6915,662.681,644.6704,298.3105,280.2999,382.4044,268.2999
Cer-NDS(d19:0/25:1)+H,678.6758,660.6653,642.6547,298.3105,280.2999,380.3887,268.2999
Cer-NDS(d19:0/26:0)+H,694.7072,676.6966,658.686,298.3105,280.2999,396.42,268.2999
Cer-NDS(d19:0/26:1)+H,692.6915,674.681,656.6704,298.3105,280.2999,394.4044,268.2999
Cer-NDS(d19:0/26:2)+H,690.6758,672.6653,654.6547,298.3105,280.2999,392.3887,268.2999
Cer-NDS(d19:0/27:0)+H,708.7228,690.7123,672.7017,298.3105,280.2999,410.4356,268.2999
Cer-NDS(d19:0/27:1)+H,706.7072,688.6966,670.686,298.3105,280.2999,408.42,268.2999
Cer-NDS(d19:0/28:0)+H,722.7385,704.7279,686.7173,298.3105,280.2999,424.4513,268.2999
Cer-NDS(d19:0/28:1)+H,720.7228,702.7123,684.7017,298.3105,280.2999,422.4356,268.2999
Cer-NDS(d19:0/28:2)+H,718.7072,700.6966,682.686,298.3105,280.2999,420.42,268.2999
Cer-NDS(d19:0/29:0)+H,736.7542,718.7435,700.733,298.3105,280.2999,438.4669,268.2999
Cer-NDS(d19:0/29:1)+H,734.7385,716.7279,698.7173,298.3105,280.2999,436.4513,268.2999
Cer-NDS(d19:0/30:0)+H,750.7698,732.7592,714.7487,298.3105,280.2999,452.4826,268.2999
Cer-NDS(d19:0/30:1)+H,748.7542,730.7435,712.733,298.3105,280.2999,450.4669,268.2999
Cer-NDS(d19:0/30:2)+H,746.7385,728.7279,710.7173,298.3105,280.2999,448.4513,268.2999
Cer-NDS(d19:0/31:0)+H,764.7854,746.7748,728.7643,298.3105,280.2999,466.4983,268.2999
Cer-NDS(d19:0/31:1)+H,762.7698,744.7592,726.7487,298.3105,280.2999,464.4826,268.2999
Cer-NDS(d19:0/32:0)+H,778.8011,760.7905,742.7799,298.3105,280.2999,480.5139,268.2999
Cer-NDS(d19:0/32:1)+H,776.7854,758.7748,740.7643,298.3105,280.2999,478.4983,268.2999
Cer-NDS(d19:0/32:2)+H,774.7698,756.7592,738.7487,298.3105,280.2999,476.4826,268.2999
Cer-NDS(d19:0/33:0)+H,792.8167,774.8062,756.7956,298.3105,280.2999,494.5295,268.2999
Cer-NDS(d19:0/33:1)+H,790.8011,772.7905,754.7799,298.3105,280.2999,492.5139,268.2999
Cer-NDS(d19:0/34:0)+H,806.8324,788.8218,770.8112,298.3105,280.2999,508.5452,268.2999
Cer-NDS(d19:0/34:1)+H,804.8167,786.8062,768.7956,298.3105,280.2999,506.5295,268.2999
Cer-NDS(d19:0/34:2)+H,802.8011,784.7905,766.7799,298.3105,280.2999,504.5139,268.2999
Cer-NDS(d19:0/35:0)+H,820.848,802.8375,784.8269,298.3105,280.2999,522.5609,268.2999
Cer-NDS(d19:0/35:1)+H,818.8324,800.8218,782.8112,298.3105,280.2999,520.5452,268.2999
Cer-NDS(d19:0/36:0)+H,834.8636,816.8531,798.8425,298.3105,280.2999,536.5765,268.2999
Cer-NDS(d19:0/36:1)+H,832.848,814.8375,796.8269,298.3105,280.2999,534.5609,268.2999
Cer-NDS(d19:0/36:2)+H,830.8324,812.8218,794.8112,298.3105,280.2999,532.5452,268.2999
Cer-NDS(d19:0/38:0)+H,862.895,844.8844,826.8738,298.3105,280.2999,564.6078,268.2999
Cer-NDS(d19:0/38:1)+H,860.8793,842.8688,824.8582,298.3105,280.2999,562.5922,268.2999
Cer-NDS(d19:0/38:2)+H,858.8636,840.8531,822.8425,298.3105,280.2999,560.5765,268.2999
Cer-NDS(d19:0/40:0)+H,890.9263,872.9157,854.9052,298.3105,280.2999,592.6391,268.2999
Cer-NDS(d19:0/40:1)+H,888.9106,870.9,852.8895,298.3105,280.2999,590.6235,268.2999
Cer-NDS(d19:0/40:2)+H,886.895,868.8844,850.8738,298.3105,280.2999,588.6078,268.2999
Cer-NDS(d19:0/42:0)+H,918.9576,900.947,882.9364,298.3105,280.2999,620.6704,268.2999
Cer-NDS(d19:0/42:1)+H,916.9419,898.9313,880.9208,298.3105,280.2999,618.6547,268.2999
Cer-NDS(d19:0/42:2)+H,914.9263,896.9157,878.9052,298.3105,280.2999,616.6391,268.2999
Cer-NDS(d20:0/12:0)+H,512.5037,494.4932,476.4826,312.3261,294.3155,200.2009,282.3155
Cer-NDS(d20:0/12:1)+H,510.4881,492.4775,474.4669,312.3261,294.3155,198.1853,282.3155
Cer-NDS(d20:0/13:0)+H,526.5193,508.5088,490.4982,312.3261,294.3155,214.2166,282.3155
Cer-NDS(d20:0/13:1)+H,524.5037,506.4932,488.4826,312.3261,294.3155,212.2009,282.3155
Cer-NDS(d20:0/14:0)+H,540.535,522.5245,504.5139,312.3261,294.3155,228.2322,282.3155
Cer-NDS(d20:0/14:1)+H,538.5193,520.5088,502.4982,312.3261,294.3155,226.2166,282.3155
Cer-NDS(d20:0/15:0)+H,554.5507,536.5401,518.5295,312.3261,294.3155,242.2478,282.3155
Cer-NDS(d20:0/15:1)+H,552.535,534.5245,516.5139,312.3261,294.3155,240.2322,282.3155
Cer-NDS(d20:0/16:0)+H,568.5663,550.5557,532.5452,312.3261,294.3155,256.2635,282.3155
Cer-NDS(d20:0/16:1)+H,566.5507,548.5401,530.5295,312.3261,294.3155,254.2478,282.3155
Cer-NDS(d20:0/16:2)+H,564.535,546.5245,528.5139,312.3261,294.3155,252.2322,282.3155
Cer-NDS(d20:0/17:0)+H,582.582,564.5714,546.5609,312.3261,294.3155,270.2791,282.3155
Cer-NDS(d20:0/18:0)+H,596.5976,578.587,560.5765,312.3261,294.3155,284.2948,282.3155
Cer-NDS(d20:0/18:1)+H,594.582,576.5714,558.5609,312.3261,294.3155,282.2791,282.3155
Cer-NDS(d20:0/18:2)+H,592.5663,574.5557,556.5452,312.3261,294.3155,280.2635,282.3155
Cer-NDS(d20:0/19:0)+H,610.6133,592.6027,574.5921,312.3261,294.3155,298.3105,282.3155
Cer-NDS(d20:0/19:1)+H,608.5976,590.587,572.5765,312.3261,294.3155,296.2948,282.3155
Cer-NDS(d20:0/20:0)+H,624.6289,606.6183,588.6078,312.3261,294.3155,312.3261,282.3155
Cer-NDS(d20:0/20:1)+H,622.6133,604.6027,586.5921,312.3261,294.3155,310.3105,282.3155
Cer-NDS(d20:0/20:2)+H,620.5976,602.587,584.5765,312.3261,294.3155,308.2948,282.3155
Cer-NDS(d20:0/21:0)+H,638.6446,620.634,602.6234,312.3261,294.3155,326.3417,282.3155
Cer-NDS(d20:0/21:1)+H,636.6289,618.6183,600.6078,312.3261,294.3155,324.3261,282.3155
Cer-NDS(d20:0/22:0)+H,652.6602,634.6497,616.6391,312.3261,294.3155,340.3574,282.3155
Cer-NDS(d20:0/22:1)+H,650.6446,632.634,614.6234,312.3261,294.3155,338.3417,282.3155
Cer-NDS(d20:0/22:2)+H,648.6289,630.6183,612.6078,312.3261,294.3155,336.3261,282.3155
Cer-NDS(d20:0/23:0)+H,666.6758,648.6653,630.6547,312.3261,294.3155,354.373,282.3155
Cer-NDS(d20:0/23:1)+H,664.6602,646.6497,628.6391,312.3261,294.3155,352.3574,282.3155
Cer-NDS(d20:0/24:0)+H,680.6915,662.681,644.6704,312.3261,294.3155,368.3887,282.3155
Cer-NDS(d20:0/24:1)+H,678.6758,660.6653,642.6547,312.3261,294.3155,366.373,282.3155
Cer-NDS(d20:0/24:2)+H,676.6602,658.6497,640.6391,312.3261,294.3155,364.3574,282.3155
Cer-NDS(d20:0/25:0)+H,694.7072,676.6966,658.686,312.3261,294.3155,382.4044,282.3155
Cer-NDS(d20:0/25:1)+H,692.6915,674.681,656.6704,312.3261,294.3155,380.3887,282.3155
Cer-NDS(d20:0/26:0)+H,708.7228,690.7123,672.7017,312.3261,294.3155,396.42,282.3155
Cer-NDS(d20:0/26:1)+H,706.7072,688.6966,670.686,312.3261,294.3155,394.4044,282.3155
Cer-NDS(d20:0/26:2)+H,704.6915,686.681,668.6704,312.3261,294.3155,392.3887,282.3155
Cer-NDS(d20:0/27:0)+H,722.7385,704.7279,686.7173,312.3261,294.3155,410.4356,282.3155
Cer-NDS(d20:0/27:1)+H,720.7228,702.7123,684.7017,312.3261,294.3155,408.42,282.3155
Cer-NDS(d20:0/28:0)+H,736.7542,718.7435,700.733,312.3261,294.3155,424.4513,282.3155
Cer-NDS(d20:0/28:1)+H,734.7385,716.7279,698.7173,312.3261,294.3155,422.4356,282.3155
Cer-NDS(d20:0/28:2)+H,732.7228,714.7123,696.7017,312.3261,294.3155,420.42,282.3155
Cer-NDS(d20:0/29:0)+H,750.7698,732.7592,714.7487,312.3261,294.3155,438.4669,282.3155
Cer-NDS(d20:0/29:1)+H,748.7542,730.7435,712.733,312.3261,294.3155,436.4513,282.3155
Cer-NDS(d20:0/30:0)+H,764.7854,746.7748,728.7643,312.3261,294.3155,452.4826,282.3155
Cer-NDS(d20:0/30:1)+H,762.7698,744.7592,726.7487,312.3261,294.3155,450.4669,282.3155
Cer-NDS(d20:0/30:2)+H,760.7542,742.7435,724.733,312.3261,294.3155,448.4513,282.3155
Cer-NDS(d20:0/31:0)+H,778.8011,760.7905,742.7799,312.3261,294.3155,466.4983,282.3155
Cer-NDS(d20:0/31:1)+H,776.7854,758.7748,740.7643,312.3261,294.3155,464.4826,282.3155
Cer-NDS(d20:0/32:0)+H,792.8167,774.8062,756.7956,312.3261,294.3155,480.5139,282.3155
Cer-NDS(d20:0/32:1)+H,790.8011,772.7905,754.7799,312.3261,294.3155,478.4983,282.3155
Cer-NDS(d20:0/32:2)+H,788.7854,770.7748,752.7643,312.3261,294.3155,476.4826,282.3155
Cer-NDS(d20:0/33:0)+H,806.8324,788.8218,770.8112,312.3261,294.3155,494.5295,282.3155
Cer-NDS(d20:0/33:1)+H,804.8167,786.8062,768.7956,312.3261,294.3155,492.5139,282.3155
Cer-NDS(d20:0/34:0)+H,820.848,802.8375,784.8269,312.3261,294.3155,508.5452,282.3155
Cer-NDS(d20:0/34:1)+H,818.8324,800.8218,782.8112,312.3261,294.3155,506.5295,282.3155
Cer-NDS(d20:0/34:2)+H,816.8167,798.8062,780.7956,312.3261,294.3155,504.5139,282.3155
Cer-NDS(d20:0/35:0)+H,834.8636,816.8531,798.8425,312.3261,294.3155,522.5609,282.3155
Cer-NDS(d20:0/35:1)+H,832.848,814.8375,796.8269,312.3261,294.3155,520.5452,282.3155
Cer-NDS(d20:0/36:0)+H,848.8793,830.8688,812.8582,312.3261,294.3155,536.5765,282.3155
Cer-NDS(d20:0/36:1)+H,846.8636,828.8531,810.8425,312.3261,294.3155,534.5609,282.3155
Cer-NDS(d20:0/36:2)+H,844.848,826.8375,808.8269,312.3261,294.3155,532.5452,282.3155
Cer-NDS(d20:0/38:0)+H,876.9106,858.9,840.8895,312.3261,294.3155,564.6078,282.3155
Cer-NDS(d20:0/38:1)+H,874.895,856.8844,838.8738,312.3261,294.3155,562.5922,282.3155
Cer-NDS(d20:0/38:2)+H,872.8793,854.8688,836.8582,312.3261,294.3155,560.5765,282.3155
Cer-NDS(d20:0/40:0)+H,904.9419,886.9313,868.9208,312.3261,294.3155,592.6391,282.3155
Cer-NDS(d20:0/40:1)+H,902.9263,884.9157,866.9052,312.3261,294.3155,590.6235,282.3155
Cer-NDS(d20:0/40:2)+H,900.9106,882.9,864.8895,312.3261,294.3155,588.6078,282.3155
Cer-NDS(d20:0/42:0)+H,932.9732,914.9626,896.9521,312.3261,294.3155,620.6704,282.3155
Cer-NDS(d20:0/42:1)+H,930.9576,912.947,894.9364,312.3261,294.3155,618.6547,282.3155
Cer-NDS(d20:0/42:2)+H,928.9419,910.9313,892.9208,312.3261,294.3155,616.6391,282.3155
Cer-NDS(d21:0/12:0)+H,526.5193,508.5088,490.4982,326.3417,308.3312,200.2009,296.3312
Cer-NDS(d21:0/12:1)+H,524.5037,506.4932,488.4826,326.3417,308.3312,198.1853,296.3312
Cer-NDS(d21:0/13:0)+H,540.535,522.5245,504.5139,326.3417,308.3312,214.2166,296.3312
Cer-NDS(d21:0/13:1)+H,538.5193,520.5088,502.4982,326.3417,308.3312,212.2009,296.3312
Cer-NDS(d21:0/14:0)+H,554.5507,536.5401,518.5295,326.3417,308.3312,228.2322,296.3312
Cer-NDS(d21:0/14:1)+H,552.535,534.5245,516.5139,326.3417,308.3312,226.2166,296.3312
Cer-NDS(d21:0/15:0)+H,568.5663,550.5557,532.5452,326.3417,308.3312,242.2478,296.3312
Cer-NDS(d21:0/15:1)+H,566.5507,548.5401,530.5295,326.3417,308.3312,240.2322,296.3312
Cer-NDS(d21:0/16:0)+H,582.582,564.5714,546.5609,326.3417,308.3312,256.2635,296.3312
Cer-NDS(d21:0/16:1)+H,580.5663,562.5557,544.5452,326.3417,308.3312,254.2478,296.3312
Cer-NDS(d21:0/16:2)+H,578.5507,560.5401,542.5295,326.3417,308.3312,252.2322,296.3312
Cer-NDS(d21:0/17:0)+H,596.5976,578.587,560.5765,326.3417,308.3312,270.2791,296.3312
Cer-NDS(d21:0/18:0)+H,610.6133,592.6027,574.5921,326.3417,308.3312,284.2948,296.3312
Cer-NDS(d21:0/18:1)+H,608.5976,590.587,572.5765,326.3417,308.3312,282.2791,296.3312
Cer-NDS(d21:0/18:2)+H,606.582,588.5714,570.5609,326.3417,308.3312,280.2635,296.3312
Cer-NDS(d21:0/19:0)+H,624.6289,606.6183,588.6078,326.3417,308.3312,298.3105,296.3312
