OxPC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,Mna-R1COOH&TrimethylAmine,Mna-R2COOH&TrimethylAmine,Mna-R1COOH,Mna-R2COOH,Mna-R2COONa
OxPC(8:0_7:0(COOH))+Na,548.25951,365.19347,489.186011,343.21153,345.070981,329.112451,404.14448,388.18595,366.20399
OxPC(8:0_8:0(COOH))+Na,562.27516,379.20912,503.201661,357.22718,359.086631,329.112451,418.16013,388.18595,366.20399
OxPC(8:0_9:0(COOH))+Na,576.29081,393.22477,517.217311,371.24283,373.102281,329.112451,432.17578,388.18595,366.20399
OxPC(8:0_10:0(COOH))+Na,590.30646,407.24042,531.232961,385.25848,387.117931,329.112451,446.19143,388.18595,366.20399
OxPC(8:0_11:0(COOH))+Na,604.32211,421.25607,545.248611,399.27413,401.133581,329.112451,460.20708,388.18595,366.20399
OxPC(8:0_12:0(COOH))+Na,618.33776,435.27172,559.264261,413.28978,415.149231,329.112451,474.22273,388.18595,366.20399
OxPC(8:0_13:0(COOH))+Na,632.35341,449.28737,573.279911,427.30543,429.164881,329.112451,488.23838,388.18595,366.20399
OxPC(8:0_14:0(COOH))+Na,646.36906,463.30302,587.295561,441.32108,443.180531,329.112451,502.25403,388.18595,366.20399
OxPC(8:0_15:0(COOH))+Na,660.38471,477.31867,601.311211,455.33673,457.196181,329.112451,516.26968,388.18595,366.20399
OxPC(8:0_6:1(COOH))+Na,532.22822,349.16218,473.154721,327.18024,329.039691,329.112451,388.11319,388.18595,366.20399
OxPC(8:0_7:1(COOH))+Na,546.24387,363.17783,487.170371,341.19589,343.055341,329.112451,402.12884,388.18595,366.20399
OxPC(8:0_8:1(COOH))+Na,560.25952,377.19348,501.186021,355.21154,357.070991,329.112451,416.14449,388.18595,366.20399
OxPC(8:0_9:1(COOH))+Na,574.27517,391.20913,515.201671,369.22719,371.086641,329.112451,430.16014,388.18595,366.20399
OxPC(8:0_9:2(COOH))+Na,572.25952,389.19348,513.186021,367.21154,369.070991,329.112451,428.14449,388.18595,366.20399
OxPC(8:0_10:1(COOH))+Na,588.29082,405.22478,529.217321,383.24284,385.102291,329.112451,444.17579,388.18595,366.20399
OxPC(8:0_10:2(COOH))+Na,586.27517,403.20913,527.201671,381.22719,383.086641,329.112451,442.16014,388.18595,366.20399
OxPC(8:0_11:1(COOH))+Na,602.30647,419.24043,543.232971,397.25849,399.117941,329.112451,458.19144,388.18595,366.20399
OxPC(8:0_11:2(COOH))+Na,600.29082,417.22478,541.217321,395.24284,397.102291,329.112451,456.17579,388.18595,366.20399
OxPC(8:0_12:1(COOH))+Na,616.32212,433.25608,557.248621,411.27414,413.133591,329.112451,472.20709,388.18595,366.20399
OxPC(8:0_12:2(COOH))+Na,614.30647,431.24043,555.232971,409.25849,411.117941,329.112451,470.19144,388.18595,366.20399
OxPC(8:0_12:3(COOH))+Na,612.29082,429.22478,553.217321,407.24284,409.102291,329.112451,468.17579,388.18595,366.20399
OxPC(8:0_13:1(COOH))+Na,630.33777,447.27173,571.264271,425.28979,427.149241,329.112451,486.22274,388.18595,366.20399
OxPC(8:0_13:2(COOH))+Na,628.32212,445.25608,569.248621,423.27414,425.133591,329.112451,484.20709,388.18595,366.20399
OxPC(8:0_13:3(COOH))+Na,626.30647,443.24043,567.232971,421.25849,423.117941,329.112451,482.19144,388.18595,366.20399
OxPC(8:0_14:1(COOH))+Na,644.35342,461.28738,585.279921,439.30544,441.164891,329.112451,500.23839,388.18595,366.20399
OxPC(8:0_14:2(COOH))+Na,642.33777,459.27173,583.264271,437.28979,439.149241,329.112451,498.22274,388.18595,366.20399
OxPC(8:0_14:3(COOH))+Na,640.32212,457.25608,581.248621,435.27414,437.133591,329.112451,496.20709,388.18595,366.20399
OxPC(8:0_15:1(COOH))+Na,658.36907,475.30303,599.295571,453.32109,455.180541,329.112451,514.25404,388.18595,366.20399
OxPC(8:0_15:2(COOH))+Na,656.35342,473.28738,597.279921,451.30544,453.164891,329.112451,512.23839,388.18595,366.20399
OxPC(8:0_15:3(COOH))+Na,654.33777,471.27173,595.264271,449.28979,451.149241,329.112451,510.22274,388.18595,366.20399
OxPC(8:0_15:4(COOH))+Na,652.32212,469.25608,593.248621,447.27414,449.133591,329.112451,508.20709,388.18595,366.20399
OxPC(8:0_16:1(COOH))+Na,672.38472,489.31868,613.311221,467.33674,469.196191,329.112451,528.26969,388.18595,366.20399
OxPC(8:0_16:2(COOH))+Na,670.36907,487.30303,611.295571,465.32109,467.180541,329.112451,526.25404,388.18595,366.20399
OxPC(8:0_16:3(COOH))+Na,668.35342,485.28738,609.279921,463.30544,465.164891,329.112451,524.23839,388.18595,366.20399
OxPC(8:0_16:4(COOH))+Na,666.33777,483.27173,607.264271,461.28979,463.149241,329.112451,522.22274,388.18595,366.20399
OxPC(8:0_17:4(COOH))+Na,680.35342,497.28738,621.279921,475.30544,477.164891,329.112451,536.23839,388.18595,366.20399
OxPC(8:0_18:4(COOH))+Na,694.36907,511.30303,635.295571,489.32109,491.180541,329.112451,550.25404,388.18595,366.20399
OxPC(8:0_18:5(COOH))+Na,692.35342,509.28738,633.279921,487.30544,489.164891,329.112451,548.23839,388.18595,366.20399
OxPC(8:0_19:4(COOH))+Na,708.38472,525.31868,649.311221,503.33674,505.196191,329.112451,564.26969,388.18595,366.20399
OxPC(8:0_19:5(COOH))+Na,706.36907,523.30303,647.295571,501.32109,503.180541,329.112451,562.25404,388.18595,366.20399
OxPC(8:0_3:0(CHO))+Na,476.20199,293.13595,417.128491,271.15401,273.013461,329.112451,332.08696,388.18595,366.20399
OxPC(8:0_4:0(CHO))+Na,490.21764,307.1516,431.144141,285.16966,287.029111,329.112451,346.10261,388.18595,366.20399
OxPC(10:0_5:0(CHO))+Na,532.26459,349.19855,473.191091,327.21661,301.044761,357.143751,360.11826,416.21725,394.23529
OxPC(10:0_6:0(CHO))+Na,546.28024,363.2142,487.206741,341.23226,315.060411,357.143751,374.13391,416.21725,394.23529
OxPC(10:0_7:0(CHO))+Na,560.29589,377.22985,501.222391,355.24791,329.076061,357.143751,388.14956,416.21725,394.23529
OxPC(10:0_8:0(CHO))+Na,574.31154,391.2455,515.238041,369.26356,343.091711,357.143751,402.16521,416.21725,394.23529
OxPC(10:0_9:0(CHO))+Na,588.32719,405.26115,529.253691,383.27921,357.107361,357.143751,416.18086,416.21725,394.23529
OxPC(10:0_10:0(CHO))+Na,602.34284,419.2768,543.269341,397.29486,371.123011,357.143751,430.19651,416.21725,394.23529
OxPC(10:0_11:0(CHO))+Na,616.35849,433.29245,557.284991,411.31051,385.138661,357.143751,444.21216,416.21725,394.23529
OxPC(10:0_12:0(CHO))+Na,630.37414,447.3081,571.300641,425.32616,399.154311,357.143751,458.22781,416.21725,394.23529
OxPC(10:0_13:0(CHO))+Na,644.38979,461.32375,585.316291,439.34181,413.169961,357.143751,472.24346,416.21725,394.23529
OxPC(10:0_14:0(CHO))+Na,658.40544,475.3394,599.331941,453.35746,427.185611,357.143751,486.25911,416.21725,394.23529
OxPC(10:0_15:0(CHO))+Na,672.42109,489.35505,613.347591,467.37311,441.201261,357.143751,500.27476,416.21725,394.23529
OxPC(10:0_6:1(CHO))+Na,544.2646,361.19856,485.191101,339.21662,313.044771,357.143751,372.11827,416.21725,394.23529
OxPC(10:0_7:1(CHO))+Na,558.28025,375.21421,499.206751,353.23227,327.060421,357.143751,386.13392,416.21725,394.23529
OxPC(10:0_8:1(CHO))+Na,572.2959,389.22986,513.222401,367.24792,341.076071,357.143751,400.14957,416.21725,394.23529
OxPC(10:0_9:1(CHO))+Na,586.31155,403.24551,527.238051,381.26357,355.091721,357.143751,414.16522,416.21725,394.23529
OxPC(10:0_9:2(CHO))+Na,584.2959,401.22986,525.222401,379.24792,353.076071,357.143751,412.14957,416.21725,394.23529
OxPC(10:0_10:1(CHO))+Na,600.3272,417.26116,541.253701,395.27922,369.107371,357.143751,428.18087,416.21725,394.23529
OxPC(10:0_10:2(CHO))+Na,598.31155,415.24551,539.238051,393.26357,367.091721,357.143751,426.16522,416.21725,394.23529
OxPC(10:0_11:1(CHO))+Na,614.34285,431.27681,555.269351,409.29487,383.123021,357.143751,442.19652,416.21725,394.23529
OxPC(10:0_11:2(CHO))+Na,612.3272,429.26116,553.253701,407.27922,381.107371,357.143751,440.18087,416.21725,394.23529
OxPC(10:0_12:1(CHO))+Na,628.3585,445.29246,569.285001,423.31052,397.138671,357.143751,456.21217,416.21725,394.23529
OxPC(10:0_12:2(CHO))+Na,626.34285,443.27681,567.269351,421.29487,395.123021,357.143751,454.19652,416.21725,394.23529
