PMeOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C4H9O5P-H]-
PMeOH(17:0_15:1)-H,659.4657,407.2206,437.2675,239.201,269.2479,167.0115
PMeOH(15:1_17:1)-H,657.45,435.2518,407.2205,267.2323,239.201,167.0115
PMeOH(15:1_17:2)-H,655.4344,433.2362,407.2206,265.2166,239.201,167.0115
PMeOH(18:0_15:1)-H,673.4813,407.2205,451.2831,239.201,283.2635,167.0115
PMeOH(15:1_18:1)-H,671.4657,449.2675,407.2206,281.2479,239.201,167.0115
PMeOH(15:1_18:2)-H,669.45,447.2518,407.2205,279.2323,239.201,167.0115
PMeOH(15:1_18:3)-H,667.4344,445.2362,407.2206,277.2166,239.201,167.0115
PMeOH(15:1_18:4)-H,665.4188,443.2206,407.2206,275.201,239.201,167.0115
PMeOH(15:1_18:5)-H,663.4031,441.2049,407.2205,273.1853,239.201,167.0115
PMeOH(19:0_15:1)-H,687.497,407.2206,465.2988,239.201,297.2792,167.0115
PMeOH(15:1_19:1)-H,685.4813,463.2831,407.2205,295.2635,239.201,167.0115
PMeOH(15:1_19:2)-H,683.4657,461.2675,407.2206,293.2479,239.201,167.0115
PMeOH(20:0_15:1)-H,701.5127,407.2206,479.3145,239.201,311.2948,167.0115
PMeOH(15:1_20:1)-H,699.497,477.2988,407.2206,309.2792,239.201,167.0115
PMeOH(15:1_20:2)-H,697.4813,475.2831,407.2205,307.2635,239.201,167.0115
PMeOH(15:1_20:3)-H,695.4657,473.2675,407.2206,305.2479,239.201,167.0115
PMeOH(15:1_20:4)-H,693.45,471.2518,407.2205,303.2323,239.201,167.0115
PMeOH(15:1_20:5)-H,691.4344,469.2362,407.2206,301.2166,239.201,167.0115
PMeOH(21:0_15:1)-H,715.5283,407.2206,493.3301,239.201,325.3105,167.0115
PMeOH(15:1_21:1)-H,713.5127,491.3145,407.2206,323.2948,239.201,167.0115
PMeOH(15:1_21:2)-H,711.497,489.2988,407.2206,321.2792,239.201,167.0115
PMeOH(22:0_15:1)-H,729.544,407.2207,507.3458,239.201,339.3261,167.0115
PMeOH(15:1_22:1)-H,727.5283,505.3301,407.2206,337.3105,239.201,167.0115
PMeOH(15:1_22:2)-H,725.5127,503.3145,407.2206,335.2948,239.201,167.0115
PMeOH(15:1_22:3)-H,723.497,501.2988,407.2206,333.2792,239.201,167.0115
PMeOH(15:1_22:4)-H,721.4813,499.2831,407.2205,331.2635,239.201,167.0115
PMeOH(15:1_22:5)-H,719.4657,497.2675,407.2206,329.2479,239.201,167.0115
PMeOH(15:1_22:6)-H,717.45,495.2518,407.2205,327.2323,239.201,167.0115
PMeOH(23:0_15:1)-H,743.5596,407.2206,521.3614,239.201,353.3417,167.0115
PMeOH(24:0_15:1)-H,757.5753,407.2207,535.3771,239.201,367.3574,167.0115
PMeOH(15:1_24:1)-H,755.5596,533.3614,407.2206,365.3417,239.201,167.0115
PMeOH(15:1_24:2)-H,753.544,531.3458,407.2207,363.3261,239.201,167.0115
PMeOH(15:1_24:4)-H,749.5127,527.3145,407.2206,359.2948,239.201,167.0115
PMeOH(25:0_15:1)-H,771.5909,407.2206,549.3927,239.201,381.373,167.0115
PMeOH(26:0_15:1)-H,785.6065,407.2206,563.4083,239.201,395.3887,167.0115
PMeOH(15:1_26:1)-H,783.5909,561.3927,407.2206,393.373,239.201,167.0115
PMeOH(15:1_26:2)-H,781.5753,559.3771,407.2207,391.3574,239.201,167.0115
PMeOH(15:1_26:4)-H,777.544,555.3458,407.2207,387.3261,239.201,167.0115
PMeOH(27:0_15:1)-H,799.6222,407.2207,577.424,239.201,409.4043,167.0115
PMeOH(16:0_16:0)-H,661.4813,423.2518,423.2518,255.2323,255.2323,167.0115
PMeOH(16:0_16:1)-H,659.4657,421.2362,423.2518,253.2166,255.2323,167.0115
PMeOH(16:0_16:2)-H,657.45,419.2205,423.2518,251.201,255.2323,167.0115
PMeOH(16:0_16:3)-H,655.4344,417.2049,423.2518,249.1853,255.2323,167.0115
PMeOH(16:0_16:4)-H,653.4188,415.1893,423.2519,247.1697,255.2323,167.0115
PMeOH(16:0_17:0)-H,675.497,437.2675,423.2519,269.2479,255.2323,167.0115
PMeOH(16:0_17:1)-H,673.4813,435.2518,423.2518,267.2323,255.2323,167.0115
PMeOH(16:0_17:2)-H,671.4657,433.2362,423.2518,265.2166,255.2323,167.0115
PMeOH(16:0_18:0)-H,689.5127,451.2832,423.2519,283.2635,255.2323,167.0115
PMeOH(16:0_18:1)-H,687.497,449.2675,423.2519,281.2479,255.2323,167.0115
PMeOH(16:0_18:2)-H,685.4813,447.2518,423.2518,279.2323,255.2323,167.0115
PMeOH(16:0_18:3)-H,683.4657,445.2362,423.2518,277.2166,255.2323,167.0115
PMeOH(16:0_18:4)-H,681.45,443.2205,423.2518,275.201,255.2323,167.0115
PMeOH(16:0_18:5)-H,679.4344,441.2049,423.2518,273.1853,255.2323,167.0115
PMeOH(16:0_19:0)-H,703.5283,465.2988,423.2519,297.2792,255.2323,167.0115
PMeOH(16:0_19:1)-H,701.5127,463.2832,423.2519,295.2635,255.2323,167.0115
PMeOH(16:0_19:2)-H,699.497,461.2675,423.2519,293.2479,255.2323,167.0115
PMeOH(16:0_20:0)-H,717.544,479.3145,423.252,311.2948,255.2323,167.0115
PMeOH(16:0_20:1)-H,715.5283,477.2988,423.2519,309.2792,255.2323,167.0115
PMeOH(16:0_20:2)-H,713.5127,475.2832,423.2519,307.2635,255.2323,167.0115
PMeOH(16:0_20:3)-H,711.497,473.2675,423.2519,305.2479,255.2323,167.0115
PMeOH(16:0_20:4)-H,709.4813,471.2518,423.2518,303.2323,255.2323,167.0115
PMeOH(16:0_20:5)-H,707.4657,469.2362,423.2518,301.2166,255.2323,167.0115
PMeOH(16:0_21:0)-H,731.5596,493.3301,423.2519,325.3105,255.2323,167.0115
PMeOH(16:0_21:1)-H,729.544,491.3145,423.252,323.2948,255.2323,167.0115
PMeOH(16:0_21:2)-H,727.5283,489.2988,423.2519,321.2792,255.2323,167.0115
PMeOH(16:0_22:0)-H,745.5753,507.3458,423.252,339.3261,255.2323,167.0115
PMeOH(16:0_22:1)-H,743.5596,505.3301,423.2519,337.3105,255.2323,167.0115
PMeOH(16:0_22:2)-H,741.544,503.3145,423.252,335.2948,255.2323,167.0115
PMeOH(16:0_22:3)-H,739.5283,501.2988,423.2519,333.2792,255.2323,167.0115
PMeOH(16:0_22:4)-H,737.5127,499.2832,423.2519,331.2635,255.2323,167.0115
PMeOH(16:0_22:5)-H,735.497,497.2675,423.2519,329.2479,255.2323,167.0115
PMeOH(16:0_22:6)-H,733.4813,495.2518,423.2518,327.2323,255.2323,167.0115
PMeOH(16:0_23:0)-H,759.5909,521.3614,423.2519,353.3417,255.2323,167.0115
PMeOH(16:0_24:0)-H,773.6065,535.377,423.2519,367.3574,255.2323,167.0115
PMeOH(16:0_24:1)-H,771.5909,533.3614,423.2519,365.3417,255.2323,167.0115
PMeOH(16:0_24:2)-H,769.5753,531.3458,423.252,363.3261,255.2323,167.0115
PMeOH(16:0_24:4)-H,765.544,527.3145,423.252,359.2948,255.2323,167.0115
PMeOH(16:0_25:0)-H,787.6222,549.3927,423.252,381.373,255.2323,167.0115
PMeOH(16:0_26:0)-H,801.6378,563.4083,423.2519,395.3887,255.2323,167.0115
PMeOH(16:0_26:1)-H,799.6222,561.3927,423.252,393.373,255.2323,167.0115
PMeOH(16:0_26:2)-H,797.6065,559.377,423.2519,391.3574,255.2323,167.0115
PMeOH(16:0_26:4)-H,793.5753,555.3458,423.252,387.3261,255.2323,167.0115
PMeOH(16:0_27:0)-H,815.6535,577.424,423.252,409.4043,255.2323,167.0115
PMeOH(16:1_16:1)-H,657.45,421.2361,421.2361,253.2166,253.2166,167.0115
PMeOH(16:1_16:2)-H,655.4344,419.2206,421.2362,251.201,253.2166,167.0115
PMeOH(16:1_16:3)-H,653.4188,417.2049,421.2362,249.1853,253.2166,167.0115
PMeOH(16:1_16:4)-H,651.4031,415.1892,421.2361,247.1697,253.2166,167.0115
PMeOH(17:0_16:1)-H,673.4813,421.2361,437.2674,253.2166,269.2479,167.0115
PMeOH(16:1_17:1)-H,671.4657,435.2518,421.2362,267.2323,253.2166,167.0115
PMeOH(16:1_17:2)-H,669.45,433.2361,421.2361,265.2166,253.2166,167.0115
PMeOH(18:0_16:1)-H,687.497,421.2362,451.2831,253.2166,283.2635,167.0115
PMeOH(16:1_18:1)-H,685.4813,449.2674,421.2361,281.2479,253.2166,167.0115
PMeOH(16:1_18:2)-H,683.4657,447.2518,421.2362,279.2323,253.2166,167.0115
PMeOH(16:1_18:3)-H,681.45,445.2361,421.2361,277.2166,253.2166,167.0115
PMeOH(16:1_18:4)-H,679.4344,443.2206,421.2362,275.201,253.2166,167.0115
PMeOH(16:1_18:5)-H,677.4188,441.2049,421.2362,273.1853,253.2166,167.0115
PMeOH(19:0_16:1)-H,701.5127,421.2363,465.2988,253.2166,297.2792,167.0115
PMeOH(16:1_19:1)-H,699.497,463.2831,421.2362,295.2635,253.2166,167.0115
PMeOH(16:1_19:2)-H,697.4813,461.2674,421.2361,293.2479,253.2166,167.0115
PMeOH(20:0_16:1)-H,715.5283,421.2362,479.3145,253.2166,311.2948,167.0115
PMeOH(16:1_20:1)-H,713.5127,477.2988,421.2363,309.2792,253.2166,167.0115
PMeOH(16:1_20:2)-H,711.497,475.2831,421.2362,307.2635,253.2166,167.0115
PMeOH(16:1_20:3)-H,709.4813,473.2674,421.2361,305.2479,253.2166,167.0115
PMeOH(16:1_20:4)-H,707.4657,471.2518,421.2362,303.2323,253.2166,167.0115
PMeOH(16:1_20:5)-H,705.45,469.2361,421.2361,301.2166,253.2166,167.0115
PMeOH(21:0_16:1)-H,729.544,421.2363,493.3301,253.2166,325.3105,167.0115
PMeOH(16:1_21:1)-H,727.5283,491.3145,421.2362,323.2948,253.2166,167.0115
PMeOH(16:1_21:2)-H,725.5127,489.2988,421.2363,321.2792,253.2166,167.0115
PMeOH(22:0_16:1)-H,743.5596,421.2363,507.3457,253.2166,339.3261,167.0115
PMeOH(16:1_22:1)-H,741.544,505.3301,421.2363,337.3105,253.2166,167.0115
PMeOH(16:1_22:2)-H,739.5283,503.3145,421.2362,335.2948,253.2166,167.0115
PMeOH(16:1_22:3)-H,737.5127,501.2988,421.2363,333.2792,253.2166,167.0115
PMeOH(16:1_22:4)-H,735.497,499.2831,421.2362,331.2635,253.2166,167.0115
PMeOH(16:1_22:5)-H,733.4813,497.2674,421.2361,329.2479,253.2166,167.0115
PMeOH(16:1_22:6)-H,731.4657,495.2518,421.2362,327.2323,253.2166,167.0115
PMeOH(23:0_16:1)-H,757.5753,421.2363,521.3615,253.2166,353.3417,167.0115
PMeOH(24:0_16:1)-H,771.5909,421.2363,535.377,253.2166,367.3574,167.0115
PMeOH(16:1_24:1)-H,769.5753,533.3615,421.2363,365.3417,253.2166,167.0115
PMeOH(16:1_24:2)-H,767.5596,531.3458,421.2363,363.3261,253.2166,167.0115
PMeOH(16:1_24:4)-H,763.5283,527.3145,421.2362,359.2948,253.2166,167.0115
PMeOH(25:0_16:1)-H,785.6065,421.2362,549.3926,253.2166,381.373,167.0115
PMeOH(26:0_16:1)-H,799.6222,421.2363,563.4083,253.2166,395.3887,167.0115
PMeOH(16:1_26:1)-H,797.6065,561.3926,421.2362,393.373,253.2166,167.0115
PMeOH(16:1_26:2)-H,795.5909,559.377,421.2363,391.3574,253.2166,167.0115
PMeOH(16:1_26:4)-H,791.5596,555.3458,421.2363,387.3261,253.2166,167.0115
PMeOH(27:0_16:1)-H,813.6378,421.2363,577.424,253.2166,409.4043,167.0115
PMeOH(16:2_16:2)-H,653.4188,419.2206,419.2206,251.201,251.201,167.0115
PMeOH(16:2_16:3)-H,651.4031,417.2049,419.2205,249.1853,251.201,167.0115
PMeOH(16:2_16:4)-H,649.3875,415.1893,419.2206,247.1697,251.201,167.0115
PMeOH(17:0_16:2)-H,671.4657,419.2206,437.2675,251.201,269.2479,167.0115
PMeOH(17:1_16:2)-H,669.45,419.2205,435.2518,251.201,267.2323,167.0115
PMeOH(16:2_17:2)-H,667.4344,433.2362,419.2206,265.2166,251.201,167.0115
PMeOH(18:0_16:2)-H,685.4813,419.2205,451.2831,251.201,283.2635,167.0115
PMeOH(18:1_16:2)-H,683.4657,419.2206,449.2675,251.201,281.2479,167.0115
PMeOH(16:2_18:2)-H,681.45,447.2518,419.2205,279.2323,251.201,167.0115
PMeOH(16:2_18:3)-H,679.4344,445.2362,419.2206,277.2166,251.201,167.0115
PMeOH(16:2_18:4)-H,677.4188,443.2206,419.2206,275.201,251.201,167.0115
PMeOH(16:2_18:5)-H,675.4031,441.2049,419.2205,273.1853,251.201,167.0115
PMeOH(19:0_16:2)-H,699.497,419.2206,465.2988,251.201,297.2792,167.0115
PMeOH(19:1_16:2)-H,697.4813,419.2205,463.2831,251.201,295.2635,167.0115
PMeOH(16:2_19:2)-H,695.4657,461.2675,419.2206,293.2479,251.201,167.0115
PMeOH(20:0_16:2)-H,713.5127,419.2206,479.3145,251.201,311.2948,167.0115
PMeOH(20:1_16:2)-H,711.497,419.2206,477.2988,251.201,309.2792,167.0115
PMeOH(16:2_20:2)-H,709.4813,475.2831,419.2205,307.2635,251.201,167.0115
PMeOH(16:2_20:3)-H,707.4657,473.2675,419.2206,305.2479,251.201,167.0115
PMeOH(16:2_20:4)-H,705.45,471.2518,419.2205,303.2323,251.201,167.0115
PMeOH(16:2_20:5)-H,703.4344,469.2362,419.2206,301.2166,251.201,167.0115
PMeOH(21:0_16:2)-H,727.5283,419.2206,493.3301,251.201,325.3105,167.0115
PMeOH(21:1_16:2)-H,725.5127,419.2206,491.3145,251.201,323.2948,167.0115
PMeOH(16:2_21:2)-H,723.497,489.2988,419.2206,321.2792,251.201,167.0115
PMeOH(22:0_16:2)-H,741.544,419.2207,507.3458,251.201,339.3261,167.0115
PMeOH(22:1_16:2)-H,739.5283,419.2206,505.3301,251.201,337.3105,167.0115
PMeOH(16:2_22:2)-H,737.5127,503.3145,419.2206,335.2948,251.201,167.0115
PMeOH(16:2_22:3)-H,735.497,501.2988,419.2206,333.2792,251.201,167.0115
PMeOH(16:2_22:4)-H,733.4813,499.2831,419.2205,331.2635,251.201,167.0115
PMeOH(16:2_22:5)-H,731.4657,497.2675,419.2206,329.2479,251.201,167.0115
PMeOH(16:2_22:6)-H,729.45,495.2518,419.2205,327.2323,251.201,167.0115
PMeOH(23:0_16:2)-H,755.5596,419.2206,521.3614,251.201,353.3417,167.0115
PMeOH(24:0_16:2)-H,769.5753,419.2207,535.3771,251.201,367.3574,167.0115
PMeOH(24:1_16:2)-H,767.5596,419.2206,533.3614,251.201,365.3417,167.0115
PMeOH(16:2_24:2)-H,765.544,531.3458,419.2207,363.3261,251.201,167.0115
PMeOH(16:2_24:4)-H,761.5127,527.3145,419.2206,359.2948,251.201,167.0115
PMeOH(25:0_16:2)-H,783.5909,419.2206,549.3927,251.201,381.373,167.0115
PMeOH(26:0_16:2)-H,797.6065,419.2206,563.4083,251.201,395.3887,167.0115
PMeOH(26:1_16:2)-H,795.5909,419.2206,561.3927,251.201,393.373,167.0115
PMeOH(16:2_26:2)-H,793.5753,559.3771,419.2207,391.3574,251.201,167.0115
PMeOH(16:2_26:4)-H,789.544,555.3458,419.2207,387.3261,251.201,167.0115
PMeOH(27:0_16:2)-H,811.6222,419.2207,577.424,251.201,409.4043,167.0115
PMeOH(16:3_16:3)-H,649.3875,417.2049,417.2049,249.1853,249.1853,167.0115
PMeOH(16:3_16:4)-H,647.3718,415.1892,417.2049,247.1697,249.1853,167.0115
PMeOH(17:0_16:3)-H,669.45,417.2049,437.2674,249.1853,269.2479,167.0115
PMeOH(17:1_16:3)-H,667.4344,417.2049,435.2518,249.1853,267.2323,167.0115
PMeOH(17:2_16:3)-H,665.4188,417.2049,433.2362,249.1853,265.2166,167.0115
PMeOH(18:0_16:3)-H,683.4657,417.2049,451.2831,249.1853,283.2635,167.0115
PMeOH(18:1_16:3)-H,681.45,417.2049,449.2674,249.1853,281.2479,167.0115
PMeOH(18:2_16:3)-H,679.4344,417.2049,447.2518,249.1853,279.2323,167.0115
PMeOH(16:3_18:3)-H,677.4188,445.2362,417.2049,277.2166,249.1853,167.0115
PMeOH(16:3_18:4)-H,675.4031,443.2205,417.2049,275.201,249.1853,167.0115
PMeOH(16:3_18:5)-H,673.3875,441.2049,417.2049,273.1853,249.1853,167.0115
PMeOH(19:0_16:3)-H,697.4813,417.2049,465.2987,249.1853,297.2792,167.0115
PMeOH(19:1_16:3)-H,695.4657,417.2049,463.2831,249.1853,295.2635,167.0115
PMeOH(19:2_16:3)-H,693.45,417.2049,461.2674,249.1853,293.2479,167.0115
PMeOH(20:0_16:3)-H,711.497,417.2049,479.3144,249.1853,311.2948,167.0115
PMeOH(20:1_16:3)-H,709.4813,417.2049,477.2987,249.1853,309.2792,167.0115
PMeOH(20:2_16:3)-H,707.4657,417.2049,475.2831,249.1853,307.2635,167.0115
PMeOH(16:3_20:3)-H,705.45,473.2674,417.2049,305.2479,249.1853,167.0115
PMeOH(16:3_20:4)-H,703.4344,471.2518,417.2049,303.2323,249.1853,167.0115
PMeOH(16:3_20:5)-H,701.4188,469.2362,417.2049,301.2166,249.1853,167.0115
PMeOH(21:0_16:3)-H,725.5127,417.205,493.3301,249.1853,325.3105,167.0115
PMeOH(21:1_16:3)-H,723.497,417.2049,491.3144,249.1853,323.2948,167.0115
PMeOH(21:2_16:3)-H,721.4813,417.2049,489.2987,249.1853,321.2792,167.0115
PMeOH(22:0_16:3)-H,739.5283,417.205,507.3457,249.1853,339.3261,167.0115
PMeOH(22:1_16:3)-H,737.5127,417.205,505.3301,249.1853,337.3105,167.0115
PMeOH(22:2_16:3)-H,735.497,417.2049,503.3144,249.1853,335.2948,167.0115
PMeOH(16:3_22:3)-H,733.4813,501.2987,417.2049,333.2792,249.1853,167.0115
PMeOH(16:3_22:4)-H,731.4657,499.2831,417.2049,331.2635,249.1853,167.0115
PMeOH(16:3_22:5)-H,729.45,497.2674,417.2049,329.2479,249.1853,167.0115
PMeOH(16:3_22:6)-H,727.4344,495.2518,417.2049,327.2323,249.1853,167.0115
PMeOH(23:0_16:3)-H,753.544,417.205,521.3615,249.1853,353.3417,167.0115
PMeOH(24:0_16:3)-H,767.5596,417.205,535.377,249.1853,367.3574,167.0115
PMeOH(24:1_16:3)-H,765.544,417.205,533.3615,249.1853,365.3417,167.0115
PMeOH(24:2_16:3)-H,763.5283,417.205,531.3457,249.1853,363.3261,167.0115
PMeOH(16:3_24:4)-H,759.497,527.3144,417.2049,359.2948,249.1853,167.0115
PMeOH(25:0_16:3)-H,781.5753,417.205,549.3927,249.1853,381.373,167.0115
PMeOH(26:0_16:3)-H,795.5909,417.205,563.4083,249.1853,395.3887,167.0115
PMeOH(26:1_16:3)-H,793.5753,417.205,561.3927,249.1853,393.373,167.0115
PMeOH(26:2_16:3)-H,791.5596,417.205,559.377,249.1853,391.3574,167.0115
PMeOH(16:3_26:4)-H,787.5283,555.3457,417.205,387.3261,249.1853,167.0115
PMeOH(27:0_16:3)-H,809.6065,417.205,577.424,249.1853,409.4043,167.0115
PMeOH(16:4_16:4)-H,645.3562,415.1893,415.1893,247.1697,247.1697,167.0115
PMeOH(17:0_16:4)-H,667.4344,415.1893,437.2675,247.1697,269.2479,167.0115
PMeOH(17:1_16:4)-H,665.4188,415.1893,435.2519,247.1697,267.2323,167.0115
PMeOH(17:2_16:4)-H,663.4031,415.1892,433.2361,247.1697,265.2166,167.0115
PMeOH(18:0_16:4)-H,681.45,415.1892,451.2831,247.1697,283.2635,167.0115
PMeOH(18:1_16:4)-H,679.4344,415.1893,449.2675,247.1697,281.2479,167.0115
PMeOH(18:2_16:4)-H,677.4188,415.1893,447.2519,247.1697,279.2323,167.0115
PMeOH(18:3_16:4)-H,675.4031,415.1892,445.2361,247.1697,277.2166,167.0115
PMeOH(16:4_18:4)-H,673.3875,443.2206,415.1893,275.201,247.1697,167.0115
PMeOH(16:4_18:5)-H,671.3718,441.2049,415.1892,273.1853,247.1697,167.0115
PMeOH(19:0_16:4)-H,695.4657,415.1893,465.2988,247.1697,297.2792,167.0115
PMeOH(19:1_16:4)-H,693.45,415.1892,463.2831,247.1697,295.2635,167.0115
PMeOH(19:2_16:4)-H,691.4344,415.1893,461.2675,247.1697,293.2479,167.0115
PMeOH(20:0_16:4)-H,709.4813,415.1892,479.3144,247.1697,311.2948,167.0115
PMeOH(20:1_16:4)-H,707.4657,415.1893,477.2988,247.1697,309.2792,167.0115
PMeOH(20:2_16:4)-H,705.45,415.1892,475.2831,247.1697,307.2635,167.0115
PMeOH(20:3_16:4)-H,703.4344,415.1893,473.2675,247.1697,305.2479,167.0115
PMeOH(16:4_20:4)-H,701.4188,471.2519,415.1893,303.2323,247.1697,167.0115
PMeOH(16:4_20:5)-H,699.4031,469.2361,415.1892,301.2166,247.1697,167.0115
PMeOH(21:0_16:4)-H,723.497,415.1893,493.33,247.1697,325.3105,167.0115
PMeOH(21:1_16:4)-H,721.4813,415.1892,491.3144,247.1697,323.2948,167.0115
PMeOH(21:2_16:4)-H,719.4657,415.1893,489.2988,247.1697,321.2792,167.0115
PMeOH(22:0_16:4)-H,737.5127,415.1894,507.3458,247.1697,339.3261,167.0115
PMeOH(22:1_16:4)-H,735.497,415.1893,505.33,247.1697,337.3105,167.0115
PMeOH(22:2_16:4)-H,733.4813,415.1892,503.3144,247.1697,335.2948,167.0115
PMeOH(22:3_16:4)-H,731.4657,415.1893,501.2988,247.1697,333.2792,167.0115
PMeOH(16:4_22:4)-H,729.45,499.2831,415.1892,331.2635,247.1697,167.0115
PMeOH(16:4_22:5)-H,727.4344,497.2675,415.1893,329.2479,247.1697,167.0115
PMeOH(16:4_22:6)-H,725.4188,495.2519,415.1893,327.2323,247.1697,167.0115
PMeOH(23:0_16:4)-H,751.5283,415.1893,521.3614,247.1697,353.3417,167.0115
PMeOH(24:0_16:4)-H,765.544,415.1894,535.3771,247.1697,367.3574,167.0115
PMeOH(24:1_16:4)-H,763.5283,415.1893,533.3614,247.1697,365.3417,167.0115
PMeOH(24:2_16:4)-H,761.5127,415.1894,531.3458,247.1697,363.3261,167.0115
PMeOH(16:4_24:4)-H,757.4813,527.3143,415.1892,359.2948,247.1697,167.0115
PMeOH(25:0_16:4)-H,779.5596,415.1893,549.3926,247.1697,381.373,167.0115
PMeOH(26:0_16:4)-H,793.5753,415.1894,563.4084,247.1697,395.3887,167.0115
PMeOH(26:1_16:4)-H,791.5596,415.1893,561.3926,247.1697,393.373,167.0115
PMeOH(26:2_16:4)-H,789.544,415.1894,559.3771,247.1697,391.3574,167.0115
PMeOH(16:4_26:4)-H,785.5127,555.3458,415.1894,387.3261,247.1697,167.0115
PMeOH(27:0_16:4)-H,807.5909,415.1894,577.424,247.1697,409.4043,167.0115
PMeOH(17:0_17:0)-H,689.5127,437.2675,437.2675,269.2479,269.2479,167.0115
PMeOH(17:0_17:1)-H,687.497,435.2519,437.2675,267.2323,269.2479,167.0115
PMeOH(17:0_17:2)-H,685.4813,433.2361,437.2674,265.2166,269.2479,167.0115
PMeOH(17:0_18:0)-H,703.5283,451.2832,437.2675,283.2635,269.2479,167.0115
PMeOH(17:0_18:1)-H,701.5127,449.2675,437.2675,281.2479,269.2479,167.0115
PMeOH(17:0_18:2)-H,699.497,447.2519,437.2675,279.2323,269.2479,167.0115
PMeOH(17:0_18:3)-H,697.4813,445.2361,437.2674,277.2166,269.2479,167.0115
PMeOH(17:0_18:4)-H,695.4657,443.2206,437.2675,275.201,269.2479,167.0115
PMeOH(17:0_18:5)-H,693.45,441.2049,437.2674,273.1853,269.2479,167.0115
PMeOH(17:0_19:0)-H,717.544,465.2989,437.2676,297.2792,269.2479,167.0115
PMeOH(17:0_19:1)-H,715.5283,463.2832,437.2675,295.2635,269.2479,167.0115
PMeOH(17:0_19:2)-H,713.5127,461.2675,437.2675,293.2479,269.2479,167.0115
PMeOH(17:0_20:0)-H,731.5596,479.3145,437.2675,311.2948,269.2479,167.0115
PMeOH(17:0_20:1)-H,729.544,477.2989,437.2676,309.2792,269.2479,167.0115
PMeOH(17:0_20:2)-H,727.5283,475.2832,437.2675,307.2635,269.2479,167.0115
PMeOH(17:0_20:3)-H,725.5127,473.2675,437.2675,305.2479,269.2479,167.0115
PMeOH(17:0_20:4)-H,723.497,471.2519,437.2675,303.2323,269.2479,167.0115
PMeOH(17:0_20:5)-H,721.4813,469.2361,437.2674,301.2166,269.2479,167.0115
PMeOH(17:0_21:0)-H,745.5753,493.3302,437.2676,325.3105,269.2479,167.0115
PMeOH(17:0_21:1)-H,743.5596,491.3145,437.2675,323.2948,269.2479,167.0115
PMeOH(17:0_21:2)-H,741.544,489.2989,437.2676,321.2792,269.2479,167.0115
PMeOH(17:0_22:0)-H,759.5909,507.3458,437.2675,339.3261,269.2479,167.0115
PMeOH(17:0_22:1)-H,757.5753,505.3302,437.2676,337.3105,269.2479,167.0115
PMeOH(17:0_22:2)-H,755.5596,503.3145,437.2675,335.2948,269.2479,167.0115
PMeOH(17:0_22:3)-H,753.544,501.2989,437.2676,333.2792,269.2479,167.0115
PMeOH(17:0_22:4)-H,751.5283,499.2832,437.2675,331.2635,269.2479,167.0115
PMeOH(17:0_22:5)-H,749.5127,497.2675,437.2675,329.2479,269.2479,167.0115
PMeOH(17:0_22:6)-H,747.497,495.2519,437.2675,327.2323,269.2479,167.0115
PMeOH(17:0_23:0)-H,773.6065,521.3614,437.2675,353.3417,269.2479,167.0115
PMeOH(17:0_24:0)-H,787.6222,535.3771,437.2676,367.3574,269.2479,167.0115
PMeOH(17:0_24:1)-H,785.6065,533.3614,437.2675,365.3417,269.2479,167.0115
PMeOH(17:0_24:2)-H,783.5909,531.3458,437.2675,363.3261,269.2479,167.0115
PMeOH(17:0_24:4)-H,779.5596,527.3145,437.2675,359.2948,269.2479,167.0115
PMeOH(17:0_25:0)-H,801.6378,549.3926,437.2675,381.373,269.2479,167.0115
PMeOH(17:0_26:0)-H,815.6535,563.4084,437.2676,395.3887,269.2479,167.0115
PMeOH(17:0_26:1)-H,813.6378,561.3926,437.2675,393.373,269.2479,167.0115
PMeOH(17:0_26:2)-H,811.6222,559.3771,437.2676,391.3574,269.2479,167.0115
PMeOH(17:0_26:4)-H,807.5909,555.3458,437.2675,387.3261,269.2479,167.0115
PMeOH(17:0_27:0)-H,829.6693,577.4241,437.2677,409.4043,269.2479,167.0115
PMeOH(17:1_17:1)-H,685.4813,435.2518,435.2518,267.2323,267.2323,167.0115
PMeOH(17:1_17:2)-H,683.4657,433.2362,435.2518,265.2166,267.2323,167.0115
PMeOH(18:0_17:1)-H,701.5127,435.2519,451.2832,267.2323,283.2635,167.0115
PMeOH(17:1_18:1)-H,699.497,449.2675,435.2519,281.2479,267.2323,167.0115
PMeOH(17:1_18:2)-H,697.4813,447.2518,435.2518,279.2323,267.2323,167.0115
PMeOH(17:1_18:3)-H,695.4657,445.2362,435.2518,277.2166,267.2323,167.0115
PMeOH(17:1_18:4)-H,693.45,443.2205,435.2518,275.201,267.2323,167.0115
PMeOH(17:1_18:5)-H,691.4344,441.2049,435.2518,273.1853,267.2323,167.0115
PMeOH(19:0_17:1)-H,715.5283,435.2519,465.2988,267.2323,297.2792,167.0115
PMeOH(17:1_19:1)-H,713.5127,463.2832,435.2519,295.2635,267.2323,167.0115
PMeOH(17:1_19:2)-H,711.497,461.2675,435.2519,293.2479,267.2323,167.0115
PMeOH(20:0_17:1)-H,729.544,435.252,479.3145,267.2323,311.2948,167.0115
PMeOH(17:1_20:1)-H,727.5283,477.2988,435.2519,309.2792,267.2323,167.0115
