PMeOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C4H9O5P-H]-
PMeOH(13:0_18:2)-H,643.4344,447.2518,381.2049,279.2323,213.1853,167.0115
PMeOH(13:0_18:3)-H,641.4188,445.2362,381.2049,277.2166,213.1853,167.0115
PMeOH(13:0_18:4)-H,639.4031,443.2205,381.2049,275.201,213.1853,167.0115
PMeOH(13:0_18:5)-H,637.3875,441.2049,381.2049,273.1853,213.1853,167.0115
PMeOH(13:0_19:0)-H,661.4813,465.2987,381.2049,297.2792,213.1853,167.0115
PMeOH(13:0_19:1)-H,659.4657,463.2831,381.2049,295.2635,213.1853,167.0115
PMeOH(13:0_19:2)-H,657.45,461.2674,381.2049,293.2479,213.1853,167.0115
PMeOH(13:0_20:0)-H,675.497,479.3144,381.2049,311.2948,213.1853,167.0115
PMeOH(13:0_20:1)-H,673.4813,477.2987,381.2049,309.2792,213.1853,167.0115
PMeOH(13:0_20:2)-H,671.4657,475.2831,381.2049,307.2635,213.1853,167.0115
PMeOH(13:0_20:3)-H,669.45,473.2674,381.2049,305.2479,213.1853,167.0115
PMeOH(13:0_20:4)-H,667.4344,471.2518,381.2049,303.2323,213.1853,167.0115
PMeOH(13:0_20:5)-H,665.4188,469.2362,381.2049,301.2166,213.1853,167.0115
PMeOH(13:0_21:0)-H,689.5127,493.3301,381.205,325.3105,213.1853,167.0115
PMeOH(13:0_21:1)-H,687.497,491.3144,381.2049,323.2948,213.1853,167.0115
PMeOH(13:0_21:2)-H,685.4813,489.2987,381.2049,321.2792,213.1853,167.0115
PMeOH(13:0_22:0)-H,703.5283,507.3457,381.205,339.3261,213.1853,167.0115
PMeOH(13:0_22:1)-H,701.5127,505.3301,381.205,337.3105,213.1853,167.0115
PMeOH(13:0_22:2)-H,699.497,503.3144,381.2049,335.2948,213.1853,167.0115
PMeOH(13:0_22:3)-H,697.4813,501.2987,381.2049,333.2792,213.1853,167.0115
PMeOH(13:0_22:4)-H,695.4657,499.2831,381.2049,331.2635,213.1853,167.0115
PMeOH(13:0_22:5)-H,693.45,497.2674,381.2049,329.2479,213.1853,167.0115
PMeOH(13:0_22:6)-H,691.4344,495.2518,381.2049,327.2323,213.1853,167.0115
PMeOH(13:0_23:0)-H,717.544,521.3615,381.205,353.3417,213.1853,167.0115
PMeOH(13:0_24:0)-H,731.5596,535.377,381.205,367.3574,213.1853,167.0115
PMeOH(13:0_24:1)-H,729.544,533.3615,381.205,365.3417,213.1853,167.0115
PMeOH(13:0_24:2)-H,727.5283,531.3457,381.205,363.3261,213.1853,167.0115
PMeOH(13:0_24:4)-H,723.497,527.3144,381.2049,359.2948,213.1853,167.0115
PMeOH(13:0_25:0)-H,745.5753,549.3927,381.205,381.373,213.1853,167.0115
PMeOH(13:0_26:0)-H,759.5909,563.4083,381.205,395.3887,213.1853,167.0115
PMeOH(13:0_26:1)-H,757.5753,561.3927,381.205,393.373,213.1853,167.0115
PMeOH(13:0_26:2)-H,755.5596,559.377,381.205,391.3574,213.1853,167.0115
PMeOH(13:0_26:4)-H,751.5283,555.3457,381.205,387.3261,213.1853,167.0115
PMeOH(13:0_27:0)-H,773.6065,577.424,381.205,409.4043,213.1853,167.0115
PMeOH(13:1_13:1)-H,573.3562,379.1893,379.1893,211.1697,211.1697,167.0115
PMeOH(14:0_13:1)-H,589.3875,379.1893,395.2206,211.1697,227.201,167.0115
PMeOH(13:1_14:1)-H,587.3718,393.2049,379.1892,225.1853,211.1697,167.0115
PMeOH(15:0_13:1)-H,603.4031,379.1892,409.2361,211.1697,241.2166,167.0115
PMeOH(13:1_15:1)-H,601.3875,407.2206,379.1893,239.201,211.1697,167.0115
PMeOH(16:0_13:1)-H,617.4188,379.1893,423.2519,211.1697,255.2323,167.0115
PMeOH(13:1_16:1)-H,615.4031,421.2361,379.1892,253.2166,211.1697,167.0115
PMeOH(13:1_16:2)-H,613.3875,419.2206,379.1893,251.201,211.1697,167.0115
PMeOH(13:1_16:3)-H,611.3718,417.2049,379.1892,249.1853,211.1697,167.0115
PMeOH(13:1_16:4)-H,609.3562,415.1893,379.1893,247.1697,211.1697,167.0115
PMeOH(17:0_13:1)-H,631.4344,379.1893,437.2675,211.1697,269.2479,167.0115
PMeOH(13:1_17:1)-H,629.4188,435.2519,379.1893,267.2323,211.1697,167.0115
PMeOH(13:1_17:2)-H,627.4031,433.2361,379.1892,265.2166,211.1697,167.0115
PMeOH(18:0_13:1)-H,645.45,379.1892,451.2831,211.1697,283.2635,167.0115
PMeOH(13:1_18:1)-H,643.4344,449.2675,379.1893,281.2479,211.1697,167.0115
PMeOH(13:1_18:2)-H,641.4188,447.2519,379.1893,279.2323,211.1697,167.0115
PMeOH(13:1_18:3)-H,639.4031,445.2361,379.1892,277.2166,211.1697,167.0115
PMeOH(13:1_18:4)-H,637.3875,443.2206,379.1893,275.201,211.1697,167.0115
PMeOH(13:1_18:5)-H,635.3718,441.2049,379.1892,273.1853,211.1697,167.0115
PMeOH(19:0_13:1)-H,659.4657,379.1893,465.2988,211.1697,297.2792,167.0115
PMeOH(13:1_19:1)-H,657.45,463.2831,379.1892,295.2635,211.1697,167.0115
PMeOH(13:1_19:2)-H,655.4344,461.2675,379.1893,293.2479,211.1697,167.0115
PMeOH(20:0_13:1)-H,673.4813,379.1892,479.3144,211.1697,311.2948,167.0115
PMeOH(13:1_20:1)-H,671.4657,477.2988,379.1893,309.2792,211.1697,167.0115
PMeOH(13:1_20:2)-H,669.45,475.2831,379.1892,307.2635,211.1697,167.0115
PMeOH(13:1_20:3)-H,667.4344,473.2675,379.1893,305.2479,211.1697,167.0115
PMeOH(13:1_20:4)-H,665.4188,471.2519,379.1893,303.2323,211.1697,167.0115
PMeOH(13:1_20:5)-H,663.4031,469.2361,379.1892,301.2166,211.1697,167.0115
PMeOH(21:0_13:1)-H,687.497,379.1893,493.33,211.1697,325.3105,167.0115
PMeOH(13:1_21:1)-H,685.4813,491.3144,379.1892,323.2948,211.1697,167.0115
PMeOH(13:1_21:2)-H,683.4657,489.2988,379.1893,321.2792,211.1697,167.0115
PMeOH(22:0_13:1)-H,701.5127,379.1894,507.3458,211.1697,339.3261,167.0115
PMeOH(13:1_22:1)-H,699.497,505.33,379.1893,337.3105,211.1697,167.0115
PMeOH(13:1_22:2)-H,697.4813,503.3144,379.1892,335.2948,211.1697,167.0115
PMeOH(13:1_22:3)-H,695.4657,501.2988,379.1893,333.2792,211.1697,167.0115
PMeOH(13:1_22:4)-H,693.45,499.2831,379.1892,331.2635,211.1697,167.0115
PMeOH(13:1_22:5)-H,691.4344,497.2675,379.1893,329.2479,211.1697,167.0115
PMeOH(13:1_22:6)-H,689.4188,495.2519,379.1893,327.2323,211.1697,167.0115
PMeOH(23:0_13:1)-H,715.5283,379.1893,521.3614,211.1697,353.3417,167.0115
PMeOH(24:0_13:1)-H,729.544,379.1894,535.3771,211.1697,367.3574,167.0115
PMeOH(13:1_24:1)-H,727.5283,533.3614,379.1893,365.3417,211.1697,167.0115
PMeOH(13:1_24:2)-H,725.5127,531.3458,379.1894,363.3261,211.1697,167.0115
PMeOH(13:1_24:4)-H,721.4813,527.3143,379.1892,359.2948,211.1697,167.0115
PMeOH(25:0_13:1)-H,743.5596,379.1893,549.3926,211.1697,381.373,167.0115
PMeOH(26:0_13:1)-H,757.5753,379.1894,563.4084,211.1697,395.3887,167.0115
PMeOH(13:1_26:1)-H,755.5596,561.3926,379.1893,393.373,211.1697,167.0115
PMeOH(13:1_26:2)-H,753.544,559.3771,379.1894,391.3574,211.1697,167.0115
PMeOH(13:1_26:4)-H,749.5127,555.3458,379.1894,387.3261,211.1697,167.0115
PMeOH(27:0_13:1)-H,771.5909,379.1894,577.424,211.1697,409.4043,167.0115
PMeOH(14:0_14:0)-H,605.4188,395.2206,395.2206,227.201,227.201,167.0115
PMeOH(14:0_14:1)-H,603.4031,393.2049,395.2205,225.1853,227.201,167.0115
PMeOH(14:0_15:0)-H,619.4344,409.2362,395.2206,241.2166,227.201,167.0115
PMeOH(14:0_15:1)-H,617.4188,407.2206,395.2206,239.201,227.201,167.0115
