CL,[M+NH4]+,(sn1+sn2)+,(sn1'+sn2')+
CL(30:0)(36:1)+NH4,1397.0217,523.4721872,605.5503872
CL(30:0)(36:2)+NH4,1395.006,523.4721872,603.5346872
CL(30:0)(36:3)+NH4,1392.9904,523.4721872,601.5190872
CL(30:0)(36:4)+NH4,1390.9748,523.4721872,599.5034872
CL(30:0)(36:5)+NH4,1388.9591,523.4721872,597.4877872
CL(30:0)(36:6)+NH4,1386.9435,523.4721872,595.4721872
CL(30:0)(38:0)+NH4,1427.0686,523.4721872,635.5972872
CL(30:0)(38:1)+NH4,1425.0529,523.4721872,633.5815872
CL(30:0)(38:2)+NH4,1423.0373,523.4721872,631.5659872
CL(30:0)(38:3)+NH4,1421.0217,523.4721872,629.5503872
CL(30:0)(38:4)+NH4,1419.006,523.4721872,627.5346872
CL(30:0)(38:5)+NH4,1416.9904,523.4721872,625.5190872
CL(30:0)(38:6)+NH4,1414.9748,523.4721872,623.5034872
CL(30:0)(38:7)+NH4,1412.9591,523.4721872,621.4877872
CL(30:0)(40:0)+NH4,1455.0999,523.4721872,663.6285872
CL(30:0)(40:1)+NH4,1453.0842,523.4721872,661.6128872
CL(30:0)(40:2)+NH4,1451.0686,523.4721872,659.5972872
CL(30:0)(40:3)+NH4,1449.0529,523.4721872,657.5815872
CL(30:0)(40:4)+NH4,1447.0373,523.4721872,655.5659872
CL(30:0)(40:5)+NH4,1445.0217,523.4721872,653.5503872
CL(30:0)(40:6)+NH4,1443.006,523.4721872,651.5346872
CL(30:0)(40:7)+NH4,1440.9904,523.4721872,649.5190872
CL(30:0)(40:8)+NH4,1438.9748,523.4721872,647.5034872
CL(30:0)(40:9)+NH4,1436.9591,523.4721872,645.4877872
CL(30:0)(42:0)+NH4,1483.1312,523.4721872,691.6598872
CL(30:0)(42:1)+NH4,1481.1155,523.4721872,689.6441872
CL(30:0)(42:10)+NH4,1462.9748,523.4721872,671.5034872
CL(30:0)(42:2)+NH4,1479.0999,523.4721872,687.6285872
CL(30:0)(42:3)+NH4,1477.0842,523.4721872,685.6128872
CL(30:0)(42:4)+NH4,1475.0686,523.4721872,683.5972872
CL(30:0)(42:5)+NH4,1473.0529,523.4721872,681.5815872
CL(30:0)(42:6)+NH4,1471.0373,523.4721872,679.5659872
CL(30:0)(42:7)+NH4,1469.0217,523.4721872,677.5503872
CL(30:0)(42:8)+NH4,1467.006,523.4721872,675.5346872
CL(30:0)(42:9)+NH4,1464.9904,523.4721872,673.5190872
CL(30:0)(44:0)+NH4,1511.1624,523.4721872,719.6910872
CL(30:0)(44:10)+NH4,1491.006,523.4721872,699.5346872
CL(30:0)(44:11)+NH4,1488.9904,523.4721872,697.5190872
CL(30:0)(44:12)+NH4,1486.9748,523.4721872,695.5034872
CL(30:0)(44:5)+NH4,1501.0842,523.4721872,709.6128872
CL(30:0)(44:6)+NH4,1499.0686,523.4721872,707.5972872
CL(30:0)(46:12)+NH4,1515.0049,523.4721872,723.5335872
CL(30:0)(48:12)+NH4,1543.0362,523.4721872,751.5648872
CL(30:1)(30:1)+NH4,1310.9121,521.4564872,521.4564872
CL(30:1)(32:0)+NH4,1340.9591,521.4564872,551.5034872
CL(30:1)(32:1)+NH4,1338.9434,521.4564872,549.4877872
CL(30:1)(32:2)+NH4,1336.9278,521.4564872,547.4721872
CL(30:1)(32:3)+NH4,1334.9121,521.4564872,545.4564872
CL(30:1)(34:0)+NH4,1368.9903,521.4564872,579.5346872
CL(30:1)(34:1)+NH4,1366.9747,521.4564872,577.5190872
CL(30:1)(34:2)+NH4,1364.9591,521.4564872,575.5034872
CL(30:1)(34:3)+NH4,1362.9434,521.4564872,573.4877872
CL(30:1)(34:4)+NH4,1360.9278,521.4564872,571.4721872
CL(30:1)(36:0)+NH4,1397.0216,521.4564872,607.5659872
CL(30:1)(36:1)+NH4,1395.006,521.4564872,605.5503872
CL(30:1)(36:2)+NH4,1392.9903,521.4564872,603.5346872
CL(30:1)(36:3)+NH4,1390.9747,521.4564872,601.5190872
CL(30:1)(36:4)+NH4,1388.9591,521.4564872,599.5034872
CL(30:1)(36:5)+NH4,1386.9434,521.4564872,597.4877872
CL(30:1)(36:6)+NH4,1384.9278,521.4564872,595.4721872
CL(30:1)(38:0)+NH4,1425.0529,521.4564872,635.5972872
CL(30:1)(38:1)+NH4,1423.0372,521.4564872,633.5815872
CL(30:1)(38:2)+NH4,1421.0216,521.4564872,631.5659872
CL(30:1)(38:3)+NH4,1419.006,521.4564872,629.5503872
CL(30:1)(38:4)+NH4,1416.9903,521.4564872,627.5346872
CL(30:1)(38:5)+NH4,1414.9747,521.4564872,625.5190872
CL(30:1)(38:6)+NH4,1412.9591,521.4564872,623.5034872
CL(30:1)(38:7)+NH4,1410.9434,521.4564872,621.4877872
