lanosteryl,[M+NH4]+,[M+H]-H2O,Sterol Fragments,C13H19,C12H17,C11H15,C10H15
lanosteryl palmitoleate +NH4,680.63395,662.59965,409.38285,175.14815,161.13245,147.11685,135.11685
lanosteryl oleate +NH4,708.66525,690.63095,409.38285,175.14815,161.13245,147.11685,135.11685
