OxPC,[M+H]+,M+H-PC,PC_head
OxPC(17:2(KeKeO))+H,564.25688,381.19082,184.07332
OxPC(17:2(KeO))+H,550.27762,367.21156,184.07332
OxPC(17:2(KeOKeO))+H,580.2518,397.18574,184.07332
OxPC(17:3(KeKe))+H,546.24631,363.18025,184.07332
OxPC(17:3(KeKeO))+H,562.24123,379.17517,184.07332
OxPC(17:3(KeOKeO))+H,578.23615,395.17009,184.07332
OxPC(18:0(Ke))+H,552.32964,369.26358,184.07332
OxPC(18:0(KeKe))+H,566.3089,383.24284,184.07332
OxPC(18:0(KeKeO))+H,582.30382,399.23776,184.07332
OxPC(18:0(KeO))+H,568.32456,385.2585,184.07332
OxPC(18:0(KeOKeO))+H,598.29874,415.23268,184.07332
OxPC(18:1(Ke))+H,550.314,367.24794,184.07332
OxPC(18:1(KeKe))+H,564.29328,381.22722,184.07332
OxPC(18:1(KeKeO))+H,580.2882,397.22214,184.07332
OxPC(18:1(KeO))+H,566.30892,383.24286,184.07332
OxPC(18:1(KeOKeO))+H,596.28312,413.21706,184.07332
OxPC(18:1(OKeO))+H,582.30386,399.2378,184.07332
OxPC(18:1(OOKeO))+H,598.29878,415.23272,184.07332
OxPC(18:1(OOOKeO))+H,614.2937,431.22764,184.07332
OxPC(18:1(OOOOKeO))+H,630.28862,447.22256,184.07332
OxPC(18:2(Ke))+H,548.29835,365.23229,184.07332
OxPC(18:2(KeKe))+H,562.27761,379.21155,184.07332
OxPC(18:2(KeKeO))+H,578.27253,395.20647,184.07332
OxPC(18:2(KeO))+H,564.29327,381.22721,184.07332
OxPC(18:2(KeOKeO))+H,594.26745,411.20139,184.07332
OxPC(18:3(KeKe))+H,560.26196,377.1959,184.07332
OxPC(18:3(KeKeO))+H,576.25688,393.19082,184.07332
OxPC(18:3(KeOKeO))+H,592.2518,409.18574,184.07332
OxPC(18:4(KeKe))+H,558.24632,375.18026,184.07332
OxPC(18:4(KeOKe))+H,574.24123,391.17517,184.07332
OxPC(18:4(KeOKeO))+H,590.23615,407.17009,184.07332
OxPC(19:0(Ke))+H,566.34529,383.27923,184.07332
OxPC(19:0(KeKe))+H,580.32455,397.25849,184.07332
OxPC(19:0(KeKeO))+H,596.31947,413.25341,184.07332
OxPC(19:0(KeO))+H,582.34021,399.27415,184.07332
OxPC(19:0(KeOKeO))+H,612.31439,429.24833,184.07332
OxPC(19:1(Ke))+H,564.32965,381.26359,184.07332
OxPC(19:1(KeKe))+H,578.30893,395.24287,184.07332
OxPC(19:1(KeKeO))+H,594.30385,411.23779,184.07332
OxPC(19:1(KeO))+H,580.32457,397.25851,184.07332
OxPC(19:1(KeOKeO))+H,610.29877,427.23271,184.07332
OxPC(19:1(OKeO))+H,596.31951,413.25345,184.07332
OxPC(19:1(OOKeO))+H,612.31443,429.24837,184.07332
OxPC(19:1(OOOKeO))+H,628.30935,445.24329,184.07332
OxPC(19:1(OOOOKeO))+H,644.30427,461.23821,184.07332
OxPC(19:2(Ke))+H,562.314,379.24794,184.07332
OxPC(19:2(KeKe))+H,576.29326,393.2272,184.07332
OxPC(19:2(KeKeO))+H,592.28818,409.22212,184.07332
OxPC(19:2(KeO))+H,578.30892,395.24286,184.07332
OxPC(19:2(KeOKeO))+H,608.2831,425.21704,184.07332
OxPC(19:3(KeKe))+H,574.27761,391.21155,184.07332
OxPC(19:3(KeKeO))+H,590.27253,407.20647,184.07332
OxPC(19:3(KeOKeO))+H,606.26745,423.20139,184.07332
OxPC(19:4(KeKe))+H,572.26197,389.19591,184.07332
OxPC(19:4(KeOKe))+H,588.25688,405.19082,184.07332
OxPC(19:4(KeOKeO))+H,604.2518,421.18574,184.07332
OxPC(20:0(Ke))+H,580.36094,397.29488,184.07332
OxPC(20:0(KeKe))+H,594.3402,411.27414,184.07332
OxPC(20:0(KeKeO))+H,610.33512,427.26906,184.07332
OxPC(20:0(KeO))+H,596.35586,413.2898,184.07332
OxPC(20:0(KeOKeO))+H,626.33004,443.26398,184.07332
OxPC(20:1(Ke))+H,578.3453,395.27924,184.07332
OxPC(20:1(KeKe))+H,592.32458,409.25852,184.07332
OxPC(20:1(KeKeO))+H,608.3195,425.25344,184.07332
OxPC(20:1(KeO))+H,594.34022,411.27416,184.07332
OxPC(20:1(KeOKeO))+H,624.31442,441.24836,184.07332
OxPC(20:1(OKeO))+H,610.33516,427.2691,184.07332
OxPC(20:1(OOKeO))+H,626.33008,443.26402,184.07332
OxPC(20:1(OOOKeO))+H,642.325,459.25894,184.07332
OxPC(20:1(OOOOKeO))+H,658.31992,475.25386,184.07332
OxPC(20:2(Ke))+H,576.32965,393.26359,184.07332
OxPC(20:2(KeKe))+H,590.30894,407.24288,184.07332
OxPC(20:2(KeKeO))+H,606.30386,423.2378,184.07332
OxPC(20:2(KeO))+H,592.32457,409.25851,184.07332
OxPC(20:2(KeOKeO))+H,622.29878,439.23272,184.07332
OxPC(20:2(OKeO))+H,608.31952,425.25346,184.07332
OxPC(20:2(OOKeO))+H,624.31444,441.24838,184.07332
OxPC(20:2(OOOKeO))+H,640.30936,457.2433,184.07332
OxPC(20:2(OOOOKeO))+H,656.30428,473.23822,184.07332
OxPC(20:3(Ke))+H,574.314,391.24794,184.07332
OxPC(20:3(KeKe))+H,588.29326,405.2272,184.07332
OxPC(20:3(KeKeO))+H,604.28818,421.22212,184.07332
OxPC(20:3(KeO))+H,590.30892,407.24286,184.07332
OxPC(20:3(KeOKeO))+H,620.2831,437.21704,184.07332
OxPC(20:4(KeKe))+H,586.27761,403.21155,184.07332
OxPC(20:4(KeKeO))+H,602.27253,419.20647,184.07332
OxPC(20:4(KeOKeO))+H,618.26745,435.20139,184.07332
OxPC(21:0(Ke))+H,594.37659,411.31053,184.07332
OxPC(21:0(KeKe))+H,608.35585,425.28979,184.07332
OxPC(21:0(KeKeO))+H,624.35077,441.28471,184.07332
OxPC(21:0(KeO))+H,610.37151,427.30545,184.07332
OxPC(21:0(KeOKeO))+H,640.34569,457.27963,184.07332
OxPC(21:1(Ke))+H,592.36095,409.29489,184.07332
OxPC(21:1(KeKe))+H,606.34023,423.27417,184.07332
OxPC(21:1(KeKeO))+H,622.33515,439.26909,184.07332
OxPC(21:1(KeO))+H,608.35587,425.28981,184.07332
OxPC(21:1(KeOKeO))+H,638.33007,455.26401,184.07332
OxPC(21:1(OKeO))+H,624.35081,441.28475,184.07332
OxPC(21:1(OOKeO))+H,640.34573,457.27967,184.07332
OxPC(21:1(OOOKeO))+H,656.34065,473.27459,184.07332
OxPC(21:1(OOOOKeO))+H,672.33557,489.26951,184.07332
OxPC(21:2(Ke))+H,590.3453,407.27924,184.07332
OxPC(21:2(KeKe))+H,604.32459,421.25853,184.07332
OxPC(21:2(KeKeO))+H,620.31951,437.25345,184.07332
OxPC(21:2(KeOKeO))+H,636.31443,453.24837,184.07332
OxPC(21:2(OKe))+H,606.34021,423.27415,184.07332
OxPC(21:2(OKeO))+H,622.33513,439.26907,184.07332
OxPC(21:2(OOKeO))+H,638.33005,455.26399,184.07332
OxPC(21:2(OOOKeO))+H,654.32501,471.25895,184.07332
OxPC(21:2(OOOOKeO))+H,670.31993,487.25387,184.07332
OxPC(21:3(Ke))+H,588.32965,405.26359,184.07332
OxPC(21:3(KeKe))+H,602.30893,419.24287,184.07332
OxPC(21:3(KeKeO))+H,618.30385,435.23779,184.07332
OxPC(21:3(KeO))+H,604.32457,421.25851,184.07332
OxPC(21:3(KeOKeO))+H,634.29877,451.23271,184.07332
OxPC(21:3(OKeO))+H,620.31951,437.25345,184.07332
OxPC(21:3(OOKeO))+H,636.31443,453.24837,184.07332
OxPC(21:3(OOOKeO))+H,652.30935,469.24329,184.07332
OxPC(21:3(OOOOKeO))+H,668.30427,485.23821,184.07332
OxPC(21:4(Ke))+H,586.31399,403.24793,184.07332
OxPC(21:4(KeKe))+H,600.29323,417.22717,184.07332
OxPC(21:4(KeOKe))+H,616.28815,433.22209,184.07332
OxPC(21:4(KeOKeO))+H,632.28307,449.21701,184.07332
OxPC(21:4(OKe))+H,602.30889,419.24283,184.07332
OxPC(21:4(OKeO))+H,618.30381,435.23775,184.07332
OxPC(21:4(OOKeO))+H,634.29873,451.23267,184.07332
OxPC(21:4(OOOKeO))+H,650.29365,467.22759,184.07332
OxPC(21:4(OOOOKeO))+H,666.28857,483.22251,184.07332
OxPC(21:5(KeKe))+H,598.27762,415.21156,184.07332
OxPC(21:5(KeOKe))+H,614.27253,431.20647,184.07332
OxPC(21:5(KeOKeO))+H,630.26745,447.20139,184.07332
OxPC(22:0(Ke))+H,608.39224,425.32618,184.07332
OxPC(22:0(KeKe))+H,622.3715,439.30544,184.07332
OxPC(22:0(KeKeO))+H,638.36642,455.30036,184.07332
OxPC(22:0(KeO))+H,624.38716,441.3211,184.07332
OxPC(22:0(KeOKeO))+H,654.36134,471.29528,184.07332
OxPC(22:1(Ke))+H,606.3766,423.31054,184.07332
OxPC(22:1(KeKe))+H,620.35588,437.28982,184.07332
OxPC(22:1(KeKeO))+H,636.3508,453.28474,184.07332
OxPC(22:1(KeO))+H,622.37152,439.30546,184.07332
OxPC(22:1(KeOKeO))+H,652.34572,469.27966,184.07332
OxPC(22:1(O))+H,608.39228,425.32622,184.07332
OxPC(22:1(OKeO))+H,638.36646,455.3004,184.07332
OxPC(22:1(OO))+H,624.3872,441.32114,184.07332
OxPC(22:1(OOKeO))+H,654.36138,471.29532,184.07332
OxPC(22:1(OOO))+H,640.38212,457.31606,184.07332
OxPC(22:1(OOOKeO))+H,670.3563,487.29024,184.07332
OxPC(22:1(OOOO))+H,656.37704,473.31098,184.07332
OxPC(22:1(OOOOKeO))+H,686.35122,503.28516,184.07332
OxPC(22:2(Ke))+H,604.36095,421.29489,184.07332
OxPC(22:2(KeKe))+H,618.34024,435.27418,184.07332
OxPC(22:2(KeKeO))+H,634.33516,451.2691,184.07332
OxPC(22:2(KeOKeO))+H,650.33008,467.26402,184.07332
OxPC(22:2(OKe))+H,620.35586,437.2898,184.07332
OxPC(22:2(OKeO))+H,636.35078,453.28472,184.07332
OxPC(22:2(OOKeO))+H,652.3457,469.27964,184.07332
OxPC(22:2(OOOKeO))+H,668.34066,485.2746,184.07332
OxPC(22:2(OOOOKeO))+H,684.33558,501.26952,184.07332
OxPC(22:3(Ke))+H,602.3453,419.27924,184.07332
OxPC(22:3(KeKe))+H,616.32458,433.25852,184.07332
OxPC(22:3(KeKeO))+H,632.3195,449.25344,184.07332
OxPC(22:3(KeO))+H,618.34022,435.27416,184.07332
OxPC(22:3(KeOKeO))+H,648.31442,465.24836,184.07332
OxPC(22:3(OKeO))+H,634.33516,451.2691,184.07332
OxPC(22:3(OOKeO))+H,650.33008,467.26402,184.07332
OxPC(22:3(OOOKeO))+H,666.325,483.25894,184.07332
OxPC(22:3(OOOOKeO))+H,682.31992,499.25386,184.07332
OxPC(22:4(Ke))+H,600.32964,417.26358,184.07332
OxPC(22:4(KeKe))+H,614.30888,431.24282,184.07332
OxPC(22:4(KeKeO))+H,630.3038,447.23774,184.07332
