PI,[M+NH4]+,NL_Head
PI(44:11)+NH4,974.5754,697.5192
PI(44:12)+NH4,972.5597,695.5035
PI(44:2)+NH4,992.7162,715.66
PI(44:3)+NH4,990.7006,713.6444
PI(44:4)+NH4,988.6849,711.6287
PI(44:5)+NH4,986.6693,709.6131
PI(44:6)+NH4,984.6537,707.5975
PI(44:7)+NH4,982.638,705.5818
PI(44:8)+NH4,980.6223,703.5661
PI(44:9)+NH4,978.6067,701.5505
PI(45:0)+NH4,1010.7632,733.707
PI(45:1)+NH4,1008.7476,731.6914
PI(45:2)+NH4,1006.7319,729.6757
PI(45:3)+NH4,1004.7163,727.6601
PI(45:4)+NH4,1002.7006,725.6444
PI(45:5)+NH4,1000.685,723.6288
PI(45:6)+NH4,998.6693,721.6131
PI(46:0)+NH4,1024.7788,747.7226
PI(46:1)+NH4,1022.7632,745.707
PI(46:2)+NH4,1020.7475,743.6913
PI(46:3)+NH4,1018.7319,741.6757
PI(46:4)+NH4,1016.7162,739.66
PI(46:5)+NH4,1014.7006,737.6444
PI(46:6)+NH4,1012.685,735.6288
PI(46:7)+NH4,1010.6693,733.6131
PI(47:0)+NH4,1038.7945,761.7383
PI(47:1)+NH4,1036.7789,759.7227
PI(47:2)+NH4,1034.7632,757.707
PI(47:3)+NH4,1032.7476,755.6914
PI(47:4)+NH4,1030.7319,753.6757
PI(47:5)+NH4,1028.7163,751.6601
PI(47:6)+NH4,1026.7006,749.6444
PI(48:0)+NH4,1052.8101,775.7539
PI(48:1)+NH4,1050.7945,773.7383
PI(48:2)+NH4,1048.7788,771.7226
PI(48:3)+NH4,1046.7632,769.707
PI(48:4)+NH4,1044.7475,767.6913
PI(48:5)+NH4,1042.7319,765.6757
PI(48:6)+NH4,1040.7162,763.66
PI(49:0)+NH4,1066.8258,789.7696
PI(49:1)+NH4,1064.8102,787.754
PI(50:0)+NH4,1080.8414,803.7852
PI(50:1)+NH4,1078.8258,801.7696
PI(51:0)+NH4,1094.8571,817.8009
PI(52:0)+NH4,1108.8727,831.8165
SPLASH_PI(33:1(d7))+NH4,847.60369,570.54749
