PC,[M+H]+,MH-PC,MH-tail1&TrimethylAmine,MH-tail2&TrimethylAmine,MH-Tail1,MH-Tail2,LPC_T1_H,LPC_T2_H,RCOO+58_T1,RCOO+58_T2,PC Head
PC(10:0_15:1)+H,634.44424,451.3782,403.224411,335.161811,462.29791,394.23531,412.24589,480.30849,229.17983,297.24243,184.07332
PC(10:0_16:0)+H,650.47554,467.4095,419.255711,335.161811,478.32921,394.23531,412.24589,496.33979,229.17983,313.27373,184.07332
PC(10:0_16:1)+H,648.45994,465.3939,417.240111,335.161811,476.31361,394.23531,412.24589,494.32419,229.17983,311.25813,184.07332
PC(10:0_17:0)+H,664.49124,481.4252,433.271411,335.161811,492.34491,394.23531,412.24589,510.35549,229.17983,327.28943,184.07332
PC(10:0_17:1)+H,662.47554,479.4095,431.255711,335.161811,490.32921,394.23531,412.24589,508.33979,229.17983,325.27373,184.07332
PC(10:0_17:2)+H,660.45994,477.3939,429.240111,335.161811,488.31361,394.23531,412.24589,506.32419,229.17983,323.25813,184.07332
PC(10:0_18:0)+H,678.50684,495.4408,447.287011,335.161811,506.36051,394.23531,412.24589,524.37109,229.17983,341.30503,184.07332
PC(10:0_18:1)+H,676.49124,493.4252,445.271411,335.161811,504.34491,394.23531,412.24589,522.35549,229.17983,339.28943,184.07332
PC(10:0_18:2)+H,674.47554,491.4095,443.255711,335.161811,502.32921,394.23531,412.24589,520.33979,229.17983,337.27373,184.07332
PC(10:0_18:3)+H,672.45994,489.3939,441.240111,335.161811,500.31361,394.23531,412.24589,518.32419,229.17983,335.25813,184.07332
PC(10:0_18:4)+H,670.44424,487.3782,439.224411,335.161811,498.29791,394.23531,412.24589,516.30849,229.17983,333.24243,184.07332
PC(10:0_19:0)+H,692.52254,509.4565,461.302711,335.161811,520.37621,394.23531,412.24589,538.38679,229.17983,355.32073,184.07332
PC(10:0_20:0)+H,706.53814,523.4721,475.318311,335.161811,534.39181,394.23531,412.24589,552.40239,229.17983,369.33633,184.07332
PC(10:0_20:1)+H,704.52254,521.4565,473.302711,335.161811,532.37621,394.23531,412.24589,550.38679,229.17983,367.32073,184.07332
PC(10:0_20:2)+H,702.50684,519.4408,471.287011,335.161811,530.36051,394.23531,412.24589,548.37109,229.17983,365.30503,184.07332
PC(10:0_20:3)+H,700.49124,517.4252,469.271411,335.161811,528.34491,394.23531,412.24589,546.35549,229.17983,363.28943,184.07332
PC(10:0_20:4)+H,698.47554,515.4095,467.255711,335.161811,526.32921,394.23531,412.24589,544.33979,229.17983,361.27373,184.07332
PC(10:0_20:5)+H,696.45994,513.3939,465.240111,335.161811,524.31361,394.23531,412.24589,542.32419,229.17983,359.25813,184.07332
PC(10:0_21:0)+H,720.55384,537.4878,489.334011,335.161811,548.40751,394.23531,412.24589,566.41809,229.17983,383.35203,184.07332
PC(10:0_22:0)+H,734.56944,551.5034,503.349611,335.161811,562.42311,394.23531,412.24589,580.43369,229.17983,397.36763,184.07332
PC(10:0_22:1)+H,732.55384,549.4878,501.334011,335.161811,560.40751,394.23531,412.24589,578.41809,229.17983,395.35203,184.07332
PC(10:0_22:2)+H,730.53814,547.4721,499.318311,335.161811,558.39181,394.23531,412.24589,576.40239,229.17983,393.33633,184.07332
PC(10:0_22:3)+H,728.52254,545.4565,497.302711,335.161811,556.37621,394.23531,412.24589,574.38679,229.17983,391.32073,184.07332
PC(10:0_22:4)+H,726.50684,543.4408,495.287011,335.161811,554.36051,394.23531,412.24589,572.37109,229.17983,389.30503,184.07332
PC(10:0_22:5)+H,724.49124,541.4252,493.271411,335.161811,552.34491,394.23531,412.24589,570.35549,229.17983,387.28943,184.07332
PC(10:0_22:6)+H,722.47554,539.4095,491.255711,335.161811,550.32921,394.23531,412.24589,568.33979,229.17983,385.27373,184.07332
PC(10:0_23:0)+H,748.58514,565.5191,517.365311,335.161811,576.43881,394.23531,412.24589,594.44939,229.17983,411.38333,184.07332
PC(10:0_24:0)+H,762.60074,579.5347,531.380911,335.161811,590.45441,394.23531,412.24589,608.46499,229.17983,425.39893,184.07332
PC(10:0_24:1)+H,760.58514,577.5191,529.365311,335.161811,588.43881,394.23531,412.24589,606.44939,229.17983,423.38333,184.07332
PC(10:0_25:0)+H,776.61644,593.5504,545.396611,335.161811,604.47011,394.23531,412.24589,622.48069,229.17983,439.41463,184.07332
