SQDG,[M-H]-,SQMG_SN1-H2O-H,SQMG_SN2-H2O-H,M-FA1-FA2-Glycerol+2H2O-H,sn1,sn2
SQDG(17:0_8:0)-H,695.40405,425.14833,551.28909,225.0069,269.24858,143.10782
SQDG(17:1_8:0)-H,693.38838,425.1483,549.27342,225.0069,267.23291,143.10779
SQDG(17:2_8:0)-H,691.37273,425.14829,547.25777,225.0069,265.21726,143.10778
SQDG(18:0_8:0)-H,709.41968,425.14832,565.30472,225.0069,283.26421,143.10781
SQDG(18:1_8:0)-H,707.40405,425.14833,563.28909,225.0069,281.24858,143.10782
SQDG(18:2_8:0)-H,705.38838,425.1483,561.27342,225.0069,279.23291,143.10779
SQDG(18:3_8:0)-H,703.37273,425.14829,559.25777,225.0069,277.21726,143.10778
SQDG(18:4_8:0)-H,701.35705,425.14825,557.24209,225.0069,275.20158,143.10774
SQDG(19:0_8:0)-H,723.43538,425.14838,579.32042,225.0069,297.27991,143.10787
SQDG(20:0_8:0)-H,737.45098,425.14834,593.33602,225.0069,311.29551,143.10783
SQDG(20:1_8:0)-H,735.43538,425.14838,591.32042,225.0069,309.27991,143.10787
SQDG(20:2_8:0)-H,733.41968,425.14832,589.30472,225.0069,307.26421,143.10781
SQDG(20:3_8:0)-H,731.40405,425.14833,587.28909,225.0069,305.24858,143.10782
SQDG(20:4_8:0)-H,729.38838,425.1483,585.27342,225.0069,303.23291,143.10779
SQDG(20:5_8:0)-H,727.37273,425.14829,583.25777,225.0069,301.21726,143.10778
SQDG(21:0_8:0)-H,751.46658,425.1483,607.35162,225.0069,325.31111,143.10779
SQDG(22:0_8:0)-H,765.48228,425.14836,621.36732,225.0069,339.32681,143.10785
SQDG(22:1_8:0)-H,763.46658,425.1483,619.35162,225.0069,337.31111,143.10779
SQDG(22:2_8:0)-H,761.45098,425.14834,617.33602,225.0069,335.29551,143.10783
SQDG(22:4_8:0)-H,757.41968,425.14832,613.30472,225.0069,331.26421,143.10781
SQDG(22:5_8:0)-H,755.40405,425.14833,611.28909,225.0069,329.24858,143.10782
SQDG(22:6_8:0)-H,753.38838,425.1483,609.27342,225.0069,327.23291,143.10779
SQDG(23:0_8:0)-H,779.49792,425.14836,635.38296,225.0069,353.34245,143.10785
SQDG(24:0_8:0)-H,793.51358,425.14838,649.39862,225.0069,367.35811,143.10787
SQDG(24:1_8:0)-H,791.49792,425.14836,647.38296,225.0069,365.34245,143.10785
SQDG(24:4_8:0)-H,785.45098,425.14834,641.33602,225.0069,359.29551,143.10783
SQDG(25:0_8:0)-H,807.52923,425.14839,663.41427,225.0069,381.37376,143.10788
SQDG(26:0_8:0)-H,821.54488,425.1484,677.42992,225.0069,395.38941,143.10789
SQDG(26:1_8:0)-H,819.52923,425.14839,675.41427,225.0069,393.37376,143.10788
SQDG(26:2_8:0)-H,817.51358,425.14838,673.39862,225.0069,391.35811,143.10787
SQDG(10:0_9:0)-H,611.31011,439.16387,453.17951,225.0069,171.139,157.12336
SQDG(11:0_9:0)-H,625.32578,439.1639,467.19518,225.0069,185.15467,157.12339
SQDG(12:0_9:0)-H,639.34142,439.1639,481.21082,225.0069,199.17031,157.12339
SQDG(13:0_9:0)-H,653.35705,439.16389,495.22645,225.0069,213.18594,157.12338
SQDG(14:0_9:0)-H,667.37273,439.16393,509.24213,225.0069,227.20162,157.12342
SQDG(14:1_9:0)-H,665.35705,439.16389,507.22645,225.0069,225.18594,157.12338
SQDG(15:0_9:0)-H,681.38838,439.16394,523.25778,225.0069,241.21727,157.12343
SQDG(15:1_9:0)-H,679.37273,439.16393,521.24213,225.0069,239.20162,157.12342
SQDG(16:0_9:0)-H,695.40405,439.16397,537.27345,225.0069,255.23294,157.12346
SQDG(16:1_9:0)-H,693.38838,439.16394,535.25778,225.0069,253.21727,157.12343
SQDG(17:0_9:0)-H,709.41968,439.16396,551.28908,225.0069,269.24857,157.12345
SQDG(17:1_9:0)-H,707.40405,439.16397,549.27345,225.0069,267.23294,157.12346
SQDG(17:2_9:0)-H,705.38838,439.16394,547.25778,225.0069,265.21727,157.12343
SQDG(18:0_9:0)-H,723.43538,439.16402,565.30478,225.0069,283.26427,157.12351
SQDG(18:1_9:0)-H,721.41968,439.16396,563.28908,225.0069,281.24857,157.12345
SQDG(18:2_9:0)-H,719.40405,439.16397,561.27345,225.0069,279.23294,157.12346
SQDG(18:3_9:0)-H,717.38838,439.16394,559.25778,225.0069,277.21727,157.12343
SQDG(18:4_9:0)-H,715.37273,439.16393,557.24213,225.0069,275.20162,157.12342
SQDG(19:0_9:0)-H,737.45098,439.16398,579.32038,225.0069,297.27987,157.12347
SQDG(20:0_9:0)-H,751.46658,439.16394,593.33598,225.0069,311.29547,157.12343
SQDG(20:1_9:0)-H,749.45098,439.16398,591.32038,225.0069,309.27987,157.12347
SQDG(20:2_9:0)-H,747.43538,439.16402,589.30478,225.0069,307.26427,157.12351
SQDG(20:3_9:0)-H,745.41968,439.16396,587.28908,225.0069,305.24857,157.12345
SQDG(20:4_9:0)-H,743.40405,439.16397,585.27345,225.0069,303.23294,157.12346
SQDG(20:5_9:0)-H,741.38838,439.16394,583.25778,225.0069,301.21727,157.12343
SQDG(21:0_9:0)-H,765.48228,439.164,607.35168,225.0069,325.31117,157.12349
SQDG(22:0_9:0)-H,779.49792,439.164,621.36732,225.0069,339.32681,157.12349
SQDG(22:1_9:0)-H,777.48228,439.164,619.35168,225.0069,337.31117,157.12349
SQDG(22:2_9:0)-H,775.46658,439.16394,617.33598,225.0069,335.29547,157.12343
SQDG(22:4_9:0)-H,771.43538,439.16402,613.30478,225.0069,331.26427,157.12351
SQDG(22:5_9:0)-H,769.41968,439.16396,611.28908,225.0069,329.24857,157.12345
SQDG(22:6_9:0)-H,767.40405,439.16397,609.27345,225.0069,327.23294,157.12346
SQDG(23:0_9:0)-H,793.51358,439.16402,635.38298,225.0069,353.34247,157.12351
SQDG(24:0_9:0)-H,807.52923,439.16403,649.39863,225.0069,367.35812,157.12352
SQDG(24:1_9:0)-H,805.51358,439.16402,647.38298,225.0069,365.34247,157.12351
SQDG(24:4_9:0)-H,799.46658,439.16394,641.33598,225.0069,359.29547,157.12343
SQDG(25:0_9:0)-H,821.54488,439.16404,663.41428,225.0069,381.37377,157.12353
SQDG(26:0_9:0)-H,835.56054,439.16406,677.42994,225.0069,395.38943,157.12355
SQDG(26:1_9:0)-H,833.54488,439.16404,675.41428,225.0069,393.37377,157.12353
SQDG(26:2_9:0)-H,831.52923,439.16403,673.39863,225.0069,391.35812,157.12352
SQDG(10:0_10:0)-H,625.32578,453.17954,453.17954,225.0069,171.13903,171.13903
SQDG(10:0_11:0)-H,639.34142,467.19518,453.17954,225.0069,171.13903,185.15467
SQDG(10:0_12:0)-H,653.35705,481.21081,453.17953,225.0069,171.13902,199.1703
SQDG(10:0_13:0)-H,667.37273,495.22649,453.17957,225.0069,171.13906,213.18598
SQDG(10:0_14:0)-H,681.38838,509.24214,453.17958,225.0069,171.13907,227.20163
SQDG(10:0_14:1)-H,679.37273,507.22649,453.17957,225.0069,171.13906,225.18598
SQDG(10:0_15:0)-H,695.40405,523.25781,453.17961,225.0069,171.1391,241.2173
SQDG(10:0_15:1)-H,693.38838,521.24214,453.17958,225.0069,171.13907,239.20163
SQDG(10:0_16:0)-H,709.41968,537.27344,453.1796,225.0069,171.13909,255.23293
SQDG(10:0_16:1)-H,707.40405,535.25781,453.17961,225.0069,171.1391,253.2173
SQDG(10:0_17:0)-H,723.43538,551.28914,453.17966,225.0069,171.13915,269.24863
SQDG(10:0_17:1)-H,721.41968,549.27344,453.1796,225.0069,171.13909,267.23293
SQDG(10:0_17:2)-H,719.40405,547.25781,453.17961,225.0069,171.1391,265.2173
SQDG(10:0_18:0)-H,737.45098,565.30474,453.17962,225.0069,171.13911,283.26423
