SQDG,[M-H]-,SQMG_SN1-H2O-H,SQMG_SN2-H2O-H,M-FA1-FA2-Glycerol+2H2O-H,sn1,sn2
SQDG(13:0_20:5)-H,797.45098,583.25782,495.22654,225.0069,213.18603,301.21731
SQDG(13:0_21:0)-H,821.54488,607.35172,495.2266,225.0069,213.18609,325.31121
SQDG(13:0_22:0)-H,835.56054,621.36738,495.22662,225.0069,213.18611,339.32687
SQDG(13:0_22:1)-H,833.54488,619.35172,495.2266,225.0069,213.18609,337.31121
SQDG(13:0_22:2)-H,831.52923,617.33607,495.22659,225.0069,213.18608,335.29556
SQDG(13:0_22:4)-H,827.49792,613.30476,495.22656,225.0069,213.18605,331.26425
SQDG(13:0_22:5)-H,825.48228,611.28912,495.22656,225.0069,213.18605,329.24861
SQDG(13:0_22:6)-H,823.46658,609.27342,495.2265,225.0069,213.18599,327.23291
SQDG(13:0_23:0)-H,849.57618,635.38302,495.22662,225.0069,213.18611,353.34251
SQDG(13:0_24:0)-H,863.59188,649.39872,495.22668,225.0069,213.18617,367.35821
SQDG(13:0_24:1)-H,861.57618,647.38302,495.22662,225.0069,213.18611,365.34251
SQDG(13:0_24:4)-H,855.52923,641.33607,495.22659,225.0069,213.18608,359.29556
SQDG(13:0_25:0)-H,877.60748,663.41432,495.22664,225.0069,213.18613,381.37381
SQDG(13:0_26:0)-H,891.62308,677.42992,495.2266,225.0069,213.18609,395.38941
SQDG(13:0_26:1)-H,889.60748,675.41432,495.22664,225.0069,213.18613,393.37381
SQDG(13:0_26:2)-H,887.59188,673.39872,495.22668,225.0069,213.18617,391.35821
SQDG(14:0_14:0)-H,737.45098,509.24218,509.24218,225.0069,227.20167,227.20167
SQDG(14:0_14:1)-H,735.43538,507.22658,509.24222,225.0069,227.20171,225.18607
SQDG(14:0_15:0)-H,751.46658,523.25778,509.24214,225.0069,227.20163,241.21727
SQDG(14:0_15:1)-H,749.45098,521.24218,509.24218,225.0069,227.20167,239.20167
SQDG(14:0_16:0)-H,765.48228,537.27348,509.2422,225.0069,227.20169,255.23297
SQDG(14:0_16:1)-H,763.46658,535.25778,509.24214,225.0069,227.20163,253.21727
SQDG(14:0_17:0)-H,779.49792,551.28912,509.2422,225.0069,227.20169,269.24861
SQDG(14:0_17:1)-H,777.48228,549.27348,509.2422,225.0069,227.20169,267.23297
SQDG(14:0_17:2)-H,775.46658,547.25778,509.24214,225.0069,227.20163,265.21727
SQDG(14:0_18:0)-H,793.51358,565.30478,509.24222,225.0069,227.20171,283.26427
SQDG(14:0_18:1)-H,791.49792,563.28912,509.2422,225.0069,227.20169,281.24861
SQDG(14:0_18:2)-H,789.48228,561.27348,509.2422,225.0069,227.20169,279.23297
SQDG(14:0_18:3)-H,787.46658,559.25778,509.24214,225.0069,227.20163,277.21727
SQDG(14:0_18:4)-H,785.45098,557.24218,509.24218,225.0069,227.20167,275.20167
SQDG(14:0_19:0)-H,807.52923,579.32043,509.24223,225.0069,227.20172,297.27992
SQDG(14:0_20:0)-H,821.54488,593.33608,509.24224,225.0069,227.20173,311.29557
SQDG(14:0_20:1)-H,819.52923,591.32043,509.24223,225.0069,227.20172,309.27992
SQDG(14:0_20:2)-H,817.51358,589.30478,509.24222,225.0069,227.20171,307.26427
SQDG(14:0_20:3)-H,815.49792,587.28912,509.2422,225.0069,227.20169,305.24861
SQDG(14:0_20:4)-H,813.48228,585.27348,509.2422,225.0069,227.20169,303.23297
SQDG(14:0_20:5)-H,811.46658,583.25778,509.24214,225.0069,227.20163,301.21727
SQDG(14:0_21:0)-H,835.56054,607.35174,509.24226,225.0069,227.20175,325.31123
SQDG(14:0_22:0)-H,849.57618,621.36738,509.24226,225.0069,227.20175,339.32687
SQDG(14:0_22:1)-H,847.56054,619.35174,509.24226,225.0069,227.20175,337.31123
SQDG(14:0_22:2)-H,845.54488,617.33608,509.24224,225.0069,227.20173,335.29557
SQDG(14:0_22:4)-H,841.51358,613.30478,509.24222,225.0069,227.20171,331.26427
SQDG(14:0_22:5)-H,839.49792,611.28912,509.2422,225.0069,227.20169,329.24861
SQDG(14:0_22:6)-H,837.48228,609.27348,509.2422,225.0069,227.20169,327.23297
SQDG(14:0_23:0)-H,863.59188,635.38308,509.24232,225.0069,227.20181,353.34257
SQDG(14:0_24:0)-H,877.60748,649.39868,509.24228,225.0069,227.20177,367.35817
SQDG(14:0_24:1)-H,875.59188,647.38308,509.24232,225.0069,227.20181,365.34257
SQDG(14:0_24:4)-H,869.54488,641.33608,509.24224,225.0069,227.20173,359.29557
SQDG(14:0_25:0)-H,891.62308,663.41428,509.24224,225.0069,227.20173,381.37377
SQDG(14:0_26:0)-H,905.63878,677.42998,509.2423,225.0069,227.20179,395.38947
SQDG(14:0_26:1)-H,903.62308,675.41428,509.24224,225.0069,227.20173,393.37377
SQDG(14:0_26:2)-H,901.60748,673.39868,509.24228,225.0069,227.20177,391.35817
SQDG(14:1_14:1)-H,733.41968,507.22652,507.22652,225.0069,225.18601,225.18601
SQDG(14:1_15:0)-H,749.45098,523.25782,507.22654,225.0069,225.18603,241.21731
SQDG(14:1_15:1)-H,747.43538,521.24222,507.22658,225.0069,225.18607,239.20171
SQDG(14:1_16:0)-H,763.46658,537.27342,507.2265,225.0069,225.18599,255.23291
SQDG(14:1_16:1)-H,761.45098,535.25782,507.22654,225.0069,225.18603,253.21731
SQDG(14:1_17:0)-H,777.48228,551.28912,507.22656,225.0069,225.18605,269.24861
SQDG(14:1_17:1)-H,775.46658,549.27342,507.2265,225.0069,225.18599,267.23291
SQDG(14:1_17:2)-H,773.45098,547.25782,507.22654,225.0069,225.18603,265.21731
SQDG(14:1_18:0)-H,791.49792,565.30476,507.22656,225.0069,225.18605,283.26425
SQDG(14:1_18:1)-H,789.48228,563.28912,507.22656,225.0069,225.18605,281.24861
SQDG(14:1_18:2)-H,787.46658,561.27342,507.2265,225.0069,225.18599,279.23291
SQDG(14:1_18:3)-H,785.45098,559.25782,507.22654,225.0069,225.18603,277.21731
SQDG(14:1_18:4)-H,783.43538,557.24222,507.22658,225.0069,225.18607,275.20171
SQDG(14:1_19:0)-H,805.51358,579.32042,507.22658,225.0069,225.18607,297.27991
SQDG(14:1_20:0)-H,819.52923,593.33607,507.22659,225.0069,225.18608,311.29556
SQDG(14:1_20:1)-H,817.51358,591.32042,507.22658,225.0069,225.18607,309.27991
SQDG(14:1_20:2)-H,815.49792,589.30476,507.22656,225.0069,225.18605,307.26425
SQDG(14:1_20:3)-H,813.48228,587.28912,507.22656,225.0069,225.18605,305.24861
SQDG(14:1_20:4)-H,811.46658,585.27342,507.2265,225.0069,225.18599,303.23291
SQDG(14:1_20:5)-H,809.45098,583.25782,507.22654,225.0069,225.18603,301.21731
SQDG(14:1_21:0)-H,833.54488,607.35172,507.2266,225.0069,225.18609,325.31121
SQDG(14:1_22:0)-H,847.56054,621.36738,507.22662,225.0069,225.18611,339.32687
SQDG(14:1_22:1)-H,845.54488,619.35172,507.2266,225.0069,225.18609,337.31121
SQDG(14:1_22:2)-H,843.52923,617.33607,507.22659,225.0069,225.18608,335.29556
SQDG(14:1_22:4)-H,839.49792,613.30476,507.22656,225.0069,225.18605,331.26425
SQDG(14:1_22:5)-H,837.48228,611.28912,507.22656,225.0069,225.18605,329.24861
SQDG(14:1_22:6)-H,835.46658,609.27342,507.2265,225.0069,225.18599,327.23291
SQDG(14:1_23:0)-H,861.57618,635.38302,507.22662,225.0069,225.18611,353.34251
SQDG(14:1_24:0)-H,875.59188,649.39872,507.22668,225.0069,225.18617,367.35821
SQDG(14:1_24:1)-H,873.57618,647.38302,507.22662,225.0069,225.18611,365.34251
SQDG(14:1_24:4)-H,867.52923,641.33607,507.22659,225.0069,225.18608,359.29556
SQDG(14:1_25:0)-H,889.60748,663.41432,507.22664,225.0069,225.18613,381.37381
SQDG(14:1_26:0)-H,903.62308,677.42992,507.2266,225.0069,225.18609,395.38941
SQDG(14:1_26:1)-H,901.60748,675.41432,507.22664,225.0069,225.18613,393.37381
SQDG(14:1_26:2)-H,899.59188,673.39872,507.22668,225.0069,225.18617,391.35821
SQDG(15:0_15:0)-H,765.48228,523.25784,523.25784,225.0069,241.21733,241.21733
SQDG(15:0_15:1)-H,763.46658,521.24214,523.25778,225.0069,241.21727,239.20163
SQDG(15:0_16:0)-H,779.49792,537.27348,523.25784,225.0069,241.21733,255.23297
SQDG(15:0_16:1)-H,777.48228,535.25784,523.25784,225.0069,241.21733,253.21733
SQDG(15:0_17:0)-H,793.51358,551.28914,523.25786,225.0069,241.21735,269.24863
SQDG(15:0_17:1)-H,791.49792,549.27348,523.25784,225.0069,241.21733,267.23297
SQDG(15:0_17:2)-H,789.48228,547.25784,523.25784,225.0069,241.21733,265.21733
SQDG(15:0_18:0)-H,807.52923,565.30479,523.25787,225.0069,241.21736,283.26428
SQDG(15:0_18:1)-H,805.51358,563.28914,523.25786,225.0069,241.21735,281.24863
SQDG(15:0_18:2)-H,803.49792,561.27348,523.25784,225.0069,241.21733,279.23297
SQDG(15:0_18:3)-H,801.48228,559.25784,523.25784,225.0069,241.21733,277.21733
SQDG(15:0_18:4)-H,799.46658,557.24214,523.25778,225.0069,241.21727,275.20163
SQDG(15:0_19:0)-H,821.54488,579.32044,523.25788,225.0069,241.21737,297.27993
SQDG(15:0_20:0)-H,835.56054,593.3361,523.2579,225.0069,241.21739,311.29559
SQDG(15:0_20:1)-H,833.54488,591.32044,523.25788,225.0069,241.21737,309.27993
SQDG(15:0_20:2)-H,831.52923,589.30479,523.25787,225.0069,241.21736,307.26428
SQDG(15:0_20:3)-H,829.51358,587.28914,523.25786,225.0069,241.21735,305.24863
SQDG(15:0_20:4)-H,827.49792,585.27348,523.25784,225.0069,241.21733,303.23297
SQDG(15:0_20:5)-H,825.48228,583.25784,523.25784,225.0069,241.21733,301.21733
SQDG(15:0_21:0)-H,849.57618,607.35174,523.2579,225.0069,241.21739,325.31123
SQDG(15:0_22:0)-H,863.59188,621.36744,523.25796,225.0069,241.21745,339.32693
SQDG(15:0_22:1)-H,861.57618,619.35174,523.2579,225.0069,241.21739,337.31123
SQDG(15:0_22:2)-H,859.56054,617.3361,523.2579,225.0069,241.21739,335.29559
SQDG(15:0_22:4)-H,855.52923,613.30479,523.25787,225.0069,241.21736,331.26428
SQDG(15:0_22:5)-H,853.51358,611.28914,523.25786,225.0069,241.21735,329.24863
SQDG(15:0_22:6)-H,851.49792,609.27348,523.25784,225.0069,241.21733,327.23297
SQDG(15:0_23:0)-H,877.60748,635.38304,523.25792,225.0069,241.21741,353.34253
SQDG(15:0_24:0)-H,891.62308,649.39864,523.25788,225.0069,241.21737,367.35813
SQDG(15:0_24:1)-H,889.60748,647.38304,523.25792,225.0069,241.21741,365.34253
SQDG(15:0_24:4)-H,883.56054,641.3361,523.2579,225.0069,241.21739,359.29559
SQDG(15:0_25:0)-H,905.63878,663.41434,523.25794,225.0069,241.21743,381.37383
SQDG(15:0_26:0)-H,919.65441,677.42997,523.25793,225.0069,241.21742,395.38946
SQDG(15:0_26:1)-H,917.63878,675.41434,523.25794,225.0069,241.21743,393.37383
SQDG(15:0_26:2)-H,915.62308,673.39864,523.25788,225.0069,241.21737,391.35813
SQDG(15:1_15:1)-H,761.45098,521.24218,521.24218,225.0069,239.20167,239.20167
SQDG(15:1_16:0)-H,777.48228,537.27348,521.2422,225.0069,239.20169,255.23297
SQDG(15:1_16:1)-H,775.46658,535.25778,521.24214,225.0069,239.20163,253.21727
SQDG(15:1_17:0)-H,791.49792,551.28912,521.2422,225.0069,239.20169,269.24861
SQDG(15:1_17:1)-H,789.48228,549.27348,521.2422,225.0069,239.20169,267.23297
SQDG(15:1_17:2)-H,787.46658,547.25778,521.24214,225.0069,239.20163,265.21727
SQDG(15:1_18:0)-H,805.51358,565.30478,521.24222,225.0069,239.20171,283.26427
SQDG(15:1_18:1)-H,803.49792,563.28912,521.2422,225.0069,239.20169,281.24861
SQDG(15:1_18:2)-H,801.48228,561.27348,521.2422,225.0069,239.20169,279.23297
SQDG(15:1_18:3)-H,799.46658,559.25778,521.24214,225.0069,239.20163,277.21727
SQDG(15:1_18:4)-H,797.45098,557.24218,521.24218,225.0069,239.20167,275.20167
SQDG(15:1_19:0)-H,819.52923,579.32043,521.24223,225.0069,239.20172,297.27992
SQDG(15:1_20:0)-H,833.54488,593.33608,521.24224,225.0069,239.20173,311.29557
SQDG(15:1_20:1)-H,831.52923,591.32043,521.24223,225.0069,239.20172,309.27992
SQDG(15:1_20:2)-H,829.51358,589.30478,521.24222,225.0069,239.20171,307.26427
SQDG(15:1_20:3)-H,827.49792,587.28912,521.2422,225.0069,239.20169,305.24861
SQDG(15:1_20:4)-H,825.48228,585.27348,521.2422,225.0069,239.20169,303.23297
SQDG(15:1_20:5)-H,823.46658,583.25778,521.24214,225.0069,239.20163,301.21727
SQDG(15:1_21:0)-H,847.56054,607.35174,521.24226,225.0069,239.20175,325.31123
SQDG(15:1_22:0)-H,861.57618,621.36738,521.24226,225.0069,239.20175,339.32687
SQDG(15:1_22:1)-H,859.56054,619.35174,521.24226,225.0069,239.20175,337.31123
SQDG(15:1_22:2)-H,857.54488,617.33608,521.24224,225.0069,239.20173,335.29557
SQDG(15:1_22:4)-H,853.51358,613.30478,521.24222,225.0069,239.20171,331.26427
SQDG(15:1_22:5)-H,851.49792,611.28912,521.2422,225.0069,239.20169,329.24861
SQDG(15:1_22:6)-H,849.48228,609.27348,521.2422,225.0069,239.20169,327.23297
SQDG(15:1_23:0)-H,875.59188,635.38308,521.24232,225.0069,239.20181,353.34257
SQDG(15:1_24:0)-H,889.60748,649.39868,521.24228,225.0069,239.20177,367.35817
SQDG(15:1_24:1)-H,887.59188,647.38308,521.24232,225.0069,239.20181,365.34257
SQDG(15:1_24:4)-H,881.54488,641.33608,521.24224,225.0069,239.20173,359.29557
SQDG(15:1_25:0)-H,903.62308,663.41428,521.24224,225.0069,239.20173,381.37377
SQDG(15:1_26:0)-H,917.63878,677.42998,521.2423,225.0069,239.20179,395.38947
SQDG(15:1_26:1)-H,915.62308,675.41428,521.24224,225.0069,239.20173,393.37377
SQDG(15:1_26:2)-H,913.60748,673.39868,521.24228,225.0069,239.20177,391.35817
SQDG(16:0_16:0)-H,793.51358,537.2735,537.2735,225.0069,255.23299,255.23299
SQDG(16:0_16:1)-H,791.49792,535.25784,537.27348,225.0069,255.23297,253.21733
SQDG(16:0_17:0)-H,807.52923,551.28915,537.27351,225.0069,255.233,269.24864
SQDG(16:0_17:1)-H,805.51358,549.2735,537.2735,225.0069,255.23299,267.23299
SQDG(16:0_17:2)-H,803.49792,547.25784,537.27348,225.0069,255.23297,265.21733
SQDG(16:0_18:0)-H,821.54488,565.3048,537.27352,225.0069,255.23301,283.26429
SQDG(16:0_18:1)-H,819.52923,563.28915,537.27351,225.0069,255.233,281.24864
SQDG(16:0_18:2)-H,817.51358,561.2735,537.2735,225.0069,255.23299,279.23299
SQDG(16:0_18:3)-H,815.49792,559.25784,537.27348,225.0069,255.23297,277.21733
SQDG(16:0_18:4)-H,813.48228,557.2422,537.27348,225.0069,255.23297,275.20169
SQDG(16:0_19:0)-H,835.56054,579.32046,537.27354,225.0069,255.23303,297.27995
SQDG(16:0_20:0)-H,849.57618,593.3361,537.27354,225.0069,255.23303,311.29559
SQDG(16:0_20:1)-H,847.56054,591.32046,537.27354,225.0069,255.23303,309.27995
SQDG(16:0_20:2)-H,845.54488,589.3048,537.27352,225.0069,255.23301,307.26429
SQDG(16:0_20:3)-H,843.52923,587.28915,537.27351,225.0069,255.233,305.24864
SQDG(16:0_20:4)-H,841.51358,585.2735,537.2735,225.0069,255.23299,303.23299
SQDG(16:0_20:5)-H,839.49792,583.25784,537.27348,225.0069,255.23297,301.21733
SQDG(16:0_21:0)-H,863.59188,607.3518,537.2736,225.0069,255.23309,325.31129
SQDG(16:0_22:0)-H,877.60748,621.3674,537.27356,225.0069,255.23305,339.32689
SQDG(16:0_22:1)-H,875.59188,619.3518,537.2736,225.0069,255.23309,337.31129
SQDG(16:0_22:2)-H,873.57618,617.3361,537.27354,225.0069,255.23303,335.29559
SQDG(16:0_22:4)-H,869.54488,613.3048,537.27352,225.0069,255.23301,331.26429
SQDG(16:0_22:5)-H,867.52923,611.28915,537.27351,225.0069,255.233,329.24864
SQDG(16:0_22:6)-H,865.51358,609.2735,537.2735,225.0069,255.23299,327.23299
SQDG(16:0_23:0)-H,891.62308,635.383,537.27352,225.0069,255.23301,353.34249
SQDG(16:0_24:0)-H,905.63878,649.3987,537.27358,225.0069,255.23307,367.35819
SQDG(16:0_24:1)-H,903.62308,647.383,537.27352,225.0069,255.23301,365.34249
SQDG(16:0_24:4)-H,897.57618,641.3361,537.27354,225.0069,255.23303,359.29559
SQDG(16:0_25:0)-H,919.65441,663.41433,537.27357,225.0069,255.23306,381.37382
SQDG(16:0_26:0)-H,933.67008,677.43,537.2736,225.0069,255.23309,395.38949
SQDG(16:0_26:1)-H,931.65441,675.41433,537.27357,225.0069,255.23306,393.37382
SQDG(16:0_26:2)-H,929.63878,673.3987,537.27358,225.0069,255.23307,391.35819
SQDG(16:1_16:1)-H,789.48228,535.25784,535.25784,225.0069,253.21733,253.21733
SQDG(16:1_17:0)-H,805.51358,551.28914,535.25786,225.0069,253.21735,269.24863
SQDG(16:1_17:1)-H,803.49792,549.27348,535.25784,225.0069,253.21733,267.23297
SQDG(16:1_17:2)-H,801.48228,547.25784,535.25784,225.0069,253.21733,265.21733
SQDG(16:1_18:0)-H,819.52923,565.30479,535.25787,225.0069,253.21736,283.26428
SQDG(16:1_18:1)-H,817.51358,563.28914,535.25786,225.0069,253.21735,281.24863
SQDG(16:1_18:2)-H,815.49792,561.27348,535.25784,225.0069,253.21733,279.23297
SQDG(16:1_18:3)-H,813.48228,559.25784,535.25784,225.0069,253.21733,277.21733
SQDG(16:1_18:4)-H,811.46658,557.24214,535.25778,225.0069,253.21727,275.20163
SQDG(16:1_19:0)-H,833.54488,579.32044,535.25788,225.0069,253.21737,297.27993
SQDG(16:1_20:0)-H,847.56054,593.3361,535.2579,225.0069,253.21739,311.29559
SQDG(16:1_20:1)-H,845.54488,591.32044,535.25788,225.0069,253.21737,309.27993
SQDG(16:1_20:2)-H,843.52923,589.30479,535.25787,225.0069,253.21736,307.26428
SQDG(16:1_20:3)-H,841.51358,587.28914,535.25786,225.0069,253.21735,305.24863
SQDG(16:1_20:4)-H,839.49792,585.27348,535.25784,225.0069,253.21733,303.23297
SQDG(16:1_20:5)-H,837.48228,583.25784,535.25784,225.0069,253.21733,301.21733
SQDG(16:1_21:0)-H,861.57618,607.35174,535.2579,225.0069,253.21739,325.31123
SQDG(16:1_22:0)-H,875.59188,621.36744,535.25796,225.0069,253.21745,339.32693
SQDG(16:1_22:1)-H,873.57618,619.35174,535.2579,225.0069,253.21739,337.31123
SQDG(16:1_22:2)-H,871.56054,617.3361,535.2579,225.0069,253.21739,335.29559
SQDG(16:1_22:4)-H,867.52923,613.30479,535.25787,225.0069,253.21736,331.26428
SQDG(16:1_22:5)-H,865.51358,611.28914,535.25786,225.0069,253.21735,329.24863
SQDG(16:1_22:6)-H,863.49792,609.27348,535.25784,225.0069,253.21733,327.23297
SQDG(16:1_23:0)-H,889.60748,635.38304,535.25792,225.0069,253.21741,353.34253
SQDG(16:1_24:0)-H,903.62308,649.39864,535.25788,225.0069,253.21737,367.35813
SQDG(16:1_24:1)-H,901.60748,647.38304,535.25792,225.0069,253.21741,365.34253
SQDG(16:1_24:4)-H,895.56054,641.3361,535.2579,225.0069,253.21739,359.29559
SQDG(16:1_25:0)-H,917.63878,663.41434,535.25794,225.0069,253.21743,381.37383
SQDG(16:1_26:0)-H,931.65441,677.42997,535.25793,225.0069,253.21742,395.38946
SQDG(16:1_26:1)-H,929.63878,675.41434,535.25794,225.0069,253.21743,393.37383
SQDG(16:1_26:2)-H,927.62308,673.39864,535.25788,225.0069,253.21737,391.35813
SQDG(17:0_17:0)-H,821.54488,551.28916,551.28916,225.0069,269.24865,269.24865
SQDG(17:0_17:1)-H,819.52923,549.27351,551.28915,225.0069,269.24864,267.233
SQDG(17:0_17:2)-H,817.51358,547.25786,551.28914,225.0069,269.24863,265.21735
SQDG(17:0_18:0)-H,835.56054,565.30482,551.28918,225.0069,269.24867,283.26431
SQDG(17:0_18:1)-H,833.54488,563.28916,551.28916,225.0069,269.24865,281.24865
SQDG(17:0_18:2)-H,831.52923,561.27351,551.28915,225.0069,269.24864,279.233
SQDG(17:0_18:3)-H,829.51358,559.25786,551.28914,225.0069,269.24863,277.21735
SQDG(17:0_18:4)-H,827.49792,557.2422,551.28912,225.0069,269.24861,275.20169
SQDG(17:0_19:0)-H,849.57618,579.32046,551.28918,225.0069,269.24867,297.27995
SQDG(17:0_20:0)-H,863.59188,593.33616,551.28924,225.0069,269.24873,311.29565
SQDG(17:0_20:1)-H,861.57618,591.32046,551.28918,225.0069,269.24867,309.27995
SQDG(17:0_20:2)-H,859.56054,589.30482,551.28918,225.0069,269.24867,307.26431
SQDG(17:0_20:3)-H,857.54488,587.28916,551.28916,225.0069,269.24865,305.24865
SQDG(17:0_20:4)-H,855.52923,585.27351,551.28915,225.0069,269.24864,303.233
SQDG(17:0_20:5)-H,853.51358,583.25786,551.28914,225.0069,269.24863,301.21735
SQDG(17:0_21:0)-H,877.60748,607.35176,551.2892,225.0069,269.24869,325.31125
SQDG(17:0_22:0)-H,891.62308,621.36736,551.28916,225.0069,269.24865,339.32685
SQDG(17:0_22:1)-H,889.60748,619.35176,551.2892,225.0069,269.24869,337.31125
SQDG(17:0_22:2)-H,887.59188,617.33616,551.28924,225.0069,269.24873,335.29565
SQDG(17:0_22:4)-H,883.56054,613.30482,551.28918,225.0069,269.24867,331.26431
SQDG(17:0_22:5)-H,881.54488,611.28916,551.28916,225.0069,269.24865,329.24865
SQDG(17:0_22:6)-H,879.52923,609.27351,551.28915,225.0069,269.24864,327.233
SQDG(17:0_23:0)-H,905.63878,635.38306,551.28922,225.0069,269.24871,353.34255
SQDG(17:0_24:0)-H,919.65441,649.39869,551.28921,225.0069,269.2487,367.35818
SQDG(17:0_24:1)-H,917.63878,647.38306,551.28922,225.0069,269.24871,365.34255
SQDG(17:0_24:4)-H,911.59188,641.33616,551.28924,225.0069,269.24873,359.29565
SQDG(17:0_25:0)-H,933.67008,663.41436,551.28924,225.0069,269.24873,381.37385
SQDG(17:0_26:0)-H,947.68572,677.43,551.28924,225.0069,269.24873,395.38949
SQDG(17:0_26:1)-H,945.67008,675.41436,551.28924,225.0069,269.24873,393.37385
SQDG(17:0_26:2)-H,943.65441,673.39869,551.28921,225.0069,269.2487,391.35818
SQDG(17:1_17:1)-H,817.51358,549.2735,549.2735,225.0069,267.23299,267.23299
SQDG(17:1_17:2)-H,815.49792,547.25784,549.27348,225.0069,267.23297,265.21733
SQDG(17:1_18:0)-H,833.54488,565.3048,549.27352,225.0069,267.23301,283.26429
SQDG(17:1_18:1)-H,831.52923,563.28915,549.27351,225.0069,267.233,281.24864
SQDG(17:1_18:2)-H,829.51358,561.2735,549.2735,225.0069,267.23299,279.23299
SQDG(17:1_18:3)-H,827.49792,559.25784,549.27348,225.0069,267.23297,277.21733
SQDG(17:1_18:4)-H,825.48228,557.2422,549.27348,225.0069,267.23297,275.20169
SQDG(17:1_19:0)-H,847.56054,579.32046,549.27354,225.0069,267.23303,297.27995
SQDG(17:1_20:0)-H,861.57618,593.3361,549.27354,225.0069,267.23303,311.29559
SQDG(17:1_20:1)-H,859.56054,591.32046,549.27354,225.0069,267.23303,309.27995
SQDG(17:1_20:2)-H,857.54488,589.3048,549.27352,225.0069,267.23301,307.26429
SQDG(17:1_20:3)-H,855.52923,587.28915,549.27351,225.0069,267.233,305.24864
SQDG(17:1_20:4)-H,853.51358,585.2735,549.2735,225.0069,267.23299,303.23299
SQDG(17:1_20:5)-H,851.49792,583.25784,549.27348,225.0069,267.23297,301.21733
SQDG(17:1_21:0)-H,875.59188,607.3518,549.2736,225.0069,267.23309,325.31129
SQDG(17:1_22:0)-H,889.60748,621.3674,549.27356,225.0069,267.23305,339.32689
SQDG(17:1_22:1)-H,887.59188,619.3518,549.2736,225.0069,267.23309,337.31129
SQDG(17:1_22:2)-H,885.57618,617.3361,549.27354,225.0069,267.23303,335.29559
SQDG(17:1_22:4)-H,881.54488,613.3048,549.27352,225.0069,267.23301,331.26429
SQDG(17:1_22:5)-H,879.52923,611.28915,549.27351,225.0069,267.233,329.24864
SQDG(17:1_22:6)-H,877.51358,609.2735,549.2735,225.0069,267.23299,327.23299
SQDG(17:1_23:0)-H,903.62308,635.383,549.27352,225.0069,267.23301,353.34249
SQDG(17:1_24:0)-H,917.63878,649.3987,549.27358,225.0069,267.23307,367.35819
SQDG(17:1_24:1)-H,915.62308,647.383,549.27352,225.0069,267.23301,365.34249
SQDG(17:1_24:4)-H,909.57618,641.3361,549.27354,225.0069,267.23303,359.29559
SQDG(17:1_25:0)-H,931.65441,663.41433,549.27357,225.0069,267.23306,381.37382
SQDG(17:1_26:0)-H,945.67008,677.43,549.2736,225.0069,267.23309,395.38949
SQDG(17:1_26:1)-H,943.65441,675.41433,549.27357,225.0069,267.23306,393.37382
SQDG(17:1_26:2)-H,941.63878,673.3987,549.27358,225.0069,267.23307,391.35819
SQDG(17:2_17:2)-H,813.48228,547.25784,547.25784,225.0069,265.21733,265.21733
SQDG(17:2_18:0)-H,831.52923,565.30479,547.25787,225.0069,265.21736,283.26428
SQDG(17:2_18:1)-H,829.51358,563.28914,547.25786,225.0069,265.21735,281.24863
SQDG(17:2_18:2)-H,827.49792,561.27348,547.25784,225.0069,265.21733,279.23297
SQDG(17:2_18:3)-H,825.48228,559.25784,547.25784,225.0069,265.21733,277.21733
SQDG(17:2_18:4)-H,823.46658,557.24214,547.25778,225.0069,265.21727,275.20163
SQDG(17:2_19:0)-H,845.54488,579.32044,547.25788,225.0069,265.21737,297.27993
SQDG(17:2_20:0)-H,859.56054,593.3361,547.2579,225.0069,265.21739,311.29559
SQDG(17:2_20:1)-H,857.54488,591.32044,547.25788,225.0069,265.21737,309.27993
SQDG(17:2_20:2)-H,855.52923,589.30479,547.25787,225.0069,265.21736,307.26428
SQDG(17:2_20:3)-H,853.51358,587.28914,547.25786,225.0069,265.21735,305.24863
SQDG(17:2_20:4)-H,851.49792,585.27348,547.25784,225.0069,265.21733,303.23297
SQDG(17:2_20:5)-H,849.48228,583.25784,547.25784,225.0069,265.21733,301.21733
SQDG(17:2_21:0)-H,873.57618,607.35174,547.2579,225.0069,265.21739,325.31123
SQDG(17:2_22:0)-H,887.59188,621.36744,547.25796,225.0069,265.21745,339.32693
SQDG(17:2_22:1)-H,885.57618,619.35174,547.2579,225.0069,265.21739,337.31123
SQDG(17:2_22:2)-H,883.56054,617.3361,547.2579,225.0069,265.21739,335.29559
SQDG(17:2_22:4)-H,879.52923,613.30479,547.25787,225.0069,265.21736,331.26428
SQDG(17:2_22:5)-H,877.51358,611.28914,547.25786,225.0069,265.21735,329.24863
SQDG(17:2_22:6)-H,875.49792,609.27348,547.25784,225.0069,265.21733,327.23297
SQDG(17:2_23:0)-H,901.60748,635.38304,547.25792,225.0069,265.21741,353.34253
SQDG(17:2_24:0)-H,915.62308,649.39864,547.25788,225.0069,265.21737,367.35813
SQDG(17:2_24:1)-H,913.60748,647.38304,547.25792,225.0069,265.21741,365.34253
SQDG(17:2_24:4)-H,907.56054,641.3361,547.2579,225.0069,265.21739,359.29559
SQDG(17:2_25:0)-H,929.63878,663.41434,547.25794,225.0069,265.21743,381.37383
SQDG(17:2_26:0)-H,943.65441,677.42997,547.25793,225.0069,265.21742,395.38946
SQDG(17:2_26:1)-H,941.63878,675.41434,547.25794,225.0069,265.21743,393.37383
