HBMP,[M+NH4]+,[M-SN3-H3O4P]+,[SN2+C3H4O2+H]+,[SN3+C3H4O2+H]+,[SN1+C3H4O2+H]+
HBMP(12:0_12:0_12:0)+NH4,810.586,439.3787,257.2112,257.2112,257.2112
HBMP(12:0_12:0_14:0)+NH4,838.6173,439.3787,257.2112,285.2424,257.2112
HBMP(12:0_12:0_14:1)+NH4,836.6017,439.3787,257.2112,283.2268,257.2112
HBMP(12:0_12:0_16:0)+NH4,866.6486,439.3787,257.2112,313.2737,257.2112
HBMP(12:0_12:0_16:1)+NH4,864.633,439.3787,257.2112,311.2581,257.2112
HBMP(12:0_12:0_16:2)+NH4,862.6173,439.3787,257.2112,309.2424,257.2112
HBMP(12:0_12:0_16:3)+NH4,860.6017,439.3787,257.2112,307.2268,257.2112
HBMP(12:0_12:0_16:4)+NH4,858.586,439.3787,257.2112,305.2112,257.2112
HBMP(12:0_12:0_18:0)+NH4,894.6799,439.3787,257.2112,341.3051,257.2112
HBMP(12:0_12:0_18:1)+NH4,892.6642,439.3787,257.2112,339.2894,257.2112
HBMP(12:0_12:0_18:2)+NH4,890.6486,439.3787,257.2112,337.2737,257.2112
HBMP(12:0_12:0_18:3)+NH4,888.633,439.3787,257.2112,335.2581,257.2112
HBMP(12:0_12:0_18:4)+NH4,886.6173,439.3787,257.2112,333.2424,257.2112
HBMP(12:0_12:0_18:5)+NH4,884.6017,439.3787,257.2112,331.2268,257.2112
HBMP(12:0_12:0_20:0)+NH4,922.7112,439.3787,257.2112,369.3363,257.2112
HBMP(12:0_12:0_20:1)+NH4,920.6956,439.3787,257.2112,367.3207,257.2112
HBMP(12:0_12:0_20:2)+NH4,918.6799,439.3787,257.2112,365.3051,257.2112
HBMP(12:0_12:0_20:3)+NH4,916.6642,439.3787,257.2112,363.2894,257.2112
HBMP(12:0_12:0_20:4)+NH4,914.6486,439.3787,257.2112,361.2737,257.2112
HBMP(12:0_12:0_20:5)+NH4,912.633,439.3787,257.2112,359.2581,257.2112
HBMP(12:0_12:0_22:0)+NH4,950.7425,439.3787,257.2112,397.3676,257.2112
HBMP(12:0_12:0_22:1)+NH4,948.7269,439.3787,257.2112,395.352,257.2112
HBMP(12:0_12:0_22:2)+NH4,946.7112,439.3787,257.2112,393.3363,257.2112
HBMP(12:0_12:0_22:3)+NH4,944.6956,439.3787,257.2112,391.3207,257.2112
HBMP(12:0_12:0_22:4)+NH4,942.6799,439.3787,257.2112,389.3051,257.2112
HBMP(12:0_12:0_22:5)+NH4,940.6642,439.3787,257.2112,387.2894,257.2112
HBMP(12:0_12:0_22:6)+NH4,938.6486,439.3787,257.2112,385.2737,257.2112
HBMP(12:0_14:0_12:0)+NH4,838.6173,467.41,285.2424,257.2112,257.2112
HBMP(12:0_14:0_14:0)+NH4,866.6486,467.41,285.2424,285.2424,257.2112
HBMP(12:0_14:0_14:1)+NH4,864.633,467.41,285.2424,283.2268,257.2112
HBMP(12:0_14:0_16:0)+NH4,894.6799,467.41,285.2424,313.2737,257.2112
HBMP(12:0_14:0_16:1)+NH4,892.6642,467.41,285.2424,311.2581,257.2112
HBMP(12:0_14:0_16:2)+NH4,890.6486,467.41,285.2424,309.2424,257.2112
HBMP(12:0_14:0_16:3)+NH4,888.633,467.41,285.2424,307.2268,257.2112
HBMP(12:0_14:0_16:4)+NH4,886.6173,467.41,285.2424,305.2112,257.2112
HBMP(12:0_14:0_18:0)+NH4,922.7112,467.41,285.2424,341.3051,257.2112
HBMP(12:0_14:0_18:1)+NH4,920.6956,467.41,285.2424,339.2894,257.2112
HBMP(12:0_14:0_18:2)+NH4,918.6799,467.41,285.2424,337.2737,257.2112
HBMP(12:0_14:0_18:3)+NH4,916.6642,467.41,285.2424,335.2581,257.2112
HBMP(12:0_14:0_18:4)+NH4,914.6486,467.41,285.2424,333.2424,257.2112
HBMP(12:0_14:0_18:5)+NH4,912.633,467.41,285.2424,331.2268,257.2112
HBMP(12:0_14:0_20:0)+NH4,950.7425,467.41,285.2424,369.3363,257.2112
HBMP(12:0_14:0_20:1)+NH4,948.7269,467.41,285.2424,367.3207,257.2112
HBMP(12:0_14:0_20:2)+NH4,946.7112,467.41,285.2424,365.3051,257.2112
HBMP(12:0_14:0_20:3)+NH4,944.6956,467.41,285.2424,363.2894,257.2112
HBMP(12:0_14:0_20:4)+NH4,942.6799,467.41,285.2424,361.2737,257.2112
HBMP(12:0_14:0_20:5)+NH4,940.6642,467.41,285.2424,359.2581,257.2112
HBMP(12:0_14:0_22:0)+NH4,978.7738,467.41,285.2424,397.3676,257.2112
HBMP(12:0_14:0_22:1)+NH4,976.7582,467.41,285.2424,395.352,257.2112
HBMP(12:0_14:0_22:2)+NH4,974.7425,467.41,285.2424,393.3363,257.2112
HBMP(12:0_14:0_22:3)+NH4,972.7269,467.41,285.2424,391.3207,257.2112
HBMP(12:0_14:0_22:4)+NH4,970.7112,467.41,285.2424,389.3051,257.2112
HBMP(12:0_14:0_22:5)+NH4,968.6956,467.41,285.2424,387.2894,257.2112
HBMP(12:0_14:0_22:6)+NH4,966.6799,467.41,285.2424,385.2737,257.2112
HBMP(12:0_14:1_12:0)+NH4,836.6017,465.3944,283.2268,257.2112,257.2112
HBMP(12:0_14:1_14:0)+NH4,864.633,465.3944,283.2268,285.2424,257.2112
HBMP(12:0_14:1_14:1)+NH4,862.6173,465.3944,283.2268,283.2268,257.2112
HBMP(12:0_14:1_16:0)+NH4,892.6642,465.3944,283.2268,313.2737,257.2112
HBMP(12:0_14:1_16:1)+NH4,890.6486,465.3944,283.2268,311.2581,257.2112
HBMP(12:0_14:1_16:2)+NH4,888.633,465.3944,283.2268,309.2424,257.2112
HBMP(12:0_14:1_16:3)+NH4,886.6173,465.3944,283.2268,307.2268,257.2112
HBMP(12:0_14:1_16:4)+NH4,884.6017,465.3944,283.2268,305.2112,257.2112
HBMP(12:0_14:1_18:0)+NH4,920.6956,465.3944,283.2268,341.3051,257.2112
HBMP(12:0_14:1_18:1)+NH4,918.6799,465.3944,283.2268,339.2894,257.2112
HBMP(12:0_14:1_18:2)+NH4,916.6642,465.3944,283.2268,337.2737,257.2112
HBMP(12:0_14:1_18:3)+NH4,914.6486,465.3944,283.2268,335.2581,257.2112
HBMP(12:0_14:1_18:4)+NH4,912.633,465.3944,283.2268,333.2424,257.2112
HBMP(12:0_14:1_18:5)+NH4,910.6173,465.3944,283.2268,331.2268,257.2112
HBMP(12:0_14:1_20:0)+NH4,948.7269,465.3944,283.2268,369.3363,257.2112
HBMP(12:0_14:1_20:1)+NH4,946.7112,465.3944,283.2268,367.3207,257.2112
HBMP(12:0_14:1_20:2)+NH4,944.6956,465.3944,283.2268,365.3051,257.2112
HBMP(12:0_14:1_20:3)+NH4,942.6799,465.3944,283.2268,363.2894,257.2112
HBMP(12:0_14:1_20:4)+NH4,940.6642,465.3944,283.2268,361.2737,257.2112
HBMP(12:0_14:1_20:5)+NH4,938.6486,465.3944,283.2268,359.2581,257.2112
HBMP(12:0_14:1_22:0)+NH4,976.7582,465.3944,283.2268,397.3676,257.2112
HBMP(12:0_14:1_22:1)+NH4,974.7425,465.3944,283.2268,395.352,257.2112
HBMP(12:0_14:1_22:2)+NH4,972.7269,465.3944,283.2268,393.3363,257.2112
HBMP(12:0_14:1_22:3)+NH4,970.7112,465.3944,283.2268,391.3207,257.2112
HBMP(12:0_14:1_22:4)+NH4,968.6956,465.3944,283.2268,389.3051,257.2112
HBMP(12:0_14:1_22:5)+NH4,966.6799,465.3944,283.2268,387.2894,257.2112
HBMP(12:0_14:1_22:6)+NH4,964.6642,465.3944,283.2268,385.2737,257.2112
HBMP(12:0_16:0_12:0)+NH4,866.6486,495.4413,313.2737,257.2112,257.2112
HBMP(12:0_16:0_14:0)+NH4,894.6799,495.4413,313.2737,285.2424,257.2112
HBMP(12:0_16:0_14:1)+NH4,892.6642,495.4413,313.2737,283.2268,257.2112
HBMP(12:0_16:0_16:0)+NH4,922.7112,495.4413,313.2737,313.2737,257.2112
HBMP(12:0_16:0_16:1)+NH4,920.6956,495.4413,313.2737,311.2581,257.2112
HBMP(12:0_16:0_16:2)+NH4,918.6799,495.4413,313.2737,309.2424,257.2112
HBMP(12:0_16:0_16:3)+NH4,916.6642,495.4413,313.2737,307.2268,257.2112
HBMP(12:0_16:0_16:4)+NH4,914.6486,495.4413,313.2737,305.2112,257.2112
HBMP(12:0_16:0_18:0)+NH4,950.7425,495.4413,313.2737,341.3051,257.2112
HBMP(12:0_16:0_18:1)+NH4,948.7269,495.4413,313.2737,339.2894,257.2112
HBMP(12:0_16:0_18:2)+NH4,946.7112,495.4413,313.2737,337.2737,257.2112
HBMP(12:0_16:0_18:3)+NH4,944.6956,495.4413,313.2737,335.2581,257.2112
HBMP(12:0_16:0_18:4)+NH4,942.6799,495.4413,313.2737,333.2424,257.2112
HBMP(12:0_16:0_18:5)+NH4,940.6642,495.4413,313.2737,331.2268,257.2112
HBMP(12:0_16:0_20:0)+NH4,978.7738,495.4413,313.2737,369.3363,257.2112
HBMP(12:0_16:0_20:1)+NH4,976.7582,495.4413,313.2737,367.3207,257.2112
HBMP(12:0_16:0_20:2)+NH4,974.7425,495.4413,313.2737,365.3051,257.2112
HBMP(12:0_16:0_20:3)+NH4,972.7269,495.4413,313.2737,363.2894,257.2112
HBMP(12:0_16:0_20:4)+NH4,970.7112,495.4413,313.2737,361.2737,257.2112
HBMP(12:0_16:0_20:5)+NH4,968.6956,495.4413,313.2737,359.2581,257.2112
HBMP(12:0_16:0_22:0)+NH4,1006.805,495.4413,313.2737,397.3676,257.2112
HBMP(12:0_16:0_22:1)+NH4,1004.789,495.4413,313.2737,395.352,257.2112
HBMP(12:0_16:0_22:2)+NH4,1002.774,495.4413,313.2737,393.3363,257.2112
HBMP(12:0_16:0_22:3)+NH4,1000.758,495.4413,313.2737,391.3207,257.2112
HBMP(12:0_16:0_22:4)+NH4,998.7425,495.4413,313.2737,389.3051,257.2112
HBMP(12:0_16:0_22:5)+NH4,996.7269,495.4413,313.2737,387.2894,257.2112
HBMP(12:0_16:0_22:6)+NH4,994.7112,495.4413,313.2737,385.2737,257.2112
HBMP(12:0_16:1_12:0)+NH4,864.633,493.4257,311.2581,257.2112,257.2112
HBMP(12:0_16:1_14:0)+NH4,892.6642,493.4257,311.2581,285.2424,257.2112
HBMP(12:0_16:1_14:1)+NH4,890.6486,493.4257,311.2581,283.2268,257.2112
HBMP(12:0_16:1_16:0)+NH4,920.6956,493.4257,311.2581,313.2737,257.2112
HBMP(12:0_16:1_16:1)+NH4,918.6799,493.4257,311.2581,311.2581,257.2112
HBMP(12:0_16:1_16:2)+NH4,916.6642,493.4257,311.2581,309.2424,257.2112
HBMP(12:0_16:1_16:3)+NH4,914.6486,493.4257,311.2581,307.2268,257.2112
HBMP(12:0_16:1_16:4)+NH4,912.633,493.4257,311.2581,305.2112,257.2112
HBMP(12:0_16:1_18:0)+NH4,948.7269,493.4257,311.2581,341.3051,257.2112
HBMP(12:0_16:1_18:1)+NH4,946.7112,493.4257,311.2581,339.2894,257.2112
HBMP(12:0_16:1_18:2)+NH4,944.6956,493.4257,311.2581,337.2737,257.2112
HBMP(12:0_16:1_18:3)+NH4,942.6799,493.4257,311.2581,335.2581,257.2112
HBMP(12:0_16:1_18:4)+NH4,940.6642,493.4257,311.2581,333.2424,257.2112
HBMP(12:0_16:1_18:5)+NH4,938.6486,493.4257,311.2581,331.2268,257.2112
HBMP(12:0_16:1_20:0)+NH4,976.7582,493.4257,311.2581,369.3363,257.2112
HBMP(12:0_16:1_20:1)+NH4,974.7425,493.4257,311.2581,367.3207,257.2112
HBMP(12:0_16:1_20:2)+NH4,972.7269,493.4257,311.2581,365.3051,257.2112
HBMP(12:0_16:1_20:3)+NH4,970.7112,493.4257,311.2581,363.2894,257.2112
HBMP(12:0_16:1_20:4)+NH4,968.6956,493.4257,311.2581,361.2737,257.2112
HBMP(12:0_16:1_20:5)+NH4,966.6799,493.4257,311.2581,359.2581,257.2112
HBMP(12:0_16:1_22:0)+NH4,1004.789,493.4257,311.2581,397.3676,257.2112
HBMP(12:0_16:1_22:1)+NH4,1002.774,493.4257,311.2581,395.352,257.2112
HBMP(12:0_16:1_22:2)+NH4,1000.758,493.4257,311.2581,393.3363,257.2112
HBMP(12:0_16:1_22:3)+NH4,998.7425,493.4257,311.2581,391.3207,257.2112
HBMP(12:0_16:1_22:4)+NH4,996.7269,493.4257,311.2581,389.3051,257.2112
HBMP(12:0_16:1_22:5)+NH4,994.7112,493.4257,311.2581,387.2894,257.2112
HBMP(12:0_16:1_22:6)+NH4,992.6956,493.4257,311.2581,385.2737,257.2112
HBMP(12:0_16:2_12:0)+NH4,862.6173,491.41,309.2424,257.2112,257.2112
HBMP(12:0_16:2_14:0)+NH4,890.6486,491.41,309.2424,285.2424,257.2112
HBMP(12:0_16:2_14:1)+NH4,888.633,491.41,309.2424,283.2268,257.2112
HBMP(12:0_16:2_16:0)+NH4,918.6799,491.41,309.2424,313.2737,257.2112
HBMP(12:0_16:2_16:1)+NH4,916.6642,491.41,309.2424,311.2581,257.2112
HBMP(12:0_16:2_16:2)+NH4,914.6486,491.41,309.2424,309.2424,257.2112
HBMP(12:0_16:2_16:3)+NH4,912.633,491.41,309.2424,307.2268,257.2112
HBMP(12:0_16:2_16:4)+NH4,910.6173,491.41,309.2424,305.2112,257.2112
HBMP(12:0_16:2_18:0)+NH4,946.7112,491.41,309.2424,341.3051,257.2112
HBMP(12:0_16:2_18:1)+NH4,944.6956,491.41,309.2424,339.2894,257.2112
HBMP(12:0_16:2_18:2)+NH4,942.6799,491.41,309.2424,337.2737,257.2112
HBMP(12:0_16:2_18:3)+NH4,940.6642,491.41,309.2424,335.2581,257.2112
HBMP(12:0_16:2_18:4)+NH4,938.6486,491.41,309.2424,333.2424,257.2112
HBMP(12:0_16:2_18:5)+NH4,936.633,491.41,309.2424,331.2268,257.2112
HBMP(12:0_16:2_20:0)+NH4,974.7425,491.41,309.2424,369.3363,257.2112
HBMP(12:0_16:2_20:1)+NH4,972.7269,491.41,309.2424,367.3207,257.2112
HBMP(12:0_16:2_20:2)+NH4,970.7112,491.41,309.2424,365.3051,257.2112
HBMP(12:0_16:2_20:3)+NH4,968.6956,491.41,309.2424,363.2894,257.2112
HBMP(12:0_16:2_20:4)+NH4,966.6799,491.41,309.2424,361.2737,257.2112
HBMP(12:0_16:2_20:5)+NH4,964.6642,491.41,309.2424,359.2581,257.2112
HBMP(12:0_16:2_22:0)+NH4,1002.774,491.41,309.2424,397.3676,257.2112
HBMP(12:0_16:2_22:1)+NH4,1000.758,491.41,309.2424,395.352,257.2112
HBMP(12:0_16:2_22:2)+NH4,998.7425,491.41,309.2424,393.3363,257.2112
HBMP(12:0_16:2_22:3)+NH4,996.7269,491.41,309.2424,391.3207,257.2112
HBMP(12:0_16:2_22:4)+NH4,994.7112,491.41,309.2424,389.3051,257.2112
HBMP(12:0_16:2_22:5)+NH4,992.6956,491.41,309.2424,387.2894,257.2112
HBMP(12:0_16:2_22:6)+NH4,990.6799,491.41,309.2424,385.2737,257.2112
HBMP(12:0_16:3_12:0)+NH4,860.6017,489.3944,307.2268,257.2112,257.2112
HBMP(12:0_16:3_14:0)+NH4,888.633,489.3944,307.2268,285.2424,257.2112
HBMP(12:0_16:3_14:1)+NH4,886.6173,489.3944,307.2268,283.2268,257.2112
HBMP(12:0_16:3_16:0)+NH4,916.6642,489.3944,307.2268,313.2737,257.2112
HBMP(12:0_16:3_16:1)+NH4,914.6486,489.3944,307.2268,311.2581,257.2112
HBMP(12:0_16:3_16:2)+NH4,912.633,489.3944,307.2268,309.2424,257.2112
HBMP(12:0_16:3_16:3)+NH4,910.6173,489.3944,307.2268,307.2268,257.2112
HBMP(12:0_16:3_16:4)+NH4,908.6017,489.3944,307.2268,305.2112,257.2112
HBMP(12:0_16:3_18:0)+NH4,944.6956,489.3944,307.2268,341.3051,257.2112
HBMP(12:0_16:3_18:1)+NH4,942.6799,489.3944,307.2268,339.2894,257.2112
HBMP(12:0_16:3_18:2)+NH4,940.6642,489.3944,307.2268,337.2737,257.2112
HBMP(12:0_16:3_18:3)+NH4,938.6486,489.3944,307.2268,335.2581,257.2112
HBMP(12:0_16:3_18:4)+NH4,936.633,489.3944,307.2268,333.2424,257.2112
HBMP(12:0_16:3_18:5)+NH4,934.6173,489.3944,307.2268,331.2268,257.2112
HBMP(12:0_16:3_20:0)+NH4,972.7269,489.3944,307.2268,369.3363,257.2112
HBMP(12:0_16:3_20:1)+NH4,970.7112,489.3944,307.2268,367.3207,257.2112
HBMP(12:0_16:3_20:2)+NH4,968.6956,489.3944,307.2268,365.3051,257.2112
HBMP(12:0_16:3_20:3)+NH4,966.6799,489.3944,307.2268,363.2894,257.2112
HBMP(12:0_16:3_20:4)+NH4,964.6642,489.3944,307.2268,361.2737,257.2112
HBMP(12:0_16:3_20:5)+NH4,962.6486,489.3944,307.2268,359.2581,257.2112
HBMP(12:0_16:3_22:0)+NH4,1000.758,489.3944,307.2268,397.3676,257.2112
HBMP(12:0_16:3_22:1)+NH4,998.7425,489.3944,307.2268,395.352,257.2112
HBMP(12:0_16:3_22:2)+NH4,996.7269,489.3944,307.2268,393.3363,257.2112
HBMP(12:0_16:3_22:3)+NH4,994.7112,489.3944,307.2268,391.3207,257.2112
HBMP(12:0_16:3_22:4)+NH4,992.6956,489.3944,307.2268,389.3051,257.2112
HBMP(12:0_16:3_22:5)+NH4,990.6799,489.3944,307.2268,387.2894,257.2112
HBMP(12:0_16:3_22:6)+NH4,988.6642,489.3944,307.2268,385.2737,257.2112
HBMP(12:0_16:4_12:0)+NH4,858.586,487.3787,305.2112,257.2112,257.2112
HBMP(12:0_16:4_14:0)+NH4,886.6173,487.3787,305.2112,285.2424,257.2112
HBMP(12:0_16:4_14:1)+NH4,884.6017,487.3787,305.2112,283.2268,257.2112
HBMP(12:0_16:4_16:0)+NH4,914.6486,487.3787,305.2112,313.2737,257.2112
HBMP(12:0_16:4_16:1)+NH4,912.633,487.3787,305.2112,311.2581,257.2112
HBMP(12:0_16:4_16:2)+NH4,910.6173,487.3787,305.2112,309.2424,257.2112
HBMP(12:0_16:4_16:3)+NH4,908.6017,487.3787,305.2112,307.2268,257.2112
HBMP(12:0_16:4_16:4)+NH4,906.586,487.3787,305.2112,305.2112,257.2112
HBMP(12:0_16:4_18:0)+NH4,942.6799,487.3787,305.2112,341.3051,257.2112
HBMP(12:0_16:4_18:1)+NH4,940.6642,487.3787,305.2112,339.2894,257.2112
HBMP(12:0_16:4_18:2)+NH4,938.6486,487.3787,305.2112,337.2737,257.2112
HBMP(12:0_16:4_18:3)+NH4,936.633,487.3787,305.2112,335.2581,257.2112
HBMP(12:0_16:4_18:4)+NH4,934.6173,487.3787,305.2112,333.2424,257.2112
HBMP(12:0_16:4_18:5)+NH4,932.6017,487.3787,305.2112,331.2268,257.2112
HBMP(12:0_16:4_20:0)+NH4,970.7112,487.3787,305.2112,369.3363,257.2112
HBMP(12:0_16:4_20:1)+NH4,968.6956,487.3787,305.2112,367.3207,257.2112
HBMP(12:0_16:4_20:2)+NH4,966.6799,487.3787,305.2112,365.3051,257.2112
HBMP(12:0_16:4_20:3)+NH4,964.6642,487.3787,305.2112,363.2894,257.2112
HBMP(12:0_16:4_20:4)+NH4,962.6486,487.3787,305.2112,361.2737,257.2112
HBMP(12:0_16:4_20:5)+NH4,960.633,487.3787,305.2112,359.2581,257.2112
HBMP(12:0_16:4_22:0)+NH4,998.7425,487.3787,305.2112,397.3676,257.2112
HBMP(12:0_16:4_22:1)+NH4,996.7269,487.3787,305.2112,395.352,257.2112
HBMP(12:0_16:4_22:2)+NH4,994.7112,487.3787,305.2112,393.3363,257.2112
HBMP(12:0_16:4_22:3)+NH4,992.6956,487.3787,305.2112,391.3207,257.2112
HBMP(12:0_16:4_22:4)+NH4,990.6799,487.3787,305.2112,389.3051,257.2112
HBMP(12:0_16:4_22:5)+NH4,988.6642,487.3787,305.2112,387.2894,257.2112
HBMP(12:0_16:4_22:6)+NH4,986.6486,487.3787,305.2112,385.2737,257.2112
HBMP(12:0_18:0_12:0)+NH4,894.6799,523.4726,341.3051,257.2112,257.2112
HBMP(12:0_18:0_14:0)+NH4,922.7112,523.4726,341.3051,285.2424,257.2112
HBMP(12:0_18:0_14:1)+NH4,920.6956,523.4726,341.3051,283.2268,257.2112
HBMP(12:0_18:0_16:0)+NH4,950.7425,523.4726,341.3051,313.2737,257.2112
HBMP(12:0_18:0_16:1)+NH4,948.7269,523.4726,341.3051,311.2581,257.2112
HBMP(12:0_18:0_16:2)+NH4,946.7112,523.4726,341.3051,309.2424,257.2112
HBMP(12:0_18:0_16:3)+NH4,944.6956,523.4726,341.3051,307.2268,257.2112
HBMP(12:0_18:0_16:4)+NH4,942.6799,523.4726,341.3051,305.2112,257.2112
HBMP(12:0_18:0_18:0)+NH4,978.7738,523.4726,341.3051,341.3051,257.2112
HBMP(12:0_18:0_18:1)+NH4,976.7582,523.4726,341.3051,339.2894,257.2112
HBMP(12:0_18:0_18:2)+NH4,974.7425,523.4726,341.3051,337.2737,257.2112
HBMP(12:0_18:0_18:3)+NH4,972.7269,523.4726,341.3051,335.2581,257.2112
HBMP(12:0_18:0_18:4)+NH4,970.7112,523.4726,341.3051,333.2424,257.2112
HBMP(12:0_18:0_18:5)+NH4,968.6956,523.4726,341.3051,331.2268,257.2112
HBMP(12:0_18:0_20:0)+NH4,1006.805,523.4726,341.3051,369.3363,257.2112
HBMP(12:0_18:0_20:1)+NH4,1004.789,523.4726,341.3051,367.3207,257.2112
HBMP(12:0_18:0_20:2)+NH4,1002.774,523.4726,341.3051,365.3051,257.2112
HBMP(12:0_18:0_20:3)+NH4,1000.758,523.4726,341.3051,363.2894,257.2112
HBMP(12:0_18:0_20:4)+NH4,998.7425,523.4726,341.3051,361.2737,257.2112
HBMP(12:0_18:0_20:5)+NH4,996.7269,523.4726,341.3051,359.2581,257.2112
HBMP(12:0_18:0_22:0)+NH4,1034.836,523.4726,341.3051,397.3676,257.2112
HBMP(12:0_18:0_22:1)+NH4,1032.821,523.4726,341.3051,395.352,257.2112
HBMP(12:0_18:0_22:2)+NH4,1030.805,523.4726,341.3051,393.3363,257.2112
HBMP(12:0_18:0_22:3)+NH4,1028.789,523.4726,341.3051,391.3207,257.2112
HBMP(12:0_18:0_22:4)+NH4,1026.774,523.4726,341.3051,389.3051,257.2112
HBMP(12:0_18:0_22:5)+NH4,1024.758,523.4726,341.3051,387.2894,257.2112
HBMP(12:0_18:0_22:6)+NH4,1022.742,523.4726,341.3051,385.2737,257.2112
HBMP(12:0_18:1_12:0)+NH4,892.6642,521.457,339.2894,257.2112,257.2112
HBMP(12:0_18:1_14:0)+NH4,920.6956,521.457,339.2894,285.2424,257.2112
HBMP(12:0_18:1_14:1)+NH4,918.6799,521.457,339.2894,283.2268,257.2112
HBMP(12:0_18:1_16:0)+NH4,948.7269,521.457,339.2894,313.2737,257.2112
HBMP(12:0_18:1_16:1)+NH4,946.7112,521.457,339.2894,311.2581,257.2112
HBMP(12:0_18:1_16:2)+NH4,944.6956,521.457,339.2894,309.2424,257.2112
HBMP(12:0_18:1_16:3)+NH4,942.6799,521.457,339.2894,307.2268,257.2112
HBMP(12:0_18:1_16:4)+NH4,940.6642,521.457,339.2894,305.2112,257.2112
HBMP(12:0_18:1_18:0)+NH4,976.7582,521.457,339.2894,341.3051,257.2112
HBMP(12:0_18:1_18:1)+NH4,974.7425,521.457,339.2894,339.2894,257.2112
HBMP(12:0_18:1_18:2)+NH4,972.7269,521.457,339.2894,337.2737,257.2112
HBMP(12:0_18:1_18:3)+NH4,970.7112,521.457,339.2894,335.2581,257.2112
HBMP(12:0_18:1_18:4)+NH4,968.6956,521.457,339.2894,333.2424,257.2112
HBMP(12:0_18:1_18:5)+NH4,966.6799,521.457,339.2894,331.2268,257.2112
HBMP(12:0_18:1_20:0)+NH4,1004.789,521.457,339.2894,369.3363,257.2112
HBMP(12:0_18:1_20:1)+NH4,1002.774,521.457,339.2894,367.3207,257.2112
HBMP(12:0_18:1_20:2)+NH4,1000.758,521.457,339.2894,365.3051,257.2112
HBMP(12:0_18:1_20:3)+NH4,998.7425,521.457,339.2894,363.2894,257.2112
HBMP(12:0_18:1_20:4)+NH4,996.7269,521.457,339.2894,361.2737,257.2112
HBMP(12:0_18:1_20:5)+NH4,994.7112,521.457,339.2894,359.2581,257.2112
HBMP(12:0_18:1_22:0)+NH4,1032.821,521.457,339.2894,397.3676,257.2112
HBMP(12:0_18:1_22:1)+NH4,1030.805,521.457,339.2894,395.352,257.2112
HBMP(12:0_18:1_22:2)+NH4,1028.789,521.457,339.2894,393.3363,257.2112
HBMP(12:0_18:1_22:3)+NH4,1026.774,521.457,339.2894,391.3207,257.2112
HBMP(12:0_18:1_22:4)+NH4,1024.758,521.457,339.2894,389.3051,257.2112
HBMP(12:0_18:1_22:5)+NH4,1022.742,521.457,339.2894,387.2894,257.2112
HBMP(12:0_18:1_22:6)+NH4,1020.727,521.457,339.2894,385.2737,257.2112
HBMP(12:0_18:2_12:0)+NH4,890.6486,519.4413,337.2737,257.2112,257.2112
HBMP(12:0_18:2_14:0)+NH4,918.6799,519.4413,337.2737,285.2424,257.2112
HBMP(12:0_18:2_14:1)+NH4,916.6642,519.4413,337.2737,283.2268,257.2112
HBMP(12:0_18:2_16:0)+NH4,946.7112,519.4413,337.2737,313.2737,257.2112
HBMP(12:0_18:2_16:1)+NH4,944.6956,519.4413,337.2737,311.2581,257.2112
HBMP(12:0_18:2_16:2)+NH4,942.6799,519.4413,337.2737,309.2424,257.2112
HBMP(12:0_18:2_16:3)+NH4,940.6642,519.4413,337.2737,307.2268,257.2112
HBMP(12:0_18:2_16:4)+NH4,938.6486,519.4413,337.2737,305.2112,257.2112
HBMP(12:0_18:2_18:0)+NH4,974.7425,519.4413,337.2737,341.3051,257.2112
HBMP(12:0_18:2_18:1)+NH4,972.7269,519.4413,337.2737,339.2894,257.2112
HBMP(12:0_18:2_18:2)+NH4,970.7112,519.4413,337.2737,337.2737,257.2112
HBMP(12:0_18:2_18:3)+NH4,968.6956,519.4413,337.2737,335.2581,257.2112
HBMP(12:0_18:2_18:4)+NH4,966.6799,519.4413,337.2737,333.2424,257.2112
HBMP(12:0_18:2_18:5)+NH4,964.6642,519.4413,337.2737,331.2268,257.2112
HBMP(12:0_18:2_20:0)+NH4,1002.774,519.4413,337.2737,369.3363,257.2112
HBMP(12:0_18:2_20:1)+NH4,1000.758,519.4413,337.2737,367.3207,257.2112
HBMP(12:0_18:2_20:2)+NH4,998.7425,519.4413,337.2737,365.3051,257.2112
HBMP(12:0_18:2_20:3)+NH4,996.7269,519.4413,337.2737,363.2894,257.2112
HBMP(12:0_18:2_20:4)+NH4,994.7112,519.4413,337.2737,361.2737,257.2112
HBMP(12:0_18:2_20:5)+NH4,992.6956,519.4413,337.2737,359.2581,257.2112
HBMP(12:0_18:2_22:0)+NH4,1030.805,519.4413,337.2737,397.3676,257.2112
HBMP(12:0_18:2_22:1)+NH4,1028.789,519.4413,337.2737,395.352,257.2112
HBMP(12:0_18:2_22:2)+NH4,1026.774,519.4413,337.2737,393.3363,257.2112
HBMP(12:0_18:2_22:3)+NH4,1024.758,519.4413,337.2737,391.3207,257.2112
HBMP(12:0_18:2_22:4)+NH4,1022.742,519.4413,337.2737,389.3051,257.2112
HBMP(12:0_18:2_22:5)+NH4,1020.727,519.4413,337.2737,387.2894,257.2112
HBMP(12:0_18:2_22:6)+NH4,1018.711,519.4413,337.2737,385.2737,257.2112
HBMP(12:0_18:3_12:0)+NH4,888.633,517.4257,335.2581,257.2112,257.2112
