FAHFA,[M-H]-,[HFA-H]-,[HFA-H-H2O]-,[FA-H]-
FAHFA(2:0/22:4)-H,389.2697,347.2592,329.2486,59.01385
FAHFA(2:0/22:5)-H,387.2541,345.2435,327.2329,59.01385
FAHFA(2:0/23:0)-H,411.348,369.3374,351.3268,59.01385
FAHFA(2:0/24:0)-H,425.3636,383.3531,365.3425,59.01385
FAHFA(2:0/24:1)-H,423.348,381.3374,363.3268,59.01385
FAHFA(2:0/24:2)-H,421.3323,379.3218,361.3112,59.01385
FAHFA(2:0/24:4)-H,417.301,375.2905,357.2799,59.01385
FAHFA(2:0/25:0)-H,439.3793,397.3687,379.3582,59.01385
FAHFA(2:0/26:0)-H,453.3949,411.3844,393.3738,59.01385
FAHFA(2:0/26:1)-H,451.3793,409.3687,391.3582,59.01385
FAHFA(2:0/26:2)-H,449.3636,407.3531,389.3425,59.01385
FAHFA(2:0/26:4)-H,445.3323,403.3218,385.3112,59.01385
FAHFA(2:0/27:0)-H,467.4106,425.4,407.3894,59.01385
FAHFA(3:0/15:0)-H,313.2384,257.2122,239.2016,73.0295
FAHFA(3:0/15:1)-H,311.2228,255.1966,237.186,73.0295
FAHFA(3:0/16:0)-H,327.2541,271.2279,253.2173,73.0295
FAHFA(3:0/16:1)-H,325.2384,269.2122,251.2016,73.0295
FAHFA(3:0/16:2)-H,323.2228,267.1966,249.186,73.0295
FAHFA(3:0/16:3)-H,321.2071,265.1809,247.1703,73.0295
FAHFA(3:0/17:0)-H,341.2697,285.2435,267.2329,73.0295
FAHFA(3:0/17:1)-H,339.2541,283.2279,265.2173,73.0295
FAHFA(3:0/17:2)-H,337.2384,281.2122,263.2017,73.0295
FAHFA(3:0/18:0)-H,355.2854,299.2592,281.2486,73.0295
FAHFA(3:0/18:1)-H,353.2697,297.2435,279.2329,73.0295
FAHFA(3:0/18:2)-H,351.2541,295.2279,277.2173,73.0295
FAHFA(3:0/18:3)-H,349.2384,293.2122,275.2017,73.0295
FAHFA(3:0/19:0)-H,369.301,313.2748,295.2643,73.0295
FAHFA(3:0/19:1)-H,367.2854,311.2592,293.2486,73.0295
FAHFA(3:0/19:2)-H,365.2697,309.2435,291.2329,73.0295
FAHFA(3:0/20:0)-H,383.3167,327.2905,309.2799,73.0295
FAHFA(3:0/20:1)-H,381.301,325.2748,307.2643,73.0295
FAHFA(3:0/20:2)-H,379.2854,323.2592,305.2486,73.0295
FAHFA(3:0/20:3)-H,377.2697,321.2435,303.2329,73.0295
FAHFA(3:0/20:4)-H,375.2541,319.2279,301.2173,73.0295
FAHFA(3:0/21:0)-H,397.3323,341.3061,323.2956,73.0295
FAHFA(3:0/21:1)-H,395.3167,339.2905,321.2799,73.0295
FAHFA(3:0/21:2)-H,393.301,337.2748,319.2643,73.0295
FAHFA(3:0/22:0)-H,411.348,355.3218,337.3112,73.0295
FAHFA(3:0/22:1)-H,409.3323,353.3061,335.2956,73.0295
FAHFA(3:0/22:2)-H,407.3167,351.2905,333.2799,73.0295
FAHFA(3:0/22:3)-H,405.301,349.2748,331.2643,73.0295
FAHFA(3:0/22:4)-H,403.2854,347.2592,329.2486,73.0295
FAHFA(3:0/22:5)-H,401.2697,345.2435,327.2329,73.0295
FAHFA(3:0/23:0)-H,425.3636,369.3374,351.3268,73.0295
FAHFA(3:0/24:0)-H,439.3793,383.3531,365.3425,73.0295
FAHFA(3:0/24:1)-H,437.3636,381.3374,363.3268,73.0295
FAHFA(3:0/24:2)-H,435.348,379.3218,361.3112,73.0295
FAHFA(3:0/24:4)-H,431.3167,375.2905,357.2799,73.0295
FAHFA(3:0/25:0)-H,453.3949,397.3687,379.3582,73.0295
FAHFA(3:0/26:0)-H,467.4106,411.3844,393.3738,73.0295
FAHFA(3:0/26:1)-H,465.3949,409.3687,391.3582,73.0295
FAHFA(3:0/26:2)-H,463.3793,407.3531,389.3425,73.0295
FAHFA(3:0/26:4)-H,459.348,403.3218,385.3112,73.0295
FAHFA(3:0/27:0)-H,481.4262,425.4,407.3894,73.0295
FAHFA(4:0/14:0)-H,313.2384,243.1966,225.186,87.04515
FAHFA(4:0/14:1)-H,311.2228,241.1809,223.1703,87.04515
FAHFA(4:0/15:0)-H,327.2541,257.2122,239.2016,87.04515
FAHFA(4:0/15:1)-H,325.2384,255.1966,237.186,87.04515
FAHFA(4:0/16:0)-H,341.2697,271.2279,253.2173,87.04515
FAHFA(4:0/16:1)-H,339.2541,269.2122,251.2016,87.04515
FAHFA(4:0/16:2)-H,337.2384,267.1966,249.186,87.04515
FAHFA(4:0/16:3)-H,335.2228,265.1809,247.1703,87.04515
FAHFA(4:0/17:0)-H,355.2854,285.2435,267.2329,87.04515
FAHFA(4:0/17:1)-H,353.2697,283.2279,265.2173,87.04515
FAHFA(4:0/17:2)-H,351.2541,281.2122,263.2017,87.04515
FAHFA(4:0/18:0)-H,369.301,299.2592,281.2486,87.04515
FAHFA(4:0/18:1)-H,367.2854,297.2435,279.2329,87.04515
FAHFA(4:0/18:2)-H,365.2697,295.2279,277.2173,87.04515
FAHFA(4:0/18:3)-H,363.2541,293.2122,275.2017,87.04515
FAHFA(4:0/19:0)-H,383.3167,313.2748,295.2643,87.04515
FAHFA(4:0/19:1)-H,381.301,311.2592,293.2486,87.04515
FAHFA(4:0/19:2)-H,379.2854,309.2435,291.2329,87.04515
FAHFA(4:0/20:0)-H,397.3323,327.2905,309.2799,87.04515
FAHFA(4:0/20:1)-H,395.3167,325.2748,307.2643,87.04515
FAHFA(4:0/20:2)-H,393.301,323.2592,305.2486,87.04515
FAHFA(4:0/20:3)-H,391.2854,321.2435,303.2329,87.04515
FAHFA(4:0/20:4)-H,389.2697,319.2279,301.2173,87.04515
FAHFA(4:0/21:0)-H,411.348,341.3061,323.2956,87.04515
FAHFA(4:0/21:1)-H,409.3323,339.2905,321.2799,87.04515
FAHFA(4:0/21:2)-H,407.3167,337.2748,319.2643,87.04515
FAHFA(4:0/22:0)-H,425.3636,355.3218,337.3112,87.04515
FAHFA(4:0/22:1)-H,423.348,353.3061,335.2956,87.04515
FAHFA(4:0/22:2)-H,421.3323,351.2905,333.2799,87.04515
FAHFA(4:0/22:3)-H,419.3167,349.2748,331.2643,87.04515
FAHFA(4:0/22:4)-H,417.301,347.2592,329.2486,87.04515
FAHFA(4:0/22:5)-H,415.2854,345.2435,327.2329,87.04515
FAHFA(4:0/23:0)-H,439.3793,369.3374,351.3268,87.04515
FAHFA(4:0/24:0)-H,453.3949,383.3531,365.3425,87.04515
FAHFA(4:0/24:1)-H,451.3793,381.3374,363.3268,87.04515
FAHFA(4:0/24:2)-H,449.3636,379.3218,361.3112,87.04515
FAHFA(4:0/24:4)-H,445.3323,375.2905,357.2799,87.04515
FAHFA(4:0/25:0)-H,467.4106,397.3687,379.3582,87.04515
FAHFA(4:0/26:0)-H,481.4262,411.3844,393.3738,87.04515
FAHFA(4:0/26:1)-H,479.4106,409.3687,391.3582,87.04515
FAHFA(4:0/26:2)-H,477.3949,407.3531,389.3425,87.04515
FAHFA(4:0/26:4)-H,473.3636,403.3218,385.3112,87.04515
FAHFA(4:0/27:0)-H,495.4419,425.4,407.3894,87.04515
FAHFA(5:0/13:0)-H,313.2384,229.1809,211.1703,101.0608
FAHFA(5:0/13:1)-H,311.2228,227.1653,209.1547,101.0608
FAHFA(5:0/14:0)-H,327.2541,243.1966,225.186,101.0608
FAHFA(5:0/14:1)-H,325.2384,241.1809,223.1703,101.0608
FAHFA(5:0/15:0)-H,341.2697,257.2122,239.2016,101.0608
FAHFA(5:0/15:1)-H,339.2541,255.1966,237.186,101.0608
FAHFA(5:0/16:0)-H,355.2854,271.2279,253.2173,101.0608
FAHFA(5:0/16:1)-H,353.2697,269.2122,251.2016,101.0608
FAHFA(5:0/16:2)-H,351.2541,267.1966,249.186,101.0608
FAHFA(5:0/16:3)-H,349.2384,265.1809,247.1703,101.0608
FAHFA(5:0/17:0)-H,369.301,285.2435,267.2329,101.0608
FAHFA(5:0/17:1)-H,367.2854,283.2279,265.2173,101.0608
FAHFA(5:0/17:2)-H,365.2697,281.2122,263.2017,101.0608
FAHFA(5:0/18:0)-H,383.3167,299.2592,281.2486,101.0608
FAHFA(5:0/18:1)-H,381.301,297.2435,279.2329,101.0608
FAHFA(5:0/18:2)-H,379.2854,295.2279,277.2173,101.0608
FAHFA(5:0/18:3)-H,377.2697,293.2122,275.2017,101.0608
FAHFA(5:0/19:0)-H,397.3323,313.2748,295.2643,101.0608
FAHFA(5:0/19:1)-H,395.3167,311.2592,293.2486,101.0608
FAHFA(5:0/19:2)-H,393.301,309.2435,291.2329,101.0608
FAHFA(5:0/20:0)-H,411.348,327.2905,309.2799,101.0608
FAHFA(5:0/20:1)-H,409.3323,325.2748,307.2643,101.0608
FAHFA(5:0/20:2)-H,407.3167,323.2592,305.2486,101.0608
FAHFA(5:0/20:3)-H,405.301,321.2435,303.2329,101.0608
FAHFA(5:0/20:4)-H,403.2854,319.2279,301.2173,101.0608
FAHFA(5:0/21:0)-H,425.3636,341.3061,323.2956,101.0608
FAHFA(5:0/21:1)-H,423.348,339.2905,321.2799,101.0608
FAHFA(5:0/21:2)-H,421.3323,337.2748,319.2643,101.0608
FAHFA(5:0/22:0)-H,439.3793,355.3218,337.3112,101.0608
FAHFA(5:0/22:1)-H,437.3636,353.3061,335.2956,101.0608
FAHFA(5:0/22:2)-H,435.348,351.2905,333.2799,101.0608
FAHFA(5:0/22:3)-H,433.3323,349.2748,331.2643,101.0608
FAHFA(5:0/22:4)-H,431.3167,347.2592,329.2486,101.0608
FAHFA(5:0/22:5)-H,429.301,345.2435,327.2329,101.0608
FAHFA(5:0/23:0)-H,453.3949,369.3374,351.3268,101.0608
FAHFA(5:0/24:0)-H,467.4106,383.3531,365.3425,101.0608
FAHFA(5:0/24:1)-H,465.3949,381.3374,363.3268,101.0608
FAHFA(5:0/24:2)-H,463.3793,379.3218,361.3112,101.0608
FAHFA(5:0/24:4)-H,459.348,375.2905,357.2799,101.0608
FAHFA(5:0/25:0)-H,481.4262,397.3687,379.3582,101.0608
FAHFA(5:0/26:0)-H,495.4419,411.3844,393.3738,101.0608
FAHFA(5:0/26:1)-H,493.4262,409.3687,391.3582,101.0608
FAHFA(5:0/26:2)-H,491.4106,407.3531,389.3425,101.0608
FAHFA(5:0/26:4)-H,487.3793,403.3218,385.3112,101.0608
FAHFA(5:0/27:0)-H,509.4575,425.4,407.3894,101.0608
FAHFA(6:0/12:0)-H,313.2384,215.1653,197.1547,115.0764
FAHFA(6:0/13:0)-H,327.2541,229.1809,211.1703,115.0764
FAHFA(6:0/13:1)-H,325.2384,227.1653,209.1547,115.0764
FAHFA(6:0/14:0)-H,341.2697,243.1966,225.186,115.0764
FAHFA(6:0/14:1)-H,339.2541,241.1809,223.1703,115.0764
FAHFA(6:0/15:0)-H,355.2854,257.2122,239.2016,115.0764
FAHFA(6:0/15:1)-H,353.2697,255.1966,237.186,115.0764
FAHFA(6:0/16:0)-H,369.301,271.2279,253.2173,115.0764
FAHFA(6:0/16:1)-H,367.2854,269.2122,251.2016,115.0764
FAHFA(6:0/16:2)-H,365.2697,267.1966,249.186,115.0764
FAHFA(6:0/16:3)-H,363.2541,265.1809,247.1703,115.0764
FAHFA(6:0/17:0)-H,383.3167,285.2435,267.2329,115.0764
FAHFA(6:0/17:1)-H,381.301,283.2279,265.2173,115.0764
FAHFA(6:0/17:2)-H,379.2854,281.2122,263.2017,115.0764
FAHFA(6:0/18:0)-H,397.3323,299.2592,281.2486,115.0764
FAHFA(6:0/18:1)-H,395.3167,297.2435,279.2329,115.0764
FAHFA(6:0/18:2)-H,393.301,295.2279,277.2173,115.0764
FAHFA(6:0/18:3)-H,391.2854,293.2122,275.2017,115.0764
FAHFA(6:0/19:0)-H,411.348,313.2748,295.2643,115.0764
FAHFA(6:0/19:1)-H,409.3323,311.2592,293.2486,115.0764
FAHFA(6:0/19:2)-H,407.3167,309.2435,291.2329,115.0764
FAHFA(6:0/20:0)-H,425.3636,327.2905,309.2799,115.0764
FAHFA(6:0/20:1)-H,423.348,325.2748,307.2643,115.0764
FAHFA(6:0/20:2)-H,421.3323,323.2592,305.2486,115.0764
FAHFA(6:0/20:3)-H,419.3167,321.2435,303.2329,115.0764
FAHFA(6:0/20:4)-H,417.301,319.2279,301.2173,115.0764
FAHFA(6:0/21:0)-H,439.3793,341.3061,323.2956,115.0764
FAHFA(6:0/21:1)-H,437.3636,339.2905,321.2799,115.0764
FAHFA(6:0/21:2)-H,435.348,337.2748,319.2643,115.0764
FAHFA(6:0/22:0)-H,453.3949,355.3218,337.3112,115.0764
FAHFA(6:0/22:1)-H,451.3793,353.3061,335.2956,115.0764
FAHFA(6:0/22:2)-H,449.3636,351.2905,333.2799,115.0764
FAHFA(6:0/22:3)-H,447.348,349.2748,331.2643,115.0764
FAHFA(6:0/22:4)-H,445.3323,347.2592,329.2486,115.0764
FAHFA(6:0/22:5)-H,443.3167,345.2435,327.2329,115.0764
FAHFA(6:0/23:0)-H,467.4106,369.3374,351.3268,115.0764
FAHFA(6:0/24:0)-H,481.4262,383.3531,365.3425,115.0764
FAHFA(6:0/24:1)-H,479.4106,381.3374,363.3268,115.0764
FAHFA(6:0/24:2)-H,477.3949,379.3218,361.3112,115.0764
FAHFA(6:0/24:4)-H,473.3636,375.2905,357.2799,115.0764
FAHFA(6:0/25:0)-H,495.4419,397.3687,379.3582,115.0764
FAHFA(6:0/26:0)-H,509.4575,411.3844,393.3738,115.0764
FAHFA(6:0/26:1)-H,507.4419,409.3687,391.3582,115.0764
FAHFA(6:0/26:2)-H,505.4262,407.3531,389.3425,115.0764
FAHFA(6:0/26:4)-H,501.3949,403.3218,385.3112,115.0764
FAHFA(6:0/27:0)-H,523.4732,425.4,407.3894,115.0764
FAHFA(7:0/11:0)-H,313.2384,201.1496,183.1391,129.0921
FAHFA(7:0/12:0)-H,327.2541,215.1653,197.1547,129.0921
FAHFA(7:0/13:0)-H,341.2697,229.1809,211.1703,129.0921
FAHFA(7:0/13:1)-H,339.2541,227.1653,209.1547,129.0921
FAHFA(7:0/14:0)-H,355.2854,243.1966,225.186,129.0921
FAHFA(7:0/14:1)-H,353.2697,241.1809,223.1703,129.0921
FAHFA(7:0/15:0)-H,369.301,257.2122,239.2016,129.0921
FAHFA(7:0/15:1)-H,367.2854,255.1966,237.186,129.0921
FAHFA(7:0/16:0)-H,383.3167,271.2279,253.2173,129.0921
FAHFA(7:0/16:1)-H,381.301,269.2122,251.2016,129.0921
FAHFA(7:0/16:2)-H,379.2854,267.1966,249.186,129.0921
FAHFA(7:0/16:3)-H,377.2697,265.1809,247.1703,129.0921
FAHFA(7:0/17:0)-H,397.3323,285.2435,267.2329,129.0921
FAHFA(7:0/17:1)-H,395.3167,283.2279,265.2173,129.0921
FAHFA(7:0/17:2)-H,393.301,281.2122,263.2017,129.0921
FAHFA(7:0/18:0)-H,411.348,299.2592,281.2486,129.0921
FAHFA(7:0/18:1)-H,409.3323,297.2435,279.2329,129.0921
FAHFA(7:0/18:2)-H,407.3167,295.2279,277.2173,129.0921
FAHFA(7:0/18:3)-H,405.301,293.2122,275.2017,129.0921
FAHFA(7:0/19:0)-H,425.3636,313.2748,295.2643,129.0921
FAHFA(7:0/19:1)-H,423.348,311.2592,293.2486,129.0921
FAHFA(7:0/19:2)-H,421.3323,309.2435,291.2329,129.0921
FAHFA(7:0/20:0)-H,439.3793,327.2905,309.2799,129.0921
FAHFA(7:0/20:1)-H,437.3636,325.2748,307.2643,129.0921
FAHFA(7:0/20:2)-H,435.348,323.2592,305.2486,129.0921
FAHFA(7:0/20:3)-H,433.3323,321.2435,303.2329,129.0921
FAHFA(7:0/20:4)-H,431.3167,319.2279,301.2173,129.0921
FAHFA(7:0/21:0)-H,453.3949,341.3061,323.2956,129.0921
FAHFA(7:0/21:1)-H,451.3793,339.2905,321.2799,129.0921
FAHFA(7:0/21:2)-H,449.3636,337.2748,319.2643,129.0921
FAHFA(7:0/22:0)-H,467.4106,355.3218,337.3112,129.0921
FAHFA(7:0/22:1)-H,465.3949,353.3061,335.2956,129.0921
FAHFA(7:0/22:2)-H,463.3793,351.2905,333.2799,129.0921
FAHFA(7:0/22:3)-H,461.3636,349.2748,331.2643,129.0921
FAHFA(7:0/22:4)-H,459.348,347.2592,329.2486,129.0921
FAHFA(7:0/22:5)-H,457.3323,345.2435,327.2329,129.0921
FAHFA(7:0/23:0)-H,481.4262,369.3374,351.3268,129.0921
FAHFA(7:0/24:0)-H,495.4419,383.3531,365.3425,129.0921
FAHFA(7:0/24:1)-H,493.4262,381.3374,363.3268,129.0921
FAHFA(7:0/24:2)-H,491.4106,379.3218,361.3112,129.0921
FAHFA(7:0/24:4)-H,487.3793,375.2905,357.2799,129.0921
FAHFA(7:0/25:0)-H,509.4575,397.3687,379.3582,129.0921
FAHFA(7:0/26:0)-H,523.4732,411.3844,393.3738,129.0921
FAHFA(7:0/26:1)-H,521.4575,409.3687,391.3582,129.0921
FAHFA(7:0/26:2)-H,519.4419,407.3531,389.3425,129.0921
FAHFA(7:0/26:4)-H,515.4106,403.3218,385.3112,129.0921
FAHFA(7:0/27:0)-H,537.4888,425.4,407.3894,129.0921
FAHFA(8:0/10:0)-H,313.2384,187.134,169.1234,143.1078
FAHFA(8:0/11:0)-H,327.2541,201.1496,183.1391,143.1078
FAHFA(8:0/12:0)-H,341.2697,215.1653,197.1547,143.1078
FAHFA(8:0/13:0)-H,355.2854,229.1809,211.1703,143.1078
FAHFA(8:0/13:1)-H,353.2697,227.1653,209.1547,143.1078
FAHFA(8:0/14:0)-H,369.301,243.1966,225.186,143.1078
FAHFA(8:0/14:1)-H,367.2854,241.1809,223.1703,143.1078
FAHFA(8:0/15:0)-H,383.3167,257.2122,239.2016,143.1078
FAHFA(8:0/15:1)-H,381.301,255.1966,237.186,143.1078
FAHFA(8:0/16:0)-H,397.3323,271.2279,253.2173,143.1078
FAHFA(8:0/16:1)-H,395.3167,269.2122,251.2016,143.1078
FAHFA(8:0/16:2)-H,393.301,267.1966,249.186,143.1078
FAHFA(8:0/16:3)-H,391.2854,265.1809,247.1703,143.1078
FAHFA(8:0/17:0)-H,411.348,285.2435,267.2329,143.1078
FAHFA(8:0/17:1)-H,409.3323,283.2279,265.2173,143.1078
FAHFA(8:0/17:2)-H,407.3167,281.2122,263.2017,143.1078
FAHFA(8:0/18:0)-H,425.3636,299.2592,281.2486,143.1078
FAHFA(8:0/18:1)-H,423.348,297.2435,279.2329,143.1078
FAHFA(8:0/18:2)-H,421.3323,295.2279,277.2173,143.1078
FAHFA(8:0/18:3)-H,419.3167,293.2122,275.2017,143.1078
FAHFA(8:0/19:0)-H,439.3793,313.2748,295.2643,143.1078
FAHFA(8:0/19:1)-H,437.3636,311.2592,293.2486,143.1078
FAHFA(8:0/19:2)-H,435.348,309.2435,291.2329,143.1078
FAHFA(8:0/20:0)-H,453.3949,327.2905,309.2799,143.1078
FAHFA(8:0/20:1)-H,451.3793,325.2748,307.2643,143.1078
FAHFA(8:0/20:2)-H,449.3636,323.2592,305.2486,143.1078
FAHFA(8:0/20:3)-H,447.348,321.2435,303.2329,143.1078
FAHFA(8:0/20:4)-H,445.3323,319.2279,301.2173,143.1078
FAHFA(8:0/21:0)-H,467.4106,341.3061,323.2956,143.1078
FAHFA(8:0/21:1)-H,465.3949,339.2905,321.2799,143.1078
FAHFA(8:0/21:2)-H,463.3793,337.2748,319.2643,143.1078
FAHFA(8:0/22:0)-H,481.4262,355.3218,337.3112,143.1078
FAHFA(8:0/22:1)-H,479.4106,353.3061,335.2956,143.1078
FAHFA(8:0/22:2)-H,477.3949,351.2905,333.2799,143.1078
FAHFA(8:0/22:3)-H,475.3793,349.2748,331.2643,143.1078
FAHFA(8:0/22:4)-H,473.3636,347.2592,329.2486,143.1078
FAHFA(8:0/22:5)-H,471.348,345.2435,327.2329,143.1078
FAHFA(8:0/23:0)-H,495.4419,369.3374,351.3268,143.1078
FAHFA(8:0/24:0)-H,509.4575,383.3531,365.3425,143.1078
FAHFA(8:0/24:1)-H,507.4419,381.3374,363.3268,143.1078
FAHFA(8:0/24:2)-H,505.4262,379.3218,361.3112,143.1078
FAHFA(8:0/24:4)-H,501.3949,375.2905,357.2799,143.1078
FAHFA(8:0/25:0)-H,523.4732,397.3687,379.3582,143.1078
FAHFA(8:0/26:0)-H,537.4888,411.3844,393.3738,143.1078
FAHFA(8:0/26:1)-H,535.4732,409.3687,391.3582,143.1078
FAHFA(8:0/26:2)-H,533.4575,407.3531,389.3425,143.1078
FAHFA(8:0/26:4)-H,529.4262,403.3218,385.3112,143.1078
FAHFA(8:0/27:0)-H,551.5045,425.4,407.3894,143.1078
FAHFA(9:0/9:0)-H,313.2384,173.1183,155.1078,157.1234
FAHFA(9:0/10:0)-H,327.2541,187.134,169.1234,157.1234
FAHFA(9:0/11:0)-H,341.2697,201.1496,183.1391,157.1234
FAHFA(9:0/12:0)-H,355.2854,215.1653,197.1547,157.1234
FAHFA(9:0/13:0)-H,369.301,229.1809,211.1703,157.1234
FAHFA(9:0/13:1)-H,367.2854,227.1653,209.1547,157.1234
FAHFA(9:0/14:0)-H,383.3167,243.1966,225.186,157.1234
FAHFA(9:0/14:1)-H,381.301,241.1809,223.1703,157.1234
FAHFA(9:0/15:0)-H,397.3323,257.2122,239.2016,157.1234
FAHFA(9:0/15:1)-H,395.3167,255.1966,237.186,157.1234
FAHFA(9:0/16:0)-H,411.348,271.2279,253.2173,157.1234
FAHFA(9:0/16:1)-H,409.3323,269.2122,251.2016,157.1234
FAHFA(9:0/16:2)-H,407.3167,267.1966,249.186,157.1234
FAHFA(9:0/16:3)-H,405.301,265.1809,247.1703,157.1234
FAHFA(9:0/17:0)-H,425.3636,285.2435,267.2329,157.1234
FAHFA(9:0/17:1)-H,423.348,283.2279,265.2173,157.1234
FAHFA(9:0/17:2)-H,421.3323,281.2122,263.2017,157.1234
FAHFA(9:0/18:0)-H,439.3793,299.2592,281.2486,157.1234
FAHFA(9:0/18:1)-H,437.3636,297.2435,279.2329,157.1234
FAHFA(9:0/18:2)-H,435.348,295.2279,277.2173,157.1234
FAHFA(9:0/18:3)-H,433.3323,293.2122,275.2017,157.1234
FAHFA(9:0/19:0)-H,453.3949,313.2748,295.2643,157.1234
FAHFA(9:0/19:1)-H,451.3793,311.2592,293.2486,157.1234
FAHFA(9:0/19:2)-H,449.3636,309.2435,291.2329,157.1234
FAHFA(9:0/20:0)-H,467.4106,327.2905,309.2799,157.1234
FAHFA(9:0/20:1)-H,465.3949,325.2748,307.2643,157.1234
FAHFA(9:0/20:2)-H,463.3793,323.2592,305.2486,157.1234
FAHFA(9:0/20:3)-H,461.3636,321.2435,303.2329,157.1234
FAHFA(9:0/20:4)-H,459.348,319.2279,301.2173,157.1234
FAHFA(9:0/21:0)-H,481.4262,341.3061,323.2956,157.1234
FAHFA(9:0/21:1)-H,479.4106,339.2905,321.2799,157.1234
FAHFA(9:0/21:2)-H,477.3949,337.2748,319.2643,157.1234
FAHFA(9:0/22:0)-H,495.4419,355.3218,337.3112,157.1234
FAHFA(9:0/22:1)-H,493.4262,353.3061,335.2956,157.1234
FAHFA(9:0/22:2)-H,491.4106,351.2905,333.2799,157.1234
FAHFA(9:0/22:3)-H,489.3949,349.2748,331.2643,157.1234
FAHFA(9:0/22:4)-H,487.3793,347.2592,329.2486,157.1234
FAHFA(9:0/22:5)-H,485.3636,345.2435,327.2329,157.1234
FAHFA(9:0/23:0)-H,509.4575,369.3374,351.3268,157.1234
FAHFA(9:0/24:0)-H,523.4732,383.3531,365.3425,157.1234
FAHFA(9:0/24:1)-H,521.4575,381.3374,363.3268,157.1234
FAHFA(9:0/24:2)-H,519.4419,379.3218,361.3112,157.1234
FAHFA(9:0/24:4)-H,515.4106,375.2905,357.2799,157.1234
FAHFA(9:0/25:0)-H,537.4888,397.3687,379.3582,157.1234
FAHFA(9:0/26:0)-H,551.5045,411.3844,393.3738,157.1234
FAHFA(9:0/26:1)-H,549.4888,409.3687,391.3582,157.1234
FAHFA(9:0/26:2)-H,547.4732,407.3531,389.3425,157.1234
FAHFA(9:0/26:4)-H,543.4419,403.3218,385.3112,157.1234
FAHFA(9:0/27:0)-H,565.5201,425.4,407.3894,157.1234
FAHFA(10:0/8:0)-H,313.2384,159.1027,141.0921,171.1391
FAHFA(10:0/9:0)-H,327.2541,173.1183,155.1078,171.1391
FAHFA(10:0/10:0)-H,341.2697,187.134,169.1234,171.1391
FAHFA(10:0/11:0)-H,355.2854,201.1496,183.1391,171.1391
FAHFA(10:0/12:0)-H,369.301,215.1653,197.1547,171.1391
FAHFA(10:0/13:0)-H,383.3167,229.1809,211.1703,171.1391
FAHFA(10:0/13:1)-H,381.301,227.1653,209.1547,171.1391
FAHFA(10:0/14:0)-H,397.3323,243.1966,225.186,171.1391
FAHFA(10:0/14:1)-H,395.3167,241.1809,223.1703,171.1391
FAHFA(10:0/15:0)-H,411.348,257.2122,239.2016,171.1391
FAHFA(10:0/15:1)-H,409.3323,255.1966,237.186,171.1391
FAHFA(10:0/16:0)-H,425.3636,271.2279,253.2173,171.1391
FAHFA(10:0/16:1)-H,423.348,269.2122,251.2016,171.1391
FAHFA(10:0/16:2)-H,421.3323,267.1966,249.186,171.1391
FAHFA(10:0/16:3)-H,419.3167,265.1809,247.1703,171.1391
FAHFA(10:0/17:0)-H,439.3793,285.2435,267.2329,171.1391
FAHFA(10:0/17:1)-H,437.3636,283.2279,265.2173,171.1391
FAHFA(10:0/17:2)-H,435.348,281.2122,263.2017,171.1391
FAHFA(10:0/18:0)-H,453.3949,299.2592,281.2486,171.1391
FAHFA(10:0/18:1)-H,451.3793,297.2435,279.2329,171.1391
