FAHFA,[M-H]-,[HFA-H]-,[HFA-H-H2O]-,[FA-H]-
FAHFA(2:0/16:0)-H,313.2384,271.2279,253.2173,59.01385
FAHFA(2:0/16:1)-H,311.2228,269.2122,251.2016,59.01385
FAHFA(2:0/16:2)-H,309.2071,267.1966,249.186,59.01385
FAHFA(2:0/16:3)-H,307.1915,265.1809,247.1703,59.01385
FAHFA(2:0/17:0)-H,327.2541,285.2435,267.2329,59.01385
FAHFA(2:0/17:1)-H,325.2384,283.2279,265.2173,59.01385
FAHFA(2:0/17:2)-H,323.2228,281.2122,263.2017,59.01385
FAHFA(2:0/18:0)-H,341.2697,299.2592,281.2486,59.01385
FAHFA(2:0/18:1)-H,339.2541,297.2435,279.2329,59.01385
FAHFA(2:0/18:2)-H,337.2384,295.2279,277.2173,59.01385
FAHFA(2:0/18:3)-H,335.2228,293.2122,275.2017,59.01385
FAHFA(2:0/19:0)-H,355.2854,313.2748,295.2643,59.01385
FAHFA(2:0/19:1)-H,353.2697,311.2592,293.2486,59.01385
FAHFA(2:0/19:2)-H,351.2541,309.2435,291.2329,59.01385
FAHFA(2:0/20:0)-H,369.301,327.2905,309.2799,59.01385
FAHFA(2:0/20:1)-H,367.2854,325.2748,307.2643,59.01385
FAHFA(2:0/20:2)-H,365.2697,323.2592,305.2486,59.01385
FAHFA(2:0/20:3)-H,363.2541,321.2435,303.2329,59.01385
FAHFA(2:0/20:4)-H,361.2384,319.2279,301.2173,59.01385
FAHFA(2:0/21:0)-H,383.3167,341.3061,323.2956,59.01385
FAHFA(2:0/21:1)-H,381.301,339.2905,321.2799,59.01385
FAHFA(2:0/21:2)-H,379.2854,337.2748,319.2643,59.01385
FAHFA(2:0/22:0)-H,397.3323,355.3218,337.3112,59.01385
FAHFA(2:0/22:1)-H,395.3167,353.3061,335.2956,59.01385
FAHFA(2:0/22:2)-H,393.301,351.2905,333.2799,59.01385
FAHFA(2:0/22:3)-H,391.2854,349.2748,331.2643,59.01385
