SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,PC Head,CH2CHN(CH3)3
SM(37:0)+H,747.63747,564.57143,688.56393,546.56077,184.07332,86.09648
SM(37:1)+H,745.62187,562.55583,686.54833,544.54517,184.07332,86.09648
SM(37:2)+H,743.60617,560.54013,684.53263,542.52947,184.07332,86.09648
SM(37:3)+H,741.59057,558.52453,682.51703,540.51387,184.07332,86.09648
SM(37:4)+H,739.57487,556.50883,680.50133,538.49817,184.07332,86.09648
SM(37:5)+H,737.55927,554.49323,678.48573,536.48257,184.07332,86.09648
SM(37:6)+H,735.54357,552.47753,676.47003,534.46687,184.07332,86.09648
SM(37:7)+H,733.52787,550.46183,674.45433,532.45117,184.07332,86.09648
SM(38:0)+H,761.65307,578.58703,702.57953,560.57637,184.07332,86.09648
SM(38:1)+H,759.63747,576.57143,700.56393,558.56077,184.07332,86.09648
SM(38:2)+H,757.62187,574.55583,698.54833,556.54517,184.07332,86.09648
SM(38:3)+H,755.60617,572.54013,696.53263,554.52947,184.07332,86.09648
SM(38:4)+H,753.59047,570.52443,694.51693,552.51377,184.07332,86.09648
SM(38:5)+H,751.57487,568.50883,692.50133,550.49817,184.07332,86.09648
SM(38:6)+H,749.55917,566.49313,690.48563,548.48247,184.07332,86.09648
SM(38:7)+H,747.54357,564.47753,688.47003,546.46687,184.07332,86.09648
SM(38:8)+H,745.52797,562.46193,686.45443,544.45127,184.07332,86.09648
SM(38:9)+H,743.51227,560.44623,684.43873,542.43557,184.07332,86.09648
SM(39:0)+H,775.66877,592.60273,716.59523,574.59207,184.07332,86.09648
SM(39:1)+H,773.65317,590.58713,714.57963,572.57647,184.07332,86.09648
SM(39:2)+H,771.63747,588.57143,712.56393,570.56077,184.07332,86.09648
SM(39:3)+H,769.62187,586.55583,710.54833,568.54517,184.07332,86.09648
SM(39:4)+H,767.60617,584.54013,708.53263,566.52947,184.07332,86.09648
SM(39:5)+H,765.59057,582.52453,706.51703,564.51387,184.07332,86.09648
SM(39:6)+H,763.57487,580.50883,704.50133,562.49817,184.07332,86.09648
SM(39:7)+H,761.55917,578.49313,702.48563,560.48247,184.07332,86.09648
SM(39:8)+H,759.54357,576.47753,700.47003,558.46687,184.07332,86.09648
SM(40:0)+H,789.68437,606.61833,730.61083,588.60767,184.07332,86.09648
SM(40:1)+H,787.66877,604.60273,728.59523,586.59207,184.07332,86.09648
SM(40:10)+H,769.52787,586.46183,710.45433,568.45117,184.07332,86.09648
SM(40:2)+H,785.65317,602.58713,726.57963,584.57647,184.07332,86.09648
SM(40:3)+H,783.63747,600.57143,724.56393,582.56077,184.07332,86.09648
SM(40:4)+H,781.62177,598.55573,722.54823,580.54507,184.07332,86.09648
SM(40:5)+H,779.60617,596.54013,720.53263,578.52947,184.07332,86.09648
SM(40:6)+H,777.59047,594.52443,718.51693,576.51377,184.07332,86.09648
SM(40:7)+H,775.57487,592.50883,716.50133,574.49817,184.07332,86.09648
SM(40:8)+H,773.55917,590.49313,714.48563,572.48247,184.07332,86.09648
SM(40:9)+H,771.54357,588.47753,712.47003,570.46687,184.07332,86.09648
SM(41:0)+H,803.70007,620.63403,744.62653,602.62337,184.07332,86.09648
SM(41:1)+H,801.68437,618.61833,742.61083,600.60767,184.07332,86.09648
SM(41:2)+H,799.66877,616.60273,740.59523,598.59207,184.07332,86.09648
SM(41:3)+H,797.65317,614.58713,738.57963,596.57647,184.07332,86.09648
SM(41:4)+H,795.63747,612.57143,736.56393,594.56077,184.07332,86.09648
SM(41:5)+H,793.62187,610.55583,734.54833,592.54517,184.07332,86.09648
SM(41:6)+H,791.60617,608.54013,732.53263,590.52947,184.07332,86.09648
SM(42:0)+H,817.71567,634.64963,758.64213,616.63897,184.07332,86.09648
SM(42:1)+H,815.70007,632.63403,756.62653,614.62337,184.07332,86.09648
SM(42:10)+H,797.55917,614.49313,738.48563,596.48247,184.07332,86.09648
SM(42:11)+H,795.54357,612.47753,736.47003,594.46687,184.07332,86.09648
SM(42:2)+H,813.68447,630.61843,754.61093,612.60777,184.07332,86.09648
SM(42:3)+H,811.66877,628.60273,752.59523,610.59207,184.07332,86.09648
