DGDG,[M+C2H3O2]-,[M-H]-,NL of SN1+HCOOH,NL of SN2+HCOOH,NL of SN1+HCOOH+H2O,NL of SN2+HCOOH+H2O,C15H27O13,C15H25O12,C15H23O11,SN2,SN1
DGDG(8:0_21:2)+C2H3O2,905.5474,845.5262,719.4219,541.2498,701.4113,523.2393,415.1457,397.1352,379.1246,321.2792,143.1071
DGDG(8:0_22:0)+C2H3O2,923.5944,863.5732,737.4688,541.2498,719.4583,523.2393,415.1457,397.1352,379.1246,339.3261,143.1071
DGDG(8:0_22:1)+C2H3O2,921.5787,861.5576,735.4531,541.2498,717.4426,523.2393,415.1457,397.1352,379.1246,337.3105,143.1071
DGDG(8:0_22:2)+C2H3O2,919.563,859.5419,733.4375,541.2498,715.4269,523.2393,415.1457,397.1352,379.1246,335.2948,143.1071
DGDG(8:0_22:3)+C2H3O2,917.5474,857.5262,731.4219,541.2498,713.4113,523.2393,415.1457,397.1352,379.1246,333.2792,143.1071
DGDG(8:0_22:4)+C2H3O2,915.5317,855.5106,729.4062,541.2498,711.3956,523.2393,415.1457,397.1352,379.1246,331.2635,143.1071
DGDG(8:0_22:5)+C2H3O2,913.5161,853.4949,727.3906,541.2498,709.38,523.2393,415.1457,397.1352,379.1246,329.2479,143.1071
DGDG(8:0_22:6)+C2H3O2,911.5004,851.4793,725.3749,541.2498,707.3643,523.2392,415.1457,397.1352,379.1246,327.2323,143.1071
DGDG(8:0_23:0)+C2H3O2,937.61,877.5889,751.4844,541.2499,733.4739,523.2393,415.1457,397.1352,379.1246,353.3417,143.1071
DGDG(8:0_24:0)+C2H3O2,951.6256,891.6045,765.5001,541.2499,747.4896,523.2393,415.1457,397.1352,379.1246,367.3574,143.1071
DGDG(8:0_24:1)+C2H3O2,949.61,889.5889,763.4844,541.2499,745.4739,523.2393,415.1457,397.1352,379.1246,365.3417,143.1071
DGDG(8:0_24:2)+C2H3O2,947.5944,887.5732,761.4688,541.2498,743.4583,523.2393,415.1457,397.1352,379.1246,363.3261,143.1071
DGDG(8:0_24:4)+C2H3O2,943.563,883.5419,757.4375,541.2498,739.4269,523.2393,415.1457,397.1352,379.1246,359.2948,143.1071
DGDG(8:0_25:0)+C2H3O2,965.6413,905.6202,779.5157,541.2499,761.5052,523.2393,415.1457,397.1352,379.1246,381.373,143.1071
DGDG(8:0_26:0)+C2H3O2,979.6569,919.6358,793.5314,541.2499,775.5208,523.2393,415.1457,397.1352,379.1246,395.3887,143.1071
DGDG(8:0_26:1)+C2H3O2,977.6413,917.6202,791.5157,541.2499,773.5052,523.2393,415.1457,397.1352,379.1246,393.373,143.1071
DGDG(8:0_26:2)+C2H3O2,975.6256,915.6045,789.5001,541.2499,771.4896,523.2393,415.1457,397.1352,379.1246,391.3574,143.1071
DGDG(8:0_26:4)+C2H3O2,971.5944,911.5732,785.4688,541.2498,767.4583,523.2393,415.1457,397.1352,379.1246,387.3261,143.1071
DGDG(8:0_27:0)+C2H3O2,993.6726,933.6514,807.5471,541.2499,789.5365,523.2393,415.1457,397.1352,379.1246,409.4043,143.1071
DGDG(9:0_9:0)+C2H3O2,755.4066,695.3854,555.2654,555.2654,537.2548,537.2548,415.1457,397.1352,379.1246,157.1228,157.1228
DGDG(9:0_10:0)+C2H3O2,769.4222,709.4011,569.281,555.2654,551.2704,537.2548,415.1457,397.1352,379.1246,171.1384,157.1228
DGDG(9:0_11:0)+C2H3O2,783.4378,723.4167,583.2966,555.2654,565.2861,537.2548,415.1457,397.1352,379.1246,185.1541,157.1228
DGDG(9:0_12:0)+C2H3O2,797.4535,737.4324,597.3123,555.2654,579.3018,537.2548,415.1457,397.1352,379.1246,199.1697,157.1228
DGDG(9:0_13:0)+C2H3O2,811.4691,751.448,611.3279,555.2654,593.3174,537.2548,415.1457,397.1352,379.1246,213.1853,157.1228
DGDG(9:0_13:1)+C2H3O2,809.4535,749.4324,609.3123,555.2654,591.3018,537.2548,415.1457,397.1352,379.1246,211.1697,157.1228
DGDG(9:0_14:0)+C2H3O2,825.4848,765.4636,625.3436,555.2654,607.3331,537.2548,415.1457,397.1352,379.1246,227.201,157.1228
DGDG(9:0_14:1)+C2H3O2,823.4691,763.448,623.3279,555.2654,605.3174,537.2548,415.1457,397.1352,379.1246,225.1853,157.1228
DGDG(9:0_15:0)+C2H3O2,839.5004,779.4793,639.3593,555.2654,621.3487,537.2549,415.1457,397.1352,379.1246,241.2166,157.1228
DGDG(9:0_15:1)+C2H3O2,837.4848,777.4636,637.3436,555.2654,619.3331,537.2548,415.1457,397.1352,379.1246,239.201,157.1228
DGDG(9:0_16:0)+C2H3O2,853.5161,793.4949,653.3749,555.2654,635.3644,537.2549,415.1457,397.1352,379.1246,255.2323,157.1228
DGDG(9:0_16:1)+C2H3O2,851.5004,791.4793,651.3593,555.2654,633.3487,537.2549,415.1457,397.1352,379.1246,253.2166,157.1228
DGDG(9:0_16:2)+C2H3O2,849.4848,789.4636,649.3436,555.2654,631.3331,537.2548,415.1457,397.1352,379.1246,251.201,157.1228
DGDG(9:0_16:3)+C2H3O2,847.4691,787.448,647.3279,555.2654,629.3174,537.2548,415.1457,397.1352,379.1246,249.1853,157.1228
DGDG(9:0_16:4)+C2H3O2,845.4535,785.4324,645.3123,555.2654,627.3018,537.2548,415.1457,397.1352,379.1246,247.1697,157.1228
DGDG(9:0_17:0)+C2H3O2,867.5317,807.5106,667.3906,555.2654,649.38,537.2549,415.1457,397.1352,379.1246,269.2479,157.1228
DGDG(9:0_17:1)+C2H3O2,865.5161,805.4949,665.3749,555.2654,647.3644,537.2549,415.1457,397.1352,379.1246,267.2323,157.1228
DGDG(9:0_17:2)+C2H3O2,863.5004,803.4793,663.3593,555.2654,645.3487,537.2549,415.1457,397.1352,379.1246,265.2166,157.1228
DGDG(9:0_18:0)+C2H3O2,881.5474,821.5262,681.4062,555.2654,663.3956,537.2549,415.1457,397.1352,379.1246,283.2635,157.1228
DGDG(9:0_18:1)+C2H3O2,879.5317,819.5106,679.3906,555.2654,661.38,537.2549,415.1457,397.1352,379.1246,281.2479,157.1228
DGDG(9:0_18:2)+C2H3O2,877.5161,817.4949,677.3749,555.2654,659.3644,537.2549,415.1457,397.1352,379.1246,279.2323,157.1228
DGDG(9:0_18:3)+C2H3O2,875.5004,815.4793,675.3593,555.2654,657.3487,537.2549,415.1457,397.1352,379.1246,277.2166,157.1228
DGDG(9:0_18:4)+C2H3O2,873.4848,813.4636,673.3436,555.2654,655.3331,537.2548,415.1457,397.1352,379.1246,275.201,157.1228
DGDG(9:0_18:5)+C2H3O2,871.4691,811.448,671.3279,555.2654,653.3174,537.2548,415.1457,397.1352,379.1246,273.1853,157.1228
DGDG(9:0_19:0)+C2H3O2,895.563,835.5419,695.4219,555.2654,677.4113,537.2549,415.1457,397.1352,379.1246,297.2792,157.1228
DGDG(9:0_19:1)+C2H3O2,893.5474,833.5262,693.4062,555.2654,675.3956,537.2549,415.1457,397.1352,379.1246,295.2635,157.1228
DGDG(9:0_19:2)+C2H3O2,891.5317,831.5106,691.3906,555.2654,673.38,537.2549,415.1457,397.1352,379.1246,293.2479,157.1228
DGDG(9:0_20:0)+C2H3O2,909.5787,849.5576,709.4375,555.2654,691.4269,537.2549,415.1457,397.1352,379.1246,311.2948,157.1228
DGDG(9:0_20:1)+C2H3O2,907.563,847.5419,707.4219,555.2654,689.4113,537.2549,415.1457,397.1352,379.1246,309.2792,157.1228
DGDG(9:0_20:2)+C2H3O2,905.5474,845.5262,705.4062,555.2654,687.3956,537.2549,415.1457,397.1352,379.1246,307.2635,157.1228
DGDG(9:0_20:3)+C2H3O2,903.5317,843.5106,703.3906,555.2654,685.38,537.2549,415.1457,397.1352,379.1246,305.2479,157.1228
DGDG(9:0_20:4)+C2H3O2,901.5161,841.4949,701.3749,555.2654,683.3644,537.2549,415.1457,397.1352,379.1246,303.2323,157.1228
DGDG(9:0_20:5)+C2H3O2,899.5004,839.4793,699.3593,555.2654,681.3487,537.2549,415.1457,397.1352,379.1246,301.2166,157.1228
DGDG(9:0_21:0)+C2H3O2,923.5944,863.5732,723.4532,555.2655,705.4426,537.2549,415.1457,397.1352,379.1246,325.3105,157.1228
DGDG(9:0_21:1)+C2H3O2,921.5787,861.5576,721.4375,555.2654,703.4269,537.2549,415.1457,397.1352,379.1246,323.2948,157.1228
DGDG(9:0_21:2)+C2H3O2,919.563,859.5419,719.4219,555.2654,701.4113,537.2549,415.1457,397.1352,379.1246,321.2792,157.1228
DGDG(9:0_22:0)+C2H3O2,937.61,877.5889,737.4688,555.2655,719.4583,537.2549,415.1457,397.1352,379.1246,339.3261,157.1228
DGDG(9:0_22:1)+C2H3O2,935.5944,875.5732,735.4532,555.2655,717.4426,537.2549,415.1457,397.1352,379.1246,337.3105,157.1228
DGDG(9:0_22:2)+C2H3O2,933.5787,873.5576,733.4375,555.2654,715.4269,537.2549,415.1457,397.1352,379.1246,335.2948,157.1228
DGDG(9:0_22:3)+C2H3O2,931.563,871.5419,731.4219,555.2654,713.4113,537.2549,415.1457,397.1352,379.1246,333.2792,157.1228
DGDG(9:0_22:4)+C2H3O2,929.5474,869.5262,729.4062,555.2654,711.3956,537.2549,415.1457,397.1352,379.1246,331.2635,157.1228
DGDG(9:0_22:5)+C2H3O2,927.5317,867.5106,727.3906,555.2654,709.38,537.2549,415.1457,397.1352,379.1246,329.2479,157.1228
DGDG(9:0_22:6)+C2H3O2,925.5161,865.4949,725.3749,555.2654,707.3644,537.2549,415.1457,397.1352,379.1246,327.2323,157.1228
DGDG(9:0_23:0)+C2H3O2,951.6256,891.6045,751.4844,555.2655,733.4739,537.2549,415.1457,397.1352,379.1246,353.3417,157.1228
DGDG(9:0_24:0)+C2H3O2,965.6413,905.6202,765.5001,555.2655,747.4896,537.2549,415.1457,397.1352,379.1246,367.3574,157.1228
DGDG(9:0_24:1)+C2H3O2,963.6256,903.6045,763.4844,555.2655,745.4739,537.2549,415.1457,397.1352,379.1246,365.3417,157.1228
DGDG(9:0_24:2)+C2H3O2,961.61,901.5889,761.4688,555.2655,743.4583,537.2549,415.1457,397.1352,379.1246,363.3261,157.1228
DGDG(9:0_24:4)+C2H3O2,957.5787,897.5576,757.4375,555.2654,739.4269,537.2549,415.1457,397.1352,379.1246,359.2948,157.1228
DGDG(9:0_25:0)+C2H3O2,979.6569,919.6358,779.5157,555.2655,761.5052,537.2549,415.1457,397.1352,379.1246,381.373,157.1228
DGDG(9:0_26:0)+C2H3O2,993.6726,933.6514,793.5314,555.2655,775.5209,537.2549,415.1457,397.1352,379.1246,395.3887,157.1228
DGDG(9:0_26:1)+C2H3O2,991.6569,931.6358,791.5157,555.2655,773.5052,537.2549,415.1457,397.1352,379.1246,393.373,157.1228
DGDG(9:0_26:2)+C2H3O2,989.6413,929.6202,789.5001,555.2655,771.4896,537.2549,415.1457,397.1352,379.1246,391.3574,157.1228
DGDG(9:0_26:4)+C2H3O2,985.61,925.5889,785.4688,555.2655,767.4583,537.2549,415.1457,397.1352,379.1246,387.3261,157.1228
DGDG(9:0_27:0)+C2H3O2,1007.688,947.6671,807.5471,555.2656,789.5365,537.255,415.1457,397.1352,379.1246,409.4043,157.1228
DGDG(10:0_10:0)+C2H3O2,783.4378,723.4167,569.281,569.281,551.2704,551.2704,415.1457,397.1352,379.1246,171.1384,171.1384
DGDG(10:0_11:0)+C2H3O2,797.4535,737.4324,583.2967,569.281,565.2861,551.2704,415.1457,397.1352,379.1246,185.1541,171.1384
DGDG(10:0_12:0)+C2H3O2,811.4691,751.448,597.3123,569.2811,579.3018,551.2705,415.1457,397.1352,379.1246,199.1697,171.1384
DGDG(10:0_13:0)+C2H3O2,825.4848,765.4636,611.3279,569.2811,593.3174,551.2705,415.1457,397.1352,379.1246,213.1853,171.1384
DGDG(10:0_13:1)+C2H3O2,823.4691,763.448,609.3123,569.2811,591.3018,551.2705,415.1457,397.1352,379.1246,211.1697,171.1384
DGDG(10:0_14:0)+C2H3O2,839.5004,779.4793,625.3436,569.2811,607.3331,551.2705,415.1457,397.1352,379.1246,227.201,171.1384
DGDG(10:0_14:1)+C2H3O2,837.4848,777.4636,623.3279,569.2811,605.3174,551.2705,415.1457,397.1352,379.1246,225.1853,171.1384
DGDG(10:0_15:0)+C2H3O2,853.5161,793.4949,639.3593,569.2811,621.3487,551.2705,415.1457,397.1352,379.1246,241.2166,171.1384
DGDG(10:0_15:1)+C2H3O2,851.5004,791.4793,637.3436,569.2811,619.3331,551.2705,415.1457,397.1352,379.1246,239.201,171.1384
DGDG(10:0_16:0)+C2H3O2,867.5317,807.5106,653.3749,569.2811,635.3644,551.2705,415.1457,397.1352,379.1246,255.2323,171.1384
DGDG(10:0_16:1)+C2H3O2,865.5161,805.4949,651.3593,569.2811,633.3487,551.2705,415.1457,397.1352,379.1246,253.2166,171.1384
DGDG(10:0_16:2)+C2H3O2,863.5004,803.4793,649.3436,569.2811,631.3331,551.2705,415.1457,397.1352,379.1246,251.201,171.1384
DGDG(10:0_16:3)+C2H3O2,861.4848,801.4636,647.3279,569.2811,629.3174,551.2705,415.1457,397.1352,379.1246,249.1853,171.1384
DGDG(10:0_16:4)+C2H3O2,859.4691,799.448,645.3123,569.2811,627.3018,551.2705,415.1457,397.1352,379.1246,247.1697,171.1384
DGDG(10:0_17:0)+C2H3O2,881.5474,821.5262,667.3906,569.2811,649.38,551.2705,415.1457,397.1352,379.1246,269.2479,171.1384
DGDG(10:0_17:1)+C2H3O2,879.5317,819.5106,665.3749,569.2811,647.3644,551.2705,415.1457,397.1352,379.1246,267.2323,171.1384
DGDG(10:0_17:2)+C2H3O2,877.5161,817.4949,663.3593,569.2811,645.3487,551.2705,415.1457,397.1352,379.1246,265.2166,171.1384
DGDG(10:0_18:0)+C2H3O2,895.563,835.5419,681.4063,569.2811,663.3956,551.2706,415.1457,397.1352,379.1246,283.2635,171.1384
DGDG(10:0_18:1)+C2H3O2,893.5474,833.5262,679.3906,569.2811,661.38,551.2705,415.1457,397.1352,379.1246,281.2479,171.1384
DGDG(10:0_18:2)+C2H3O2,891.5317,831.5106,677.3749,569.2811,659.3644,551.2705,415.1457,397.1352,379.1246,279.2323,171.1384
DGDG(10:0_18:3)+C2H3O2,889.5161,829.4949,675.3593,569.2811,657.3487,551.2705,415.1457,397.1352,379.1246,277.2166,171.1384
DGDG(10:0_18:4)+C2H3O2,887.5004,827.4793,673.3436,569.2811,655.3331,551.2705,415.1457,397.1352,379.1246,275.201,171.1384
DGDG(10:0_18:5)+C2H3O2,885.4848,825.4636,671.3279,569.2811,653.3174,551.2705,415.1457,397.1352,379.1246,273.1853,171.1384
DGDG(10:0_19:0)+C2H3O2,909.5787,849.5576,695.4219,569.2811,677.4113,551.2706,415.1457,397.1352,379.1246,297.2792,171.1384
DGDG(10:0_19:1)+C2H3O2,907.563,847.5419,693.4063,569.2811,675.3956,551.2706,415.1457,397.1352,379.1246,295.2635,171.1384
DGDG(10:0_19:2)+C2H3O2,905.5474,845.5262,691.3906,569.2811,673.38,551.2705,415.1457,397.1352,379.1246,293.2479,171.1384
DGDG(10:0_20:0)+C2H3O2,923.5944,863.5732,709.4375,569.2811,691.4269,551.2706,415.1457,397.1352,379.1246,311.2948,171.1384
DGDG(10:0_20:1)+C2H3O2,921.5787,861.5576,707.4219,569.2811,689.4113,551.2706,415.1457,397.1352,379.1246,309.2792,171.1384
DGDG(10:0_20:2)+C2H3O2,919.563,859.5419,705.4063,569.2811,687.3956,551.2706,415.1457,397.1352,379.1246,307.2635,171.1384
DGDG(10:0_20:3)+C2H3O2,917.5474,857.5262,703.3906,569.2811,685.38,551.2705,415.1457,397.1352,379.1246,305.2479,171.1384
DGDG(10:0_20:4)+C2H3O2,915.5317,855.5106,701.3749,569.2811,683.3644,551.2705,415.1457,397.1352,379.1246,303.2323,171.1384
DGDG(10:0_20:5)+C2H3O2,913.5161,853.4949,699.3593,569.2811,681.3487,551.2705,415.1457,397.1352,379.1246,301.2166,171.1384
DGDG(10:0_21:0)+C2H3O2,937.61,877.5889,723.4532,569.2811,705.4426,551.2706,415.1457,397.1352,379.1246,325.3105,171.1384
DGDG(10:0_21:1)+C2H3O2,935.5944,875.5732,721.4375,569.2811,703.4269,551.2706,415.1457,397.1352,379.1246,323.2948,171.1384
DGDG(10:0_21:2)+C2H3O2,933.5787,873.5576,719.4219,569.2811,701.4113,551.2706,415.1457,397.1352,379.1246,321.2792,171.1384
DGDG(10:0_22:0)+C2H3O2,951.6256,891.6045,737.4688,569.2811,719.4583,551.2706,415.1457,397.1352,379.1246,339.3261,171.1384
DGDG(10:0_22:1)+C2H3O2,949.61,889.5889,735.4532,569.2811,717.4426,551.2706,415.1457,397.1352,379.1246,337.3105,171.1384
DGDG(10:0_22:2)+C2H3O2,947.5944,887.5732,733.4375,569.2811,715.4269,551.2706,415.1457,397.1352,379.1246,335.2948,171.1384
DGDG(10:0_22:3)+C2H3O2,945.5787,885.5576,731.4219,569.2811,713.4113,551.2706,415.1457,397.1352,379.1246,333.2792,171.1384
DGDG(10:0_22:4)+C2H3O2,943.563,883.5419,729.4063,569.2811,711.3956,551.2706,415.1457,397.1352,379.1246,331.2635,171.1384
DGDG(10:0_22:5)+C2H3O2,941.5474,881.5262,727.3906,569.2811,709.38,551.2705,415.1457,397.1352,379.1246,329.2479,171.1384
DGDG(10:0_22:6)+C2H3O2,939.5317,879.5106,725.3749,569.2811,707.3644,551.2705,415.1457,397.1352,379.1246,327.2323,171.1384
DGDG(10:0_23:0)+C2H3O2,965.6413,905.6202,751.4845,569.2811,733.4739,551.2706,415.1457,397.1352,379.1246,353.3417,171.1384
DGDG(10:0_24:0)+C2H3O2,979.6569,919.6358,765.5001,569.2812,747.4896,551.2706,415.1457,397.1352,379.1246,367.3574,171.1384
DGDG(10:0_24:1)+C2H3O2,977.6413,917.6202,763.4845,569.2811,745.4739,551.2706,415.1457,397.1352,379.1246,365.3417,171.1384
DGDG(10:0_24:2)+C2H3O2,975.6256,915.6045,761.4688,569.2811,743.4583,551.2706,415.1457,397.1352,379.1246,363.3261,171.1384
DGDG(10:0_24:4)+C2H3O2,971.5944,911.5732,757.4375,569.2811,739.4269,551.2706,415.1457,397.1352,379.1246,359.2948,171.1384
DGDG(10:0_25:0)+C2H3O2,993.6726,933.6514,779.5157,569.2812,761.5052,551.2706,415.1457,397.1352,379.1246,381.373,171.1384
DGDG(10:0_26:0)+C2H3O2,1007.688,947.6671,793.5314,569.2812,775.5209,551.2706,415.1457,397.1352,379.1246,395.3887,171.1384
DGDG(10:0_26:1)+C2H3O2,1005.673,945.6514,791.5157,569.2812,773.5052,551.2706,415.1457,397.1352,379.1246,393.373,171.1384
DGDG(10:0_26:2)+C2H3O2,1003.657,943.6358,789.5001,569.2812,771.4896,551.2706,415.1457,397.1352,379.1246,391.3574,171.1384
DGDG(10:0_26:4)+C2H3O2,999.6256,939.6045,785.4688,569.2811,767.4583,551.2706,415.1457,397.1352,379.1246,387.3261,171.1384
DGDG(10:0_27:0)+C2H3O2,1021.704,961.6827,807.5471,569.2812,789.5365,551.2706,415.1457,397.1352,379.1246,409.4043,171.1384
DGDG(11:0_11:0)+C2H3O2,811.4691,751.448,583.2967,583.2967,565.2861,565.2861,415.1457,397.1352,379.1246,185.1541,185.1541
DGDG(11:0_12:0)+C2H3O2,825.4848,765.4636,597.3123,583.2967,579.3018,565.2861,415.1457,397.1352,379.1246,199.1697,185.1541
DGDG(11:0_13:0)+C2H3O2,839.5004,779.4793,611.328,583.2967,593.3174,565.2861,415.1457,397.1352,379.1246,213.1853,185.1541
DGDG(11:0_13:1)+C2H3O2,837.4848,777.4636,609.3123,583.2967,591.3018,565.2861,415.1457,397.1352,379.1246,211.1697,185.1541
DGDG(11:0_14:0)+C2H3O2,853.5161,793.4949,625.3436,583.2967,607.3331,565.2861,415.1457,397.1352,379.1246,227.201,185.1541
DGDG(11:0_14:1)+C2H3O2,851.5004,791.4793,623.328,583.2967,605.3174,565.2861,415.1457,397.1352,379.1246,225.1853,185.1541
DGDG(11:0_15:0)+C2H3O2,867.5317,807.5106,639.3593,583.2967,621.3487,565.2861,415.1457,397.1352,379.1246,241.2166,185.1541
DGDG(11:0_15:1)+C2H3O2,865.5161,805.4949,637.3436,583.2967,619.3331,565.2861,415.1457,397.1352,379.1246,239.201,185.1541
DGDG(11:0_16:0)+C2H3O2,881.5474,821.5262,653.3749,583.2968,635.3644,565.2862,415.1457,397.1352,379.1246,255.2323,185.1541
DGDG(11:0_16:1)+C2H3O2,879.5317,819.5106,651.3593,583.2967,633.3487,565.2861,415.1457,397.1352,379.1246,253.2166,185.1541
DGDG(11:0_16:2)+C2H3O2,877.5161,817.4949,649.3436,583.2967,631.3331,565.2861,415.1457,397.1352,379.1246,251.201,185.1541
DGDG(11:0_16:3)+C2H3O2,875.5004,815.4793,647.328,583.2967,629.3174,565.2861,415.1457,397.1352,379.1246,249.1853,185.1541
DGDG(11:0_16:4)+C2H3O2,873.4848,813.4636,645.3123,583.2967,627.3018,565.2861,415.1457,397.1352,379.1246,247.1697,185.1541
DGDG(11:0_17:0)+C2H3O2,895.563,835.5419,667.3906,583.2968,649.38,565.2862,415.1457,397.1352,379.1246,269.2479,185.1541
DGDG(11:0_17:1)+C2H3O2,893.5474,833.5262,665.3749,583.2968,647.3644,565.2862,415.1457,397.1352,379.1246,267.2323,185.1541
DGDG(11:0_17:2)+C2H3O2,891.5317,831.5106,663.3593,583.2967,645.3487,565.2861,415.1457,397.1352,379.1246,265.2166,185.1541
DGDG(11:0_18:0)+C2H3O2,909.5787,849.5576,681.4063,583.2968,663.3957,565.2862,415.1457,397.1352,379.1246,283.2635,185.1541
DGDG(11:0_18:1)+C2H3O2,907.563,847.5419,679.3906,583.2968,661.38,565.2862,415.1457,397.1352,379.1246,281.2479,185.1541
DGDG(11:0_18:2)+C2H3O2,905.5474,845.5262,677.3749,583.2968,659.3644,565.2862,415.1457,397.1352,379.1246,279.2323,185.1541
DGDG(11:0_18:3)+C2H3O2,903.5317,843.5106,675.3593,583.2967,657.3487,565.2861,415.1457,397.1352,379.1246,277.2166,185.1541
DGDG(11:0_18:4)+C2H3O2,901.5161,841.4949,673.3436,583.2967,655.3331,565.2861,415.1457,397.1352,379.1246,275.201,185.1541
DGDG(11:0_18:5)+C2H3O2,899.5004,839.4793,671.328,583.2967,653.3174,565.2861,415.1457,397.1352,379.1246,273.1853,185.1541
DGDG(11:0_19:0)+C2H3O2,923.5944,863.5732,695.4219,583.2968,677.4113,565.2862,415.1457,397.1352,379.1246,297.2792,185.1541
DGDG(11:0_19:1)+C2H3O2,921.5787,861.5576,693.4063,583.2968,675.3957,565.2862,415.1457,397.1352,379.1246,295.2635,185.1541
DGDG(11:0_19:2)+C2H3O2,919.563,859.5419,691.3906,583.2968,673.38,565.2862,415.1457,397.1352,379.1246,293.2479,185.1541
DGDG(11:0_20:0)+C2H3O2,937.61,877.5889,709.4375,583.2968,691.4269,565.2862,415.1457,397.1352,379.1246,311.2948,185.1541
DGDG(11:0_20:1)+C2H3O2,935.5944,875.5732,707.4219,583.2968,689.4113,565.2862,415.1457,397.1352,379.1246,309.2792,185.1541
DGDG(11:0_20:2)+C2H3O2,933.5787,873.5576,705.4063,583.2968,687.3957,565.2862,415.1457,397.1352,379.1246,307.2635,185.1541
DGDG(11:0_20:3)+C2H3O2,931.563,871.5419,703.3906,583.2968,685.38,565.2862,415.1457,397.1352,379.1246,305.2479,185.1541
DGDG(11:0_20:4)+C2H3O2,929.5474,869.5262,701.3749,583.2968,683.3644,565.2862,415.1457,397.1352,379.1246,303.2323,185.1541
DGDG(11:0_20:5)+C2H3O2,927.5317,867.5106,699.3593,583.2967,681.3487,565.2861,415.1457,397.1352,379.1246,301.2166,185.1541
DGDG(11:0_21:0)+C2H3O2,951.6256,891.6045,723.4532,583.2968,705.4426,565.2862,415.1457,397.1352,379.1246,325.3105,185.1541
DGDG(11:0_21:1)+C2H3O2,949.61,889.5889,721.4375,583.2968,703.4269,565.2862,415.1457,397.1352,379.1246,323.2948,185.1541
DGDG(11:0_21:2)+C2H3O2,947.5944,887.5732,719.4219,583.2968,701.4113,565.2862,415.1457,397.1352,379.1246,321.2792,185.1541
DGDG(11:0_22:0)+C2H3O2,965.6413,905.6202,737.4688,583.2968,719.4583,565.2863,415.1457,397.1352,379.1246,339.3261,185.1541
DGDG(11:0_22:1)+C2H3O2,963.6256,903.6045,735.4532,583.2968,717.4426,565.2862,415.1457,397.1352,379.1246,337.3105,185.1541
DGDG(11:0_22:2)+C2H3O2,961.61,901.5889,733.4375,583.2968,715.4269,565.2862,415.1457,397.1352,379.1246,335.2948,185.1541
DGDG(11:0_22:3)+C2H3O2,959.5944,899.5732,731.4219,583.2968,713.4113,565.2862,415.1457,397.1352,379.1246,333.2792,185.1541
DGDG(11:0_22:4)+C2H3O2,957.5787,897.5576,729.4063,583.2968,711.3957,565.2862,415.1457,397.1352,379.1246,331.2635,185.1541
DGDG(11:0_22:5)+C2H3O2,955.563,895.5419,727.3906,583.2968,709.38,565.2862,415.1457,397.1352,379.1246,329.2479,185.1541
DGDG(11:0_22:6)+C2H3O2,953.5474,893.5262,725.3749,583.2968,707.3644,565.2862,415.1457,397.1352,379.1246,327.2323,185.1541
DGDG(11:0_23:0)+C2H3O2,979.6569,919.6358,751.4845,583.2968,733.4739,565.2863,415.1457,397.1352,379.1246,353.3417,185.1541
DGDG(11:0_24:0)+C2H3O2,993.6726,933.6514,765.5001,583.2968,747.4896,565.2863,415.1457,397.1352,379.1246,367.3574,185.1541
DGDG(11:0_24:1)+C2H3O2,991.6569,931.6358,763.4845,583.2968,745.4739,565.2863,415.1457,397.1352,379.1246,365.3417,185.1541
DGDG(11:0_24:2)+C2H3O2,989.6413,929.6202,761.4688,583.2968,743.4583,565.2863,415.1457,397.1352,379.1246,363.3261,185.1541
DGDG(11:0_24:4)+C2H3O2,985.61,925.5889,757.4375,583.2968,739.4269,565.2862,415.1457,397.1352,379.1246,359.2948,185.1541
DGDG(11:0_25:0)+C2H3O2,1007.688,947.6671,779.5158,583.2968,761.5052,565.2863,415.1457,397.1352,379.1246,381.373,185.1541
DGDG(11:0_26:0)+C2H3O2,1021.704,961.6827,793.5314,583.2968,775.5209,565.2863,415.1457,397.1352,379.1246,395.3887,185.1541
DGDG(11:0_26:1)+C2H3O2,1019.688,959.6671,791.5158,583.2968,773.5052,565.2863,415.1457,397.1352,379.1246,393.373,185.1541
DGDG(11:0_26:2)+C2H3O2,1017.673,957.6514,789.5001,583.2968,771.4896,565.2863,415.1457,397.1352,379.1246,391.3574,185.1541
DGDG(11:0_26:4)+C2H3O2,1013.641,953.6202,785.4688,583.2968,767.4583,565.2863,415.1457,397.1352,379.1246,387.3261,185.1541
DGDG(11:0_27:0)+C2H3O2,1035.719,975.6984,807.5471,583.2968,789.5365,565.2863,415.1457,397.1352,379.1246,409.4043,185.1541
DGDG(12:0_12:0)+C2H3O2,839.5004,779.4793,597.3123,597.3123,579.3018,579.3018,415.1457,397.1352,379.1246,199.1697,199.1697
DGDG(12:0_13:0)+C2H3O2,853.5161,793.4949,611.328,597.3124,593.3174,579.3018,415.1457,397.1352,379.1246,213.1853,199.1697
DGDG(12:0_13:1)+C2H3O2,851.5004,791.4793,609.3123,597.3123,591.3018,579.3018,415.1457,397.1352,379.1246,211.1697,199.1697
DGDG(12:0_14:0)+C2H3O2,867.5317,807.5106,625.3436,597.3124,607.3331,579.3018,415.1457,397.1352,379.1246,227.201,199.1697
DGDG(12:0_14:1)+C2H3O2,865.5161,805.4949,623.328,597.3124,605.3174,579.3018,415.1457,397.1352,379.1246,225.1853,199.1697
