DGDG,[M+C2H3O2]-,[M-H]-,NL of SN1+HCOOH,NL of SN2+HCOOH,NL of SN1+HCOOH+H2O,NL of SN2+HCOOH+H2O,C15H27O13,C15H25O12,C15H23O11,SN2,SN1
DGDG(2:0_20:1)+C2H3O2,809.4535,749.4324,707.4218,457.1559,689.4113,439.1454,415.1457,397.1352,379.1246,309.2792,59.0133
DGDG(2:0_20:2)+C2H3O2,807.4378,747.4167,705.4061,457.1559,687.3956,439.1454,415.1457,397.1352,379.1246,307.2635,59.0133
DGDG(2:0_20:3)+C2H3O2,805.4222,745.4011,703.3905,457.1559,685.3799,439.1453,415.1457,397.1352,379.1246,305.2479,59.0133
DGDG(2:0_20:4)+C2H3O2,803.4066,743.3854,701.3748,457.1559,683.3643,439.1453,415.1457,397.1352,379.1246,303.2323,59.0133
DGDG(2:0_20:5)+C2H3O2,801.3909,741.3698,699.3592,457.1559,681.3486,439.1453,415.1457,397.1352,379.1246,301.2166,59.0133
DGDG(2:0_21:0)+C2H3O2,825.4848,765.4636,723.4531,457.1559,705.4425,439.1454,415.1457,397.1352,379.1246,325.3105,59.0133
DGDG(2:0_21:1)+C2H3O2,823.4691,763.448,721.4374,457.1559,703.4269,439.1454,415.1457,397.1352,379.1246,323.2948,59.0133
DGDG(2:0_21:2)+C2H3O2,821.4535,761.4324,719.4218,457.1559,701.4113,439.1454,415.1457,397.1352,379.1246,321.2792,59.0133
DGDG(2:0_22:0)+C2H3O2,839.5004,779.4793,737.4688,457.1559,719.4582,439.1454,415.1457,397.1352,379.1246,339.3261,59.0133
DGDG(2:0_22:1)+C2H3O2,837.4848,777.4636,735.4531,457.1559,717.4425,439.1454,415.1457,397.1352,379.1246,337.3105,59.0133
DGDG(2:0_22:2)+C2H3O2,835.4691,775.448,733.4374,457.1559,715.4269,439.1454,415.1457,397.1352,379.1246,335.2948,59.0133
DGDG(2:0_22:3)+C2H3O2,833.4535,773.4324,731.4218,457.1559,713.4113,439.1454,415.1457,397.1352,379.1246,333.2792,59.0133
DGDG(2:0_22:4)+C2H3O2,831.4378,771.4167,729.4061,457.1559,711.3956,439.1454,415.1457,397.1352,379.1246,331.2635,59.0133
DGDG(2:0_22:5)+C2H3O2,829.4222,769.4011,727.3905,457.1559,709.3799,439.1453,415.1457,397.1352,379.1246,329.2479,59.0133
DGDG(2:0_22:6)+C2H3O2,827.4066,767.3854,725.3748,457.1559,707.3643,439.1453,415.1457,397.1352,379.1246,327.2323,59.0133
DGDG(2:0_23:0)+C2H3O2,853.5161,793.4949,751.4844,457.1559,733.4738,439.1454,415.1457,397.1352,379.1246,353.3417,59.0133
DGDG(2:0_24:0)+C2H3O2,867.5317,807.5106,765.5001,457.1559,747.4895,439.1454,415.1457,397.1352,379.1246,367.3574,59.0133
DGDG(2:0_24:1)+C2H3O2,865.5161,805.4949,763.4844,457.1559,745.4738,439.1454,415.1457,397.1352,379.1246,365.3417,59.0133
DGDG(2:0_24:2)+C2H3O2,863.5004,803.4793,761.4688,457.1559,743.4582,439.1454,415.1457,397.1352,379.1246,363.3261,59.0133
DGDG(2:0_24:4)+C2H3O2,859.4691,799.448,757.4374,457.1559,739.4269,439.1454,415.1457,397.1352,379.1246,359.2948,59.0133
DGDG(2:0_25:0)+C2H3O2,881.5474,821.5262,779.5157,457.156,761.5051,439.1454,415.1457,397.1352,379.1246,381.373,59.0133
DGDG(2:0_26:0)+C2H3O2,895.563,835.5419,793.5313,457.156,775.5208,439.1454,415.1457,397.1352,379.1246,395.3887,59.0133
DGDG(2:0_26:1)+C2H3O2,893.5474,833.5262,791.5157,457.156,773.5051,439.1454,415.1457,397.1352,379.1246,393.373,59.0133
DGDG(2:0_26:2)+C2H3O2,891.5317,831.5106,789.5001,457.1559,771.4895,439.1454,415.1457,397.1352,379.1246,391.3574,59.0133
DGDG(2:0_26:4)+C2H3O2,887.5004,827.4793,785.4688,457.1559,767.4582,439.1454,415.1457,397.1352,379.1246,387.3261,59.0133
DGDG(2:0_27:0)+C2H3O2,909.5787,849.5576,807.547,457.156,789.5364,439.1454,415.1457,397.1352,379.1246,409.4043,59.0133
DGDG(3:0_3:0)+C2H3O2,587.2188,527.1976,471.1714,471.1714,453.1608,453.1608,415.1457,397.1352,379.1246,73.02894,73.02894
DGDG(3:0_4:0)+C2H3O2,601.2344,541.2133,485.187,471.1714,467.1765,453.1609,415.1457,397.1352,379.1246,87.04458,73.02894
DGDG(3:0_5:0)+C2H3O2,615.25,555.2289,499.2027,471.1714,481.1921,453.1609,415.1457,397.1352,379.1246,101.0602,73.02894
DGDG(3:0_6:0)+C2H3O2,629.2657,569.2446,513.2183,471.1714,495.2078,453.1609,415.1457,397.1352,379.1246,115.0759,73.02894
DGDG(3:0_7:0)+C2H3O2,643.2813,583.2602,527.234,471.1714,509.2234,453.1609,415.1457,397.1352,379.1246,129.0915,73.02894
DGDG(3:0_8:0)+C2H3O2,657.297,597.2759,541.2496,471.1714,523.2391,453.1609,415.1457,397.1352,379.1246,143.1071,73.02894
DGDG(3:0_9:0)+C2H3O2,671.3126,611.2915,555.2653,471.1714,537.2548,453.1609,415.1457,397.1352,379.1246,157.1228,73.02894
DGDG(3:0_10:0)+C2H3O2,685.3283,625.3071,569.2809,471.1715,551.2704,453.1609,415.1457,397.1352,379.1246,171.1384,73.02894
DGDG(3:0_11:0)+C2H3O2,699.3439,639.3228,583.2966,471.1715,565.286,453.1609,415.1457,397.1352,379.1246,185.1541,73.02894
DGDG(3:0_12:0)+C2H3O2,713.3596,653.3384,597.3123,471.1715,579.3017,453.1609,415.1457,397.1352,379.1246,199.1697,73.02894
DGDG(3:0_13:0)+C2H3O2,727.3752,667.3541,611.3279,471.1715,593.3173,453.1609,415.1457,397.1352,379.1246,213.1853,73.02894
DGDG(3:0_13:1)+C2H3O2,725.3596,665.3384,609.3123,471.1715,591.3017,453.1609,415.1457,397.1352,379.1246,211.1697,73.02894
DGDG(3:0_14:0)+C2H3O2,741.3909,681.3698,625.3436,471.1715,607.333,453.1609,415.1457,397.1352,379.1246,227.201,73.02894
