SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,MH-PC-Tail,d(MH-Tail),PC Head,CH2CHN(CH3)3
SM(d12:0/20:0)+H,677.55917,494.49313,618.48563,476.48247,182.190245,292.299785,184.07332,86.09648
SM(d12:0/20:1)+H,675.54357,492.47753,616.47003,474.46687,182.190245,290.284185,184.07332,86.09648
SM(d12:0/20:2)+H,673.52787,490.46183,614.45433,472.45117,182.190245,288.268485,184.07332,86.09648
SM(d12:0/20:3)+H,671.51227,488.44623,612.43873,470.43557,182.190245,286.252885,184.07332,86.09648
SM(d12:0/20:4)+H,669.49657,486.43053,610.42303,468.41987,182.190245,284.237185,184.07332,86.09648
SM(d12:0/20:5)+H,667.48097,484.41493,608.40743,466.40427,182.190245,282.221585,184.07332,86.09648
SM(d12:0/21:0)+H,691.57487,508.50883,632.50133,490.49817,182.190245,306.315485,184.07332,86.09648
SM(d12:0/22:0)+H,705.59047,522.52443,646.51693,504.51377,182.190245,320.331085,184.07332,86.09648
SM(d12:0/22:1)+H,703.57487,520.50883,644.50133,502.49817,182.190245,318.315485,184.07332,86.09648
SM(d12:0/22:2)+H,701.55917,518.49313,642.48563,500.48247,182.190245,316.299785,184.07332,86.09648
SM(d12:0/22:3)+H,699.54357,516.47753,640.47003,498.46687,182.190245,314.284185,184.07332,86.09648
SM(d12:0/22:4)+H,697.52787,514.46183,638.45433,496.45117,182.190245,312.268485,184.07332,86.09648
SM(d12:0/22:5)+H,695.51227,512.44623,636.43873,494.43557,182.190245,310.252885,184.07332,86.09648
SM(d12:0/22:6)+H,693.49657,510.43053,634.42303,492.41987,182.190245,308.237185,184.07332,86.09648
SM(d12:0/23:0)+H,719.60617,536.54013,660.53263,518.52947,182.190245,334.346785,184.07332,86.09648
SM(d12:0/24:0)+H,733.62177,550.55573,674.54823,532.54507,182.190245,348.362385,184.07332,86.09648
SM(d12:0/24:1)+H,731.60617,548.54013,672.53263,530.52947,182.190245,346.346785,184.07332,86.09648
SM(d12:0/25:0)+H,747.63747,564.57143,688.56393,546.56077,182.190245,362.378085,184.07332,86.09648
SM(d12:0/26:0)+H,761.65307,578.58703,702.57953,560.57637,182.190245,376.393685,184.07332,86.09648
