DMPE,[M-H]-,T1_RCOO-,T2_RCOO-
DMPE(12:0_18:4)-H,682.4453,199.17035,275.20165
DMPE(12:0_19:0)-H,704.5236,199.17035,297.27995
DMPE(12:0_20:0)-H,718.5392,199.17035,311.29555
DMPE(12:0_20:1)-H,716.5236,199.17035,309.27995
DMPE(12:0_20:2)-H,714.5079,199.17035,307.26425
DMPE(12:0_20:3)-H,712.4923,199.17035,305.24865
DMPE(12:0_20:4)-H,710.4766,199.17035,303.23295
DMPE(12:0_20:5)-H,708.461,199.17035,301.21735
DMPE(12:0_21:0)-H,732.5549,199.17035,325.31125
DMPE(12:0_22:0)-H,746.5705,199.17035,339.32685
DMPE(12:0_22:1)-H,744.5549,199.17035,337.31125
DMPE(12:0_22:2)-H,742.5392,199.17035,335.29555
DMPE(12:0_22:3)-H,740.5236,199.17035,333.27995
DMPE(12:0_22:4)-H,738.5079,199.17035,331.26425
DMPE(12:0_22:5)-H,736.4923,199.17035,329.24865
DMPE(12:0_22:6)-H,734.4766,199.17035,327.23295
DMPE(12:0_23:0)-H,760.5862,199.17035,353.34255
DMPE(12:0_24:0)-H,774.6018,199.17035,367.35815
DMPE(12:0_24:1)-H,772.5862,199.17035,365.34255
DMPE(12:0_25:0)-H,788.6175,199.17035,381.37385
DMPE(12:0_26:0)-H,802.6331,199.17035,395.38945
DMPE(13:0_13:0)-H,634.4454,213.18605,213.18605
DMPE(13:0_14:0)-H,648.461,213.18605,227.20165
DMPE(13:0_14:1)-H,646.4454,213.18605,225.18605
DMPE(13:0_15:0)-H,662.4767,213.18605,241.21735
DMPE(13:0_15:1)-H,660.461,213.18605,239.20165
DMPE(13:0_16:0)-H,676.4923,213.18605,255.23295
DMPE(13:0_16:1)-H,674.4767,213.18605,253.21735
DMPE(13:0_17:0)-H,690.508,213.18605,269.24865
DMPE(13:0_17:1)-H,688.4923,213.18605,267.23295
DMPE(13:0_17:2)-H,686.4767,213.18605,265.21735
DMPE(13:0_18:0)-H,704.5236,213.18605,283.26425
DMPE(13:0_18:1)-H,702.508,213.18605,281.24865
DMPE(13:0_18:2)-H,700.4923,213.18605,279.23295
DMPE(13:0_18:3)-H,698.4767,213.18605,277.21735
DMPE(13:0_18:4)-H,696.461,213.18605,275.20165
DMPE(13:0_19:0)-H,718.5393,213.18605,297.27995
DMPE(13:0_20:0)-H,732.5549,213.18605,311.29555
DMPE(13:0_20:1)-H,730.5393,213.18605,309.27995
DMPE(13:0_20:2)-H,728.5236,213.18605,307.26425
DMPE(13:0_20:3)-H,726.508,213.18605,305.24865
