DMPE,[M-H]-,T1_RCOO-,T2_RCOO-
DMPE(18:1_18:1)-H,770.5706,281.24865,281.24865
DMPE(18:1_18:2)-H,768.5549,281.24865,279.23295
DMPE(18:1_18:3)-H,766.5393,281.24865,277.21735
DMPE(18:1_18:4)-H,764.5236,281.24865,275.20165
DMPE(18:1_19:0)-H,786.6019,281.24865,297.27995
DMPE(18:1_20:0)-H,800.6175,281.24865,311.29555
DMPE(18:1_20:1)-H,798.6019,281.24865,309.27995
DMPE(18:1_20:2)-H,796.5862,281.24865,307.26425
DMPE(18:1_20:3)-H,794.5706,281.24865,305.24865
DMPE(18:1_20:4)-H,792.5549,281.24865,303.23295
DMPE(18:1_20:5)-H,790.5393,281.24865,301.21735
DMPE(18:1_21:0)-H,814.6332,281.24865,325.31125
DMPE(18:1_22:0)-H,828.6488,281.24865,339.32685
DMPE(18:1_22:1)-H,826.6332,281.24865,337.31125
DMPE(18:1_22:2)-H,824.6175,281.24865,335.29555
DMPE(18:1_22:3)-H,822.6019,281.24865,333.27995
DMPE(18:1_22:4)-H,820.5862,281.24865,331.26425
DMPE(18:1_22:5)-H,818.5706,281.24865,329.24865
DMPE(18:1_22:6)-H,816.5549,281.24865,327.23295
DMPE(18:1_23:0)-H,842.6645,281.24865,353.34255
DMPE(18:1_24:0)-H,856.6801,281.24865,367.35815
DMPE(18:1_24:1)-H,854.6645,281.24865,365.34255
DMPE(18:1_25:0)-H,870.6958,281.24865,381.37385
DMPE(18:1_26:0)-H,884.7114,281.24865,395.38945
DMPE(18:2_18:2)-H,766.5392,279.23295,279.23295
DMPE(18:2_18:3)-H,764.5236,279.23295,277.21735
DMPE(18:2_18:4)-H,762.5079,279.23295,275.20165
DMPE(18:2_19:0)-H,784.5862,279.23295,297.27995
DMPE(18:2_20:0)-H,798.6018,279.23295,311.29555
DMPE(18:2_20:1)-H,796.5862,279.23295,309.27995
DMPE(18:2_20:2)-H,794.5705,279.23295,307.26425
DMPE(18:2_20:3)-H,792.5549,279.23295,305.24865
DMPE(18:2_20:4)-H,790.5392,279.23295,303.23295
DMPE(18:2_20:5)-H,788.5236,279.23295,301.21735
DMPE(18:2_21:0)-H,812.6175,279.23295,325.31125
DMPE(18:2_22:0)-H,826.6331,279.23295,339.32685
DMPE(18:2_22:1)-H,824.6175,279.23295,337.31125
DMPE(18:2_22:2)-H,822.6018,279.23295,335.29555
DMPE(18:2_22:3)-H,820.5862,279.23295,333.27995
DMPE(18:2_22:4)-H,818.5705,279.23295,331.26425
DMPE(18:2_22:5)-H,816.5549,279.23295,329.24865
DMPE(18:2_22:6)-H,814.5392,279.23295,327.23295
DMPE(18:2_23:0)-H,840.6488,279.23295,353.34255
DMPE(18:2_24:0)-H,854.6644,279.23295,367.35815
DMPE(18:2_24:1)-H,852.6488,279.23295,365.34255
DMPE(18:2_25:0)-H,868.6801,279.23295,381.37385
DMPE(18:2_26:0)-H,882.6957,279.23295,395.38945
DMPE(18:3_18:3)-H,762.508,277.21735,277.21735
DMPE(18:3_18:4)-H,760.4923,277.21735,275.20165
DMPE(18:3_19:0)-H,782.5706,277.21735,297.27995
DMPE(18:3_20:0)-H,796.5862,277.21735,311.29555
DMPE(18:3_20:1)-H,794.5706,277.21735,309.27995
DMPE(18:3_20:2)-H,792.5549,277.21735,307.26425
DMPE(18:3_20:3)-H,790.5393,277.21735,305.24865
DMPE(18:3_20:4)-H,788.5236,277.21735,303.23295
DMPE(18:3_20:5)-H,786.508,277.21735,301.21735
DMPE(18:3_21:0)-H,810.6019,277.21735,325.31125
DMPE(18:3_22:0)-H,824.6175,277.21735,339.32685
DMPE(18:3_22:1)-H,822.6019,277.21735,337.31125
DMPE(18:3_22:2)-H,820.5862,277.21735,335.29555
DMPE(18:3_22:3)-H,818.5706,277.21735,333.27995
DMPE(18:3_22:4)-H,816.5549,277.21735,331.26425
DMPE(18:3_22:5)-H,814.5393,277.21735,329.24865
DMPE(18:3_22:6)-H,812.5236,277.21735,327.23295
DMPE(18:3_23:0)-H,838.6332,277.21735,353.34255
DMPE(18:3_24:0)-H,852.6488,277.21735,367.35815
DMPE(18:3_24:1)-H,850.6332,277.21735,365.34255
DMPE(18:3_25:0)-H,866.6645,277.21735,381.37385
DMPE(18:3_26:0)-H,880.6801,277.21735,395.38945
DMPE(18:4_18:4)-H,758.4766,275.20165,275.20165
DMPE(18:4_19:0)-H,780.5549,275.20165,297.27995
DMPE(18:4_20:0)-H,794.5705,275.20165,311.29555
DMPE(18:4_20:1)-H,792.5549,275.20165,309.27995
DMPE(18:4_20:2)-H,790.5392,275.20165,307.26425
DMPE(18:4_20:3)-H,788.5236,275.20165,305.24865
DMPE(18:4_20:4)-H,786.5079,275.20165,303.23295
DMPE(18:4_20:5)-H,784.4923,275.20165,301.21735
DMPE(18:4_21:0)-H,808.5862,275.20165,325.31125
DMPE(18:4_22:0)-H,822.6018,275.20165,339.32685
DMPE(18:4_22:1)-H,820.5862,275.20165,337.31125
DMPE(18:4_22:2)-H,818.5705,275.20165,335.29555
DMPE(18:4_22:3)-H,816.5549,275.20165,333.27995
DMPE(18:4_22:4)-H,814.5392,275.20165,331.26425
DMPE(18:4_22:5)-H,812.5236,275.20165,329.24865
DMPE(18:4_22:6)-H,810.5079,275.20165,327.23295
DMPE(18:4_23:0)-H,836.6175,275.20165,353.34255
DMPE(18:4_24:0)-H,850.6331,275.20165,367.35815
DMPE(18:4_24:1)-H,848.6175,275.20165,365.34255
DMPE(18:4_25:0)-H,864.6488,275.20165,381.37385
DMPE(18:4_26:0)-H,878.6644,275.20165,395.38945
DMPE(19:0_19:0)-H,802.6332,297.27995,297.27995
DMPE(19:0_20:0)-H,816.6488,297.27995,311.29555
DMPE(19:0_20:1)-H,814.6332,297.27995,309.27995
DMPE(19:0_20:2)-H,812.6175,297.27995,307.26425
DMPE(19:0_20:3)-H,810.6019,297.27995,305.24865
DMPE(19:0_20:4)-H,808.5862,297.27995,303.23295
DMPE(19:0_20:5)-H,806.5706,297.27995,301.21735
DMPE(19:0_21:0)-H,830.6645,297.27995,325.31125
DMPE(19:0_22:0)-H,844.6801,297.27995,339.32685
DMPE(19:0_22:1)-H,842.6645,297.27995,337.31125
DMPE(19:0_22:2)-H,840.6488,297.27995,335.29555
DMPE(19:0_22:3)-H,838.6332,297.27995,333.27995
DMPE(19:0_22:4)-H,836.6175,297.27995,331.26425
DMPE(19:0_22:5)-H,834.6019,297.27995,329.24865
DMPE(19:0_22:6)-H,832.5862,297.27995,327.23295
DMPE(19:0_23:0)-H,858.6958,297.27995,353.34255
DMPE(19:0_24:0)-H,872.7114,297.27995,367.35815
DMPE(19:0_24:1)-H,870.6958,297.27995,365.34255
DMPE(19:0_25:0)-H,886.7271,297.27995,381.37385
DMPE(19:0_26:0)-H,900.7427,297.27995,395.38945
DMPE(20:0_20:0)-H,830.6644,311.29555,311.29555
DMPE(20:0_20:1)-H,828.6488,311.29555,309.27995
DMPE(20:0_20:2)-H,826.6331,311.29555,307.26425
DMPE(20:0_20:3)-H,824.6175,311.29555,305.24865
DMPE(20:0_20:4)-H,822.6018,311.29555,303.23295
DMPE(20:0_20:5)-H,820.5862,311.29555,301.21735
DMPE(20:0_21:0)-H,844.6801,311.29555,325.31125
DMPE(20:0_22:0)-H,858.6957,311.29555,339.32685
DMPE(20:0_22:1)-H,856.6801,311.29555,337.31125
DMPE(20:0_22:2)-H,854.6644,311.29555,335.29555
DMPE(20:0_22:3)-H,852.6488,311.29555,333.27995
DMPE(20:0_22:4)-H,850.6331,311.29555,331.26425
DMPE(20:0_22:5)-H,848.6175,311.29555,329.24865
DMPE(20:0_22:6)-H,846.6018,311.29555,327.23295
DMPE(20:0_23:0)-H,872.7114,311.29555,353.34255
DMPE(20:0_24:0)-H,886.727,311.29555,367.35815
DMPE(20:0_24:1)-H,884.7114,311.29555,365.34255
DMPE(20:0_25:0)-H,900.7427,311.29555,381.37385
DMPE(20:0_26:0)-H,914.7583,311.29555,395.38945
DMPE(20:1_20:1)-H,826.6332,309.27995,309.27995
DMPE(20:1_20:2)-H,824.6175,309.27995,307.26425
DMPE(20:1_20:3)-H,822.6019,309.27995,305.24865
DMPE(20:1_20:4)-H,820.5862,309.27995,303.23295
DMPE(20:1_20:5)-H,818.5706,309.27995,301.21735
DMPE(20:1_21:0)-H,842.6645,309.27995,325.31125
DMPE(20:1_22:0)-H,856.6801,309.27995,339.32685
DMPE(20:1_22:1)-H,854.6645,309.27995,337.31125
DMPE(20:1_22:2)-H,852.6488,309.27995,335.29555
DMPE(20:1_22:3)-H,850.6332,309.27995,333.27995
DMPE(20:1_22:4)-H,848.6175,309.27995,331.26425
DMPE(20:1_22:5)-H,846.6019,309.27995,329.24865
DMPE(20:1_22:6)-H,844.5862,309.27995,327.23295
DMPE(20:1_23:0)-H,870.6958,309.27995,353.34255
DMPE(20:1_24:0)-H,884.7114,309.27995,367.35815
DMPE(20:1_24:1)-H,882.6958,309.27995,365.34255
DMPE(20:1_25:0)-H,898.7271,309.27995,381.37385
DMPE(20:1_26:0)-H,912.7427,309.27995,395.38945
DMPE(20:2_20:2)-H,822.6018,307.26425,307.26425
DMPE(20:2_20:3)-H,820.5862,307.26425,305.24865
DMPE(20:2_20:4)-H,818.5705,307.26425,303.23295
DMPE(20:2_20:5)-H,816.5549,307.26425,301.21735
DMPE(20:2_21:0)-H,840.6488,307.26425,325.31125
DMPE(20:2_22:0)-H,854.6644,307.26425,339.32685
DMPE(20:2_22:1)-H,852.6488,307.26425,337.31125
DMPE(20:2_22:2)-H,850.6331,307.26425,335.29555
DMPE(20:2_22:3)-H,848.6175,307.26425,333.27995
DMPE(20:2_22:4)-H,846.6018,307.26425,331.26425
DMPE(20:2_22:5)-H,844.5862,307.26425,329.24865
DMPE(20:2_22:6)-H,842.5705,307.26425,327.23295
DMPE(20:2_23:0)-H,868.6801,307.26425,353.34255
DMPE(20:2_24:0)-H,882.6957,307.26425,367.35815
DMPE(20:2_24:1)-H,880.6801,307.26425,365.34255
DMPE(20:2_25:0)-H,896.7114,307.26425,381.37385
DMPE(20:2_26:0)-H,910.727,307.26425,395.38945
DMPE(20:3_20:3)-H,818.5706,305.24865,305.24865
DMPE(20:3_20:4)-H,816.5549,305.24865,303.23295
DMPE(20:3_20:5)-H,814.5393,305.24865,301.21735
DMPE(20:3_21:0)-H,838.6332,305.24865,325.31125
DMPE(20:3_22:0)-H,852.6488,305.24865,339.32685
DMPE(20:3_22:1)-H,850.6332,305.24865,337.31125
DMPE(20:3_22:2)-H,848.6175,305.24865,335.29555
DMPE(20:3_22:3)-H,846.6019,305.24865,333.27995
DMPE(20:3_22:4)-H,844.5862,305.24865,331.26425
DMPE(20:3_22:5)-H,842.5706,305.24865,329.24865
DMPE(20:3_22:6)-H,840.5549,305.24865,327.23295
DMPE(20:3_23:0)-H,866.6645,305.24865,353.34255
DMPE(20:3_24:0)-H,880.6801,305.24865,367.35815
DMPE(20:3_24:1)-H,878.6645,305.24865,365.34255
DMPE(20:3_25:0)-H,894.6958,305.24865,381.37385
DMPE(20:3_26:0)-H,908.7114,305.24865,395.38945
DMPE(20:4_20:4)-H,814.5392,303.23295,303.23295
DMPE(20:4_20:5)-H,812.5236,303.23295,301.21735
DMPE(20:4_21:0)-H,836.6175,303.23295,325.31125
DMPE(20:4_22:0)-H,850.6331,303.23295,339.32685
DMPE(20:4_22:1)-H,848.6175,303.23295,337.31125
DMPE(20:4_22:2)-H,846.6018,303.23295,335.29555
DMPE(20:4_22:3)-H,844.5862,303.23295,333.27995
DMPE(20:4_22:4)-H,842.5705,303.23295,331.26425
DMPE(20:4_22:5)-H,840.5549,303.23295,329.24865
DMPE(20:4_22:6)-H,838.5392,303.23295,327.23295
DMPE(20:4_23:0)-H,864.6488,303.23295,353.34255
DMPE(20:4_24:0)-H,878.6644,303.23295,367.35815
DMPE(20:4_24:1)-H,876.6488,303.23295,365.34255
DMPE(20:4_25:0)-H,892.6801,303.23295,381.37385
DMPE(20:4_26:0)-H,906.6957,303.23295,395.38945
DMPE(20:5_20:5)-H,810.508,301.21735,301.21735
DMPE(20:5_21:0)-H,834.6019,301.21735,325.31125
DMPE(20:5_22:0)-H,848.6175,301.21735,339.32685
DMPE(20:5_22:1)-H,846.6019,301.21735,337.31125
DMPE(20:5_22:2)-H,844.5862,301.21735,335.29555
DMPE(20:5_22:3)-H,842.5706,301.21735,333.27995
DMPE(20:5_22:4)-H,840.5549,301.21735,331.26425
DMPE(20:5_22:5)-H,838.5393,301.21735,329.24865
DMPE(20:5_22:6)-H,836.5236,301.21735,327.23295
DMPE(20:5_23:0)-H,862.6332,301.21735,353.34255
DMPE(20:5_24:0)-H,876.6488,301.21735,367.35815
DMPE(20:5_24:1)-H,874.6332,301.21735,365.34255
DMPE(20:5_25:0)-H,890.6645,301.21735,381.37385
DMPE(20:5_26:0)-H,904.6801,301.21735,395.38945
DMPE(21:0_21:0)-H,858.6958,325.31125,325.31125
DMPE(21:0_22:0)-H,872.7114,325.31125,339.32685
DMPE(21:0_22:1)-H,870.6958,325.31125,337.31125
DMPE(21:0_22:2)-H,868.6801,325.31125,335.29555
DMPE(21:0_22:3)-H,866.6645,325.31125,333.27995
DMPE(21:0_22:4)-H,864.6488,325.31125,331.26425
DMPE(21:0_22:5)-H,862.6332,325.31125,329.24865
DMPE(21:0_22:6)-H,860.6175,325.31125,327.23295
DMPE(21:0_23:0)-H,886.7271,325.31125,353.34255
DMPE(21:0_24:0)-H,900.7427,325.31125,367.35815
DMPE(21:0_24:1)-H,898.7271,325.31125,365.34255
DMPE(21:0_25:0)-H,914.7584,325.31125,381.37385
DMPE(21:0_26:0)-H,928.774,325.31125,395.38945
DMPE(22:0_22:0)-H,886.727,339.32685,339.32685
DMPE(22:0_22:1)-H,884.7114,339.32685,337.31125
DMPE(22:0_22:2)-H,882.6957,339.32685,335.29555
DMPE(22:0_22:3)-H,880.6801,339.32685,333.27995
DMPE(22:0_22:4)-H,878.6644,339.32685,331.26425
DMPE(22:0_22:5)-H,876.6488,339.32685,329.24865
DMPE(22:0_22:6)-H,874.6331,339.32685,327.23295
DMPE(22:0_23:0)-H,900.7427,339.32685,353.34255
DMPE(22:0_24:0)-H,914.7583,339.32685,367.35815
DMPE(22:0_24:1)-H,912.7427,339.32685,365.34255
DMPE(22:0_25:0)-H,928.774,339.32685,381.37385
DMPE(22:0_26:0)-H,942.7896,339.32685,395.38945
DMPE(22:1_22:1)-H,882.6958,337.31125,337.31125
DMPE(22:1_22:2)-H,880.6801,337.31125,335.29555
DMPE(22:1_22:3)-H,878.6645,337.31125,333.27995
DMPE(22:1_22:4)-H,876.6488,337.31125,331.26425
DMPE(22:1_22:5)-H,874.6332,337.31125,329.24865
DMPE(22:1_22:6)-H,872.6175,337.31125,327.23295
DMPE(22:1_23:0)-H,898.7271,337.31125,353.34255
DMPE(22:1_24:0)-H,912.7427,337.31125,367.35815
DMPE(22:1_24:1)-H,910.7271,337.31125,365.34255
DMPE(22:1_25:0)-H,926.7584,337.31125,381.37385
DMPE(22:1_26:0)-H,940.774,337.31125,395.38945
DMPE(22:2_22:2)-H,878.6644,335.29555,335.29555
DMPE(22:2_22:3)-H,876.6488,335.29555,333.27995
DMPE(22:2_22:4)-H,874.6331,335.29555,331.26425
DMPE(22:2_22:5)-H,872.6175,335.29555,329.24865
DMPE(22:2_22:6)-H,870.6018,335.29555,327.23295
DMPE(22:2_23:0)-H,896.7114,335.29555,353.34255
DMPE(22:2_24:0)-H,910.727,335.29555,367.35815
DMPE(22:2_24:1)-H,908.7114,335.29555,365.34255
DMPE(22:2_25:0)-H,924.7427,335.29555,381.37385
DMPE(22:2_26:0)-H,938.7583,335.29555,395.38945
DMPE(22:3_22:3)-H,874.6332,333.27995,333.27995
DMPE(22:3_22:4)-H,872.6175,333.27995,331.26425
DMPE(22:3_22:5)-H,870.6019,333.27995,329.24865
DMPE(22:3_22:6)-H,868.5862,333.27995,327.23295
DMPE(22:3_23:0)-H,894.6958,333.27995,353.34255
DMPE(22:3_24:0)-H,908.7114,333.27995,367.35815
DMPE(22:3_24:1)-H,906.6958,333.27995,365.34255
DMPE(22:3_25:0)-H,922.7271,333.27995,381.37385
DMPE(22:3_26:0)-H,936.7427,333.27995,395.38945
DMPE(22:4_22:4)-H,870.6018,331.26425,331.26425
DMPE(22:4_22:5)-H,868.5862,331.26425,329.24865
DMPE(22:4_22:6)-H,866.5705,331.26425,327.23295
DMPE(22:4_23:0)-H,892.6801,331.26425,353.34255
DMPE(22:4_24:0)-H,906.6957,331.26425,367.35815
DMPE(22:4_24:1)-H,904.6801,331.26425,365.34255
DMPE(22:4_25:0)-H,920.7114,331.26425,381.37385
DMPE(22:4_26:0)-H,934.727,331.26425,395.38945
DMPE(22:5_22:5)-H,866.5706,329.24865,329.24865
DMPE(22:5_22:6)-H,864.5549,329.24865,327.23295
DMPE(22:5_23:0)-H,890.6645,329.24865,353.34255
DMPE(22:5_24:0)-H,904.6801,329.24865,367.35815
DMPE(22:5_24:1)-H,902.6645,329.24865,365.34255
DMPE(22:5_25:0)-H,918.6958,329.24865,381.37385
DMPE(22:5_26:0)-H,932.7114,329.24865,395.38945
DMPE(22:6_22:6)-H,862.5392,327.23295,327.23295
DMPE(22:6_23:0)-H,888.6488,327.23295,353.34255
DMPE(22:6_24:0)-H,902.6644,327.23295,367.35815
DMPE(22:6_24:1)-H,900.6488,327.23295,365.34255
DMPE(22:6_25:0)-H,916.6801,327.23295,381.37385
DMPE(22:6_26:0)-H,930.6957,327.23295,395.38945
DMPE(23:0_23:0)-H,914.7584,353.34255,353.34255
DMPE(23:0_24:0)-H,928.774,353.34255,367.35815
DMPE(23:0_24:1)-H,926.7584,353.34255,365.34255
DMPE(23:0_25:0)-H,942.7897,353.34255,381.37385
DMPE(23:0_26:0)-H,956.8053,353.34255,395.38945
DMPE(24:0_24:0)-H,942.7896,367.35815,367.35815
DMPE(24:0_24:1)-H,940.774,367.35815,365.34255
DMPE(24:0_25:0)-H,956.8053,367.35815,381.37385
DMPE(24:0_26:0)-H,970.8209,367.35815,395.38945
DMPE(24:1_24:1)-H,938.7584,365.34255,365.34255
DMPE(24:1_25:0)-H,954.7897,365.34255,381.37385
DMPE(24:1_26:0)-H,968.8053,365.34255,395.38945
DMPE(25:0_25:0)-H,970.821,381.37385,381.37385
DMPE(25:0_26:0)-H,984.8366,381.37385,395.38945
DMPE(26:0_26:0)-H,998.8522,395.38945,395.38945
