Cer-NP,[M+C2H3O2]-,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer-NP(t17:0/30:2)+C2H3O2,792.7081,732.687,714.6764,696.6658,502.4619,490.4619,490.4619,472.4513,253.2162,447.4207,241.2162,446.4362,211.2056
Cer-NP(t17:0/31:0)+C2H3O2,810.7551,750.7339,732.7234,714.7128,520.5089,508.5088,508.5088,490.4983,253.2162,465.4677,241.2162,464.4832,211.2056
Cer-NP(t17:0/31:1)+C2H3O2,808.7394,748.7183,730.7077,712.6971,518.4932,506.4932,506.4932,488.4826,253.2162,463.4521,241.2162,462.4675,211.2056
Cer-NP(t17:0/32:0)+C2H3O2,824.7707,764.7496,746.739,728.7285,534.5245,522.5245,522.5245,504.5139,253.2162,479.4834,241.2162,478.4988,211.2056
Cer-NP(t17:0/32:1)+C2H3O2,822.7551,762.7339,744.7234,726.7128,532.5089,520.5089,520.5089,502.4983,253.2162,477.4677,241.2162,476.4832,211.2056
Cer-NP(t17:0/32:2)+C2H3O2,820.7394,760.7183,742.7077,724.6971,530.4932,518.4932,518.4932,500.4826,253.2162,475.4521,241.2162,474.4675,211.2056
Cer-NP(t17:0/33:0)+C2H3O2,838.7864,778.7653,760.7547,742.7441,548.5401,536.5401,536.5401,518.5295,253.2162,493.499,241.2162,492.5144,211.2056
Cer-NP(t17:0/33:1)+C2H3O2,836.7707,776.7496,758.739,740.7285,546.5245,534.5245,534.5245,516.5139,253.2162,491.4834,241.2162,490.4988,211.2056
Cer-NP(t17:0/34:0)+C2H3O2,852.802,792.7809,774.7703,756.7598,562.5558,550.5558,550.5558,532.5452,253.2162,507.5146,241.2162,506.5301,211.2056
Cer-NP(t17:0/34:1)+C2H3O2,850.7864,790.7653,772.7547,754.7441,560.5401,548.5401,548.5401,530.5295,253.2162,505.499,241.2162,504.5144,211.2056
Cer-NP(t17:0/34:2)+C2H3O2,848.7707,788.7496,770.739,752.7285,558.5245,546.5245,546.5245,528.5139,253.2162,503.4834,241.2162,502.4988,211.2056
Cer-NP(t17:0/35:0)+C2H3O2,866.8177,806.7966,788.7859,770.7754,576.5714,564.5714,564.5714,546.5609,253.2162,521.5303,241.2162,520.5457,211.2056
Cer-NP(t17:0/35:1)+C2H3O2,864.802,804.7809,786.7703,768.7598,574.5558,562.5558,562.5558,544.5452,253.2162,519.5146,241.2162,518.5301,211.2056
Cer-NP(t17:0/36:0)+C2H3O2,880.8333,820.8122,802.8016,784.7911,590.5871,578.5871,578.5871,560.5765,253.2162,535.546,241.2162,534.5614,211.2056
Cer-NP(t17:0/36:1)+C2H3O2,878.8177,818.7966,800.7859,782.7754,588.5714,576.5714,576.5714,558.5609,253.2162,533.5303,241.2162,532.5457,211.2056
Cer-NP(t17:0/36:2)+C2H3O2,876.802,816.7809,798.7703,780.7598,586.5558,574.5558,574.5558,556.5452,253.2162,531.5146,241.2162,530.5301,211.2056
Cer-NP(t17:0/38:0)+C2H3O2,908.8646,848.8435,830.8329,812.8223,618.6183,606.6183,606.6183,588.6078,253.2162,563.5773,241.2162,562.5927,211.2056
Cer-NP(t17:0/38:1)+C2H3O2,906.849,846.8278,828.8173,810.8067,616.6027,604.6027,604.6027,586.5922,253.2162,561.5616,241.2162,560.577,211.2056
Cer-NP(t17:0/38:2)+C2H3O2,904.8333,844.8122,826.8016,808.7911,614.5871,602.5871,602.5871,584.5765,253.2162,559.546,241.2162,558.5614,211.2056
Cer-NP(t17:0/40:0)+C2H3O2,936.8959,876.8748,858.8642,840.8536,646.6497,634.6497,634.6497,616.6391,253.2162,591.6086,241.2162,590.624,211.2056
Cer-NP(t17:0/40:1)+C2H3O2,934.8802,874.8591,856.8486,838.838,644.634,632.634,632.634,614.6235,253.2162,589.5929,241.2162,588.6083,211.2056
Cer-NP(t17:0/40:2)+C2H3O2,932.8646,872.8435,854.8329,836.8223,642.6183,630.6183,630.6183,612.6078,253.2162,587.5773,241.2162,586.5927,211.2056
Cer-NP(t17:0/42:0)+C2H3O2,964.9272,904.9061,886.8955,868.8849,674.681,662.681,662.681,644.6704,253.2162,619.6398,241.2162,618.6553,211.2056
Cer-NP(t17:0/42:1)+C2H3O2,962.9116,902.8904,884.8799,866.8693,672.6653,660.6653,660.6653,642.6547,253.2162,617.6242,241.2162,616.6396,211.2056
Cer-NP(t17:0/42:2)+C2H3O2,960.8959,900.8748,882.8642,864.8536,670.6497,658.6497,658.6497,640.6391,253.2162,615.6086,241.2162,614.624,211.2056
Cer-NP(t17:1/12:0)+C2H3O2,542.4421,482.4209,464.4104,446.3998,254.2115,242.2115,242.2115,224.2009,251.2006,199.1704,239.2006,198.1858,209.19
Cer-NP(t17:1/12:1)+C2H3O2,540.4264,480.4053,462.3947,444.3842,252.1958,240.1958,240.1958,222.1853,251.2006,197.1547,239.2006,196.1701,209.19
Cer-NP(t17:1/13:0)+C2H3O2,556.4577,496.4366,478.426,460.4154,268.2271,256.2271,256.2271,238.2166,251.2006,213.186,239.2006,212.2014,209.19
Cer-NP(t17:1/13:1)+C2H3O2,554.4421,494.4209,476.4104,458.3998,266.2115,254.2115,254.2115,236.2009,251.2006,211.1704,239.2006,210.1858,209.19
Cer-NP(t17:1/14:0)+C2H3O2,570.4734,510.4522,492.4417,474.4311,282.2428,270.2428,270.2428,252.2322,251.2006,227.2017,239.2006,226.2171,209.19
Cer-NP(t17:1/14:1)+C2H3O2,568.4577,508.4366,490.426,472.4154,280.2271,268.2271,268.2271,250.2166,251.2006,225.186,239.2006,224.2014,209.19
Cer-NP(t17:1/15:0)+C2H3O2,584.489,524.4679,506.4573,488.4467,296.2584,284.2584,284.2584,266.2479,251.2006,241.2173,239.2006,240.2327,209.19
Cer-NP(t17:1/15:1)+C2H3O2,582.4734,522.4523,504.4417,486.4311,294.2428,282.2428,282.2428,264.2322,251.2006,239.2017,239.2006,238.2171,209.19
Cer-NP(t17:1/16:0)+C2H3O2,598.5047,538.4835,520.473,502.4624,310.2741,298.2741,298.2741,280.2635,251.2006,255.233,239.2006,254.2484,209.19
Cer-NP(t17:1/16:1)+C2H3O2,596.489,536.4679,518.4573,500.4467,308.2584,296.2584,296.2584,278.2479,251.2006,253.2173,239.2006,252.2327,209.19
Cer-NP(t17:1/16:2)+C2H3O2,594.4734,534.4523,516.4417,498.4311,306.2428,294.2428,294.2428,276.2322,251.2006,251.2017,239.2006,250.2171,209.19
Cer-NP(t17:1/17:0)+C2H3O2,612.5203,552.4992,534.4886,516.478,324.2897,312.2897,312.2897,294.2791,251.2006,269.2486,239.2006,268.264,209.19
Cer-NP(t17:1/18:0)+C2H3O2,626.5359,566.5148,548.5043,530.4937,338.3054,326.3054,326.3054,308.2948,251.2006,283.2643,239.2006,282.2797,209.19
Cer-NP(t17:1/18:1)+C2H3O2,624.5203,564.4992,546.4886,528.478,336.2897,324.2897,324.2897,306.2791,251.2006,281.2486,239.2006,280.264,209.19
Cer-NP(t17:1/18:2)+C2H3O2,622.5047,562.4835,544.473,526.4624,334.2741,322.2741,322.2741,304.2635,251.2006,279.233,239.2006,278.2484,209.19
Cer-NP(t17:1/19:0)+C2H3O2,640.5516,580.5305,562.5199,544.5093,352.321,340.321,340.321,322.3105,251.2006,297.2799,239.2006,296.2953,209.19
Cer-NP(t17:1/19:1)+C2H3O2,638.5359,578.5148,560.5043,542.4937,350.3054,338.3054,338.3054,320.2948,251.2006,295.2643,239.2006,294.2797,209.19
Cer-NP(t17:1/20:0)+C2H3O2,654.5673,594.5461,576.5356,558.525,366.3367,354.3367,354.3367,336.3261,251.2006,311.2956,239.2006,310.311,209.19
Cer-NP(t17:1/20:1)+C2H3O2,652.5516,592.5305,574.5199,556.5093,364.321,352.321,352.321,334.3105,251.2006,309.2799,239.2006,308.2953,209.19
Cer-NP(t17:1/20:2)+C2H3O2,650.5359,590.5148,572.5043,554.4937,362.3054,350.3054,350.3054,332.2948,251.2006,307.2643,239.2006,306.2797,209.19
Cer-NP(t17:1/21:0)+C2H3O2,668.5829,608.5618,590.5512,572.5406,380.3523,368.3523,368.3523,350.3417,251.2006,325.3112,239.2006,324.3266,209.19
Cer-NP(t17:1/21:1)+C2H3O2,666.5673,606.5461,588.5356,570.525,378.3367,366.3367,366.3367,348.3261,251.2006,323.2956,239.2006,322.311,209.19
Cer-NP(t17:1/22:0)+C2H3O2,682.5986,622.5775,604.5669,586.5563,394.368,382.368,382.368,364.3574,251.2006,339.3269,239.2006,338.3423,209.19
Cer-NP(t17:1/22:1)+C2H3O2,680.5829,620.5618,602.5512,584.5406,392.3523,380.3523,380.3523,362.3417,251.2006,337.3112,239.2006,336.3266,209.19
Cer-NP(t17:1/22:2)+C2H3O2,678.5673,618.5461,600.5356,582.525,390.3367,378.3367,378.3367,360.3261,251.2006,335.2956,239.2006,334.311,209.19
Cer-NP(t17:1/23:0)+C2H3O2,696.6142,636.5931,618.5825,600.572,408.3836,396.3836,396.3836,378.373,251.2006,353.3425,239.2006,352.3579,209.19
Cer-NP(t17:1/23:1)+C2H3O2,694.5986,634.5775,616.5669,598.5563,406.368,394.368,394.368,376.3574,251.2006,351.3269,239.2006,350.3423,209.19
Cer-NP(t17:1/24:0)+C2H3O2,710.6299,650.6088,632.5981,614.5876,422.3993,410.3993,410.3993,392.3887,251.2006,367.3582,239.2006,366.3736,209.19
Cer-NP(t17:1/24:1)+C2H3O2,708.6142,648.5931,630.5825,612.572,420.3836,408.3836,408.3836,390.373,251.2006,365.3425,239.2006,364.3579,209.19
Cer-NP(t17:1/24:2)+C2H3O2,706.5986,646.5775,628.5669,610.5563,418.368,406.368,406.368,388.3574,251.2006,363.3269,239.2006,362.3423,209.19
Cer-NP(t17:1/25:0)+C2H3O2,724.6455,664.6244,646.6138,628.6033,436.4149,424.4149,424.4149,406.4044,251.2006,381.3738,239.2006,380.3893,209.19
Cer-NP(t17:1/25:1)+C2H3O2,722.6299,662.6088,644.5981,626.5876,434.3993,422.3993,422.3993,404.3887,251.2006,379.3582,239.2006,378.3736,209.19
Cer-NP(t17:1/26:0)+C2H3O2,738.6612,678.64,660.6295,642.6189,450.4306,438.4306,438.4306,420.42,251.2006,395.3895,239.2006,394.4049,209.19
Cer-NP(t17:1/26:1)+C2H3O2,736.6455,676.6244,658.6138,640.6033,448.4149,436.4149,436.4149,418.4044,251.2006,393.3738,239.2006,392.3893,209.19
Cer-NP(t17:1/26:2)+C2H3O2,734.6299,674.6088,656.5981,638.5876,446.3993,434.3993,434.3993,416.3887,251.2006,391.3582,239.2006,390.3736,209.19
Cer-NP(t17:1/27:0)+C2H3O2,752.6768,692.6557,674.6451,656.6345,464.4462,452.4462,452.4462,434.4356,251.2006,409.4051,239.2006,408.4205,209.19
Cer-NP(t17:1/27:1)+C2H3O2,750.6612,690.64,672.6295,654.6189,462.4306,450.4306,450.4306,432.42,251.2006,407.3895,239.2006,406.4049,209.19
Cer-NP(t17:1/28:0)+C2H3O2,766.6924,706.6713,688.6608,670.6502,478.4619,466.4619,466.4619,448.4513,251.2006,423.4207,239.2006,422.4362,209.19
Cer-NP(t17:1/28:1)+C2H3O2,764.6768,704.6557,686.6451,668.6345,476.4462,464.4462,464.4462,446.4356,251.2006,421.4051,239.2006,420.4205,209.19
Cer-NP(t17:1/28:2)+C2H3O2,762.6612,702.64,684.6295,666.6189,474.4306,462.4306,462.4306,444.42,251.2006,419.3895,239.2006,418.4049,209.19
Cer-NP(t17:1/29:0)+C2H3O2,780.7081,720.687,702.6764,684.6658,492.4775,480.4775,480.4775,462.4669,251.2006,437.4364,239.2006,436.4518,209.19
Cer-NP(t17:1/29:1)+C2H3O2,778.6924,718.6713,700.6608,682.6502,490.4619,478.4619,478.4619,460.4513,251.2006,435.4207,239.2006,434.4362,209.19
Cer-NP(t17:1/30:0)+C2H3O2,794.7238,734.7026,716.6921,698.6815,506.4932,494.4932,494.4932,476.4826,251.2006,451.4521,239.2006,450.4675,209.19
Cer-NP(t17:1/30:1)+C2H3O2,792.7081,732.687,714.6764,696.6658,504.4775,492.4775,492.4775,474.4669,251.2006,449.4364,239.2006,448.4518,209.19
Cer-NP(t17:1/30:2)+C2H3O2,790.6924,730.6713,712.6608,694.6502,502.4619,490.4619,490.4619,472.4513,251.2006,447.4207,239.2006,446.4362,209.19
Cer-NP(t17:1/31:0)+C2H3O2,808.7394,748.7183,730.7077,712.6971,520.5089,508.5088,508.5088,490.4983,251.2006,465.4677,239.2006,464.4832,209.19
Cer-NP(t17:1/31:1)+C2H3O2,806.7238,746.7026,728.6921,710.6815,518.4932,506.4932,506.4932,488.4826,251.2006,463.4521,239.2006,462.4675,209.19
Cer-NP(t17:1/32:0)+C2H3O2,822.7551,762.7339,744.7234,726.7128,534.5245,522.5245,522.5245,504.5139,251.2006,479.4834,239.2006,478.4988,209.19
Cer-NP(t17:1/32:1)+C2H3O2,820.7394,760.7183,742.7077,724.6971,532.5089,520.5089,520.5089,502.4983,251.2006,477.4677,239.2006,476.4832,209.19
Cer-NP(t17:1/32:2)+C2H3O2,818.7238,758.7026,740.6921,722.6815,530.4932,518.4932,518.4932,500.4826,251.2006,475.4521,239.2006,474.4675,209.19
Cer-NP(t17:1/33:0)+C2H3O2,836.7707,776.7496,758.739,740.7285,548.5401,536.5401,536.5401,518.5295,251.2006,493.499,239.2006,492.5144,209.19
Cer-NP(t17:1/33:1)+C2H3O2,834.7551,774.7339,756.7234,738.7128,546.5245,534.5245,534.5245,516.5139,251.2006,491.4834,239.2006,490.4988,209.19
Cer-NP(t17:1/34:0)+C2H3O2,850.7864,790.7653,772.7547,754.7441,562.5558,550.5558,550.5558,532.5452,251.2006,507.5146,239.2006,506.5301,209.19
Cer-NP(t17:1/34:1)+C2H3O2,848.7707,788.7496,770.739,752.7285,560.5401,548.5401,548.5401,530.5295,251.2006,505.499,239.2006,504.5144,209.19
Cer-NP(t17:1/34:2)+C2H3O2,846.7551,786.7339,768.7234,750.7128,558.5245,546.5245,546.5245,528.5139,251.2006,503.4834,239.2006,502.4988,209.19
Cer-NP(t17:1/35:0)+C2H3O2,864.802,804.7809,786.7703,768.7598,576.5714,564.5714,564.5714,546.5609,251.2006,521.5303,239.2006,520.5457,209.19
Cer-NP(t17:1/35:1)+C2H3O2,862.7864,802.7653,784.7547,766.7441,574.5558,562.5558,562.5558,544.5452,251.2006,519.5146,239.2006,518.5301,209.19
Cer-NP(t17:1/36:0)+C2H3O2,878.8177,818.7966,800.7859,782.7754,590.5871,578.5871,578.5871,560.5765,251.2006,535.546,239.2006,534.5614,209.19
Cer-NP(t17:1/36:1)+C2H3O2,876.802,816.7809,798.7703,780.7598,588.5714,576.5714,576.5714,558.5609,251.2006,533.5303,239.2006,532.5457,209.19
Cer-NP(t17:1/36:2)+C2H3O2,874.7864,814.7653,796.7547,778.7441,586.5558,574.5558,574.5558,556.5452,251.2006,531.5146,239.2006,530.5301,209.19
Cer-NP(t17:1/38:0)+C2H3O2,906.849,846.8278,828.8173,810.8067,618.6183,606.6183,606.6183,588.6078,251.2006,563.5773,239.2006,562.5927,209.19
Cer-NP(t17:1/38:1)+C2H3O2,904.8333,844.8122,826.8016,808.7911,616.6027,604.6027,604.6027,586.5922,251.2006,561.5616,239.2006,560.577,209.19
Cer-NP(t17:1/38:2)+C2H3O2,902.8177,842.7966,824.7859,806.7754,614.5871,602.5871,602.5871,584.5765,251.2006,559.546,239.2006,558.5614,209.19
Cer-NP(t17:1/40:0)+C2H3O2,934.8802,874.8591,856.8486,838.838,646.6497,634.6497,634.6497,616.6391,251.2006,591.6086,239.2006,590.624,209.19
Cer-NP(t17:1/40:1)+C2H3O2,932.8646,872.8435,854.8329,836.8223,644.634,632.634,632.634,614.6235,251.2006,589.5929,239.2006,588.6083,209.19
Cer-NP(t17:1/40:2)+C2H3O2,930.849,870.8278,852.8173,834.8067,642.6183,630.6183,630.6183,612.6078,251.2006,587.5773,239.2006,586.5927,209.19
Cer-NP(t17:1/42:0)+C2H3O2,962.9116,902.8904,884.8799,866.8693,674.681,662.681,662.681,644.6704,251.2006,619.6398,239.2006,618.6553,209.19
Cer-NP(t17:1/42:1)+C2H3O2,960.8959,900.8748,882.8642,864.8536,672.6653,660.6653,660.6653,642.6547,251.2006,617.6242,239.2006,616.6396,209.19
Cer-NP(t17:1/42:2)+C2H3O2,958.8802,898.8591,880.8486,862.838,670.6497,658.6497,658.6497,640.6391,251.2006,615.6086,239.2006,614.624,209.19
Cer-NP(t17:2/12:0)+C2H3O2,540.4264,480.4053,462.3947,444.3842,254.2115,242.2115,242.2115,224.2009,249.1849,199.1704,237.1849,198.1858,207.1743
Cer-NP(t17:2/12:1)+C2H3O2,538.4108,478.3896,460.3791,442.3685,252.1958,240.1958,240.1958,222.1853,249.1849,197.1547,237.1849,196.1701,207.1743
Cer-NP(t17:2/13:0)+C2H3O2,554.4421,494.4209,476.4104,458.3998,268.2271,256.2271,256.2271,238.2166,249.1849,213.186,237.1849,212.2014,207.1743
Cer-NP(t17:2/13:1)+C2H3O2,552.4264,492.4053,474.3947,456.3842,266.2115,254.2115,254.2115,236.2009,249.1849,211.1704,237.1849,210.1858,207.1743
Cer-NP(t17:2/14:0)+C2H3O2,568.4577,508.4366,490.426,472.4154,282.2428,270.2428,270.2428,252.2322,249.1849,227.2017,237.1849,226.2171,207.1743
Cer-NP(t17:2/14:1)+C2H3O2,566.4421,506.4209,488.4104,470.3998,280.2271,268.2271,268.2271,250.2166,249.1849,225.186,237.1849,224.2014,207.1743
Cer-NP(t17:2/15:0)+C2H3O2,582.4734,522.4523,504.4417,486.4311,296.2584,284.2584,284.2584,266.2479,249.1849,241.2173,237.1849,240.2327,207.1743
Cer-NP(t17:2/15:1)+C2H3O2,580.4577,520.4366,502.426,484.4154,294.2428,282.2428,282.2428,264.2322,249.1849,239.2017,237.1849,238.2171,207.1743
Cer-NP(t17:2/16:0)+C2H3O2,596.489,536.4679,518.4573,500.4467,310.2741,298.2741,298.2741,280.2635,249.1849,255.233,237.1849,254.2484,207.1743
Cer-NP(t17:2/16:1)+C2H3O2,594.4734,534.4523,516.4417,498.4311,308.2584,296.2584,296.2584,278.2479,249.1849,253.2173,237.1849,252.2327,207.1743
Cer-NP(t17:2/16:2)+C2H3O2,592.4577,532.4366,514.426,496.4154,306.2428,294.2428,294.2428,276.2322,249.1849,251.2017,237.1849,250.2171,207.1743
Cer-NP(t17:2/17:0)+C2H3O2,610.5047,550.4835,532.473,514.4624,324.2897,312.2897,312.2897,294.2791,249.1849,269.2486,237.1849,268.264,207.1743
Cer-NP(t17:2/18:0)+C2H3O2,624.5203,564.4992,546.4886,528.478,338.3054,326.3054,326.3054,308.2948,249.1849,283.2643,237.1849,282.2797,207.1743
Cer-NP(t17:2/18:1)+C2H3O2,622.5047,562.4835,544.473,526.4624,336.2897,324.2897,324.2897,306.2791,249.1849,281.2486,237.1849,280.264,207.1743
Cer-NP(t17:2/18:2)+C2H3O2,620.489,560.4679,542.4573,524.4468,334.2741,322.2741,322.2741,304.2635,249.1849,279.233,237.1849,278.2484,207.1743
Cer-NP(t17:2/19:0)+C2H3O2,638.5359,578.5148,560.5043,542.4937,352.321,340.321,340.321,322.3105,249.1849,297.2799,237.1849,296.2953,207.1743
Cer-NP(t17:2/19:1)+C2H3O2,636.5203,576.4992,558.4886,540.478,350.3054,338.3054,338.3054,320.2948,249.1849,295.2643,237.1849,294.2797,207.1743
Cer-NP(t17:2/20:0)+C2H3O2,652.5516,592.5305,574.5199,556.5093,366.3367,354.3367,354.3367,336.3261,249.1849,311.2956,237.1849,310.311,207.1743
Cer-NP(t17:2/20:1)+C2H3O2,650.5359,590.5148,572.5043,554.4937,364.321,352.321,352.321,334.3105,249.1849,309.2799,237.1849,308.2953,207.1743
Cer-NP(t17:2/20:2)+C2H3O2,648.5203,588.4992,570.4886,552.478,362.3054,350.3054,350.3054,332.2948,249.1849,307.2643,237.1849,306.2797,207.1743
Cer-NP(t17:2/21:0)+C2H3O2,666.5673,606.5461,588.5356,570.525,380.3523,368.3523,368.3523,350.3417,249.1849,325.3112,237.1849,324.3266,207.1743
Cer-NP(t17:2/21:1)+C2H3O2,664.5516,604.5305,586.5199,568.5093,378.3367,366.3367,366.3367,348.3261,249.1849,323.2956,237.1849,322.311,207.1743
Cer-NP(t17:2/22:0)+C2H3O2,680.5829,620.5618,602.5512,584.5406,394.368,382.368,382.368,364.3574,249.1849,339.3269,237.1849,338.3423,207.1743
Cer-NP(t17:2/22:1)+C2H3O2,678.5673,618.5461,600.5356,582.525,392.3523,380.3523,380.3523,362.3417,249.1849,337.3112,237.1849,336.3266,207.1743
Cer-NP(t17:2/22:2)+C2H3O2,676.5516,616.5305,598.5199,580.5093,390.3367,378.3367,378.3367,360.3261,249.1849,335.2956,237.1849,334.311,207.1743
Cer-NP(t17:2/23:0)+C2H3O2,694.5986,634.5775,616.5669,598.5563,408.3836,396.3836,396.3836,378.373,249.1849,353.3425,237.1849,352.3579,207.1743
Cer-NP(t17:2/23:1)+C2H3O2,692.5829,632.5618,614.5512,596.5406,406.368,394.368,394.368,376.3574,249.1849,351.3269,237.1849,350.3423,207.1743
Cer-NP(t17:2/24:0)+C2H3O2,708.6142,648.5931,630.5825,612.572,422.3993,410.3993,410.3993,392.3887,249.1849,367.3582,237.1849,366.3736,207.1743
Cer-NP(t17:2/24:1)+C2H3O2,706.5986,646.5775,628.5669,610.5563,420.3836,408.3836,408.3836,390.373,249.1849,365.3425,237.1849,364.3579,207.1743
Cer-NP(t17:2/24:2)+C2H3O2,704.5829,644.5618,626.5512,608.5406,418.368,406.368,406.368,388.3574,249.1849,363.3269,237.1849,362.3423,207.1743
Cer-NP(t17:2/25:0)+C2H3O2,722.6299,662.6088,644.5981,626.5876,436.4149,424.4149,424.4149,406.4044,249.1849,381.3738,237.1849,380.3893,207.1743
Cer-NP(t17:2/25:1)+C2H3O2,720.6142,660.5931,642.5825,624.572,434.3993,422.3993,422.3993,404.3887,249.1849,379.3582,237.1849,378.3736,207.1743
Cer-NP(t17:2/26:0)+C2H3O2,736.6455,676.6244,658.6138,640.6033,450.4306,438.4306,438.4306,420.42,249.1849,395.3895,237.1849,394.4049,207.1743
Cer-NP(t17:2/26:1)+C2H3O2,734.6299,674.6088,656.5981,638.5876,448.4149,436.4149,436.4149,418.4044,249.1849,393.3738,237.1849,392.3893,207.1743
Cer-NP(t17:2/26:2)+C2H3O2,732.6142,672.5931,654.5825,636.572,446.3993,434.3993,434.3993,416.3887,249.1849,391.3582,237.1849,390.3736,207.1743
Cer-NP(t17:2/27:0)+C2H3O2,750.6612,690.64,672.6295,654.6189,464.4462,452.4462,452.4462,434.4356,249.1849,409.4051,237.1849,408.4205,207.1743
Cer-NP(t17:2/27:1)+C2H3O2,748.6455,688.6244,670.6138,652.6033,462.4306,450.4306,450.4306,432.42,249.1849,407.3895,237.1849,406.4049,207.1743
Cer-NP(t17:2/28:0)+C2H3O2,764.6768,704.6557,686.6451,668.6345,478.4619,466.4619,466.4619,448.4513,249.1849,423.4207,237.1849,422.4362,207.1743
Cer-NP(t17:2/28:1)+C2H3O2,762.6612,702.64,684.6295,666.6189,476.4462,464.4462,464.4462,446.4356,249.1849,421.4051,237.1849,420.4205,207.1743
Cer-NP(t17:2/28:2)+C2H3O2,760.6455,700.6244,682.6138,664.6033,474.4306,462.4306,462.4306,444.42,249.1849,419.3895,237.1849,418.4049,207.1743
Cer-NP(t17:2/29:0)+C2H3O2,778.6924,718.6713,700.6608,682.6502,492.4775,480.4775,480.4775,462.4669,249.1849,437.4364,237.1849,436.4518,207.1743
Cer-NP(t17:2/29:1)+C2H3O2,776.6768,716.6557,698.6451,680.6345,490.4619,478.4619,478.4619,460.4513,249.1849,435.4207,237.1849,434.4362,207.1743
Cer-NP(t17:2/30:0)+C2H3O2,792.7081,732.687,714.6764,696.6658,506.4932,494.4932,494.4932,476.4826,249.1849,451.4521,237.1849,450.4675,207.1743
Cer-NP(t17:2/30:1)+C2H3O2,790.6924,730.6713,712.6608,694.6502,504.4775,492.4775,492.4775,474.4669,249.1849,449.4364,237.1849,448.4518,207.1743
Cer-NP(t17:2/30:2)+C2H3O2,788.6768,728.6557,710.6451,692.6345,502.4619,490.4619,490.4619,472.4513,249.1849,447.4207,237.1849,446.4362,207.1743
Cer-NP(t17:2/31:0)+C2H3O2,806.7238,746.7026,728.6921,710.6815,520.5089,508.5088,508.5088,490.4983,249.1849,465.4677,237.1849,464.4832,207.1743
Cer-NP(t17:2/31:1)+C2H3O2,804.7081,744.687,726.6764,708.6658,518.4932,506.4932,506.4932,488.4826,249.1849,463.4521,237.1849,462.4675,207.1743
Cer-NP(t17:2/32:0)+C2H3O2,820.7394,760.7183,742.7077,724.6971,534.5245,522.5245,522.5245,504.5139,249.1849,479.4834,237.1849,478.4988,207.1743
Cer-NP(t17:2/32:1)+C2H3O2,818.7238,758.7026,740.6921,722.6815,532.5089,520.5089,520.5089,502.4983,249.1849,477.4677,237.1849,476.4832,207.1743
Cer-NP(t17:2/32:2)+C2H3O2,816.7081,756.687,738.6764,720.6658,530.4932,518.4932,518.4932,500.4826,249.1849,475.4521,237.1849,474.4675,207.1743
Cer-NP(t17:2/33:0)+C2H3O2,834.7551,774.7339,756.7234,738.7128,548.5401,536.5401,536.5401,518.5295,249.1849,493.499,237.1849,492.5144,207.1743
Cer-NP(t17:2/33:1)+C2H3O2,832.7394,772.7183,754.7077,736.6971,546.5245,534.5245,534.5245,516.5139,249.1849,491.4834,237.1849,490.4988,207.1743
Cer-NP(t17:2/34:0)+C2H3O2,848.7707,788.7496,770.739,752.7285,562.5558,550.5558,550.5558,532.5452,249.1849,507.5146,237.1849,506.5301,207.1743
Cer-NP(t17:2/34:1)+C2H3O2,846.7551,786.7339,768.7234,750.7128,560.5401,548.5401,548.5401,530.5295,249.1849,505.499,237.1849,504.5144,207.1743
Cer-NP(t17:2/34:2)+C2H3O2,844.7394,784.7183,766.7077,748.6971,558.5245,546.5245,546.5245,528.5139,249.1849,503.4834,237.1849,502.4988,207.1743
Cer-NP(t17:2/35:0)+C2H3O2,862.7864,802.7653,784.7547,766.7441,576.5714,564.5714,564.5714,546.5609,249.1849,521.5303,237.1849,520.5457,207.1743
Cer-NP(t17:2/35:1)+C2H3O2,860.7707,800.7496,782.739,764.7285,574.5558,562.5558,562.5558,544.5452,249.1849,519.5146,237.1849,518.5301,207.1743
Cer-NP(t17:2/36:0)+C2H3O2,876.802,816.7809,798.7703,780.7598,590.5871,578.5871,578.5871,560.5765,249.1849,535.546,237.1849,534.5614,207.1743
Cer-NP(t17:2/36:1)+C2H3O2,874.7864,814.7653,796.7547,778.7441,588.5714,576.5714,576.5714,558.5609,249.1849,533.5303,237.1849,532.5457,207.1743
Cer-NP(t17:2/36:2)+C2H3O2,872.7707,812.7496,794.739,776.7285,586.5558,574.5558,574.5558,556.5452,249.1849,531.5146,237.1849,530.5301,207.1743
Cer-NP(t17:2/38:0)+C2H3O2,904.8333,844.8122,826.8016,808.7911,618.6183,606.6183,606.6183,588.6078,249.1849,563.5773,237.1849,562.5927,207.1743
Cer-NP(t17:2/38:1)+C2H3O2,902.8177,842.7966,824.7859,806.7754,616.6027,604.6027,604.6027,586.5922,249.1849,561.5616,237.1849,560.577,207.1743
Cer-NP(t17:2/38:2)+C2H3O2,900.802,840.7809,822.7703,804.7598,614.5871,602.5871,602.5871,584.5765,249.1849,559.546,237.1849,558.5614,207.1743
