Cer-NP,[M+C2H3O2]-,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer-NP(t14:0/26:2)+C2H3O2,694.5986,634.5775,616.5669,598.5563,446.3993,434.3993,434.3993,416.3887,211.1693,391.3582,199.1693,390.3736,169.1587
Cer-NP(t14:0/27:0)+C2H3O2,712.6455,652.6244,634.6138,616.6033,464.4462,452.4462,452.4462,434.4356,211.1693,409.4051,199.1693,408.4205,169.1587
Cer-NP(t14:0/27:1)+C2H3O2,710.6299,650.6088,632.5981,614.5876,462.4306,450.4306,450.4306,432.42,211.1693,407.3895,199.1693,406.4049,169.1587
Cer-NP(t14:0/28:0)+C2H3O2,726.6612,666.64,648.6295,630.6189,478.4619,466.4619,466.4619,448.4513,211.1693,423.4207,199.1693,422.4362,169.1587
Cer-NP(t14:0/28:1)+C2H3O2,724.6455,664.6244,646.6138,628.6033,476.4462,464.4462,464.4462,446.4356,211.1693,421.4051,199.1693,420.4205,169.1587
Cer-NP(t14:0/28:2)+C2H3O2,722.6299,662.6088,644.5981,626.5876,474.4306,462.4306,462.4306,444.42,211.1693,419.3895,199.1693,418.4049,169.1587
Cer-NP(t14:0/29:0)+C2H3O2,740.6768,680.6557,662.6451,644.6345,492.4775,480.4775,480.4775,462.4669,211.1693,437.4364,199.1693,436.4518,169.1587
Cer-NP(t14:0/29:1)+C2H3O2,738.6612,678.64,660.6295,642.6189,490.4619,478.4619,478.4619,460.4513,211.1693,435.4207,199.1693,434.4362,169.1587
Cer-NP(t14:0/30:0)+C2H3O2,754.6924,694.6713,676.6608,658.6502,506.4932,494.4932,494.4932,476.4826,211.1693,451.4521,199.1693,450.4675,169.1587
Cer-NP(t14:0/30:1)+C2H3O2,752.6768,692.6557,674.6451,656.6345,504.4775,492.4775,492.4775,474.4669,211.1693,449.4364,199.1693,448.4518,169.1587
Cer-NP(t14:0/30:2)+C2H3O2,750.6612,690.64,672.6295,654.6189,502.4619,490.4619,490.4619,472.4513,211.1693,447.4207,199.1693,446.4362,169.1587
Cer-NP(t14:0/31:0)+C2H3O2,768.7081,708.687,690.6764,672.6658,520.5089,508.5088,508.5088,490.4983,211.1693,465.4677,199.1693,464.4832,169.1587
