GM3,[M+NH4]+,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+
GM3(d38:3)+NH4,1222.77855,1205.752,1187.742,914.6569,896.6463,752.6041,734.5934,590.5512,572.5406,292.1027
GM3(d39:0)+NH4,1242.84055,1225.814,1207.804,934.7189,916.7083,772.666,754.6555,610.6132,592.6027,292.1027
GM3(d39:1)+NH4,1240.82455,1223.798,1205.788,932.7029,914.6923,770.65,752.6395,608.5972,590.5867,292.1027
GM3(d39:2)+NH4,1238.80955,1221.783,1203.773,930.6879,912.6773,768.635,750.6245,606.5822,588.5717,292.1027
GM3(d39:3)+NH4,1236.79355,1219.767,1201.757,928.6719,910.6613,766.619,748.6085,604.5662,586.5557,292.1027
GM3(d40:0)+NH4,1256.85655,1239.83,1221.82,948.7349,930.7243,786.6821,768.6714,624.6292,606.6187,292.1027
GM3(d40:1)+NH4,1254.84055,1237.814,1219.804,946.7189,928.7083,784.666,766.6555,622.6132,604.6027,292.1027
GM3(d40:2)+NH4,1252.82455,1235.798,1217.788,944.7029,926.6923,782.65,764.6395,620.5972,602.5867,292.1027
GM3(d40:3)+NH4,1250.80955,1233.783,1215.773,942.6879,924.6773,780.635,762.6245,618.5822,600.5717,292.1027
GM3(d41:0)+NH4,1270.87155,1253.845,1235.835,962.7499,944.7393,800.697,782.6865,638.6442,620.6337,292.1027
GM3(d41:1)+NH4,1268.85655,1251.83,1233.82,960.7349,942.7243,798.6821,780.6714,636.6292,618.6187,292.1027
GM3(d41:2)+NH4,1266.84055,1249.814,1231.804,958.7189,940.7083,796.666,778.6555,634.6132,616.6027,292.1027
GM3(d41:3)+NH4,1264.82455,1247.798,1229.788,956.7029,938.6923,794.65,776.6395,632.5972,614.5867,292.1027
