DGDG,[M+C2H3O2]-,[M-H]-,C15H27O13,C15H25O12,C15H23O11
DGDG(31:6)+C2H3O2,925.5161,865.4949,415.1457,397.1352,379.1246
DGDG(35:1)+C2H3O2,991.6569,931.6358,415.1457,397.1352,379.1246
DGDG(35:2)+C2H3O2,989.6413,929.6202,415.1457,397.1352,379.1246
DGDG(35:4)+C2H3O2,985.61,925.5889,415.1457,397.1352,379.1246
DGDG(36:0)+C2H3O2,1007.688,947.6671,415.1457,397.1352,379.1246
DGDG(32:3)+C2H3O2,945.5787,885.5576,415.1457,397.1352,379.1246
DGDG(32:5)+C2H3O2,941.5474,881.5262,415.1457,397.1352,379.1246
DGDG(32:6)+C2H3O2,939.5317,879.5106,415.1457,397.1352,379.1246
DGDG(36:1)+C2H3O2,1005.673,945.6514,415.1457,397.1352,379.1246
DGDG(36:2)+C2H3O2,1003.657,943.6358,415.1457,397.1352,379.1246
DGDG(36:4)+C2H3O2,999.6256,939.6045,415.1457,397.1352,379.1246
DGDG(37:0)+C2H3O2,1021.704,961.6827,415.1457,397.1352,379.1246
DGDG(33:3)+C2H3O2,959.5944,899.5732,415.1457,397.1352,379.1246
DGDG(33:5)+C2H3O2,955.563,895.5419,415.1457,397.1352,379.1246
DGDG(33:6)+C2H3O2,953.5474,893.5262,415.1457,397.1352,379.1246
DGDG(37:1)+C2H3O2,1019.688,959.6671,415.1457,397.1352,379.1246
DGDG(37:2)+C2H3O2,1017.673,957.6514,415.1457,397.1352,379.1246
DGDG(37:4)+C2H3O2,1013.641,953.6202,415.1457,397.1352,379.1246
DGDG(38:0)+C2H3O2,1035.719,975.6984,415.1457,397.1352,379.1246
DGDG(34:3)+C2H3O2,973.61,913.5889,415.1457,397.1352,379.1246
DGDG(34:5)+C2H3O2,969.5787,909.5576,415.1457,397.1352,379.1246
DGDG(34:6)+C2H3O2,967.563,907.5419,415.1457,397.1352,379.1246
DGDG(38:1)+C2H3O2,1033.704,973.6827,415.1457,397.1352,379.1246
DGDG(38:2)+C2H3O2,1031.688,971.6671,415.1457,397.1352,379.1246
DGDG(38:4)+C2H3O2,1027.657,967.6358,415.1457,397.1352,379.1246
DGDG(39:0)+C2H3O2,1049.735,989.7141,415.1457,397.1352,379.1246
DGDG(35:3)+C2H3O2,987.6256,927.6045,415.1457,397.1352,379.1246
DGDG(35:5)+C2H3O2,983.5944,923.5732,415.1457,397.1352,379.1246
DGDG(35:6)+C2H3O2,981.5787,921.5576,415.1457,397.1352,379.1246
DGDG(39:1)+C2H3O2,1047.719,987.6984,415.1457,397.1352,379.1246
DGDG(39:2)+C2H3O2,1045.704,985.6827,415.1457,397.1352,379.1246
DGDG(39:4)+C2H3O2,1041.673,981.6514,415.1457,397.1352,379.1246
DGDG(40:0)+C2H3O2,1063.751,1003.73,415.1457,397.1352,379.1246
DGDG(35:7)+C2H3O2,979.563,919.5419,415.1457,397.1352,379.1246
DGDG(37:3)+C2H3O2,1015.657,955.6358,415.1457,397.1352,379.1246
DGDG(37:5)+C2H3O2,1011.626,951.6045,415.1457,397.1352,379.1246
DGDG(39:3)+C2H3O2,1043.688,983.6671,415.1457,397.1352,379.1246
DGDG(39:5)+C2H3O2,1039.657,979.6358,415.1457,397.1352,379.1246
DGDG(40:1)+C2H3O2,1061.735,1001.714,415.1457,397.1352,379.1246
DGDG(36:3)+C2H3O2,1001.641,941.6202,415.1457,397.1352,379.1246
DGDG(36:5)+C2H3O2,997.61,937.5889,415.1457,397.1352,379.1246
DGDG(36:6)+C2H3O2,995.5944,935.5732,415.1457,397.1352,379.1246
DGDG(40:2)+C2H3O2,1059.719,999.6984,415.1457,397.1352,379.1246
DGDG(40:4)+C2H3O2,1055.688,995.6671,415.1457,397.1352,379.1246
DGDG(41:0)+C2H3O2,1077.766,1017.745,415.1457,397.1352,379.1246
DGDG(36:7)+C2H3O2,993.5787,933.5576,415.1457,397.1352,379.1246
DGDG(38:3)+C2H3O2,1029.673,969.6514,415.1457,397.1352,379.1246
DGDG(38:5)+C2H3O2,1025.641,965.6202,415.1457,397.1352,379.1246
DGDG(40:3)+C2H3O2,1057.704,997.6827,415.1457,397.1352,379.1246
DGDG(40:5)+C2H3O2,1053.673,993.6514,415.1457,397.1352,379.1246
DGDG(41:1)+C2H3O2,1075.751,1015.73,415.1457,397.1352,379.1246
DGDG(37:6)+C2H3O2,1009.61,949.5889,415.1457,397.1352,379.1246
DGDG(41:2)+C2H3O2,1073.735,1013.714,415.1457,397.1352,379.1246
DGDG(41:4)+C2H3O2,1069.704,1009.683,415.1457,397.1352,379.1246
DGDG(42:0)+C2H3O2,1091.782,1031.761,415.1457,397.1352,379.1246
DGDG(37:7)+C2H3O2,1007.594,947.5732,415.1457,397.1352,379.1246
DGDG(41:3)+C2H3O2,1071.719,1011.698,415.1457,397.1352,379.1246
DGDG(41:5)+C2H3O2,1067.688,1007.667,415.1457,397.1352,379.1246
DGDG(42:1)+C2H3O2,1089.766,1029.745,415.1457,397.1352,379.1246
DGDG(38:6)+C2H3O2,1023.626,963.6045,415.1457,397.1352,379.1246
DGDG(42:2)+C2H3O2,1087.751,1027.73,415.1457,397.1352,379.1246
DGDG(42:4)+C2H3O2,1083.719,1023.698,415.1457,397.1352,379.1246
DGDG(43:0)+C2H3O2,1105.798,1045.777,415.1457,397.1352,379.1246
DGDG(38:7)+C2H3O2,1021.61,961.5889,415.1457,397.1352,379.1246
DGDG(42:3)+C2H3O2,1085.735,1025.714,415.1457,397.1352,379.1246
