OxPC,[M+H]+,M+H-PC,M+H-R1COOH,M+H-R2COOH,M+H-R1CO,M+H-R2CO,PC_head
OxPC(8:0_13:0(COOH))+H,610.37151,427.30545,466.25646,366.20403,484.26704,384.21461,184.07332
OxPC(8:0_14:0(COOH))+H,624.38716,441.3211,480.27211,366.20403,498.28269,384.21461,184.07332
OxPC(8:0_15:0(COOH))+H,638.40281,455.33675,494.28776,366.20403,512.29834,384.21461,184.07332
OxPC(8:0_6:1(COOH))+H,510.24632,327.18026,366.13127,366.20403,384.14185,384.21461,184.07332
OxPC(8:0_7:1(COOH))+H,524.26197,341.19591,380.14692,366.20403,398.1575,384.21461,184.07332
OxPC(8:0_8:1(COOH))+H,538.27762,355.21156,394.16257,366.20403,412.17315,384.21461,184.07332
OxPC(8:0_9:1(COOH))+H,552.29327,369.22721,408.17822,366.20403,426.1888,384.21461,184.07332
OxPC(8:0_9:2(COOH))+H,550.27762,367.21156,406.16257,366.20403,424.17315,384.21461,184.07332
OxPC(8:0_10:1(COOH))+H,566.30892,383.24286,422.19387,366.20403,440.20445,384.21461,184.07332
OxPC(8:0_10:2(COOH))+H,564.29327,381.22721,420.17822,366.20403,438.1888,384.21461,184.07332
OxPC(8:0_11:1(COOH))+H,580.32457,397.25851,436.20952,366.20403,454.2201,384.21461,184.07332
OxPC(8:0_11:2(COOH))+H,578.30892,395.24286,434.19387,366.20403,452.20445,384.21461,184.07332
OxPC(8:0_12:1(COOH))+H,594.34022,411.27416,450.22517,366.20403,468.23575,384.21461,184.07332
OxPC(8:0_12:2(COOH))+H,592.32457,409.25851,448.20952,366.20403,466.2201,384.21461,184.07332
OxPC(8:0_12:3(COOH))+H,590.30892,407.24286,446.19387,366.20403,464.20445,384.21461,184.07332
OxPC(8:0_13:1(COOH))+H,608.35587,425.28981,464.24082,366.20403,482.2514,384.21461,184.07332
OxPC(8:0_13:2(COOH))+H,606.34022,423.27416,462.22517,366.20403,480.23575,384.21461,184.07332
OxPC(8:0_13:3(COOH))+H,604.32457,421.25851,460.20952,366.20403,478.2201,384.21461,184.07332
OxPC(8:0_14:1(COOH))+H,622.37152,439.30546,478.25647,366.20403,496.26705,384.21461,184.07332
OxPC(8:0_14:2(COOH))+H,620.35587,437.28981,476.24082,366.20403,494.2514,384.21461,184.07332
OxPC(8:0_14:3(COOH))+H,618.34022,435.27416,474.22517,366.20403,492.23575,384.21461,184.07332
OxPC(8:0_15:1(COOH))+H,636.38717,453.32111,492.27212,366.20403,510.2827,384.21461,184.07332
OxPC(8:0_15:2(COOH))+H,634.37152,451.30546,490.25647,366.20403,508.26705,384.21461,184.07332
OxPC(8:0_15:3(COOH))+H,632.35587,449.28981,488.24082,366.20403,506.2514,384.21461,184.07332
OxPC(8:0_15:4(COOH))+H,630.34022,447.27416,486.22517,366.20403,504.23575,384.21461,184.07332
OxPC(8:0_16:1(COOH))+H,650.40282,467.33676,506.28777,366.20403,524.29835,384.21461,184.07332
OxPC(8:0_16:2(COOH))+H,648.38717,465.32111,504.27212,366.20403,522.2827,384.21461,184.07332
OxPC(8:0_16:3(COOH))+H,646.37152,463.30546,502.25647,366.20403,520.26705,384.21461,184.07332
OxPC(8:0_16:4(COOH))+H,644.35587,461.28981,500.24082,366.20403,518.2514,384.21461,184.07332
OxPC(8:0_17:4(COOH))+H,658.37152,475.30546,514.25647,366.20403,532.26705,384.21461,184.07332
OxPC(8:0_18:4(COOH))+H,672.38717,489.32111,528.27212,366.20403,546.2827,384.21461,184.07332
OxPC(8:0_18:5(COOH))+H,670.37152,487.30546,526.25647,366.20403,544.26705,384.21461,184.07332
OxPC(8:0_19:4(COOH))+H,686.40282,503.33676,542.28777,366.20403,560.29835,384.21461,184.07332
OxPC(8:0_19:5(COOH))+H,684.38717,501.32111,540.27212,366.20403,558.2827,384.21461,184.07332
OxPC(8:0_3:0(CHO))+H,454.22009,271.15403,310.10504,366.20403,328.11562,384.21461,184.07332
OxPC(8:0_4:0(CHO))+H,468.23574,285.16968,324.12069,366.20403,342.13127,384.21461,184.07332
OxPC(10:0_5:0(CHO))+H,510.28269,327.21663,338.13634,394.23533,356.14692,412.24591,184.07332
OxPC(10:0_6:0(CHO))+H,524.29834,341.23228,352.15199,394.23533,370.16257,412.24591,184.07332
OxPC(10:0_7:0(CHO))+H,538.31399,355.24793,366.16764,394.23533,384.17822,412.24591,184.07332
OxPC(10:0_8:0(CHO))+H,552.32964,369.26358,380.18329,394.23533,398.19387,412.24591,184.07332
OxPC(10:0_9:0(CHO))+H,566.34529,383.27923,394.19894,394.23533,412.20952,412.24591,184.07332
OxPC(10:0_10:0(CHO))+H,580.36094,397.29488,408.21459,394.23533,426.22517,412.24591,184.07332
OxPC(10:0_11:0(CHO))+H,594.37659,411.31053,422.23024,394.23533,440.24082,412.24591,184.07332
OxPC(10:0_12:0(CHO))+H,608.39224,425.32618,436.24589,394.23533,454.25647,412.24591,184.07332
