OxPC,[M+H]+,M+H-PC,M+H-R1COOH,M+H-R2COOH,M+H-R1CO,M+H-R2CO,PC_head
OxPC(20:4_14:1(OO)),784.5124,601.44634,480.27215,526.32923,498.28273,544.33981,184.07332
OxPC(20:4_15:1(OO)),798.528,615.46194,494.28775,526.32923,512.29833,544.33981,184.07332
OxPC(20:4_16:1(OO)),812.5437,629.47764,508.30345,526.32923,526.31403,544.33981,184.07332
OxPC(20:4_17:1(OO)),826.5593,643.49324,522.31905,526.32923,540.32963,544.33981,184.07332
OxPC(20:4_17:2(OO)),824.5437,641.47764,520.30345,526.32923,538.31403,544.33981,184.07332
OxPC(20:4_18:1(OO)),840.575,657.50894,536.33475,526.32923,554.34533,544.33981,184.07332
OxPC(20:4_18:3(OO)),836.5437,653.47764,532.30345,526.32923,550.31403,544.33981,184.07332
OxPC(20:4_18:4(OO)),834.528,651.46194,530.28775,526.32923,548.29833,544.33981,184.07332
OxPC(20:4_20:1(OO)),868.6063,685.54024,564.36605,526.32923,582.37663,544.33981,184.07332
OxPC(20:4_20:2(OO)),866.5906,683.52454,562.35035,526.32923,580.36093,544.33981,184.07332
OxPC(20:4_20:3(OO)),864.575,681.50894,560.33475,526.32923,578.34533,544.33981,184.07332
OxPC(20:4_20:5(OO)),860.5437,677.47764,556.30345,526.32923,574.31403,544.33981,184.07332
OxPC(20:4_22:1(OO)),896.6376,713.57154,592.39735,526.32923,610.40793,544.33981,184.07332
OxPC(20:4_22:2(OO)),894.6219,711.55584,590.38165,526.32923,608.39223,544.33981,184.07332
OxPC(20:4_22:3(OO)),892.6063,709.54024,588.36605,526.32923,606.37663,544.33981,184.07332
OxPC(20:4_22:4(OO)),890.5906,707.52454,586.35035,526.32923,604.36093,544.33981,184.07332
OxPC(20:4_22:5(OO)),888.575,705.50894,584.33475,526.32923,602.34533,544.33981,184.07332
OxPC(20:4_22:6(OO)),886.5593,703.49324,582.31905,526.32923,600.32963,544.33981,184.07332
OxPC(20:4_24:1(OO)),924.6689,741.60284,620.42865,526.32923,638.43923,544.33981,184.07332
OxPC(20:4_14:1(OOO)),800.50732,617.44126,496.26707,526.32923,514.27765,544.33981,184.07332
OxPC(20:4_15:1(OOO)),814.52292,631.45686,510.28267,526.32923,528.29325,544.33981,184.07332
OxPC(20:4_16:1(OOO)),828.53862,645.47256,524.29837,526.32923,542.30895,544.33981,184.07332
OxPC(20:4_17:1(OOO)),842.55422,659.48816,538.31397,526.32923,556.32455,544.33981,184.07332
OxPC(20:4_17:2(OOO)),840.53862,657.47256,536.29837,526.32923,554.30895,544.33981,184.07332
OxPC(20:4_18:1(OOO)),856.56992,673.50386,552.32967,526.32923,570.34025,544.33981,184.07332
OxPC(20:4_18:2(OOO)),854.55422,671.48816,550.31397,526.32923,568.32455,544.33981,184.07332
OxPC(20:4_18:3(OOO)),852.53862,669.47256,548.29837,526.32923,566.30895,544.33981,184.07332
OxPC(20:4_18:4(OOO)),850.52292,667.45686,546.28267,526.32923,564.29325,544.33981,184.07332
OxPC(20:4_20:1(OOO)),884.60122,701.53516,580.36097,526.32923,598.37155,544.33981,184.07332
OxPC(20:4_20:2(OOO)),882.58552,699.51946,578.34527,526.32923,596.35585,544.33981,184.07332
OxPC(20:4_20:3(OOO)),880.56992,697.50386,576.32967,526.32923,594.34025,544.33981,184.07332
OxPC(20:4_20:4(OOO)),878.55422,695.48816,574.31397,526.32923,592.32455,544.33981,184.07332
OxPC(20:4_20:5(OOO)),876.53862,693.47256,572.29837,526.32923,590.30895,544.33981,184.07332
OxPC(20:4_22:1(OOO)),912.63252,729.56646,608.39227,526.32923,626.40285,544.33981,184.07332
OxPC(20:4_22:2(OOO)),910.61682,727.55076,606.37657,526.32923,624.38715,544.33981,184.07332
OxPC(20:4_22:3(OOO)),908.60122,725.53516,604.36097,526.32923,622.37155,544.33981,184.07332
OxPC(20:4_22:4(OOO)),906.58552,723.51946,602.34527,526.32923,620.35585,544.33981,184.07332
OxPC(20:4_22:5(OOO)),904.56992,721.50386,600.32967,526.32923,618.34025,544.33981,184.07332
OxPC(20:4_22:6(OOO)),902.55422,719.48816,598.31397,526.32923,616.32455,544.33981,184.07332
OxPC(20:4_24:1(OOO)),940.66382,757.59776,636.42357,526.32923,654.43415,544.33981,184.07332
OxPC(20:4_14:1(OOOO)),816.50224,633.43618,512.26199,526.32923,530.27257,544.33981,184.07332
OxPC(20:4_15:1(OOOO)),830.51784,647.45178,526.27759,526.32923,544.28817,544.33981,184.07332
OxPC(20:4_16:1(OOOO)),844.53354,661.46748,540.29329,526.32923,558.30387,544.33981,184.07332
OxPC(20:4_17:1(OOOO)),858.54914,675.48308,554.30889,526.32923,572.31947,544.33981,184.07332
OxPC(20:4_17:2(OOOO)),856.53354,673.46748,552.29329,526.32923,570.30387,544.33981,184.07332
OxPC(20:4_18:1(OOOO)),872.56484,689.49878,568.32459,526.32923,586.33517,544.33981,184.07332
OxPC(20:4_18:2(OOOO)),870.54914,687.48308,566.30889,526.32923,584.31947,544.33981,184.07332
OxPC(20:4_18:3(OOOO)),868.53354,685.46748,564.29329,526.32923,582.30387,544.33981,184.07332
OxPC(20:4_18:4(OOOO)),866.51784,683.45178,562.27759,526.32923,580.28817,544.33981,184.07332
OxPC(20:4_20:1(OOOO)),900.59614,717.53008,596.35589,526.32923,614.36647,544.33981,184.07332
OxPC(20:4_20:2(OOOO)),898.58044,715.51438,594.34019,526.32923,612.35077,544.33981,184.07332
OxPC(20:4_20:3(OOOO)),896.56484,713.49878,592.32459,526.32923,610.33517,544.33981,184.07332
OxPC(20:4_20:4(OOOO)),894.54914,711.48308,590.30889,526.32923,608.31947,544.33981,184.07332
OxPC(20:4_20:5(OOOO)),892.53354,709.46748,588.29329,526.32923,606.30387,544.33981,184.07332
OxPC(20:4_22:1(OOOO)),928.62744,745.56138,624.38719,526.32923,642.39777,544.33981,184.07332
OxPC(20:4_22:2(OOOO)),926.61174,743.54568,622.37149,526.32923,640.38207,544.33981,184.07332
OxPC(20:4_22:3(OOOO)),924.59614,741.53008,620.35589,526.32923,638.36647,544.33981,184.07332
OxPC(20:4_22:4(OOOO)),922.58044,739.51438,618.34019,526.32923,636.35077,544.33981,184.07332
OxPC(20:4_22:5(OOOO)),920.56484,737.49878,616.32459,526.32923,634.33517,544.33981,184.07332
OxPC(20:4_22:6(OOOO)),918.54914,735.48308,614.30889,526.32923,632.31947,544.33981,184.07332
OxPC(20:4_24:1(OOOO)),956.65874,773.59268,652.41849,526.32923,670.42907,544.33981,184.07332
OxPC(20:4_14:1(Ke)),766.50182,583.43576,462.26157,526.32923,480.27215,544.33981,184.07332
OxPC(20:4_15:1(Ke)),780.51742,597.45136,476.27717,526.32923,494.28775,544.33981,184.07332
OxPC(20:4_16:1(Ke)),794.53312,611.46706,490.29287,526.32923,508.30345,544.33981,184.07332
OxPC(20:4_17:1(Ke)),808.54872,625.48266,504.30847,526.32923,522.31905,544.33981,184.07332
OxPC(20:4_17:2(Ke)),806.53312,623.46706,502.29287,526.32923,520.30345,544.33981,184.07332
OxPC(20:4_18:1(Ke)),822.56442,639.49836,518.32417,526.32923,536.33475,544.33981,184.07332
OxPC(20:4_18:2(Ke)),820.54872,637.48266,516.30847,526.32923,534.31905,544.33981,184.07332
OxPC(20:4_18:3(Ke)),818.53312,635.46706,514.29287,526.32923,532.30345,544.33981,184.07332
OxPC(20:4_18:4(Ke)),816.51742,633.45136,512.27717,526.32923,530.28775,544.33981,184.07332
OxPC(20:4_20:1(Ke)),850.59572,667.52966,546.35547,526.32923,564.36605,544.33981,184.07332
OxPC(20:4_20:2(Ke)),848.58002,665.51396,544.33977,526.32923,562.35035,544.33981,184.07332
OxPC(20:4_20:3(Ke)),846.56442,663.49836,542.32417,526.32923,560.33475,544.33981,184.07332
OxPC(20:4_20:5(Ke)),842.53312,659.46706,538.29287,526.32923,556.30345,544.33981,184.07332
OxPC(20:4_22:1(Ke)),878.62702,695.56096,574.38677,526.32923,592.39735,544.33981,184.07332
OxPC(20:4_22:2(Ke)),876.61132,693.54526,572.37107,526.32923,590.38165,544.33981,184.07332
OxPC(20:4_22:3(Ke)),874.59572,691.52966,570.35547,526.32923,588.36605,544.33981,184.07332
OxPC(20:4_22:4(Ke)),872.58002,689.51396,568.33977,526.32923,586.35035,544.33981,184.07332
OxPC(20:4_22:5(Ke)),870.56442,687.49836,566.32417,526.32923,584.33475,544.33981,184.07332
OxPC(20:4_22:6(Ke)),868.54872,685.48266,564.30847,526.32923,582.31905,544.33981,184.07332
OxPC(20:4_24:1(Ke)),906.65832,723.59226,602.41807,526.32923,620.42865,544.33981,184.07332
"OxPC(20:4_14:1(Ke,OH))",782.49674,599.43068,478.25649,526.32923,496.26707,544.33981,184.07332
"OxPC(20:4_15:1(Ke,OH))",796.51234,613.44628,492.27209,526.32923,510.28267,544.33981,184.07332
"OxPC(20:4_16:1(Ke,OH))",810.52804,627.46198,506.28779,526.32923,524.29837,544.33981,184.07332
"OxPC(20:4_17:1(Ke,OH))",824.54364,641.47758,520.30339,526.32923,538.31397,544.33981,184.07332
"OxPC(20:4_17:2(Ke,OH))",822.52804,639.46198,518.28779,526.32923,536.29837,544.33981,184.07332
"OxPC(20:4_18:1(Ke,OH))",838.55934,655.49328,534.31909,526.32923,552.32967,544.33981,184.07332
"OxPC(20:4_18:2(Ke,OH))",836.54364,653.47758,532.30339,526.32923,550.31397,544.33981,184.07332
"OxPC(20:4_18:3(Ke,OH))",834.52804,651.46198,530.28779,526.32923,548.29837,544.33981,184.07332
"OxPC(20:4_18:4(Ke,OH))",832.51234,649.44628,528.27209,526.32923,546.28267,544.33981,184.07332
"OxPC(20:4_20:1(Ke,OH))",866.59064,683.52458,562.35039,526.32923,580.36097,544.33981,184.07332
"OxPC(20:4_20:2(Ke,OH))",864.57494,681.50888,560.33469,526.32923,578.34527,544.33981,184.07332
"OxPC(20:4_20:3(Ke,OH))",862.55934,679.49328,558.31909,526.32923,576.32967,544.33981,184.07332
"OxPC(20:4_20:4(Ke,OH))",860.54364,677.47758,556.30339,526.32923,574.31397,544.33981,184.07332
"OxPC(20:4_20:5(Ke,OH))",858.52804,675.46198,554.28779,526.32923,572.29837,544.33981,184.07332
"OxPC(20:4_22:1(Ke,OH))",894.62194,711.55588,590.38169,526.32923,608.39227,544.33981,184.07332
"OxPC(20:4_22:2(Ke,OH))",892.60624,709.54018,588.36599,526.32923,606.37657,544.33981,184.07332
"OxPC(20:4_22:3(Ke,OH))",890.59064,707.52458,586.35039,526.32923,604.36097,544.33981,184.07332
"OxPC(20:4_22:4(Ke,OH))",888.57494,705.50888,584.33469,526.32923,602.34527,544.33981,184.07332
"OxPC(20:4_22:5(Ke,OH))",886.55934,703.49328,582.31909,526.32923,600.32967,544.33981,184.07332
"OxPC(20:4_22:6(Ke,OH))",884.54364,701.47758,580.30339,526.32923,598.31397,544.33981,184.07332
"OxPC(20:4_24:1(Ke,OH))",922.65324,739.58718,618.41299,526.32923,636.42357,544.33981,184.07332
OxPC(20:3_14:1(OH)),770.53313,587.46707,464.27723,528.34488,482.28781,546.35546,184.07332
OxPC(20:3_15:1(OH)),784.54873,601.48267,478.29283,528.34488,496.30341,546.35546,184.07332
OxPC(20:3_16:1(OH)),798.56443,615.49837,492.30853,528.34488,510.31911,546.35546,184.07332
OxPC(20:3_17:1(OH)),812.58003,629.51397,506.32413,528.34488,524.33471,546.35546,184.07332
OxPC(20:3_17:2(OH)),810.56443,627.49837,504.30853,528.34488,522.31911,546.35546,184.07332
OxPC(20:3_18:1(OH)),826.59573,643.52967,520.33983,528.34488,538.35041,546.35546,184.07332
OxPC(20:3_18:3(OH)),822.56443,639.49837,516.30853,528.34488,534.31911,546.35546,184.07332
OxPC(20:3_18:4(OH)),820.54873,637.48267,514.29283,528.34488,532.30341,546.35546,184.07332
OxPC(20:3_20:1(OH)),854.62703,671.56097,548.37113,528.34488,566.38171,546.35546,184.07332
OxPC(20:3_20:2(OH)),852.61133,669.54527,546.35543,528.34488,564.36601,546.35546,184.07332
OxPC(20:3_20:3(OH)),850.59573,667.52967,544.33983,528.34488,562.35041,546.35546,184.07332
OxPC(20:3_20:5(OH)),846.56443,663.49837,540.30853,528.34488,558.31911,546.35546,184.07332
OxPC(20:3_22:1(OH)),882.65833,699.59227,576.40243,528.34488,594.41301,546.35546,184.07332
OxPC(20:3_22:2(OH)),880.64263,697.57657,574.38673,528.34488,592.39731,546.35546,184.07332
OxPC(20:3_22:3(OH)),878.62703,695.56097,572.37113,528.34488,590.38171,546.35546,184.07332
OxPC(20:3_22:4(OH)),876.61133,693.54527,570.35543,528.34488,588.36601,546.35546,184.07332
OxPC(20:3_22:5(OH)),874.59573,691.52967,568.33983,528.34488,586.35041,546.35546,184.07332
OxPC(20:3_22:6(OH)),872.58003,689.51397,566.32413,528.34488,584.33471,546.35546,184.07332
OxPC(20:3_24:1(OH)),910.68963,727.62357,604.43373,528.34488,622.44431,546.35546,184.07332
OxPC(20:3_14:1(OO)),786.52805,603.46199,480.27215,528.34488,498.28273,546.35546,184.07332
OxPC(20:3_15:1(OO)),800.54365,617.47759,494.28775,528.34488,512.29833,546.35546,184.07332
OxPC(20:3_16:1(OO)),814.55935,631.49329,508.30345,528.34488,526.31403,546.35546,184.07332
OxPC(20:3_17:1(OO)),828.57495,645.50889,522.31905,528.34488,540.32963,546.35546,184.07332
OxPC(20:3_17:2(OO)),826.55935,643.49329,520.30345,528.34488,538.31403,546.35546,184.07332
OxPC(20:3_18:1(OO)),842.59065,659.52459,536.33475,528.34488,554.34533,546.35546,184.07332
OxPC(20:3_18:3(OO)),838.55935,655.49329,532.30345,528.34488,550.31403,546.35546,184.07332
OxPC(20:3_18:4(OO)),836.54365,653.47759,530.28775,528.34488,548.29833,546.35546,184.07332
OxPC(20:3_20:1(OO)),870.62195,687.55589,564.36605,528.34488,582.37663,546.35546,184.07332
OxPC(20:3_20:2(OO)),868.60625,685.54019,562.35035,528.34488,580.36093,546.35546,184.07332
OxPC(20:3_20:3(OO)),866.59065,683.52459,560.33475,528.34488,578.34533,546.35546,184.07332
OxPC(20:3_20:5(OO)),862.55935,679.49329,556.30345,528.34488,574.31403,546.35546,184.07332
OxPC(20:3_22:1(OO)),898.65325,715.58719,592.39735,528.34488,610.40793,546.35546,184.07332
OxPC(20:3_22:2(OO)),896.63755,713.57149,590.38165,528.34488,608.39223,546.35546,184.07332
OxPC(20:3_22:3(OO)),894.62195,711.55589,588.36605,528.34488,606.37663,546.35546,184.07332
OxPC(20:3_22:4(OO)),892.60625,709.54019,586.35035,528.34488,604.36093,546.35546,184.07332
OxPC(20:3_22:5(OO)),890.59065,707.52459,584.33475,528.34488,602.34533,546.35546,184.07332
OxPC(20:3_22:6(OO)),888.57495,705.50889,582.31905,528.34488,600.32963,546.35546,184.07332
OxPC(20:3_24:1(OO)),926.68455,743.61849,620.42865,528.34488,638.43923,546.35546,184.07332
OxPC(20:3_14:1(OOO)),802.52297,619.45691,496.26707,528.34488,514.27765,546.35546,184.07332
OxPC(20:3_15:1(OOO)),816.53857,633.47251,510.28267,528.34488,528.29325,546.35546,184.07332
OxPC(20:3_16:1(OOO)),830.55427,647.48821,524.29837,528.34488,542.30895,546.35546,184.07332
OxPC(20:3_17:1(OOO)),844.56987,661.50381,538.31397,528.34488,556.32455,546.35546,184.07332
OxPC(20:3_17:2(OOO)),842.55427,659.48821,536.29837,528.34488,554.30895,546.35546,184.07332
OxPC(20:3_18:1(OOO)),858.58557,675.51951,552.32967,528.34488,570.34025,546.35546,184.07332
OxPC(20:3_18:2(OOO)),856.56987,673.50381,550.31397,528.34488,568.32455,546.35546,184.07332
OxPC(20:3_18:3(OOO)),854.55427,671.48821,548.29837,528.34488,566.30895,546.35546,184.07332
OxPC(20:3_18:4(OOO)),852.53857,669.47251,546.28267,528.34488,564.29325,546.35546,184.07332
OxPC(20:3_20:1(OOO)),886.61687,703.55081,580.36097,528.34488,598.37155,546.35546,184.07332
OxPC(20:3_20:2(OOO)),884.60117,701.53511,578.34527,528.34488,596.35585,546.35546,184.07332
OxPC(20:3_20:3(OOO)),882.58557,699.51951,576.32967,528.34488,594.34025,546.35546,184.07332
OxPC(20:3_20:4(OOO)),880.56987,697.50381,574.31397,528.34488,592.32455,546.35546,184.07332
OxPC(20:3_20:5(OOO)),878.55427,695.48821,572.29837,528.34488,590.30895,546.35546,184.07332
OxPC(20:3_22:1(OOO)),914.64817,731.58211,608.39227,528.34488,626.40285,546.35546,184.07332
OxPC(20:3_22:2(OOO)),912.63247,729.56641,606.37657,528.34488,624.38715,546.35546,184.07332
OxPC(20:3_22:3(OOO)),910.61687,727.55081,604.36097,528.34488,622.37155,546.35546,184.07332
OxPC(20:3_22:4(OOO)),908.60117,725.53511,602.34527,528.34488,620.35585,546.35546,184.07332
OxPC(20:3_22:5(OOO)),906.58557,723.51951,600.32967,528.34488,618.34025,546.35546,184.07332
OxPC(20:3_22:6(OOO)),904.56987,721.50381,598.31397,528.34488,616.32455,546.35546,184.07332
OxPC(20:3_24:1(OOO)),942.67947,759.61341,636.42357,528.34488,654.43415,546.35546,184.07332
OxPC(20:3_14:1(OOOO)),818.51789,635.45183,512.26199,528.34488,530.27257,546.35546,184.07332
OxPC(20:3_15:1(OOOO)),832.53349,649.46743,526.27759,528.34488,544.28817,546.35546,184.07332
OxPC(20:3_16:1(OOOO)),846.54919,663.48313,540.29329,528.34488,558.30387,546.35546,184.07332
OxPC(20:3_17:1(OOOO)),860.56479,677.49873,554.30889,528.34488,572.31947,546.35546,184.07332
OxPC(20:3_17:2(OOOO)),858.54919,675.48313,552.29329,528.34488,570.30387,546.35546,184.07332
OxPC(20:3_18:1(OOOO)),874.58049,691.51443,568.32459,528.34488,586.33517,546.35546,184.07332
OxPC(20:3_18:2(OOOO)),872.56479,689.49873,566.30889,528.34488,584.31947,546.35546,184.07332
OxPC(20:3_18:3(OOOO)),870.54919,687.48313,564.29329,528.34488,582.30387,546.35546,184.07332
OxPC(20:3_18:4(OOOO)),868.53349,685.46743,562.27759,528.34488,580.28817,546.35546,184.07332
OxPC(20:3_20:1(OOOO)),902.61179,719.54573,596.35589,528.34488,614.36647,546.35546,184.07332
OxPC(20:3_20:2(OOOO)),900.59609,717.53003,594.34019,528.34488,612.35077,546.35546,184.07332
OxPC(20:3_20:3(OOOO)),898.58049,715.51443,592.32459,528.34488,610.33517,546.35546,184.07332
OxPC(20:3_20:4(OOOO)),896.56479,713.49873,590.30889,528.34488,608.31947,546.35546,184.07332
OxPC(20:3_20:5(OOOO)),894.54919,711.48313,588.29329,528.34488,606.30387,546.35546,184.07332
OxPC(20:3_22:1(OOOO)),930.64309,747.57703,624.38719,528.34488,642.39777,546.35546,184.07332
OxPC(20:3_22:2(OOOO)),928.62739,745.56133,622.37149,528.34488,640.38207,546.35546,184.07332
OxPC(20:3_22:3(OOOO)),926.61179,743.54573,620.35589,528.34488,638.36647,546.35546,184.07332
OxPC(20:3_22:4(OOOO)),924.59609,741.53003,618.34019,528.34488,636.35077,546.35546,184.07332
OxPC(20:3_22:5(OOOO)),922.58049,739.51443,616.32459,528.34488,634.33517,546.35546,184.07332
OxPC(20:3_22:6(OOOO)),920.56479,737.49873,614.30889,528.34488,632.31947,546.35546,184.07332
OxPC(20:3_24:1(OOOO)),958.67439,775.60833,652.41849,528.34488,670.42907,546.35546,184.07332
OxPC(20:3_14:1(Ke)),768.51747,585.45141,462.26157,528.34488,480.27215,546.35546,184.07332
OxPC(20:3_15:1(Ke)),782.53307,599.46701,476.27717,528.34488,494.28775,546.35546,184.07332
OxPC(20:3_16:1(Ke)),796.54877,613.48271,490.29287,528.34488,508.30345,546.35546,184.07332
OxPC(20:3_17:1(Ke)),810.56437,627.49831,504.30847,528.34488,522.31905,546.35546,184.07332
OxPC(20:3_17:2(Ke)),808.54877,625.48271,502.29287,528.34488,520.30345,546.35546,184.07332
OxPC(20:3_18:1(Ke)),824.58007,641.51401,518.32417,528.34488,536.33475,546.35546,184.07332
OxPC(20:3_18:2(Ke)),822.56437,639.49831,516.30847,528.34488,534.31905,546.35546,184.07332
OxPC(20:3_18:3(Ke)),820.54877,637.48271,514.29287,528.34488,532.30345,546.35546,184.07332
OxPC(20:3_18:4(Ke)),818.53307,635.46701,512.27717,528.34488,530.28775,546.35546,184.07332
OxPC(20:3_20:1(Ke)),852.61137,669.54531,546.35547,528.34488,564.36605,546.35546,184.07332
OxPC(20:3_20:2(Ke)),850.59567,667.52961,544.33977,528.34488,562.35035,546.35546,184.07332
OxPC(20:3_20:3(Ke)),848.58007,665.51401,542.32417,528.34488,560.33475,546.35546,184.07332
OxPC(20:3_20:5(Ke)),844.54877,661.48271,538.29287,528.34488,556.30345,546.35546,184.07332
OxPC(20:3_22:1(Ke)),880.64267,697.57661,574.38677,528.34488,592.39735,546.35546,184.07332
OxPC(20:3_22:2(Ke)),878.62697,695.56091,572.37107,528.34488,590.38165,546.35546,184.07332
OxPC(20:3_22:3(Ke)),876.61137,693.54531,570.35547,528.34488,588.36605,546.35546,184.07332
OxPC(20:3_22:4(Ke)),874.59567,691.52961,568.33977,528.34488,586.35035,546.35546,184.07332
OxPC(20:3_22:5(Ke)),872.58007,689.51401,566.32417,528.34488,584.33475,546.35546,184.07332
OxPC(20:3_22:6(Ke)),870.56437,687.49831,564.30847,528.34488,582.31905,546.35546,184.07332
OxPC(20:3_24:1(Ke)),908.67397,725.60791,602.41807,528.34488,620.42865,546.35546,184.07332
"OxPC(20:3_14:1(Ke,OH))",784.51239,601.44633,478.25649,528.34488,496.26707,546.35546,184.07332
"OxPC(20:3_15:1(Ke,OH))",798.52799,615.46193,492.27209,528.34488,510.28267,546.35546,184.07332
"OxPC(20:3_16:1(Ke,OH))",812.54369,629.47763,506.28779,528.34488,524.29837,546.35546,184.07332
"OxPC(20:3_17:1(Ke,OH))",826.55929,643.49323,520.30339,528.34488,538.31397,546.35546,184.07332
"OxPC(20:3_17:2(Ke,OH))",824.54369,641.47763,518.28779,528.34488,536.29837,546.35546,184.07332
"OxPC(20:3_18:1(Ke,OH))",840.57499,657.50893,534.31909,528.34488,552.32967,546.35546,184.07332
"OxPC(20:3_18:2(Ke,OH))",838.55929,655.49323,532.30339,528.34488,550.31397,546.35546,184.07332
"OxPC(20:3_18:3(Ke,OH))",836.54369,653.47763,530.28779,528.34488,548.29837,546.35546,184.07332
"OxPC(20:3_18:4(Ke,OH))",834.52799,651.46193,528.27209,528.34488,546.28267,546.35546,184.07332
"OxPC(20:3_20:1(Ke,OH))",868.60629,685.54023,562.35039,528.34488,580.36097,546.35546,184.07332
"OxPC(20:3_20:2(Ke,OH))",866.59059,683.52453,560.33469,528.34488,578.34527,546.35546,184.07332
"OxPC(20:3_20:3(Ke,OH))",864.57499,681.50893,558.31909,528.34488,576.32967,546.35546,184.07332
"OxPC(20:3_20:4(Ke,OH))",862.55929,679.49323,556.30339,528.34488,574.31397,546.35546,184.07332
"OxPC(20:3_20:5(Ke,OH))",860.54369,677.47763,554.28779,528.34488,572.29837,546.35546,184.07332
"OxPC(20:3_22:1(Ke,OH))",896.63759,713.57153,590.38169,528.34488,608.39227,546.35546,184.07332
"OxPC(20:3_22:2(Ke,OH))",894.62189,711.55583,588.36599,528.34488,606.37657,546.35546,184.07332
"OxPC(20:3_22:3(Ke,OH))",892.60629,709.54023,586.35039,528.34488,604.36097,546.35546,184.07332
"OxPC(20:3_22:4(Ke,OH))",890.59059,707.52453,584.33469,528.34488,602.34527,546.35546,184.07332
"OxPC(20:3_22:5(Ke,OH))",888.57499,705.50893,582.31909,528.34488,600.32967,546.35546,184.07332
"OxPC(20:3_22:6(Ke,OH))",886.55929,703.49323,580.30339,528.34488,598.31397,546.35546,184.07332
"OxPC(20:3_24:1(Ke,OH))",924.66889,741.60283,618.41299,528.34488,636.42357,546.35546,184.07332
OxPC(20:2_14:1(OH)),772.54878,589.48272,464.27723,530.36053,482.28781,548.37111,184.07332
OxPC(20:2_15:1(OH)),786.56438,603.49832,478.29283,530.36053,496.30341,548.37111,184.07332
OxPC(20:2_16:1(OH)),800.58008,617.51402,492.30853,530.36053,510.31911,548.37111,184.07332
OxPC(20:2_17:1(OH)),814.59568,631.52962,506.32413,530.36053,524.33471,548.37111,184.07332
OxPC(20:2_17:2(OH)),812.58008,629.51402,504.30853,530.36053,522.31911,548.37111,184.07332
OxPC(20:2_18:1(OH)),828.61138,645.54532,520.33983,530.36053,538.35041,548.37111,184.07332
OxPC(20:2_18:3(OH)),824.58008,641.51402,516.30853,530.36053,534.31911,548.37111,184.07332
OxPC(20:2_18:4(OH)),822.56438,639.49832,514.29283,530.36053,532.30341,548.37111,184.07332
OxPC(20:2_20:1(OH)),856.64268,673.57662,548.37113,530.36053,566.38171,548.37111,184.07332
OxPC(20:2_20:2(OH)),854.62698,671.56092,546.35543,530.36053,564.36601,548.37111,184.07332
OxPC(20:2_20:3(OH)),852.61138,669.54532,544.33983,530.36053,562.35041,548.37111,184.07332
OxPC(20:2_20:5(OH)),848.58008,665.51402,540.30853,530.36053,558.31911,548.37111,184.07332
OxPC(20:2_22:1(OH)),884.67398,701.60792,576.40243,530.36053,594.41301,548.37111,184.07332
OxPC(20:2_22:2(OH)),882.65828,699.59222,574.38673,530.36053,592.39731,548.37111,184.07332
OxPC(20:2_22:3(OH)),880.64268,697.57662,572.37113,530.36053,590.38171,548.37111,184.07332
OxPC(20:2_22:4(OH)),878.62698,695.56092,570.35543,530.36053,588.36601,548.37111,184.07332
OxPC(20:2_22:5(OH)),876.61138,693.54532,568.33983,530.36053,586.35041,548.37111,184.07332
OxPC(20:2_22:6(OH)),874.59568,691.52962,566.32413,530.36053,584.33471,548.37111,184.07332
OxPC(20:2_24:1(OH)),912.70528,729.63922,604.43373,530.36053,622.44431,548.37111,184.07332
OxPC(20:2_14:1(OO)),788.5437,605.47764,480.27215,530.36053,498.28273,548.37111,184.07332
OxPC(20:2_15:1(OO)),802.5593,619.49324,494.28775,530.36053,512.29833,548.37111,184.07332
OxPC(20:2_16:1(OO)),816.575,633.50894,508.30345,530.36053,526.31403,548.37111,184.07332
OxPC(20:2_17:1(OO)),830.5906,647.52454,522.31905,530.36053,540.32963,548.37111,184.07332
OxPC(20:2_17:2(OO)),828.575,645.50894,520.30345,530.36053,538.31403,548.37111,184.07332
OxPC(20:2_18:1(OO)),844.6063,661.54024,536.33475,530.36053,554.34533,548.37111,184.07332
OxPC(20:2_18:3(OO)),840.575,657.50894,532.30345,530.36053,550.31403,548.37111,184.07332
OxPC(20:2_18:4(OO)),838.5593,655.49324,530.28775,530.36053,548.29833,548.37111,184.07332
OxPC(20:2_20:1(OO)),872.6376,689.57154,564.36605,530.36053,582.37663,548.37111,184.07332
OxPC(20:2_20:2(OO)),870.6219,687.55584,562.35035,530.36053,580.36093,548.37111,184.07332
OxPC(20:2_20:3(OO)),868.6063,685.54024,560.33475,530.36053,578.34533,548.37111,184.07332
OxPC(20:2_20:5(OO)),864.575,681.50894,556.30345,530.36053,574.31403,548.37111,184.07332
OxPC(20:2_22:1(OO)),900.6689,717.60284,592.39735,530.36053,610.40793,548.37111,184.07332
OxPC(20:2_22:2(OO)),898.6532,715.58714,590.38165,530.36053,608.39223,548.37111,184.07332
OxPC(20:2_22:3(OO)),896.6376,713.57154,588.36605,530.36053,606.37663,548.37111,184.07332
OxPC(20:2_22:4(OO)),894.6219,711.55584,586.35035,530.36053,604.36093,548.37111,184.07332
OxPC(20:2_22:5(OO)),892.6063,709.54024,584.33475,530.36053,602.34533,548.37111,184.07332
OxPC(20:2_22:6(OO)),890.5906,707.52454,582.31905,530.36053,600.32963,548.37111,184.07332
