Ac3PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn1+H2O,M-sn2+H2O,M-sn3+H2O,M-C6H10O5,M-sn1-sn2,M-sn1-sn2-C3H5O,sn1 FA,sn2 FA,sn3 FA
Ac3PIM2(14:0_16:0_17:0)-H,1357.837672,1129.628872,1101.597592,1087.581952,1147.639432,1119.608152,1105.592512,1195.784852,873.3887915,817.3625815,227.20098,255.23226,269.2479
Ac3PIM2(14:0_16:0_18:0)-H,1371.853322,1143.644522,1115.613242,1087.581962,1161.655082,1133.623802,1105.592522,1209.800502,887.4044416,831.3782316,227.20098,255.23226,283.26354
Ac3PIM2(14:0_16:0_19:0)-H,1385.868972,1157.660172,1129.628892,1087.581972,1175.670732,1147.639452,1105.592532,1223.816152,901.4200916,845.3938816,227.20098,255.23226,297.27918
Ac3PIM2(14:0_16:0_20:0)-H,1399.884622,1171.675822,1143.644542,1087.581982,1189.686382,1161.655102,1105.592542,1237.831802,915.4357417,859.4095317,227.20098,255.23226,311.29482
Ac3PIM2(14:0_16:0_16:1)-H,1341.806371,1113.597571,1085.566291,1087.581931,1131.608131,1103.576851,1105.592491,1179.753551,857.3574914,801.3312814,227.20098,255.23226,253.21662
Ac3PIM2(14:0_16:0_17:1)-H,1355.822021,1127.613221,1099.581941,1087.581941,1145.623781,1117.592501,1105.592501,1193.769201,871.3731414,815.3469314,227.20098,255.23226,267.23226
Ac3PIM2(14:0_16:0_18:1)-H,1369.837672,1141.628872,1113.597592,1087.581952,1159.639432,1131.608152,1105.592512,1207.784852,885.3887915,829.3625815,227.20098,255.23226,281.2479
Ac3PIM2(14:0_16:0_18:2)-H,1367.822021,1139.613221,1111.581941,1087.581941,1157.623781,1129.592501,1105.592501,1205.769201,883.3731414,827.3469314,227.20098,255.23226,279.23226
Ac3PIM2(14:0_16:0_methyl-18:0)-H,1385.868972,1157.660172,1129.628892,1087.581972,1175.670732,1147.639452,1105.592532,1223.816152,901.4200916,845.3938816,227.20098,255.23226,297.27918
Ac3PIM2(14:0_17:0_14:0)-H,1329.806371,1101.597571,1059.550651,1101.597571,1119.608131,1077.561211,1119.608131,1167.753551,831.3418514,775.3156414,227.20098,269.2479,227.20098
Ac3PIM2(14:0_17:0_15:0)-H,1343.822021,1115.613221,1073.566301,1101.597581,1133.623781,1091.576861,1119.608141,1181.769201,845.3575014,789.3312914,227.20098,269.2479,241.21662
Ac3PIM2(14:0_17:0_16:0)-H,1357.837672,1129.628872,1087.581952,1101.597592,1147.639432,1105.592512,1119.608152,1195.784852,859.3731515,803.3469415,227.20098,269.2479,255.23226
Ac3PIM2(14:0_17:0_17:0)-H,1371.853322,1143.644522,1101.597602,1101.597602,1161.655082,1119.608162,1119.608162,1209.800502,873.3888016,817.3625916,227.20098,269.2479,269.2479
Ac3PIM2(14:0_17:0_18:0)-H,1385.868972,1157.660172,1115.613252,1101.597612,1175.670732,1133.623812,1119.608172,1223.816152,887.4044516,831.3782416,227.20098,269.2479,283.26354
Ac3PIM2(14:0_17:0_19:0)-H,1399.884622,1171.675822,1129.628902,1101.597622,1189.686382,1147.639462,1119.608182,1237.831802,901.4201017,845.3938917,227.20098,269.2479,297.27918
Ac3PIM2(14:0_17:0_20:0)-H,1413.900272,1185.691472,1143.644552,1101.597632,1203.702032,1161.655112,1119.608192,1251.847452,915.4357518,859.4095418,227.20098,269.2479,311.29482
Ac3PIM2(14:0_17:0_16:1)-H,1355.822021,1127.613221,1085.566301,1101.597581,1145.623781,1103.576861,1119.608141,1193.769201,857.3575014,801.3312914,227.20098,269.2479,253.21662
Ac3PIM2(14:0_17:0_17:1)-H,1369.837672,1141.628872,1099.581952,1101.597592,1159.639432,1117.592512,1119.608152,1207.784852,871.3731515,815.3469415,227.20098,269.2479,267.23226
Ac3PIM2(14:0_17:0_18:1)-H,1383.853322,1155.644522,1113.597602,1101.597602,1173.655082,1131.608162,1119.608162,1221.800502,885.3888016,829.3625916,227.20098,269.2479,281.2479
Ac3PIM2(14:0_17:0_18:2)-H,1381.837672,1153.628872,1111.581952,1101.597592,1171.639432,1129.592512,1119.608152,1219.784852,883.3731515,827.3469415,227.20098,269.2479,279.23226
Ac3PIM2(14:0_17:0_methyl-18:0)-H,1399.884622,1171.675822,1129.628902,1101.597622,1189.686382,1147.639462,1119.608182,1237.831802,901.4201017,845.3938917,227.20098,269.2479,297.27918
Ac3PIM2(14:0_18:0_14:0)-H,1343.822021,1115.613221,1059.550661,1115.613221,1133.623781,1077.561221,1133.623781,1181.769201,831.3418614,775.3156514,227.20098,283.26354,227.20098
Ac3PIM2(14:0_18:0_15:0)-H,1357.837672,1129.628872,1073.566312,1115.613232,1147.639432,1091.576872,1133.623792,1195.784852,845.3575115,789.3313015,227.20098,283.26354,241.21662
Ac3PIM2(14:0_18:0_16:0)-H,1371.853322,1143.644522,1087.581962,1115.613242,1161.655082,1105.592522,1133.623802,1209.800502,859.3731616,803.3469516,227.20098,283.26354,255.23226
Ac3PIM2(14:0_18:0_17:0)-H,1385.868972,1157.660172,1101.597612,1115.613252,1175.670732,1119.608172,1133.623812,1223.816152,873.3888116,817.3626016,227.20098,283.26354,269.2479
Ac3PIM2(14:0_18:0_18:0)-H,1399.884622,1171.675822,1115.613262,1115.613262,1189.686382,1133.623822,1133.623822,1237.831802,887.4044617,831.3782517,227.20098,283.26354,283.26354
Ac3PIM2(14:0_18:0_19:0)-H,1413.900272,1185.691472,1129.628912,1115.613272,1203.702032,1147.639472,1133.623832,1251.847452,901.4201118,845.3939018,227.20098,283.26354,297.27918
Ac3PIM2(14:0_18:0_20:0)-H,1427.915922,1199.707122,1143.644562,1115.613282,1217.717682,1161.655122,1133.623842,1265.863102,915.4357618,859.4095518,227.20098,283.26354,311.29482
Ac3PIM2(14:0_18:0_16:1)-H,1369.837672,1141.628872,1085.566312,1115.613232,1159.639432,1103.576872,1133.623792,1207.784852,857.3575115,801.3313015,227.20098,283.26354,253.21662
Ac3PIM2(14:0_18:0_17:1)-H,1383.853322,1155.644522,1099.581962,1115.613242,1173.655082,1117.592522,1133.623802,1221.800502,871.3731616,815.3469516,227.20098,283.26354,267.23226
Ac3PIM2(14:0_18:0_18:1)-H,1397.868972,1169.660172,1113.597612,1115.613252,1187.670732,1131.608172,1133.623812,1235.816152,885.3888116,829.3626016,227.20098,283.26354,281.2479
Ac3PIM2(14:0_18:0_18:2)-H,1395.853322,1167.644522,1111.581962,1115.613242,1185.655082,1129.592522,1133.623802,1233.800502,883.3731616,827.3469516,227.20098,283.26354,279.23226
Ac3PIM2(14:0_18:0_methyl-18:0)-H,1413.900272,1185.691472,1129.628912,1115.613272,1203.702032,1147.639472,1133.623832,1251.847452,901.4201118,845.3939018,227.20098,283.26354,297.27918
Ac3PIM2(14:0_19:0_14:0)-H,1357.837672,1129.628872,1059.550672,1129.628872,1147.639432,1077.561232,1147.639432,1195.784852,831.3418715,775.3156615,227.20098,297.27918,227.20098
Ac3PIM2(14:0_19:0_15:0)-H,1371.853322,1143.644522,1073.566322,1129.628882,1161.655082,1091.576882,1147.639442,1209.800502,845.3575216,789.3313116,227.20098,297.27918,241.21662
Ac3PIM2(14:0_19:0_16:0)-H,1385.868972,1157.660172,1087.581972,1129.628892,1175.670732,1105.592532,1147.639452,1223.816152,859.3731716,803.3469616,227.20098,297.27918,255.23226
Ac3PIM2(14:0_19:0_17:0)-H,1399.884622,1171.675822,1101.597622,1129.628902,1189.686382,1119.608182,1147.639462,1237.831802,873.3888217,817.3626117,227.20098,297.27918,269.2479
Ac3PIM2(14:0_19:0_18:0)-H,1413.900272,1185.691472,1115.613272,1129.628912,1203.702032,1133.623832,1147.639472,1251.847452,887.4044718,831.3782618,227.20098,297.27918,283.26354
Ac3PIM2(14:0_19:0_19:0)-H,1427.915922,1199.707122,1129.628922,1129.628922,1217.717682,1147.639482,1147.639482,1265.863102,901.4201218,845.3939118,227.20098,297.27918,297.27918
Ac3PIM2(14:0_19:0_20:0)-H,1441.931572,1213.722772,1143.644572,1129.628932,1231.733332,1161.655132,1147.639492,1279.878752,915.4357719,859.4095619,227.20098,297.27918,311.29482
Ac3PIM2(14:0_19:0_16:1)-H,1383.853322,1155.644522,1085.566322,1129.628882,1173.655082,1103.576882,1147.639442,1221.800502,857.3575216,801.3313116,227.20098,297.27918,253.21662
Ac3PIM2(14:0_19:0_17:1)-H,1397.868972,1169.660172,1099.581972,1129.628892,1187.670732,1117.592532,1147.639452,1235.816152,871.3731716,815.3469616,227.20098,297.27918,267.23226
Ac3PIM2(14:0_19:0_18:1)-H,1411.884622,1183.675822,1113.597622,1129.628902,1201.686382,1131.608182,1147.639462,1249.831802,885.3888217,829.3626117,227.20098,297.27918,281.2479
