"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Average m/z","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment"
"","OxPC(34:0(Ke))+H","1","1","1","6.06026805555555","6.36026805555555","551","","OxPC(34:0(Ke))+H"," 6.225476","6.225476"," 6.225476","6.06026805555555","6.36026805555555","551","","OxPC(34:0(Ke))+H","1","1","1","6.06026805555555","6.36026805555555","551","","OxPC(34:0(Ke))+H","463349.500","3165.066","3139110.0000","6.06026805555555","6.36026805555555","551","","OxPC(34:0(Ke))+H","776.5809","593.5154","184.0736","6.06026805555555","6.36026805555555","551","","OxPC(34:0(Ke))+H","776.58004","593.51398","184.07332","6.06026805555555","6.36026805555555","551"
"","OxPC(34:0(Ke))+H","1","0","1","3.8481","4.1481","7330","","OxPC(34:0(Ke))+H"," 4.055396","0.000000"," 4.055396","3.8481","4.1481","7330","","OxPC(34:0(Ke))+H","1","0","2","3.8481","4.1481","7330","","OxPC(34:0(Ke))+H","  1151.403","   0.000","  14596.3800","3.8481","4.1481","7330","","OxPC(34:0(Ke))+H","776.5801","  0.0000","184.0735","3.8481","4.1481","7330","","OxPC(34:0(Ke))+H","776.58004","593.51398","184.07332","3.8481","4.1481","7330"
"","OxPC(34:0(Ke))+H","0","0","1","4.86781666666667","5.16781666666667","13186","","OxPC(34:0(Ke))+H"," 0.000000","0.000000"," 5.073851","4.86781666666667","5.16781666666667","13186","","OxPC(34:0(Ke))+H","0","0","1","4.86781666666667","5.16781666666667","13186","","OxPC(34:0(Ke))+H","     0.000","   0.000"," 151437.6000","4.86781666666667","5.16781666666667","13186","","OxPC(34:0(Ke))+H","  0.0000","  0.0000","184.0739","4.86781666666667","5.16781666666667","13186","","OxPC(34:0(Ke))+H","776.58004","593.51398","184.07332","4.86781666666667","5.16781666666667","13186"
"","OxPC(34:1(Ke))+H","1","1","1","5.07425277777778","5.37425277777778","330","","OxPC(34:1(Ke))+H"," 5.172553","5.172553"," 5.172553","5.07425277777778","5.37425277777778","330","","OxPC(34:1(Ke))+H","2","1","2","5.07425277777778","5.37425277777778","330","","OxPC(34:1(Ke))+H","494380.400","2983.893","3526427.0000","5.07425277777778","5.37425277777778","330","","OxPC(34:1(Ke))+H","774.5666","591.4996","184.0739","5.07425277777778","5.37425277777778","330","","OxPC(34:1(Ke))+H","774.5644","591.49834","184.07332","5.07425277777778","5.37425277777778","330"
"","OxPC(34:1(O))+H","1","1","1","6.06026805555555","6.36026805555555","551","","OxPC(34:1(O))+H"," 6.225476","6.225476"," 6.225476","6.06026805555555","6.36026805555555","551","","OxPC(34:1(O))+H","1","1","1","6.06026805555555","6.36026805555555","551","","OxPC(34:1(O))+H","463349.500","3165.066","3139110.0000","6.06026805555555","6.36026805555555","551","","OxPC(34:1(O))+H","776.5809","593.5154","184.0736","6.06026805555555","6.36026805555555","551","","OxPC(34:1(O))+H","776.58008","593.51402","184.07332","6.06026805555555","6.36026805555555","551"
"","OxPC(34:1(O))+H","1","0","1","3.8481","4.1481","7330","","OxPC(34:1(O))+H"," 4.055396","0.000000"," 4.055396","3.8481","4.1481","7330","","OxPC(34:1(O))+H","1","0","2","3.8481","4.1481","7330","","OxPC(34:1(O))+H","  1151.403","   0.000","  14596.3800","3.8481","4.1481","7330","","OxPC(34:1(O))+H","776.5801","  0.0000","184.0735","3.8481","4.1481","7330","","OxPC(34:1(O))+H","776.58008","593.51402","184.07332","3.8481","4.1481","7330"
"","OxPC(34:1(O))+H","0","0","1","4.86781666666667","5.16781666666667","13186","","OxPC(34:1(O))+H"," 0.000000","0.000000"," 5.073851","4.86781666666667","5.16781666666667","13186","","OxPC(34:1(O))+H","0","0","1","4.86781666666667","5.16781666666667","13186","","OxPC(34:1(O))+H","     0.000","   0.000"," 151437.6000","4.86781666666667","5.16781666666667","13186","","OxPC(34:1(O))+H","  0.0000","  0.0000","184.0739","4.86781666666667","5.16781666666667","13186","","OxPC(34:1(O))+H","776.58008","593.51402","184.07332","4.86781666666667","5.16781666666667","13186"
"","OxPC(34:1(OOO))+H","0","0","1","11.8500194444444","12.1500194444444","16835","","OxPC(34:1(OOO))+H"," 0.000000","0.000000","12.025550","11.8500194444444","12.1500194444444","16835","","OxPC(34:1(OOO))+H","0","0","1","11.8500194444444","12.1500194444444","16835","","OxPC(34:1(OOO))+H","     0.000","   0.000","  18458.9600","11.8500194444444","12.1500194444444","16835","","OxPC(34:1(OOO))+H","  0.0000","  0.0000","184.0737","11.8500194444444","12.1500194444444","16835","","OxPC(34:1(OOO))+H","808.56992","625.50386","184.07332","11.8500194444444","12.1500194444444","16835"
"","OxPC(34:2(O))+H","1","1","1","5.07425277777778","5.37425277777778","330","","OxPC(34:2(O))+H"," 5.172553","5.172553"," 5.172553","5.07425277777778","5.37425277777778","330","","OxPC(34:2(O))+H","2","1","2","5.07425277777778","5.37425277777778","330","","OxPC(34:2(O))+H","494380.400","2983.893","3526427.0000","5.07425277777778","5.37425277777778","330","","OxPC(34:2(O))+H","774.5666","591.4996","184.0739","5.07425277777778","5.37425277777778","330","","OxPC(34:2(O))+H","774.5644","591.49834","184.07332","5.07425277777778","5.37425277777778","330"
"","OxPC(35:1(OOOKeO))+H","0","0","1","5.58739722222222","5.88739722222222","594","","OxPC(35:1(OOOKeO))+H"," 0.000000","0.000000"," 5.833585","5.58739722222222","5.88739722222222","594","","OxPC(35:1(OOOKeO))+H","0","0","2","5.58739722222222","5.88739722222222","594","","OxPC(35:1(OOOKeO))+H","     0.000","   0.000","  25811.7900","5.58739722222222","5.88739722222222","594","","OxPC(35:1(OOOKeO))+H","  0.0000","  0.0000","184.0738","5.58739722222222","5.88739722222222","594","","OxPC(35:1(OOOKeO))+H","852.55975","669.49369","184.07332","5.58739722222222","5.88739722222222","594"
"","OxPC(35:2(KeKe))+H","1","0","1","8.01050416666666","8.31050416666666","2253","","OxPC(35:2(KeKe))+H"," 8.161917","0.000000"," 8.306120","8.01050416666666","8.31050416666666","2253","","OxPC(35:2(KeKe))+H","1","0","2","8.01050416666666","8.31050416666666","2253","","OxPC(35:2(KeKe))+H"," 48811.200","   0.000","6288579.0000","8.01050416666666","8.31050416666666","2253","","OxPC(35:2(KeKe))+H","800.5413","  0.0000","184.0735","8.01050416666666","8.31050416666666","2253","","OxPC(35:2(KeKe))+H","800.54366","617.4776","184.07332","8.01050416666666","8.31050416666666","2253"
