"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+H]","NL_head","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Number of Scans","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Max Intensity","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Average m/z","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+H]","NL_head","RT_min","RT_max","Comment"
"","PS(28:0)+H","1","1","3.85204848484848","4.15204848484848","264","","PS(28:0)+H","4.028213","4.028213","3.85204848484848","4.15204848484848","264","","PS(28:0)+H","1","2","3.85204848484848","4.15204848484848","264","","PS(28:0)+H"," 3461.459","4628533","3.85204848484848","4.15204848484848","264","","PS(28:0)+H","680.4498","495.4415","3.85204848484848","4.15204848484848","264","","PS(28:0)+H","680.44976","495.44081","3.85204848484848","4.15204848484848","264"
"","PS(28:0)+H","1","1","3.85645138888889","4.15645138888889","12646","","PS(28:0)+H","4.028213","4.028213","3.85645138888889","4.15645138888889","12646","","PS(28:0)+H","1","2","3.85645138888889","4.15645138888889","12646","","PS(28:0)+H"," 3461.459","4628533","3.85645138888889","4.15645138888889","12646","","PS(28:0)+H","680.4498","495.4415","3.85645138888889","4.15645138888889","12646","","PS(28:0)+H","680.44976","495.44081","3.85645138888889","4.15645138888889","12646"
"","PS(34:0)+H","1","1","7.68959027777778","7.98959027777778","200","","PS(34:0)+H","7.867475","7.867475","7.68959027777778","7.98959027777778","200","","PS(34:0)+H","1","1","7.68959027777778","7.98959027777778","200","","PS(34:0)+H"," 4952.251","7554868","7.68959027777778","7.98959027777778","200","","PS(34:0)+H","764.5439","579.5350","7.68959027777778","7.98959027777778","200","","PS(34:0)+H","764.54366","579.53471","7.68959027777778","7.98959027777778","200"
